date,arts_unscaled,arts_monthly,isPartial,scale,arts
2010-01-01,66,93.0,False,0.93,61.38
2010-01-02,81,93.0,,0.93,75.33
2010-01-03,74,93.0,,0.93,68.82000000000001
2010-01-04,97,93.0,,0.93,90.21000000000001
2010-01-05,86,93.0,,0.93,79.98
2010-01-06,96,93.0,,0.93,89.28
2010-01-07,85,93.0,,0.93,79.05
2010-01-08,84,93.0,,0.93,78.12
2010-01-09,91,93.0,,0.93,84.63000000000001
2010-01-10,87,93.0,,0.93,80.91000000000001
2010-01-11,92,93.0,,0.93,85.56
2010-01-12,95,93.0,,0.93,88.35000000000001
2010-01-13,97,93.0,,0.93,90.21000000000001
2010-01-14,94,93.0,,0.93,87.42
2010-01-15,89,93.0,,0.93,82.77000000000001
2010-01-16,79,93.0,,0.93,73.47
2010-01-17,80,93.0,,0.93,74.4
2010-01-18,69,93.0,,0.93,64.17
2010-01-19,100,93.0,,0.93,93.0
2010-01-20,86,93.0,,0.93,79.98
2010-01-21,96,93.0,,0.93,89.28
2010-01-22,89,93.0,,0.93,82.77000000000001
2010-01-23,75,93.0,,0.93,69.75
2010-01-24,80,93.0,,0.93,74.4
2010-01-25,92,93.0,,0.93,85.56
2010-01-26,98,93.0,,0.93,91.14
2010-01-27,93,93.0,,0.93,86.49000000000001
2010-01-28,90,93.0,,0.93,83.7
2010-01-29,80,93.0,,0.93,74.4
2010-01-30,83,93.0,,0.93,77.19
2010-01-31,94,93.0,,0.93,87.42
2010-02-01,97,94.0,False,0.94,91.17999999999999
2010-02-02,91,94.0,,0.94,85.53999999999999
2010-02-03,94,94.0,,0.94,88.36
2010-02-04,94,94.0,,0.94,88.36
2010-02-05,93,94.0,,0.94,87.42
2010-02-06,79,94.0,,0.94,74.25999999999999
2010-02-07,75,94.0,,0.94,70.5
2010-02-08,100,94.0,,0.94,94.0
2010-02-09,96,94.0,,0.94,90.24
2010-02-10,89,94.0,,0.94,83.66
2010-02-11,98,94.0,,0.94,92.11999999999999
2010-02-12,99,94.0,,0.94,93.05999999999999
2010-02-13,93,94.0,,0.94,87.42
2010-02-14,85,94.0,,0.94,79.89999999999999
2010-02-15,84,94.0,,0.94,78.96
2010-02-16,86,94.0,,0.94,80.83999999999999
2010-02-17,92,94.0,,0.94,86.47999999999999
2010-02-18,90,94.0,,0.94,84.6
2010-02-19,99,94.0,,0.94,93.05999999999999
2010-02-20,87,94.0,,0.94,81.78
2010-02-21,77,94.0,,0.94,72.38
2010-02-22,98,94.0,,0.94,92.11999999999999
2010-02-23,94,94.0,,0.94,88.36
2010-02-24,88,94.0,,0.94,82.72
2010-02-25,93,94.0,,0.94,87.42
2010-02-26,90,94.0,,0.94,84.6
2010-02-27,85,94.0,,0.94,79.89999999999999
2010-02-28,88,94.0,,0.94,82.72
2010-03-01,97,96.0,False,0.96,93.11999999999999
2010-03-02,88,96.0,,0.96,84.47999999999999
2010-03-03,87,96.0,,0.96,83.52
2010-03-04,91,96.0,,0.96,87.36
2010-03-05,88,96.0,,0.96,84.47999999999999
2010-03-06,89,96.0,,0.96,85.44
2010-03-07,74,96.0,,0.96,71.03999999999999
2010-03-08,93,96.0,,0.96,89.28
2010-03-09,87,96.0,,0.96,83.52
2010-03-10,100,96.0,,0.96,96.0
2010-03-11,87,96.0,,0.96,83.52
2010-03-12,79,96.0,,0.96,75.84
2010-03-13,76,96.0,,0.96,72.96
2010-03-14,77,96.0,,0.96,73.92
2010-03-15,82,96.0,,0.96,78.72
2010-03-16,84,96.0,,0.96,80.64
2010-03-17,96,96.0,,0.96,92.16
2010-03-18,90,96.0,,0.96,86.39999999999999
