date,banking_unscaled,banking_monthly,isPartial,scale,banking
2010-01-01,48,91.0,False,0.91,43.68
2010-01-02,51,91.0,,0.91,46.410000000000004
2010-01-03,46,91.0,,0.91,41.86
2010-01-04,64,91.0,,0.91,58.24
2010-01-05,61,91.0,,0.91,55.510000000000005
2010-01-06,56,91.0,,0.91,50.96
2010-01-07,53,91.0,,0.91,48.230000000000004
2010-01-08,60,91.0,,0.91,54.6
2010-01-09,49,91.0,,0.91,44.59
2010-01-10,43,91.0,,0.91,39.13
2010-01-11,61,91.0,,0.91,55.510000000000005
2010-01-12,60,91.0,,0.91,54.6
2010-01-13,55,91.0,,0.91,50.050000000000004
2010-01-14,56,91.0,,0.91,50.96
2010-01-15,63,91.0,,0.91,57.330000000000005
2010-01-16,51,91.0,,0.91,46.410000000000004
2010-01-17,37,91.0,,0.91,33.67
2010-01-18,50,91.0,,0.91,45.5
2010-01-19,52,91.0,,0.91,47.32
2010-01-20,56,91.0,,0.91,50.96
2010-01-21,57,91.0,,0.91,51.870000000000005
2010-01-22,57,91.0,,0.91,51.870000000000005
2010-01-23,48,91.0,,0.91,43.68
2010-01-24,35,91.0,,0.91,31.85
2010-01-25,54,91.0,,0.91,49.14
2010-01-26,54,91.0,,0.91,49.14
2010-01-27,54,91.0,,0.91,49.14
2010-01-28,57,91.0,,0.91,51.870000000000005
2010-01-29,100,91.0,,0.91,91.0
2010-01-30,52,91.0,,0.91,47.32
2010-01-31,43,91.0,,0.91,39.13
2010-02-01,91,94.0,False,0.94,85.53999999999999
2010-02-02,85,94.0,,0.94,79.89999999999999
2010-02-03,88,94.0,,0.94,82.72
2010-02-04,84,94.0,,0.94,78.96
2010-02-05,98,94.0,,0.94,92.11999999999999
2010-02-06,78,94.0,,0.94,73.32
2010-02-07,55,94.0,,0.94,51.699999999999996
2010-02-08,86,94.0,,0.94,80.83999999999999
2010-02-09,83,94.0,,0.94,78.02
2010-02-10,81,94.0,,0.94,76.14
2010-02-11,85,94.0,,0.94,79.89999999999999
2010-02-12,91,94.0,,0.94,85.53999999999999
2010-02-13,78,94.0,,0.94,73.32
2010-02-14,68,94.0,,0.94,63.919999999999995
2010-02-15,79,94.0,,0.94,74.25999999999999
2010-02-16,87,94.0,,0.94,81.78
2010-02-17,93,94.0,,0.94,87.42
2010-02-18,87,94.0,,0.94,81.78
2010-02-19,97,94.0,,0.94,91.17999999999999
2010-02-20,74,94.0,,0.94,69.56
2010-02-21,61,94.0,,0.94,57.339999999999996
2010-02-22,89,94.0,,0.94,83.66
2010-02-23,83,94.0,,0.94,78.02
2010-02-24,85,94.0,,0.94,79.89999999999999
2010-02-25,83,94.0,,0.94,78.02
2010-02-26,100,94.0,,0.94,94.0
2010-02-27,74,94.0,,0.94,69.56
2010-02-28,60,94.0,,0.94,56.4
2010-03-01,96,96.0,False,0.96,92.16
2010-03-02,82,96.0,,0.96,78.72
2010-03-03,75,96.0,,0.96,72.0
2010-03-04,84,96.0,,0.96,80.64
2010-03-05,89,96.0,,0.96,85.44
2010-03-06,74,96.0,,0.96,71.03999999999999
2010-03-07,62,96.0,,0.96,59.519999999999996
2010-03-08,89,96.0,,0.96,85.44
2010-03-09,87,96.0,,0.96,83.52
2010-03-10,87,96.0,,0.96,83.52
2010-03-11,70,96.0,,0.96,67.2
2010-03-12,93,96.0,,0.96,89.28
2010-03-13,72,96.0,,0.96,69.12
2010-03-14,60,96.0,,0.96,57.599999999999994
2010-03-15,87,96.0,,0.96,83.52
2010-03-16,86,96.0,,0.96,82.56
2010-03-17,80,96.0,,0.96,76.8
2010-03-18,88,96.0,,0.96,84.47999999999999
2010-03-19,98,96.0,,0.96,94.08
2010-03-20,69,96.0,,0.96,66.24
2010-03-21,54,96.0,,0.96,51.839999999999996
2010-03-22,77,96.0,,0.96,73.92
2010-03-23,83,96.0,,0.96,79.67999999999999
2010-03-24,79,96.0,,0.96,75.84
2010-03-25,82,96.0,,0.96,78.72
2010-03-26,92,96.0,,0.96,88.32
2010-03-27,78,96.0,,0.96,74.88
2010-03-28,56,96.0,,0.96,53.76
2010-03-29,81,96.0,,0.96,77.75999999999999
2010-03-30,83,96.0,,0.96,79.67999999999999
2010-03-31,100,96.0,,0.96,96.0
2010-04-01,93,100.0,False,1.0,93.0
2010-04-02,95,100.0,,1.0,95.0
2010-04-03,67,100.0,,1.0,67.0
2010-04-04,56,100.0,,1.0,56.0
2010-04-05,91,100.0,,1.0,91.0
2010-04-06,85,100.0,,1.0,85.0
2010-04-07,77,100.0,,1.0,77.0
2010-04-08,82,100.0,,1.0,82.0
2010-04-09,94,100.0,,1.0,94.0
2010-04-10,74,100.0,,1.0,74.0
2010-04-11,53,100.0,,1.0,53.0
2010-04-12,84,100.0,,1.0,84.0
2010-04-13,85,100.0,,1.0,85.0
2010-04-14,79,100.0,,1.0,79.0
2010-04-15,91,100.0,,1.0,91.0
2010-04-16,88,100.0,,1.0,88.0
2010-04-17,68,100.0,,1.0,68.0
2010-04-18,54,100.0,,1.0,54.0
2010-04-19,75,100.0,,1.0,75.0
2010-04-20,80,100.0,,1.0,80.0
2010-04-21,78,100.0,,1.0,78.0
2010-04-22,83,100.0,,1.0,83.0
2010-04-23,87,100.0,,1.0,87.0
2010-04-24,69,100.0,,1.0,69.0
2010-04-25,58,100.0,,1.0,58.0
2010-04-26,71,100.0,,1.0,71.0
2010-04-27,74,100.0,,1.0,74.0
2010-04-28,76,100.0,,1.0,76.0
2010-04-29,82,100.0,,1.0,82.0
2010-04-30,100,100.0,,1.0,100.0
2010-05-01,81,92.0,False,0.92,74.52000000000001
2010-05-02,64,92.0,,0.92,58.88
2010-05-03,91,92.0,,0.92,83.72
2010-05-04,87,92.0,,0.92,80.04
2010-05-05,82,92.0,,0.92,75.44
2010-05-06,86,92.0,,0.92,79.12
2010-05-07,100,92.0,,0.92,92.0
2010-05-08,80,92.0,,0.92,73.60000000000001
2010-05-09,57,92.0,,0.92,52.440000000000005
2010-05-10,80,92.0,,0.92,73.60000000000001
2010-05-11,76,92.0,,0.92,69.92
2010-05-12,76,92.0,,0.92,69.92
2010-05-13,74,92.0,,0.92,68.08
2010-05-14,91,92.0,,0.92,83.72
2010-05-15,64,92.0,,0.92,58.88
2010-05-16,58,92.0,,0.92,53.36
2010-05-17,80,92.0,,0.92,73.60000000000001
2010-05-18,73,92.0,,0.92,67.16
2010-05-19,76,92.0,,0.92,69.92
2010-05-20,70,92.0,,0.92,64.4
2010-05-21,82,92.0,,0.92,75.44
2010-05-22,66,92.0,,0.92,60.720000000000006
2010-05-23,56,92.0,,0.92,51.52
2010-05-24,64,92.0,,0.92,58.88
2010-05-25,70,92.0,,0.92,64.4
2010-05-26,70,92.0,,0.92,64.4
2010-05-27,73,92.0,,0.92,67.16
2010-05-28,79,92.0,,0.92,72.68
2010-05-29,70,92.0,,0.92,64.4
2010-05-30,48,92.0,,0.92,44.160000000000004
2010-05-31,64,92.0,,0.92,58.88
2010-06-01,91,87.0,False,0.87,79.17
2010-06-02,92,87.0,,0.87,80.04
2010-06-03,88,87.0,,0.87,76.56
2010-06-04,90,87.0,,0.87,78.3
2010-06-05,70,87.0,,0.87,60.9
2010-06-06,56,87.0,,0.87,48.72
2010-06-07,84,87.0,,0.87,73.08
2010-06-08,78,87.0,,0.87,67.86
2010-06-09,82,87.0,,0.87,71.34
2010-06-10,83,87.0,,0.87,72.21
2010-06-11,85,87.0,,0.87,73.95
2010-06-12,72,87.0,,0.87,62.64
2010-06-13,60,87.0,,0.87,52.2
2010-06-14,81,87.0,,0.87,70.47
2010-06-15,83,87.0,,0.87,72.21
2010-06-16,74,87.0,,0.87,64.38
2010-06-17,77,87.0,,0.87,66.99
2010-06-18,88,87.0,,0.87,76.56
2010-06-19,71,87.0,,0.87,61.77
2010-06-20,51,87.0,,0.87,44.37
2010-06-21,75,87.0,,0.87,65.25
2010-06-22,75,87.0,,0.87,65.25
2010-06-23,82,87.0,,0.87,71.34
2010-06-24,78,87.0,,0.87,67.86
2010-06-25,85,87.0,,0.87,73.95
2010-06-26,77,87.0,,0.87,66.99
2010-06-27,63,87.0,,0.87,54.81
2010-06-28,90,87.0,,0.87,78.3
2010-06-29,88,87.0,,0.87,76.56
2010-06-30,100,87.0,,0.87,87.0
2010-07-01,100,68.0,False,0.68,68.0
2010-07-02,95,68.0,,0.68,64.60000000000001
2010-07-03,76,68.0,,0.68,51.68000000000001
2010-07-04,56,68.0,,0.68,38.080000000000005
2010-07-05,83,68.0,,0.68,56.440000000000005
2010-07-06,88,68.0,,0.68,59.84
2010-07-07,90,68.0,,0.68,61.2
2010-07-08,85,68.0,,0.68,57.800000000000004
2010-07-09,84,68.0,,0.68,57.120000000000005
2010-07-10,70,68.0,,0.68,47.6
2010-07-11,53,68.0,,0.68,36.04
2010-07-12,82,68.0,,0.68,55.760000000000005
2010-07-13,86,68.0,,0.68,58.480000000000004
2010-07-14,70,68.0,,0.68,47.6
2010-07-15,54,68.0,,0.68,36.720000000000006
2010-07-16,53,68.0,,0.68,36.04
2010-07-17,41,68.0,,0.68,27.880000000000003
2010-07-18,34,68.0,,0.68,23.12
2010-07-19,49,68.0,,0.68,33.32
2010-07-20,52,68.0,,0.68,35.36
2010-07-21,49,68.0,,0.68,33.32
2010-07-22,48,68.0,,0.68,32.64
2010-07-23,54,68.0,,0.68,36.720000000000006
2010-07-24,39,68.0,,0.68,26.520000000000003
2010-07-25,31,68.0,,0.68,21.080000000000002
2010-07-26,49,68.0,,0.68,33.32
2010-07-27,50,68.0,,0.68,34.0
2010-07-28,49,68.0,,0.68,33.32
2010-07-29,52,68.0,,0.68,35.36
2010-07-30,59,68.0,,0.68,40.120000000000005
2010-07-31,45,68.0,,0.68,30.6
2010-08-01,61,52.0,False,0.52,31.720000000000002
2010-08-02,89,52.0,,0.52,46.28
2010-08-03,94,52.0,,0.52,48.88
2010-08-04,83,52.0,,0.52,43.160000000000004
2010-08-05,88,52.0,,0.52,45.760000000000005
2010-08-06,87,52.0,,0.52,45.24
2010-08-07,68,52.0,,0.52,35.36
2010-08-08,66,52.0,,0.52,34.32
2010-08-09,78,52.0,,0.52,40.56
2010-08-10,80,52.0,,0.52,41.6
2010-08-11,80,52.0,,0.52,41.6
2010-08-12,91,52.0,,0.52,47.32
2010-08-13,81,52.0,,0.52,42.120000000000005
2010-08-14,73,52.0,,0.52,37.96
2010-08-15,63,52.0,,0.52,32.76
2010-08-16,83,52.0,,0.52,43.160000000000004
2010-08-17,85,52.0,,0.52,44.2
2010-08-18,82,52.0,,0.52,42.64
2010-08-19,83,52.0,,0.52,43.160000000000004
2010-08-20,82,52.0,,0.52,42.64
2010-08-21,76,52.0,,0.52,39.52
2010-08-22,55,52.0,,0.52,28.6
2010-08-23,79,52.0,,0.52,41.08
2010-08-24,87,52.0,,0.52,45.24
2010-08-25,79,52.0,,0.52,41.08
2010-08-26,83,52.0,,0.52,43.160000000000004
2010-08-27,96,52.0,,0.52,49.92
2010-08-28,71,52.0,,0.52,36.92
2010-08-29,65,52.0,,0.52,33.800000000000004
2010-08-30,100,52.0,,0.52,52.0
2010-08-31,100,52.0,,0.52,52.0
2010-09-01,91,51.0,False,0.51,46.410000000000004
2010-09-02,85,51.0,,0.51,43.35
2010-09-03,99,51.0,,0.51,50.49
2010-09-04,75,51.0,,0.51,38.25
2010-09-05,62,51.0,,0.51,31.62
2010-09-06,77,51.0,,0.51,39.27
2010-09-07,94,51.0,,0.51,47.94
2010-09-08,95,51.0,,0.51,48.45
2010-09-09,88,51.0,,0.51,44.88
2010-09-10,93,51.0,,0.51,47.43
2010-09-11,67,51.0,,0.51,34.17
2010-09-12,63,51.0,,0.51,32.13
2010-09-13,88,51.0,,0.51,44.88
2010-09-14,98,51.0,,0.51,49.980000000000004
2010-09-15,100,51.0,,0.51,51.0
2010-09-16,95,51.0,,0.51,48.45
2010-09-17,96,51.0,,0.51,48.96
2010-09-18,72,51.0,,0.51,36.72
2010-09-19,55,51.0,,0.51,28.05
2010-09-20,88,51.0,,0.51,44.88
2010-09-21,93,51.0,,0.51,47.43
2010-09-22,83,51.0,,0.51,42.33
2010-09-23,85,51.0,,0.51,43.35
2010-09-24,91,51.0,,0.51,46.410000000000004
2010-09-25,75,51.0,,0.51,38.25
2010-09-26,59,51.0,,0.51,30.09
2010-09-27,87,51.0,,0.51,44.37
2010-09-28,81,51.0,,0.51,41.31
2010-09-29,82,51.0,,0.51,41.82
2010-09-30,97,51.0,,0.51,49.47
2010-10-01,89,51.0,False,0.51,45.39
2010-10-02,78,51.0,,0.51,39.78
2010-10-03,54,51.0,,0.51,27.54
2010-10-04,83,51.0,,0.51,42.33
2010-10-05,80,51.0,,0.51,40.8
2010-10-06,77,51.0,,0.51,39.27
2010-10-07,80,51.0,,0.51,40.8
2010-10-08,81,51.0,,0.51,41.31
2010-10-09,61,51.0,,0.51,31.11
2010-10-10,51,51.0,,0.51,26.01
2010-10-11,73,51.0,,0.51,37.230000000000004
2010-10-12,83,51.0,,0.51,42.33
2010-10-13,78,51.0,,0.51,39.78
2010-10-14,85,51.0,,0.51,43.35
2010-10-15,91,51.0,,0.51,46.410000000000004
2010-10-16,68,51.0,,0.51,34.68
2010-10-17,52,51.0,,0.51,26.52
2010-10-18,79,51.0,,0.51,40.29
2010-10-19,72,51.0,,0.51,36.72
2010-10-20,82,51.0,,0.51,41.82
2010-10-21,82,51.0,,0.51,41.82
2010-10-22,97,51.0,,0.51,49.47
2010-10-23,63,51.0,,0.51,32.13
2010-10-24,57,51.0,,0.51,29.07
2010-10-25,82,51.0,,0.51,41.82
2010-10-26,79,51.0,,0.51,40.29
2010-10-27,86,51.0,,0.51,43.86
2010-10-28,83,51.0,,0.51,42.33
2010-10-29,100,51.0,,0.51,51.0
2010-10-30,74,51.0,,0.51,37.74
2010-10-31,64,51.0,,0.51,32.64
2010-11-01,99,54.0,False,0.54,53.46
2010-11-02,85,54.0,,0.54,45.900000000000006
2010-11-03,91,54.0,,0.54,49.14
2010-11-04,80,54.0,,0.54,43.2
2010-11-05,100,54.0,,0.54,54.0
2010-11-06,70,54.0,,0.54,37.800000000000004
2010-11-07,56,54.0,,0.54,30.240000000000002
2010-11-08,90,54.0,,0.54,48.6
