date,bonds_unscaled,bonds_monthly,isPartial,scale,bonds
2010-01-01,53,78.0,False,0.78,41.34
2010-01-02,55,78.0,,0.78,42.9
2010-01-03,58,78.0,,0.78,45.24
2010-01-04,73,78.0,,0.78,56.940000000000005
2010-01-05,80,78.0,,0.78,62.400000000000006
2010-01-06,84,78.0,,0.78,65.52
2010-01-07,84,78.0,,0.78,65.52
2010-01-08,75,78.0,,0.78,58.5
2010-01-09,56,78.0,,0.78,43.68
2010-01-10,47,78.0,,0.78,36.660000000000004
2010-01-11,75,78.0,,0.78,58.5
2010-01-12,100,78.0,,0.78,78.0
2010-01-13,83,78.0,,0.78,64.74000000000001
2010-01-14,77,78.0,,0.78,60.06
2010-01-15,70,78.0,,0.78,54.6
2010-01-16,61,78.0,,0.78,47.58
2010-01-17,66,78.0,,0.78,51.480000000000004
2010-01-18,54,78.0,,0.78,42.120000000000005
2010-01-19,72,78.0,,0.78,56.160000000000004
2010-01-20,78,78.0,,0.78,60.84
2010-01-21,95,78.0,,0.78,74.10000000000001
2010-01-22,74,78.0,,0.78,57.72
2010-01-23,59,78.0,,0.78,46.02
2010-01-24,69,78.0,,0.78,53.82
2010-01-25,81,78.0,,0.78,63.18
2010-01-26,82,78.0,,0.78,63.96
2010-01-27,91,78.0,,0.78,70.98
2010-01-28,71,78.0,,0.78,55.38
2010-01-29,75,78.0,,0.78,58.5
2010-01-30,66,78.0,,0.78,51.480000000000004
2010-01-31,78,78.0,,0.78,60.84
2010-02-01,85,81.0,False,0.81,68.85000000000001
2010-02-02,97,81.0,,0.81,78.57000000000001
2010-02-03,94,81.0,,0.81,76.14
2010-02-04,95,81.0,,0.81,76.95
2010-02-05,79,81.0,,0.81,63.99
2010-02-06,65,81.0,,0.81,52.650000000000006
2010-02-07,61,81.0,,0.81,49.410000000000004
2010-02-08,90,81.0,,0.81,72.9
2010-02-09,97,81.0,,0.81,78.57000000000001
2010-02-10,98,81.0,,0.81,79.38000000000001
2010-02-11,93,81.0,,0.81,75.33
2010-02-12,67,81.0,,0.81,54.27
2010-02-13,57,81.0,,0.81,46.17
2010-02-14,49,81.0,,0.81,39.690000000000005
2010-02-15,67,81.0,,0.81,54.27
2010-02-16,83,81.0,,0.81,67.23
2010-02-17,92,81.0,,0.81,74.52000000000001
2010-02-18,69,81.0,,0.81,55.89
2010-02-19,100,81.0,,0.81,81.0
2010-02-20,76,81.0,,0.81,61.56
2010-02-21,62,81.0,,0.81,50.220000000000006
2010-02-22,93,81.0,,0.81,75.33
2010-02-23,75,81.0,,0.81,60.75000000000001
2010-02-24,80,81.0,,0.81,64.80000000000001
2010-02-25,90,81.0,,0.81,72.9
2010-02-26,86,81.0,,0.81,69.66000000000001
2010-02-27,65,81.0,,0.81,52.650000000000006
2010-02-28,64,81.0,,0.81,51.84
2010-03-01,92,78.0,False,0.78,71.76
2010-03-02,91,78.0,,0.78,70.98
2010-03-03,95,78.0,,0.78,74.10000000000001
2010-03-04,91,78.0,,0.78,70.98
2010-03-05,100,78.0,,0.78,78.0
2010-03-06,70,78.0,,0.78,54.6
2010-03-07,87,78.0,,0.78,67.86
2010-03-08,87,78.0,,0.78,67.86
2010-03-09,97,78.0,,0.78,75.66
2010-03-10,92,78.0,,0.78,71.76
2010-03-11,99,78.0,,0.78,77.22
2010-03-12,66,78.0,,0.78,51.480000000000004
2010-03-13,60,78.0,,0.78,46.800000000000004
2010-03-14,62,78.0,,0.78,48.36
2010-03-15,93,78.0,,0.78,72.54
2010-03-16,95,78.0,,0.78,74.10000000000001
2010-03-17,96,78.0,,0.78,74.88
2010-03-18,81,78.0,,0.78,63.18
2010-03-19,84,78.0,,0.78,65.52
2010-03-20,55,78.0,,0.78,42.9
2010-03-21,59,78.0,,0.78,46.02
2010-03-22,87,78.0,,0.78,67.86
2010-03-23,88,78.0,,0.78,68.64
2010-03-24,85,78.0,,0.78,66.3
2010-03-25,91,78.0,,0.78,70.98
2010-03-26,93,78.0,,0.78,72.54
2010-03-27,59,78.0,,0.78,46.02
2010-03-28,48,78.0,,0.78,37.44
2010-03-29,82,78.0,,0.78,63.96
2010-03-30,97,78.0,,0.78,75.66
2010-03-31,93,78.0,,0.78,72.54
2010-04-01,67,80.0,False,0.8,53.6
2010-04-02,81,80.0,,0.8,64.8
2010-04-03,63,80.0,,0.8,50.400000000000006
2010-04-04,48,80.0,,0.8,38.400000000000006
2010-04-05,82,80.0,,0.8,65.60000000000001
2010-04-06,100,80.0,,0.8,80.0
2010-04-07,92,80.0,,0.8,73.60000000000001
2010-04-08,66,80.0,,0.8,52.800000000000004
2010-04-09,85,80.0,,0.8,68.0
2010-04-10,66,80.0,,0.8,52.800000000000004
2010-04-11,92,80.0,,0.8,73.60000000000001
2010-04-12,86,80.0,,0.8,68.8
2010-04-13,98,80.0,,0.8,78.4
2010-04-14,87,80.0,,0.8,69.60000000000001
2010-04-15,77,80.0,,0.8,61.6
2010-04-16,54,80.0,,0.8,43.2
2010-04-17,59,80.0,,0.8,47.2
2010-04-18,63,80.0,,0.8,50.400000000000006
2010-04-19,92,80.0,,0.8,73.60000000000001
2010-04-20,88,80.0,,0.8,70.4
2010-04-21,94,80.0,,0.8,75.2
2010-04-22,78,80.0,,0.8,62.400000000000006
2010-04-23,63,80.0,,0.8,50.400000000000006
2010-04-24,45,80.0,,0.8,36.0
2010-04-25,60,80.0,,0.8,48.0
2010-04-26,65,80.0,,0.8,52.0
2010-04-27,85,80.0,,0.8,68.0
2010-04-28,74,80.0,,0.8,59.2
2010-04-29,68,80.0,,0.8,54.400000000000006
2010-04-30,82,80.0,,0.8,65.60000000000001
2010-05-01,79,71.0,False,0.71,56.089999999999996
2010-05-02,88,71.0,,0.71,62.48
2010-05-03,100,71.0,,0.71,71.0
2010-05-04,100,71.0,,0.71,71.0
2010-05-05,99,71.0,,0.71,70.28999999999999
2010-05-06,95,71.0,,0.71,67.45
2010-05-07,92,71.0,,0.71,65.32
2010-05-08,78,71.0,,0.71,55.379999999999995
2010-05-09,66,71.0,,0.71,46.86
2010-05-10,92,71.0,,0.71,65.32
2010-05-11,91,71.0,,0.71,64.61
2010-05-12,83,71.0,,0.71,58.93
2010-05-13,80,71.0,,0.71,56.8
2010-05-14,88,71.0,,0.71,62.48
2010-05-15,55,71.0,,0.71,39.05
2010-05-16,63,71.0,,0.71,44.73
2010-05-17,87,71.0,,0.71,61.769999999999996
2010-05-18,95,71.0,,0.71,67.45
2010-05-19,86,71.0,,0.71,61.059999999999995
2010-05-20,90,71.0,,0.71,63.9
2010-05-21,82,71.0,,0.71,58.22
2010-05-22,46,71.0,,0.71,32.66
2010-05-23,57,71.0,,0.71,40.47
2010-05-24,85,71.0,,0.71,60.349999999999994
2010-05-25,84,71.0,,0.71,59.64
2010-05-26,88,71.0,,0.71,62.48
2010-05-27,74,71.0,,0.71,52.54
2010-05-28,62,71.0,,0.71,44.019999999999996
2010-05-29,58,71.0,,0.71,41.18
2010-05-30,47,71.0,,0.71,33.37
2010-05-31,60,71.0,,0.71,42.599999999999994
2010-06-01,77,66.0,False,0.66,50.82
2010-06-02,63,66.0,,0.66,41.580000000000005
2010-06-03,93,66.0,,0.66,61.38
2010-06-04,68,66.0,,0.66,44.88
2010-06-05,64,66.0,,0.66,42.24
2010-06-06,47,66.0,,0.66,31.020000000000003
2010-06-07,84,66.0,,0.66,55.440000000000005
2010-06-08,79,66.0,,0.66,52.14
2010-06-09,97,66.0,,0.66,64.02
2010-06-10,100,66.0,,0.66,66.0
2010-06-11,70,66.0,,0.66,46.2
2010-06-12,75,66.0,,0.66,49.5
2010-06-13,58,66.0,,0.66,38.28
2010-06-14,84,66.0,,0.66,55.440000000000005
2010-06-15,73,66.0,,0.66,48.18
2010-06-16,79,66.0,,0.66,52.14
2010-06-17,80,66.0,,0.66,52.800000000000004
