date,buy_unscaled,buy_monthly,isPartial,scale,buy
2010-01-01,96,62.0,False,0.62,59.519999999999996
2010-01-02,100,62.0,,0.62,62.0
2010-01-03,94,62.0,,0.62,58.28
2010-01-04,74,62.0,,0.62,45.88
2010-01-05,75,62.0,,0.62,46.5
2010-01-06,68,62.0,,0.62,42.16
2010-01-07,67,62.0,,0.62,41.54
2010-01-08,70,62.0,,0.62,43.4
2010-01-09,87,62.0,,0.62,53.94
2010-01-10,88,62.0,,0.62,54.56
2010-01-11,67,62.0,,0.62,41.54
2010-01-12,67,62.0,,0.62,41.54
2010-01-13,62,62.0,,0.62,38.44
2010-01-14,64,62.0,,0.62,39.68
2010-01-15,66,62.0,,0.62,40.92
2010-01-16,82,62.0,,0.62,50.839999999999996
2010-01-17,83,62.0,,0.62,51.46
2010-01-18,73,62.0,,0.62,45.26
2010-01-19,65,62.0,,0.62,40.3
2010-01-20,61,62.0,,0.62,37.82
2010-01-21,61,62.0,,0.62,37.82
2010-01-22,66,62.0,,0.62,40.92
2010-01-23,82,62.0,,0.62,50.839999999999996
2010-01-24,83,62.0,,0.62,51.46
2010-01-25,70,62.0,,0.62,43.4
2010-01-26,65,62.0,,0.62,40.3
2010-01-27,66,62.0,,0.62,40.92
2010-01-28,63,62.0,,0.62,39.06
2010-01-29,66,62.0,,0.62,40.92
2010-01-30,80,62.0,,0.62,49.6
2010-01-31,88,62.0,,0.62,54.56
2010-02-01,78,59.0,False,0.59,46.019999999999996
2010-02-02,76,59.0,,0.59,44.839999999999996
2010-02-03,76,59.0,,0.59,44.839999999999996
2010-02-04,73,59.0,,0.59,43.07
2010-02-05,76,59.0,,0.59,44.839999999999996
2010-02-06,94,59.0,,0.59,55.459999999999994
2010-02-07,98,59.0,,0.59,57.82
2010-02-08,78,59.0,,0.59,46.019999999999996
2010-02-09,79,59.0,,0.59,46.61
2010-02-10,71,59.0,,0.59,41.89
2010-02-11,76,59.0,,0.59,44.839999999999996
2010-02-12,81,59.0,,0.59,47.79
2010-02-13,99,59.0,,0.59,58.41
2010-02-14,98,59.0,,0.59,57.82
2010-02-15,93,59.0,,0.59,54.87
2010-02-16,80,59.0,,0.59,47.199999999999996
2010-02-17,75,59.0,,0.59,44.25
2010-02-18,74,59.0,,0.59,43.66
2010-02-19,76,59.0,,0.59,44.839999999999996
2010-02-20,100,59.0,,0.59,59.0
2010-02-21,95,59.0,,0.59,56.05
2010-02-22,76,59.0,,0.59,44.839999999999996
2010-02-23,71,59.0,,0.59,41.89
2010-02-24,74,59.0,,0.59,43.66
2010-02-25,74,59.0,,0.59,43.66
2010-02-26,70,59.0,,0.59,41.3
2010-02-27,89,59.0,,0.59,52.51
2010-02-28,95,59.0,,0.59,56.05
2010-03-01,79,55.0,False,0.55,43.45
2010-03-02,76,55.0,,0.55,41.800000000000004
2010-03-03,75,55.0,,0.55,41.25
2010-03-04,78,55.0,,0.55,42.900000000000006
2010-03-05,80,55.0,,0.55,44.0
2010-03-06,95,55.0,,0.55,52.25000000000001
2010-03-07,100,55.0,,0.55,55.00000000000001
2010-03-08,82,55.0,,0.55,45.1
2010-03-09,77,55.0,,0.55,42.35
2010-03-10,76,55.0,,0.55,41.800000000000004
2010-03-11,76,55.0,,0.55,41.800000000000004
2010-03-12,74,55.0,,0.55,40.7
2010-03-13,94,55.0,,0.55,51.7
2010-03-14,97,55.0,,0.55,53.35
2010-03-15,79,55.0,,0.55,43.45
2010-03-16,78,55.0,,0.55,42.900000000000006
2010-03-17,77,55.0,,0.55,42.35
2010-03-18,73,55.0,,0.55,40.150000000000006
2010-03-19,78,55.0,,0.55,42.900000000000006
2010-03-20,95,55.0,,0.55,52.25000000000001
2010-03-21,94,55.0,,0.55,51.7
2010-03-22,79,55.0,,0.55,43.45
2010-03-23,73,55.0,,0.55,40.150000000000006
2010-03-24,73,55.0,,0.55,40.150000000000006
2010-03-25,74,55.0,,0.55,40.7
2010-03-26,78,55.0,,0.55,42.900000000000006
2010-03-27,92,55.0,,0.55,50.6
2010-03-28,95,55.0,,0.55,52.25000000000001
2010-03-29,79,55.0,,0.55,43.45
2010-03-30,78,55.0,,0.55,42.900000000000006
2010-03-31,75,55.0,,0.55,41.25
2010-04-01,80,57.0,False,0.57,45.599999999999994
2010-04-02,92,57.0,,0.57,52.44
2010-04-03,99,57.0,,0.57,56.42999999999999
2010-04-04,100,57.0,,0.57,56.99999999999999
2010-04-05,83,57.0,,0.57,47.309999999999995
