date,cancer_unscaled,cancer_monthly,isPartial,scale,cancer
2010-01-01,51,72.0,False,0.72,36.72
2010-01-02,54,72.0,,0.72,38.879999999999995
2010-01-03,55,72.0,,0.72,39.6
2010-01-04,73,72.0,,0.72,52.559999999999995
2010-01-05,77,72.0,,0.72,55.44
2010-01-06,78,72.0,,0.72,56.16
2010-01-07,79,72.0,,0.72,56.879999999999995
2010-01-08,100,72.0,,0.72,72.0
2010-01-09,59,72.0,,0.72,42.48
2010-01-10,63,72.0,,0.72,45.36
2010-01-11,75,72.0,,0.72,54.0
2010-01-12,81,72.0,,0.72,58.32
2010-01-13,86,72.0,,0.72,61.919999999999995
2010-01-14,86,72.0,,0.72,61.919999999999995
2010-01-15,78,72.0,,0.72,56.16
2010-01-16,62,72.0,,0.72,44.64
2010-01-17,57,72.0,,0.72,41.04
2010-01-18,80,72.0,,0.72,57.599999999999994
2010-01-19,81,72.0,,0.72,58.32
2010-01-20,81,72.0,,0.72,58.32
2010-01-21,83,72.0,,0.72,59.76
2010-01-22,76,72.0,,0.72,54.72
2010-01-23,65,72.0,,0.72,46.8
2010-01-24,68,72.0,,0.72,48.96
2010-01-25,76,72.0,,0.72,54.72
2010-01-26,80,72.0,,0.72,57.599999999999994
2010-01-27,78,72.0,,0.72,56.16
2010-01-28,83,72.0,,0.72,59.76
2010-01-29,75,72.0,,0.72,54.0
2010-01-30,61,72.0,,0.72,43.92
2010-01-31,59,72.0,,0.72,42.48
2010-02-01,84,75.0,False,0.75,63.0
2010-02-02,87,75.0,,0.75,65.25
2010-02-03,94,75.0,,0.75,70.5
2010-02-04,84,75.0,,0.75,63.0
2010-02-05,84,75.0,,0.75,63.0
2010-02-06,71,75.0,,0.75,53.25
2010-02-07,61,75.0,,0.75,45.75
2010-02-08,81,75.0,,0.75,60.75
2010-02-09,90,75.0,,0.75,67.5
2010-02-10,89,75.0,,0.75,66.75
2010-02-11,97,75.0,,0.75,72.75
2010-02-12,91,75.0,,0.75,68.25
2010-02-13,76,75.0,,0.75,57.0
2010-02-14,60,75.0,,0.75,45.0
2010-02-15,81,75.0,,0.75,60.75
2010-02-16,85,75.0,,0.75,63.75
2010-02-17,100,75.0,,0.75,75.0
2010-02-18,96,75.0,,0.75,72.0
2010-02-19,90,75.0,,0.75,67.5
2010-02-20,75,75.0,,0.75,56.25
2010-02-21,72,75.0,,0.75,54.0
2010-02-22,87,75.0,,0.75,65.25
2010-02-23,91,75.0,,0.75,68.25
2010-02-24,96,75.0,,0.75,72.0
2010-02-25,94,75.0,,0.75,70.5
2010-02-26,77,75.0,,0.75,57.75
2010-02-27,73,75.0,,0.75,54.75
2010-02-28,65,75.0,,0.75,48.75
2010-03-01,87,77.0,False,0.77,66.99
2010-03-02,89,77.0,,0.77,68.53
2010-03-03,100,77.0,,0.77,77.0
2010-03-04,93,77.0,,0.77,71.61
2010-03-05,85,77.0,,0.77,65.45
2010-03-06,68,77.0,,0.77,52.36
2010-03-07,70,77.0,,0.77,53.9
2010-03-08,92,77.0,,0.77,70.84
2010-03-09,90,77.0,,0.77,69.3
2010-03-10,95,77.0,,0.77,73.15
2010-03-11,89,77.0,,0.77,68.53
2010-03-12,83,77.0,,0.77,63.910000000000004
2010-03-13,65,77.0,,0.77,50.050000000000004
2010-03-14,65,77.0,,0.77,50.050000000000004
2010-03-15,82,77.0,,0.77,63.14
2010-03-16,86,77.0,,0.77,66.22
2010-03-17,82,77.0,,0.77,63.14
2010-03-18,87,77.0,,0.77,66.99
2010-03-19,81,77.0,,0.77,62.370000000000005
2010-03-20,66,77.0,,0.77,50.82
2010-03-21,67,77.0,,0.77,51.59
2010-03-22,95,77.0,,0.77,73.15
2010-03-23,91,77.0,,0.77,70.07000000000001
2010-03-24,90,77.0,,0.77,69.3
2010-03-25,93,77.0,,0.77,71.61
2010-03-26,89,77.0,,0.77,68.53
2010-03-27,71,77.0,,0.77,54.67
2010-03-28,68,77.0,,0.77,52.36
2010-03-29,87,77.0,,0.77,66.99
