date,car_unscaled,car_monthly,isPartial,scale,car
2010-01-01,93,62.0,False,0.62,57.66
2010-01-02,97,62.0,,0.62,60.14
2010-01-03,88,62.0,,0.62,54.56
2010-01-04,94,62.0,,0.62,58.28
2010-01-05,89,62.0,,0.62,55.18
2010-01-06,88,62.0,,0.62,54.56
2010-01-07,82,62.0,,0.62,50.839999999999996
2010-01-08,86,62.0,,0.62,53.32
2010-01-09,92,62.0,,0.62,57.04
2010-01-10,99,62.0,,0.62,61.38
2010-01-11,92,62.0,,0.62,57.04
2010-01-12,94,62.0,,0.62,58.28
2010-01-13,89,62.0,,0.62,55.18
2010-01-14,87,62.0,,0.62,53.94
2010-01-15,86,62.0,,0.62,53.32
2010-01-16,94,62.0,,0.62,58.28
2010-01-17,95,62.0,,0.62,58.9
2010-01-18,91,62.0,,0.62,56.42
2010-01-19,88,62.0,,0.62,54.56
2010-01-20,88,62.0,,0.62,54.56
2010-01-21,89,62.0,,0.62,55.18
2010-01-22,89,62.0,,0.62,55.18
2010-01-23,94,62.0,,0.62,58.28
2010-01-24,96,62.0,,0.62,59.519999999999996
2010-01-25,93,62.0,,0.62,57.66
2010-01-26,88,62.0,,0.62,54.56
2010-01-27,85,62.0,,0.62,52.7
2010-01-28,89,62.0,,0.62,55.18
2010-01-29,90,62.0,,0.62,55.8
2010-01-30,99,62.0,,0.62,61.38
2010-01-31,100,62.0,,0.62,62.0
2010-02-01,94,61.0,False,0.61,57.339999999999996
2010-02-02,86,61.0,,0.61,52.46
2010-02-03,86,61.0,,0.61,52.46
2010-02-04,87,61.0,,0.61,53.07
2010-02-05,90,61.0,,0.61,54.9
2010-02-06,92,61.0,,0.61,56.12
2010-02-07,96,61.0,,0.61,58.56
2010-02-08,91,61.0,,0.61,55.51
2010-02-09,86,61.0,,0.61,52.46
2010-02-10,85,61.0,,0.61,51.85
2010-02-11,89,61.0,,0.61,54.29
2010-02-12,90,61.0,,0.61,54.9
2010-02-13,92,61.0,,0.61,56.12
2010-02-14,89,61.0,,0.61,54.29
2010-02-15,97,61.0,,0.61,59.17
2010-02-16,96,61.0,,0.61,58.56
2010-02-17,91,61.0,,0.61,55.51
2010-02-18,96,61.0,,0.61,58.56
2010-02-19,91,61.0,,0.61,55.51
2010-02-20,93,61.0,,0.61,56.73
2010-02-21,100,61.0,,0.61,61.0
2010-02-22,99,61.0,,0.61,60.39
2010-02-23,91,61.0,,0.61,55.51
2010-02-24,87,61.0,,0.61,53.07
2010-02-25,90,61.0,,0.61,54.9
2010-02-26,85,61.0,,0.61,51.85
2010-02-27,96,61.0,,0.61,58.56
2010-02-28,99,61.0,,0.61,60.39
2010-03-01,91,65.0,False,0.65,59.15
2010-03-02,91,65.0,,0.65,59.15
2010-03-03,87,65.0,,0.65,56.550000000000004
2010-03-04,88,65.0,,0.65,57.2
2010-03-05,89,65.0,,0.65,57.85
2010-03-06,97,65.0,,0.65,63.050000000000004
2010-03-07,96,65.0,,0.65,62.400000000000006
2010-03-08,91,65.0,,0.65,59.15
2010-03-09,90,65.0,,0.65,58.5
2010-03-10,90,65.0,,0.65,58.5
2010-03-11,88,65.0,,0.65,57.2
2010-03-12,91,65.0,,0.65,59.15
2010-03-13,100,65.0,,0.65,65.0
2010-03-14,93,65.0,,0.65,60.45
2010-03-15,94,65.0,,0.65,61.1
2010-03-16,91,65.0,,0.65,59.15
2010-03-17,90,65.0,,0.65,58.5
2010-03-18,92,65.0,,0.65,59.800000000000004
2010-03-19,93,65.0,,0.65,60.45
2010-03-20,98,65.0,,0.65,63.7
2010-03-21,96,65.0,,0.65,62.400000000000006
2010-03-22,96,65.0,,0.65,62.400000000000006
2010-03-23,91,65.0,,0.65,59.15
2010-03-24,88,65.0,,0.65,57.2
2010-03-25,89,65.0,,0.65,57.85
2010-03-26,95,65.0,,0.65,61.75
2010-03-27,100,65.0,,0.65,65.0
2010-03-28,94,65.0,,0.65,61.1
2010-03-29,92,65.0,,0.65,59.800000000000004
2010-03-30,90,65.0,,0.65,58.5
2010-03-31,90,65.0,,0.65,58.5
2010-04-01,97,63.0,False,0.63,61.11
2010-04-02,100,63.0,,0.63,63.0
2010-04-03,96,63.0,,0.63,60.480000000000004
2010-04-04,92,63.0,,0.63,57.96
2010-04-05,96,63.0,,0.63,60.480000000000004
2010-04-06,94,63.0,,0.63,59.22
2010-04-07,95,63.0,,0.63,59.85
2010-04-08,91,63.0,,0.63,57.33
2010-04-09,94,63.0,,0.63,59.22
2010-04-10,95,63.0,,0.63,59.85
2010-04-11,93,63.0,,0.63,58.59
2010-04-12,92,63.0,,0.63,57.96
2010-04-13,93,63.0,,0.63,58.59
2010-04-14,91,63.0,,0.63,57.33
2010-04-15,94,63.0,,0.63,59.22
2010-04-16,91,63.0,,0.63,57.33
2010-04-17,100,63.0,,0.63,63.0
2010-04-18,95,63.0,,0.63,59.85
2010-04-19,97,63.0,,0.63,61.11
2010-04-20,91,63.0,,0.63,57.33
2010-04-21,90,63.0,,0.63,56.7
2010-04-22,87,63.0,,0.63,54.81
2010-04-23,92,63.0,,0.63,57.96
2010-04-24,93,63.0,,0.63,58.59
2010-04-25,97,63.0,,0.63,61.11
2010-04-26,96,63.0,,0.63,60.480000000000004
2010-04-27,93,63.0,,0.63,58.59
2010-04-28,90,63.0,,0.63,56.7
2010-04-29,90,63.0,,0.63,56.7
2010-04-30,92,63.0,,0.63,57.96
2010-05-01,89,66.0,False,0.66,58.74
2010-05-02,96,66.0,,0.66,63.36
2010-05-03,92,66.0,,0.66,60.720000000000006
2010-05-04,86,66.0,,0.66,56.760000000000005
2010-05-05,90,66.0,,0.66,59.400000000000006
2010-05-06,89,66.0,,0.66,58.74
2010-05-07,88,66.0,,0.66,58.080000000000005
2010-05-08,88,66.0,,0.66,58.080000000000005
2010-05-09,85,66.0,,0.66,56.1
2010-05-10,89,66.0,,0.66,58.74
2010-05-11,84,66.0,,0.66,55.440000000000005
2010-05-12,89,66.0,,0.66,58.74
2010-05-13,80,66.0,,0.66,52.800000000000004
2010-05-14,90,66.0,,0.66,59.400000000000006
2010-05-15,91,66.0,,0.66,60.06
2010-05-16,92,66.0,,0.66,60.720000000000006
2010-05-17,94,66.0,,0.66,62.040000000000006
2010-05-18,87,66.0,,0.66,57.42
2010-05-19,85,66.0,,0.66,56.1
2010-05-20,87,66.0,,0.66,57.42
2010-05-21,90,66.0,,0.66,59.400000000000006
2010-05-22,95,66.0,,0.66,62.7
2010-05-23,91,66.0,,0.66,60.06
2010-05-24,95,66.0,,0.66,62.7
2010-05-25,91,66.0,,0.66,60.06
2010-05-26,89,66.0,,0.66,58.74
2010-05-27,87,66.0,,0.66,57.42
2010-05-28,89,66.0,,0.66,58.74
2010-05-29,100,66.0,,0.66,66.0
