date,cash_unscaled,cash_monthly,isPartial,scale,cash
2010-01-01,86,41.0,False,0.41,35.26
2010-01-02,82,41.0,,0.41,33.62
2010-01-03,80,41.0,,0.41,32.8
2010-01-04,93,41.0,,0.41,38.129999999999995
2010-01-05,79,41.0,,0.41,32.39
2010-01-06,91,41.0,,0.41,37.309999999999995
2010-01-07,87,41.0,,0.41,35.669999999999995
2010-01-08,79,41.0,,0.41,32.39
2010-01-09,94,41.0,,0.41,38.54
2010-01-10,81,41.0,,0.41,33.21
2010-01-11,86,41.0,,0.41,35.26
2010-01-12,100,41.0,,0.41,41.0
2010-01-13,99,41.0,,0.41,40.589999999999996
2010-01-14,77,41.0,,0.41,31.569999999999997
2010-01-15,84,41.0,,0.41,34.44
2010-01-16,81,41.0,,0.41,33.21
2010-01-17,77,41.0,,0.41,31.569999999999997
2010-01-18,82,41.0,,0.41,33.62
2010-01-19,83,41.0,,0.41,34.03
2010-01-20,78,41.0,,0.41,31.979999999999997
2010-01-21,82,41.0,,0.41,33.62
2010-01-22,86,41.0,,0.41,35.26
2010-01-23,93,41.0,,0.41,38.129999999999995
2010-01-24,87,41.0,,0.41,35.669999999999995
2010-01-25,86,41.0,,0.41,35.26
2010-01-26,84,41.0,,0.41,34.44
2010-01-27,81,41.0,,0.41,33.21
2010-01-28,85,41.0,,0.41,34.85
2010-01-29,86,41.0,,0.41,35.26
2010-01-30,83,41.0,,0.41,34.03
2010-01-31,76,41.0,,0.41,31.159999999999997
2010-02-01,90,41.0,False,0.41,36.9
2010-02-02,75,41.0,,0.41,30.749999999999996
2010-02-03,91,41.0,,0.41,37.309999999999995
2010-02-04,78,41.0,,0.41,31.979999999999997
2010-02-05,73,41.0,,0.41,29.93
2010-02-06,88,41.0,,0.41,36.08
2010-02-07,71,41.0,,0.41,29.11
2010-02-08,95,41.0,,0.41,38.949999999999996
2010-02-09,77,41.0,,0.41,31.569999999999997
2010-02-10,91,41.0,,0.41,37.309999999999995
2010-02-11,78,41.0,,0.41,31.979999999999997
2010-02-12,89,41.0,,0.41,36.489999999999995
2010-02-13,91,41.0,,0.41,37.309999999999995
2010-02-14,74,41.0,,0.41,30.34
2010-02-15,86,41.0,,0.41,35.26
2010-02-16,87,41.0,,0.41,35.669999999999995
2010-02-17,79,41.0,,0.41,32.39
2010-02-18,77,41.0,,0.41,31.569999999999997
2010-02-19,93,41.0,,0.41,38.129999999999995
2010-02-20,85,41.0,,0.41,34.85
2010-02-21,82,41.0,,0.41,33.62
2010-02-22,80,41.0,,0.41,32.8
2010-02-23,77,41.0,,0.41,31.569999999999997
2010-02-24,85,41.0,,0.41,34.85
2010-02-25,85,41.0,,0.41,34.85
2010-02-26,100,41.0,,0.41,41.0
2010-02-27,90,41.0,,0.41,36.9
2010-02-28,79,41.0,,0.41,32.39
2010-03-01,100,39.0,False,0.39,39.0
2010-03-02,98,39.0,,0.39,38.22
2010-03-03,91,39.0,,0.39,35.49
2010-03-04,100,39.0,,0.39,39.0
2010-03-05,95,39.0,,0.39,37.050000000000004
2010-03-06,81,39.0,,0.39,31.59
2010-03-07,84,39.0,,0.39,32.76
2010-03-08,89,39.0,,0.39,34.71
2010-03-09,92,39.0,,0.39,35.88
2010-03-10,87,39.0,,0.39,33.93
2010-03-11,86,39.0,,0.39,33.54
2010-03-12,78,39.0,,0.39,30.42
2010-03-13,95,39.0,,0.39,37.050000000000004
2010-03-14,78,39.0,,0.39,30.42
2010-03-15,88,39.0,,0.39,34.32
2010-03-16,92,39.0,,0.39,35.88
