date,chance_unscaled,chance_monthly,isPartial,scale,chance
2010-01-01,81,44.0,False,0.44,35.64
2010-01-02,80,44.0,,0.44,35.2
2010-01-03,70,44.0,,0.44,30.8
2010-01-04,49,44.0,,0.44,21.56
2010-01-05,62,44.0,,0.44,27.28
2010-01-06,75,44.0,,0.44,33.0
2010-01-07,79,44.0,,0.44,34.76
2010-01-08,69,44.0,,0.44,30.36
2010-01-09,97,44.0,,0.44,42.68
2010-01-10,83,44.0,,0.44,36.52
2010-01-11,60,44.0,,0.44,26.4
2010-01-12,71,44.0,,0.44,31.24
2010-01-13,62,44.0,,0.44,27.28
2010-01-14,53,44.0,,0.44,23.32
2010-01-15,68,44.0,,0.44,29.92
2010-01-16,100,44.0,,0.44,44.0
2010-01-17,81,44.0,,0.44,35.64
2010-01-18,83,44.0,,0.44,36.52
2010-01-19,59,44.0,,0.44,25.96
2010-01-20,61,44.0,,0.44,26.84
2010-01-21,55,44.0,,0.44,24.2
2010-01-22,67,44.0,,0.44,29.48
2010-01-23,82,44.0,,0.44,36.08
2010-01-24,75,44.0,,0.44,33.0
2010-01-25,58,44.0,,0.44,25.52
2010-01-26,47,44.0,,0.44,20.68
2010-01-27,49,44.0,,0.44,21.56
2010-01-28,57,44.0,,0.44,25.080000000000002
2010-01-29,60,44.0,,0.44,26.4
2010-01-30,70,44.0,,0.44,30.8
2010-01-31,68,44.0,,0.44,29.92
2010-02-01,81,37.0,False,0.37,29.97
2010-02-02,76,37.0,,0.37,28.12
2010-02-03,70,37.0,,0.37,25.9
2010-02-04,75,37.0,,0.37,27.75
2010-02-05,78,37.0,,0.37,28.86
2010-02-06,98,37.0,,0.37,36.26
2010-02-07,99,37.0,,0.37,36.63
2010-02-08,71,37.0,,0.37,26.27
2010-02-09,83,37.0,,0.37,30.71
2010-02-10,83,37.0,,0.37,30.71
2010-02-11,78,37.0,,0.37,28.86
2010-02-12,79,37.0,,0.37,29.23
2010-02-13,87,37.0,,0.37,32.19
2010-02-14,91,37.0,,0.37,33.67
2010-02-15,89,37.0,,0.37,32.93
2010-02-16,80,37.0,,0.37,29.6
2010-02-17,74,37.0,,0.37,27.38
2010-02-18,69,37.0,,0.37,25.53
2010-02-19,66,37.0,,0.37,24.419999999999998
2010-02-20,91,37.0,,0.37,33.67
2010-02-21,74,37.0,,0.37,27.38
2010-02-22,70,37.0,,0.37,25.9
2010-02-23,70,37.0,,0.37,25.9
2010-02-24,72,37.0,,0.37,26.64
2010-02-25,81,37.0,,0.37,29.97
2010-02-26,78,37.0,,0.37,28.86
2010-02-27,100,37.0,,0.37,37.0
2010-02-28,82,37.0,,0.37,30.34
2010-03-01,67,36.0,False,0.36,24.119999999999997
2010-03-02,95,36.0,,0.36,34.199999999999996
2010-03-03,68,36.0,,0.36,24.48
2010-03-04,73,36.0,,0.36,26.279999999999998
2010-03-05,80,36.0,,0.36,28.799999999999997
2010-03-06,78,36.0,,0.36,28.08
2010-03-07,100,36.0,,0.36,36.0
2010-03-08,68,36.0,,0.36,24.48
2010-03-09,86,36.0,,0.36,30.959999999999997
2010-03-10,62,36.0,,0.36,22.32
2010-03-11,77,36.0,,0.36,27.72
2010-03-12,63,36.0,,0.36,22.68
2010-03-13,68,36.0,,0.36,24.48
2010-03-14,97,36.0,,0.36,34.92
2010-03-15,75,36.0,,0.36,27.0
2010-03-16,63,36.0,,0.36,22.68
2010-03-17,63,36.0,,0.36,22.68
2010-03-18,42,36.0,,0.36,15.12
2010-03-19,69,36.0,,0.36,24.84
2010-03-20,72,36.0,,0.36,25.919999999999998
2010-03-21,85,36.0,,0.36,30.599999999999998
2010-03-22,79,36.0,,0.36,28.439999999999998
2010-03-23,67,36.0,,0.36,24.119999999999997
2010-03-24,67,36.0,,0.36,24.119999999999997
2010-03-25,79,36.0,,0.36,28.439999999999998
2010-03-26,63,36.0,,0.36,22.68
2010-03-27,85,36.0,,0.36,30.599999999999998
2010-03-28,78,36.0,,0.36,28.08
2010-03-29,62,36.0,,0.36,22.32
2010-03-30,64,36.0,,0.36,23.04
2010-03-31,64,36.0,,0.36,23.04
2010-04-01,65,36.0,False,0.36,23.4
2010-04-02,65,36.0,,0.36,23.4
2010-04-03,80,36.0,,0.36,28.799999999999997
2010-04-04,75,36.0,,0.36,27.0
2010-04-05,66,36.0,,0.36,23.759999999999998
2010-04-06,78,36.0,,0.36,28.08
2010-04-07,68,36.0,,0.36,24.48
2010-04-08,62,36.0,,0.36,22.32
2010-04-09,77,36.0,,0.36,27.72
2010-04-10,72,36.0,,0.36,25.919999999999998
2010-04-11,64,36.0,,0.36,23.04
2010-04-12,91,36.0,,0.36,32.76
2010-04-13,61,36.0,,0.36,21.96
2010-04-14,65,36.0,,0.36,23.4
2010-04-15,69,36.0,,0.36,24.84
2010-04-16,75,36.0,,0.36,27.0
2010-04-17,90,36.0,,0.36,32.4
2010-04-18,100,36.0,,0.36,36.0
2010-04-19,79,36.0,,0.36,28.439999999999998
2010-04-20,77,36.0,,0.36,27.72
2010-04-21,53,36.0,,0.36,19.08
2010-04-22,66,36.0,,0.36,23.759999999999998
2010-04-23,62,36.0,,0.36,22.32
2010-04-24,71,36.0,,0.36,25.56
2010-04-25,72,36.0,,0.36,25.919999999999998
2010-04-26,68,36.0,,0.36,24.48
2010-04-27,59,36.0,,0.36,21.24
2010-04-28,64,36.0,,0.36,23.04
2010-04-29,63,36.0,,0.36,22.68
2010-04-30,69,36.0,,0.36,24.84
2010-05-01,25,54.0,False,0.54,13.5
2010-05-02,26,54.0,,0.54,14.040000000000001
2010-05-03,29,54.0,,0.54,15.66
2010-05-04,23,54.0,,0.54,12.420000000000002
2010-05-05,23,54.0,,0.54,12.420000000000002
2010-05-06,28,54.0,,0.54,15.120000000000001
2010-05-07,23,54.0,,0.54,12.420000000000002
2010-05-08,22,54.0,,0.54,11.88
2010-05-09,34,54.0,,0.54,18.36
2010-05-10,25,54.0,,0.54,13.5
2010-05-11,22,54.0,,0.54,11.88
2010-05-12,56,54.0,,0.54,30.240000000000002
2010-05-13,100,54.0,,0.54,54.0
2010-05-14,91,54.0,,0.54,49.14
2010-05-15,73,54.0,,0.54,39.42
2010-05-16,67,54.0,,0.54,36.18
2010-05-17,46,54.0,,0.54,24.840000000000003
2010-05-18,41,54.0,,0.54,22.14
2010-05-19,41,54.0,,0.54,22.14
2010-05-20,37,54.0,,0.54,19.98
2010-05-21,37,54.0,,0.54,19.98
2010-05-22,39,54.0,,0.54,21.060000000000002
2010-05-23,36,54.0,,0.54,19.44
2010-05-24,35,54.0,,0.54,18.900000000000002
2010-05-25,33,54.0,,0.54,17.82
2010-05-26,47,54.0,,0.54,25.380000000000003
2010-05-27,48,54.0,,0.54,25.92
2010-05-28,40,54.0,,0.54,21.6
2010-05-29,39,54.0,,0.54,21.060000000000002
2010-05-30,41,54.0,,0.54,22.14
2010-05-31,38,54.0,,0.54,20.520000000000003
2010-06-01,76,40.0,False,0.4,30.400000000000002
2010-06-02,70,40.0,,0.4,28.0
2010-06-03,74,40.0,,0.4,29.6
2010-06-04,69,40.0,,0.4,27.6
2010-06-05,98,40.0,,0.4,39.2
2010-06-06,87,40.0,,0.4,34.800000000000004
2010-06-07,74,40.0,,0.4,29.6
2010-06-08,76,40.0,,0.4,30.400000000000002
2010-06-09,81,40.0,,0.4,32.4
2010-06-10,58,40.0,,0.4,23.200000000000003
2010-06-11,68,40.0,,0.4,27.200000000000003
2010-06-12,83,40.0,,0.4,33.2
2010-06-13,100,40.0,,0.4,40.0
2010-06-14,95,40.0,,0.4,38.0
2010-06-15,67,40.0,,0.4,26.8
2010-06-16,77,40.0,,0.4,30.8
2010-06-17,72,40.0,,0.4,28.8
2010-06-18,56,40.0,,0.4,22.400000000000002
2010-06-19,85,40.0,,0.4,34.0
2010-06-20,99,40.0,,0.4,39.6
2010-06-21,79,40.0,,0.4,31.6
2010-06-22,68,40.0,,0.4,27.200000000000003
2010-06-23,78,40.0,,0.4,31.200000000000003
2010-06-24,72,40.0,,0.4,28.8
2010-06-25,54,40.0,,0.4,21.6
2010-06-26,50,40.0,,0.4,20.0
2010-06-27,95,40.0,,0.4,38.0
2010-06-28,73,40.0,,0.4,29.200000000000003
2010-06-29,72,40.0,,0.4,28.8
2010-06-30,77,40.0,,0.4,30.8
2010-07-01,63,39.0,False,0.39,24.57
2010-07-02,78,39.0,,0.39,30.42
2010-07-03,85,39.0,,0.39,33.15
2010-07-04,65,39.0,,0.39,25.35
2010-07-05,82,39.0,,0.39,31.98
2010-07-06,76,39.0,,0.39,29.64
2010-07-07,82,39.0,,0.39,31.98
2010-07-08,59,39.0,,0.39,23.01
2010-07-09,73,39.0,,0.39,28.470000000000002
2010-07-10,71,39.0,,0.39,27.69
2010-07-11,93,39.0,,0.39,36.27
2010-07-12,73,39.0,,0.39,28.470000000000002
2010-07-13,83,39.0,,0.39,32.370000000000005
2010-07-14,73,39.0,,0.39,28.470000000000002
2010-07-15,73,39.0,,0.39,28.470000000000002
2010-07-16,71,39.0,,0.39,27.69
2010-07-17,84,39.0,,0.39,32.76
2010-07-18,91,39.0,,0.39,35.49
2010-07-19,100,39.0,,0.39,39.0
2010-07-20,81,39.0,,0.39,31.59
2010-07-21,69,39.0,,0.39,26.91
2010-07-22,84,39.0,,0.39,32.76
2010-07-23,70,39.0,,0.39,27.3
2010-07-24,96,39.0,,0.39,37.44
2010-07-25,77,39.0,,0.39,30.03
2010-07-26,72,39.0,,0.39,28.080000000000002
2010-07-27,94,39.0,,0.39,36.660000000000004
2010-07-28,73,39.0,,0.39,28.470000000000002
2010-07-29,76,39.0,,0.39,29.64
2010-07-30,71,39.0,,0.39,27.69
2010-07-31,71,39.0,,0.39,27.69
2010-08-01,100,37.0,False,0.37,37.0
2010-08-02,72,37.0,,0.37,26.64
2010-08-03,57,37.0,,0.37,21.09
2010-08-04,54,37.0,,0.37,19.98
2010-08-05,67,37.0,,0.37,24.79
2010-08-06,56,37.0,,0.37,20.72
2010-08-07,83,37.0,,0.37,30.71
2010-08-08,84,37.0,,0.37,31.08
2010-08-09,65,37.0,,0.37,24.05
2010-08-10,65,37.0,,0.37,24.05
