date,color_unscaled,color_monthly,isPartial,scale,color
2010-01-01,41,63.0,False,0.63,25.830000000000002
2010-01-02,44,63.0,,0.63,27.72
2010-01-03,46,63.0,,0.63,28.98
2010-01-04,41,63.0,,0.63,25.830000000000002
2010-01-05,43,63.0,,0.63,27.09
2010-01-06,45,63.0,,0.63,28.35
2010-01-07,67,63.0,,0.63,42.21
2010-01-08,100,63.0,,0.63,63.0
2010-01-09,56,63.0,,0.63,35.28
2010-01-10,49,63.0,,0.63,30.87
2010-01-11,47,63.0,,0.63,29.61
2010-01-12,48,63.0,,0.63,30.240000000000002
2010-01-13,46,63.0,,0.63,28.98
2010-01-14,46,63.0,,0.63,28.98
2010-01-15,45,63.0,,0.63,28.35
2010-01-16,46,63.0,,0.63,28.98
2010-01-17,48,63.0,,0.63,30.240000000000002
2010-01-18,47,63.0,,0.63,29.61
2010-01-19,48,63.0,,0.63,30.240000000000002
2010-01-20,46,63.0,,0.63,28.98
2010-01-21,48,63.0,,0.63,30.240000000000002
2010-01-22,49,63.0,,0.63,30.87
2010-01-23,46,63.0,,0.63,28.98
2010-01-24,49,63.0,,0.63,30.87
2010-01-25,47,63.0,,0.63,29.61
2010-01-26,50,63.0,,0.63,31.5
2010-01-27,50,63.0,,0.63,31.5
2010-01-28,48,63.0,,0.63,30.240000000000002
2010-01-29,48,63.0,,0.63,30.240000000000002
2010-01-30,46,63.0,,0.63,28.98
2010-01-31,48,63.0,,0.63,30.240000000000002
2010-02-01,80,65.0,False,0.65,52.0
2010-02-02,91,65.0,,0.65,59.15
2010-02-03,93,65.0,,0.65,60.45
2010-02-04,95,65.0,,0.65,61.75
2010-02-05,85,65.0,,0.65,55.25
2010-02-06,78,65.0,,0.65,50.7
2010-02-07,90,65.0,,0.65,58.5
2010-02-08,91,65.0,,0.65,59.15
2010-02-09,100,65.0,,0.65,65.0
2010-02-10,86,65.0,,0.65,55.9
2010-02-11,93,65.0,,0.65,60.45
2010-02-12,89,65.0,,0.65,57.85
2010-02-13,85,65.0,,0.65,55.25
2010-02-14,81,65.0,,0.65,52.65
2010-02-15,87,65.0,,0.65,56.550000000000004
2010-02-16,88,65.0,,0.65,57.2
2010-02-17,90,65.0,,0.65,58.5
2010-02-18,89,65.0,,0.65,57.85
2010-02-19,92,65.0,,0.65,59.800000000000004
2010-02-20,75,65.0,,0.65,48.75
2010-02-21,82,65.0,,0.65,53.300000000000004
2010-02-22,88,65.0,,0.65,57.2
2010-02-23,86,65.0,,0.65,55.9
2010-02-24,89,65.0,,0.65,57.85
2010-02-25,91,65.0,,0.65,59.15
2010-02-26,88,65.0,,0.65,57.2
2010-02-27,83,65.0,,0.65,53.95
2010-02-28,85,65.0,,0.65,55.25
2010-03-01,89,66.0,False,0.66,58.74
2010-03-02,90,66.0,,0.66,59.400000000000006
2010-03-03,91,66.0,,0.66,60.06
2010-03-04,92,66.0,,0.66,60.720000000000006
2010-03-05,86,66.0,,0.66,56.760000000000005
2010-03-06,84,66.0,,0.66,55.440000000000005
2010-03-07,80,66.0,,0.66,52.800000000000004
2010-03-08,89,66.0,,0.66,58.74
2010-03-09,84,66.0,,0.66,55.440000000000005
2010-03-10,85,66.0,,0.66,56.1
2010-03-11,93,66.0,,0.66,61.38
2010-03-12,84,66.0,,0.66,55.440000000000005
2010-03-13,86,66.0,,0.66,56.760000000000005
2010-03-14,88,66.0,,0.66,58.080000000000005
2010-03-15,81,66.0,,0.66,53.46
2010-03-16,93,66.0,,0.66,61.38
2010-03-17,100,66.0,,0.66,66.0
2010-03-18,91,66.0,,0.66,60.06
2010-03-19,91,66.0,,0.66,60.06
2010-03-20,86,66.0,,0.66,56.760000000000005
2010-03-21,94,66.0,,0.66,62.040000000000006
2010-03-22,87,66.0,,0.66,57.42
2010-03-23,96,66.0,,0.66,63.36
2010-03-24,97,66.0,,0.66,64.02
2010-03-25,90,66.0,,0.66,59.400000000000006
2010-03-26,85,66.0,,0.66,56.1
2010-03-27,85,66.0,,0.66,56.1
2010-03-28,87,66.0,,0.66,57.42
2010-03-29,86,66.0,,0.66,56.760000000000005
2010-03-30,96,66.0,,0.66,63.36
2010-03-31,87,66.0,,0.66,57.42
2010-04-01,96,62.0,False,0.62,59.519999999999996
2010-04-02,90,62.0,,0.62,55.8
2010-04-03,86,62.0,,0.62,53.32
2010-04-04,92,62.0,,0.62,57.04
2010-04-05,89,62.0,,0.62,55.18
2010-04-06,93,62.0,,0.62,57.66
2010-04-07,100,62.0,,0.62,62.0
2010-04-08,98,62.0,,0.62,60.76
2010-04-09,86,62.0,,0.62,53.32
2010-04-10,79,62.0,,0.62,48.98
2010-04-11,85,62.0,,0.62,52.7
2010-04-12,91,62.0,,0.62,56.42
2010-04-13,98,62.0,,0.62,60.76
2010-04-14,91,62.0,,0.62,56.42
2010-04-15,87,62.0,,0.62,53.94
2010-04-16,90,62.0,,0.62,55.8
2010-04-17,79,62.0,,0.62,48.98
2010-04-18,88,62.0,,0.62,54.56
2010-04-19,92,62.0,,0.62,57.04
2010-04-20,99,62.0,,0.62,61.38
2010-04-21,94,62.0,,0.62,58.28
2010-04-22,92,62.0,,0.62,57.04
2010-04-23,89,62.0,,0.62,55.18
2010-04-24,81,62.0,,0.62,50.22
2010-04-25,93,62.0,,0.62,57.66
2010-04-26,88,62.0,,0.62,54.56
2010-04-27,91,62.0,,0.62,56.42
2010-04-28,93,62.0,,0.62,57.66
2010-04-29,95,62.0,,0.62,58.9
2010-04-30,90,62.0,,0.62,55.8
2010-05-01,78,60.0,False,0.6,46.8
2010-05-02,91,60.0,,0.6,54.6
2010-05-03,89,60.0,,0.6,53.4
2010-05-04,94,60.0,,0.6,56.4
2010-05-05,98,60.0,,0.6,58.8
2010-05-06,91,60.0,,0.6,54.6
2010-05-07,93,60.0,,0.6,55.8
2010-05-08,85,60.0,,0.6,51.0
2010-05-09,87,60.0,,0.6,52.199999999999996
2010-05-10,92,60.0,,0.6,55.199999999999996
2010-05-11,92,60.0,,0.6,55.199999999999996
2010-05-12,93,60.0,,0.6,55.8
2010-05-13,90,60.0,,0.6,54.0
2010-05-14,90,60.0,,0.6,54.0
2010-05-15,86,60.0,,0.6,51.6
2010-05-16,95,60.0,,0.6,57.0
2010-05-17,91,60.0,,0.6,54.6
2010-05-18,100,60.0,,0.6,60.0
2010-05-19,92,60.0,,0.6,55.199999999999996
2010-05-20,94,60.0,,0.6,56.4
2010-05-21,90,60.0,,0.6,54.0
2010-05-22,85,60.0,,0.6,51.0
2010-05-23,85,60.0,,0.6,51.0
2010-05-24,87,60.0,,0.6,52.199999999999996
2010-05-25,91,60.0,,0.6,54.6
2010-05-26,88,60.0,,0.6,52.8
2010-05-27,86,60.0,,0.6,51.6
2010-05-28,83,60.0,,0.6,49.8
2010-05-29,75,60.0,,0.6,45.0
2010-05-30,68,60.0,,0.6,40.8
2010-05-31,84,60.0,,0.6,50.4
2010-06-01,97,56.0,False,0.56,54.32000000000001
2010-06-02,99,56.0,,0.56,55.440000000000005
2010-06-03,99,56.0,,0.56,55.440000000000005
2010-06-04,99,56.0,,0.56,55.440000000000005
2010-06-05,86,56.0,,0.56,48.160000000000004
2010-06-06,97,56.0,,0.56,54.32000000000001
2010-06-07,99,56.0,,0.56,55.440000000000005
2010-06-08,99,56.0,,0.56,55.440000000000005
