date,conflict_unscaled,conflict_monthly,isPartial,scale,conflict
2010-01-01,38,62.0,False,0.62,23.56
2010-01-02,38,62.0,,0.62,23.56
2010-01-03,67,62.0,,0.62,41.54
2010-01-04,66,62.0,,0.62,40.92
2010-01-05,76,62.0,,0.62,47.12
2010-01-06,83,62.0,,0.62,51.46
2010-01-07,78,62.0,,0.62,48.36
2010-01-08,75,62.0,,0.62,46.5
2010-01-09,44,62.0,,0.62,27.28
2010-01-10,66,62.0,,0.62,40.92
2010-01-11,100,62.0,,0.62,62.0
2010-01-12,83,62.0,,0.62,51.46
2010-01-13,90,62.0,,0.62,55.8
2010-01-14,69,62.0,,0.62,42.78
2010-01-15,60,62.0,,0.62,37.2
2010-01-16,42,62.0,,0.62,26.04
2010-01-17,56,62.0,,0.62,34.72
2010-01-18,52,62.0,,0.62,32.24
2010-01-19,89,62.0,,0.62,55.18
2010-01-20,82,62.0,,0.62,50.839999999999996
2010-01-21,85,62.0,,0.62,52.7
2010-01-22,90,62.0,,0.62,55.8
2010-01-23,61,62.0,,0.62,37.82
2010-01-24,76,62.0,,0.62,47.12
2010-01-25,75,62.0,,0.62,46.5
2010-01-26,83,62.0,,0.62,51.46
2010-01-27,90,62.0,,0.62,55.8
2010-01-28,70,62.0,,0.62,43.4
2010-01-29,76,62.0,,0.62,47.12
2010-01-30,44,62.0,,0.62,27.28
2010-01-31,83,62.0,,0.62,51.46
2010-02-01,91,69.0,False,0.69,62.78999999999999
2010-02-02,61,69.0,,0.69,42.089999999999996
2010-02-03,69,69.0,,0.69,47.61
2010-02-04,77,69.0,,0.69,53.129999999999995
2010-02-05,85,69.0,,0.69,58.65
2010-02-06,49,69.0,,0.69,33.809999999999995
2010-02-07,73,69.0,,0.69,50.37
2010-02-08,68,69.0,,0.69,46.919999999999995
2010-02-09,80,69.0,,0.69,55.199999999999996
2010-02-10,51,69.0,,0.69,35.19
2010-02-11,83,69.0,,0.69,57.269999999999996
2010-02-12,59,69.0,,0.69,40.709999999999994
2010-02-13,27,69.0,,0.69,18.63
2010-02-14,53,69.0,,0.69,36.57
2010-02-15,82,69.0,,0.69,56.58
2010-02-16,70,69.0,,0.69,48.3
2010-02-17,78,69.0,,0.69,53.81999999999999
2010-02-18,83,69.0,,0.69,57.269999999999996
2010-02-19,52,69.0,,0.69,35.879999999999995
2010-02-20,39,69.0,,0.69,26.909999999999997
2010-02-21,79,69.0,,0.69,54.51
2010-02-22,98,69.0,,0.69,67.61999999999999
2010-02-23,95,69.0,,0.69,65.55
2010-02-24,100,69.0,,0.69,69.0
2010-02-25,62,69.0,,0.69,42.779999999999994
2010-02-26,80,69.0,,0.69,55.199999999999996
2010-02-27,47,69.0,,0.69,32.43
2010-02-28,64,69.0,,0.69,44.16
2010-03-01,78,74.0,False,0.74,57.72
2010-03-02,71,74.0,,0.74,52.54
2010-03-03,72,74.0,,0.74,53.28
2010-03-04,78,74.0,,0.74,57.72
2010-03-05,79,74.0,,0.74,58.46
2010-03-06,60,74.0,,0.74,44.4
2010-03-07,60,74.0,,0.74,44.4
2010-03-08,78,74.0,,0.74,57.72
2010-03-09,63,74.0,,0.74,46.62
2010-03-10,78,74.0,,0.74,57.72
2010-03-11,91,74.0,,0.74,67.34
2010-03-12,66,74.0,,0.74,48.839999999999996
2010-03-13,51,74.0,,0.74,37.74
2010-03-14,80,74.0,,0.74,59.2
2010-03-15,77,74.0,,0.74,56.98
2010-03-16,72,74.0,,0.74,53.28
2010-03-17,68,74.0,,0.74,50.32
2010-03-18,66,74.0,,0.74,48.839999999999996
2010-03-19,61,74.0,,0.74,45.14
2010-03-20,43,74.0,,0.74,31.82
2010-03-21,60,74.0,,0.74,44.4
2010-03-22,73,74.0,,0.74,54.019999999999996
2010-03-23,80,74.0,,0.74,59.2
2010-03-24,100,74.0,,0.74,74.0
2010-03-25,70,74.0,,0.74,51.8
2010-03-26,49,74.0,,0.74,36.26
2010-03-27,45,74.0,,0.74,33.3
2010-03-28,52,74.0,,0.74,38.48
