date,consume_unscaled,consume_monthly,isPartial,scale,consume
2010-01-01,80,41.0,False,0.41,32.8
2010-01-02,51,41.0,,0.41,20.91
2010-01-03,33,41.0,,0.41,13.53
2010-01-04,40,41.0,,0.41,16.4
2010-01-05,33,41.0,,0.41,13.53
2010-01-06,56,41.0,,0.41,22.959999999999997
2010-01-07,28,41.0,,0.41,11.479999999999999
2010-01-08,46,41.0,,0.41,18.86
2010-01-09,39,41.0,,0.41,15.989999999999998
2010-01-10,98,41.0,,0.41,40.18
2010-01-11,61,41.0,,0.41,25.009999999999998
2010-01-12,92,41.0,,0.41,37.72
2010-01-13,99,41.0,,0.41,40.589999999999996
2010-01-14,72,41.0,,0.41,29.52
2010-01-15,40,41.0,,0.41,16.4
2010-01-16,48,41.0,,0.41,19.68
2010-01-17,48,41.0,,0.41,19.68
2010-01-18,60,41.0,,0.41,24.599999999999998
2010-01-19,70,41.0,,0.41,28.7
2010-01-20,43,41.0,,0.41,17.63
2010-01-21,96,41.0,,0.41,39.36
2010-01-22,100,41.0,,0.41,41.0
2010-01-23,62,41.0,,0.41,25.419999999999998
2010-01-24,39,41.0,,0.41,15.989999999999998
2010-01-25,48,41.0,,0.41,19.68
2010-01-26,95,41.0,,0.41,38.949999999999996
2010-01-27,84,41.0,,0.41,34.44
2010-01-28,85,41.0,,0.41,34.85
2010-01-29,89,41.0,,0.41,36.489999999999995
2010-01-30,60,41.0,,0.41,24.599999999999998
2010-01-31,38,41.0,,0.41,15.579999999999998
2010-02-01,43,48.0,False,0.48,20.64
2010-02-02,42,48.0,,0.48,20.16
2010-02-03,11,48.0,,0.48,5.279999999999999
2010-02-04,21,48.0,,0.48,10.08
2010-02-05,68,48.0,,0.48,32.64
2010-02-06,92,48.0,,0.48,44.16
2010-02-07,47,48.0,,0.48,22.56
2010-02-08,100,48.0,,0.48,48.0
2010-02-09,42,48.0,,0.48,20.16
2010-02-10,32,48.0,,0.48,15.36
2010-02-11,77,48.0,,0.48,36.96
2010-02-12,35,48.0,,0.48,16.8
2010-02-13,63,48.0,,0.48,30.24
2010-02-14,33,48.0,,0.48,15.84
2010-02-15,49,48.0,,0.48,23.52
2010-02-16,32,48.0,,0.48,15.36
2010-02-17,75,48.0,,0.48,36.0
2010-02-18,87,48.0,,0.48,41.76
2010-02-19,69,48.0,,0.48,33.12
2010-02-20,94,48.0,,0.48,45.12
2010-02-21,48,48.0,,0.48,23.04
2010-02-22,53,48.0,,0.48,25.439999999999998
2010-02-23,83,48.0,,0.48,39.839999999999996
2010-02-24,84,48.0,,0.48,40.32
2010-02-25,64,48.0,,0.48,30.72
2010-02-26,56,48.0,,0.48,26.88
2010-02-27,60,48.0,,0.48,28.799999999999997
2010-02-28,47,48.0,,0.48,22.56
2010-03-01,47,49.0,False,0.49,23.03
2010-03-02,54,49.0,,0.49,26.46
2010-03-03,55,49.0,,0.49,26.95
2010-03-04,52,49.0,,0.49,25.48
2010-03-05,41,49.0,,0.49,20.09
2010-03-06,26,49.0,,0.49,12.74
2010-03-07,58,49.0,,0.49,28.419999999999998
2010-03-08,65,49.0,,0.49,31.849999999999998
2010-03-09,55,49.0,,0.49,26.95
2010-03-10,68,49.0,,0.49,33.32
