date,consumption_unscaled,consumption_monthly,isPartial,scale,consumption
2010-01-01,11,82.0,False,0.82,9.02
2010-01-02,69,82.0,,0.82,56.58
2010-01-03,72,82.0,,0.82,59.04
2010-01-04,49,82.0,,0.82,40.18
2010-01-05,57,82.0,,0.82,46.739999999999995
2010-01-06,70,82.0,,0.82,57.4
2010-01-07,59,82.0,,0.82,48.379999999999995
2010-01-08,77,82.0,,0.82,63.13999999999999
2010-01-09,25,82.0,,0.82,20.5
2010-01-10,39,82.0,,0.82,31.979999999999997
2010-01-11,71,82.0,,0.82,58.22
2010-01-12,49,82.0,,0.82,40.18
2010-01-13,74,82.0,,0.82,60.68
2010-01-14,50,82.0,,0.82,41.0
2010-01-15,43,82.0,,0.82,35.26
2010-01-16,69,82.0,,0.82,56.58
2010-01-17,64,82.0,,0.82,52.48
2010-01-18,55,82.0,,0.82,45.099999999999994
2010-01-19,46,82.0,,0.82,37.72
2010-01-20,55,82.0,,0.82,45.099999999999994
2010-01-21,100,82.0,,0.82,82.0
2010-01-22,48,82.0,,0.82,39.36
2010-01-23,62,82.0,,0.82,50.839999999999996
2010-01-24,50,82.0,,0.82,41.0
2010-01-25,81,82.0,,0.82,66.42
2010-01-26,59,82.0,,0.82,48.379999999999995
2010-01-27,84,82.0,,0.82,68.88
2010-01-28,51,82.0,,0.82,41.82
2010-01-29,72,82.0,,0.82,59.04
2010-01-30,36,82.0,,0.82,29.52
2010-01-31,53,82.0,,0.82,43.46
2010-02-01,80,99.0,False,0.99,79.2
2010-02-02,100,99.0,,0.99,99.0
2010-02-03,75,99.0,,0.99,74.25
2010-02-04,88,99.0,,0.99,87.12
2010-02-05,77,99.0,,0.99,76.23
2010-02-06,50,99.0,,0.99,49.5
2010-02-07,63,99.0,,0.99,62.37
2010-02-08,72,99.0,,0.99,71.28
2010-02-09,78,99.0,,0.99,77.22
2010-02-10,82,99.0,,0.99,81.17999999999999
2010-02-11,73,99.0,,0.99,72.27
2010-02-12,72,99.0,,0.99,71.28
2010-02-13,42,99.0,,0.99,41.58
2010-02-14,66,99.0,,0.99,65.34
2010-02-15,72,99.0,,0.99,71.28
2010-02-16,70,99.0,,0.99,69.3
2010-02-17,88,99.0,,0.99,87.12
2010-02-18,64,99.0,,0.99,63.36
2010-02-19,78,99.0,,0.99,77.22
2010-02-20,56,99.0,,0.99,55.44
2010-02-21,82,99.0,,0.99,81.17999999999999
2010-02-22,95,99.0,,0.99,94.05
2010-02-23,83,99.0,,0.99,82.17
2010-02-24,90,99.0,,0.99,89.1
2010-02-25,93,99.0,,0.99,92.07
2010-02-26,71,99.0,,0.99,70.29
2010-02-27,59,99.0,,0.99,58.41
2010-02-28,68,99.0,,0.99,67.32
2010-03-01,82,100.0,False,1.0,82.0
2010-03-02,88,100.0,,1.0,88.0
2010-03-03,74,100.0,,1.0,74.0
2010-03-04,77,100.0,,1.0,77.0
2010-03-05,64,100.0,,1.0,64.0
2010-03-06,70,100.0,,1.0,70.0
2010-03-07,76,100.0,,1.0,76.0
2010-03-08,100,100.0,,1.0,100.0
2010-03-09,64,100.0,,1.0,64.0
2010-03-10,98,100.0,,1.0,98.0
2010-03-11,81,100.0,,1.0,81.0
2010-03-12,76,100.0,,1.0,76.0
2010-03-13,63,100.0,,1.0,63.0
2010-03-14,72,100.0,,1.0,72.0
2010-03-15,100,100.0,,1.0,100.0
2010-03-16,93,100.0,,1.0,93.0
2010-03-17,85,100.0,,1.0,85.0
2010-03-18,89,100.0,,1.0,89.0
2010-03-19,65,100.0,,1.0,65.0
2010-03-20,67,100.0,,1.0,67.0
2010-03-21,60,100.0,,1.0,60.0
2010-03-22,93,100.0,,1.0,93.0
2010-03-23,85,100.0,,1.0,85.0
2010-03-24,76,100.0,,1.0,76.0
2010-03-25,96,100.0,,1.0,96.0
2010-03-26,76,100.0,,1.0,76.0
2010-03-27,56,100.0,,1.0,56.0
2010-03-28,75,100.0,,1.0,75.0
2010-03-29,90,100.0,,1.0,90.0
2010-03-30,87,100.0,,1.0,87.0
2010-03-31,88,100.0,,1.0,88.0
2010-04-01,67,94.0,False,0.94,62.98
2010-04-02,60,94.0,,0.94,56.4
2010-04-03,61,94.0,,0.94,57.339999999999996
2010-04-04,51,94.0,,0.94,47.94
2010-04-05,67,94.0,,0.94,62.98
2010-04-06,73,94.0,,0.94,68.61999999999999
2010-04-07,73,94.0,,0.94,68.61999999999999
2010-04-08,65,94.0,,0.94,61.099999999999994
2010-04-09,72,94.0,,0.94,67.67999999999999
2010-04-10,77,94.0,,0.94,72.38
2010-04-11,50,94.0,,0.94,47.0
