date,crash_unscaled,crash_monthly,isPartial,scale,crash
2010-01-01,67,35.0,False,0.35,23.45
2010-01-02,63,35.0,,0.35,22.049999999999997
2010-01-03,69,35.0,,0.35,24.15
2010-01-04,62,35.0,,0.35,21.7
2010-01-05,78,35.0,,0.35,27.299999999999997
2010-01-06,75,35.0,,0.35,26.25
2010-01-07,63,35.0,,0.35,22.049999999999997
2010-01-08,64,35.0,,0.35,22.4
2010-01-09,82,35.0,,0.35,28.7
2010-01-10,75,35.0,,0.35,26.25
2010-01-11,73,35.0,,0.35,25.549999999999997
2010-01-12,61,35.0,,0.35,21.349999999999998
2010-01-13,62,35.0,,0.35,21.7
2010-01-14,63,35.0,,0.35,22.049999999999997
2010-01-15,61,35.0,,0.35,21.349999999999998
2010-01-16,56,35.0,,0.35,19.599999999999998
2010-01-17,58,35.0,,0.35,20.299999999999997
2010-01-18,64,35.0,,0.35,22.4
2010-01-19,69,35.0,,0.35,24.15
2010-01-20,60,35.0,,0.35,21.0
2010-01-21,63,35.0,,0.35,22.049999999999997
2010-01-22,65,35.0,,0.35,22.75
2010-01-23,70,35.0,,0.35,24.5
2010-01-24,96,35.0,,0.35,33.599999999999994
2010-01-25,100,35.0,,0.35,35.0
2010-01-26,71,35.0,,0.35,24.849999999999998
2010-01-27,73,35.0,,0.35,25.549999999999997
2010-01-28,62,35.0,,0.35,21.7
2010-01-29,72,35.0,,0.35,25.2
2010-01-30,76,35.0,,0.35,26.599999999999998
2010-01-31,83,35.0,,0.35,29.049999999999997
2010-02-01,12,73.0,False,0.73,8.76
2010-02-02,11,73.0,,0.73,8.03
2010-02-03,11,73.0,,0.73,8.03
2010-02-04,10,73.0,,0.73,7.3
2010-02-05,10,73.0,,0.73,7.3
2010-02-06,10,73.0,,0.73,7.3
2010-02-07,10,73.0,,0.73,7.3
2010-02-08,10,73.0,,0.73,7.3
2010-02-09,10,73.0,,0.73,7.3
2010-02-10,10,73.0,,0.73,7.3
2010-02-11,9,73.0,,0.73,6.57
2010-02-12,21,73.0,,0.73,15.33
2010-02-13,100,73.0,,0.73,73.0
2010-02-14,93,73.0,,0.73,67.89
2010-02-15,32,73.0,,0.73,23.36
2010-02-16,20,73.0,,0.73,14.6
2010-02-17,22,73.0,,0.73,16.06
2010-02-18,60,73.0,,0.73,43.8
2010-02-19,34,73.0,,0.73,24.82
2010-02-20,18,73.0,,0.73,13.14
2010-02-21,16,73.0,,0.73,11.68
2010-02-22,16,73.0,,0.73,11.68
2010-02-23,14,73.0,,0.73,10.219999999999999
2010-02-24,11,73.0,,0.73,8.03
2010-02-25,12,73.0,,0.73,8.76
2010-02-26,12,73.0,,0.73,8.76
2010-02-27,10,73.0,,0.73,7.3
2010-02-28,11,73.0,,0.73,8.03
2010-03-01,86,36.0,False,0.36,30.959999999999997
2010-03-02,66,36.0,,0.36,23.759999999999998
2010-03-03,63,36.0,,0.36,22.68
2010-03-04,67,36.0,,0.36,24.119999999999997
2010-03-05,85,36.0,,0.36,30.599999999999998
2010-03-06,79,36.0,,0.36,28.439999999999998
2010-03-07,72,36.0,,0.36,25.919999999999998
2010-03-08,80,36.0,,0.36,28.799999999999997
2010-03-09,70,36.0,,0.36,25.2
2010-03-10,55,36.0,,0.36,19.8
2010-03-11,66,36.0,,0.36,23.759999999999998
2010-03-12,72,36.0,,0.36,25.919999999999998
2010-03-13,66,36.0,,0.36,23.759999999999998
2010-03-14,60,36.0,,0.36,21.599999999999998
2010-03-15,63,36.0,,0.36,22.68
2010-03-16,87,36.0,,0.36,31.32
2010-03-17,74,36.0,,0.36,26.64
2010-03-18,76,36.0,,0.36,27.36
2010-03-19,68,36.0,,0.36,24.48
2010-03-20,91,36.0,,0.36,32.76
2010-03-21,79,36.0,,0.36,28.439999999999998
2010-03-22,72,36.0,,0.36,25.919999999999998
2010-03-23,74,36.0,,0.36,26.64
2010-03-24,64,36.0,,0.36,23.04
2010-03-25,77,36.0,,0.36,27.72
2010-03-26,100,36.0,,0.36,36.0
2010-03-27,89,36.0,,0.36,32.04
2010-03-28,80,36.0,,0.36,28.799999999999997
2010-03-29,66,36.0,,0.36,23.759999999999998
2010-03-30,72,36.0,,0.36,25.919999999999998
2010-03-31,73,36.0,,0.36,26.279999999999998
2010-04-01,42,39.0,False,0.39,16.38
2010-04-02,40,39.0,,0.39,15.600000000000001
2010-04-03,36,39.0,,0.39,14.040000000000001
2010-04-04,46,39.0,,0.39,17.94
2010-04-05,36,39.0,,0.39,14.040000000000001
2010-04-06,37,39.0,,0.39,14.43
2010-04-07,40,39.0,,0.39,15.600000000000001
2010-04-08,38,39.0,,0.39,14.82
2010-04-09,41,39.0,,0.39,15.99
2010-04-10,100,39.0,,0.39,39.0
2010-04-11,96,39.0,,0.39,37.44
2010-04-12,76,39.0,,0.39,29.64
2010-04-13,58,39.0,,0.39,22.62
2010-04-14,47,39.0,,0.39,18.330000000000002
2010-04-15,49,39.0,,0.39,19.11
2010-04-16,46,39.0,,0.39,17.94
2010-04-17,49,39.0,,0.39,19.11
2010-04-18,52,39.0,,0.39,20.28
2010-04-19,38,39.0,,0.39,14.82
2010-04-20,40,39.0,,0.39,15.600000000000001
2010-04-21,40,39.0,,0.39,15.600000000000001
2010-04-22,41,39.0,,0.39,15.99
2010-04-23,36,39.0,,0.39,14.040000000000001
2010-04-24,42,39.0,,0.39,16.38
2010-04-25,41,39.0,,0.39,15.99
2010-04-26,40,39.0,,0.39,15.600000000000001
2010-04-27,37,39.0,,0.39,14.43
2010-04-28,39,39.0,,0.39,15.21
2010-04-29,42,39.0,,0.39,16.38
2010-04-30,37,39.0,,0.39,14.43
2010-05-01,48,41.0,False,0.41,19.68
2010-05-02,55,41.0,,0.41,22.549999999999997
2010-05-03,44,41.0,,0.41,18.04
2010-05-04,45,41.0,,0.41,18.45
2010-05-05,37,41.0,,0.41,15.17
2010-05-06,54,41.0,,0.41,22.139999999999997
2010-05-07,55,41.0,,0.41,22.549999999999997
2010-05-08,54,41.0,,0.41,22.139999999999997
2010-05-09,51,41.0,,0.41,20.91
2010-05-10,51,41.0,,0.41,20.91
2010-05-11,47,41.0,,0.41,19.27
2010-05-12,71,41.0,,0.41,29.11
2010-05-13,61,41.0,,0.41,25.009999999999998
2010-05-14,52,41.0,,0.41,21.32
2010-05-15,57,41.0,,0.41,23.369999999999997
2010-05-16,50,41.0,,0.41,20.5
2010-05-17,55,41.0,,0.41,22.549999999999997
2010-05-18,51,41.0,,0.41,20.91
2010-05-19,44,41.0,,0.41,18.04
2010-05-20,47,41.0,,0.41,19.27
2010-05-21,52,41.0,,0.41,21.32
2010-05-22,100,41.0,,0.41,41.0
2010-05-23,72,41.0,,0.41,29.52
2010-05-24,63,41.0,,0.41,25.83
2010-05-25,59,41.0,,0.41,24.189999999999998
2010-05-26,42,41.0,,0.41,17.22
2010-05-27,42,41.0,,0.41,17.22
2010-05-28,44,41.0,,0.41,18.04
2010-05-29,55,41.0,,0.41,22.549999999999997
2010-05-30,52,41.0,,0.41,21.32
2010-05-31,67,41.0,,0.41,27.47
2010-06-01,90,34.0,False,0.34,30.6
2010-06-02,84,34.0,,0.34,28.560000000000002
2010-06-03,81,34.0,,0.34,27.540000000000003
2010-06-04,65,34.0,,0.34,22.1
2010-06-05,74,34.0,,0.34,25.16
2010-06-06,85,34.0,,0.34,28.900000000000002
2010-06-07,70,34.0,,0.34,23.8
2010-06-08,62,34.0,,0.34,21.080000000000002
