date,credit_unscaled,credit_monthly,isPartial,scale,credit
2010-01-01,66,73.0,False,0.73,48.18
2010-01-02,77,73.0,,0.73,56.21
2010-01-03,67,73.0,,0.73,48.91
2010-01-04,100,73.0,,0.73,73.0
2010-01-05,96,73.0,,0.73,70.08
2010-01-06,90,73.0,,0.73,65.7
2010-01-07,86,73.0,,0.73,62.78
2010-01-08,88,73.0,,0.73,64.24
2010-01-09,73,73.0,,0.73,53.29
2010-01-10,62,73.0,,0.73,45.26
2010-01-11,88,73.0,,0.73,64.24
2010-01-12,88,73.0,,0.73,64.24
2010-01-13,84,73.0,,0.73,61.32
2010-01-14,89,73.0,,0.73,64.97
2010-01-15,92,73.0,,0.73,67.16
2010-01-16,77,73.0,,0.73,56.21
2010-01-17,58,73.0,,0.73,42.339999999999996
2010-01-18,76,73.0,,0.73,55.48
2010-01-19,87,73.0,,0.73,63.51
2010-01-20,90,73.0,,0.73,65.7
2010-01-21,90,73.0,,0.73,65.7
2010-01-22,90,73.0,,0.73,65.7
2010-01-23,73,73.0,,0.73,53.29
2010-01-24,62,73.0,,0.73,45.26
2010-01-25,93,73.0,,0.73,67.89
2010-01-26,93,73.0,,0.73,67.89
2010-01-27,91,73.0,,0.73,66.42999999999999
2010-01-28,91,73.0,,0.73,66.42999999999999
2010-01-29,96,73.0,,0.73,70.08
2010-01-30,82,73.0,,0.73,59.86
2010-01-31,67,73.0,,0.73,48.91
2010-02-01,100,74.0,False,0.74,74.0
2010-02-02,93,74.0,,0.74,68.82
2010-02-03,90,74.0,,0.74,66.6
2010-02-04,83,74.0,,0.74,61.42
2010-02-05,96,74.0,,0.74,71.03999999999999
2010-02-06,78,74.0,,0.74,57.72
2010-02-07,57,74.0,,0.74,42.18
2010-02-08,85,74.0,,0.74,62.9
2010-02-09,86,74.0,,0.74,63.64
2010-02-10,87,74.0,,0.74,64.38
2010-02-11,86,74.0,,0.74,63.64
2010-02-12,95,74.0,,0.74,70.3
2010-02-13,71,74.0,,0.74,52.54
2010-02-14,59,74.0,,0.74,43.66
2010-02-15,82,74.0,,0.74,60.68
2010-02-16,93,74.0,,0.74,68.82
2010-02-17,91,74.0,,0.74,67.34
2010-02-18,92,74.0,,0.74,68.08
2010-02-19,95,74.0,,0.74,70.3
2010-02-20,70,74.0,,0.74,51.8
2010-02-21,64,74.0,,0.74,47.36
2010-02-22,95,74.0,,0.74,70.3
2010-02-23,94,74.0,,0.74,69.56
2010-02-24,88,74.0,,0.74,65.12
2010-02-25,86,74.0,,0.74,63.64
2010-02-26,92,74.0,,0.74,68.08
2010-02-27,73,74.0,,0.74,54.019999999999996
2010-02-28,66,74.0,,0.74,48.839999999999996
2010-03-01,100,71.0,False,0.71,71.0
2010-03-02,98,71.0,,0.71,69.58
2010-03-03,91,71.0,,0.71,64.61
2010-03-04,93,71.0,,0.71,66.03
2010-03-05,96,71.0,,0.71,68.16
2010-03-06,78,71.0,,0.71,55.379999999999995
2010-03-07,65,71.0,,0.71,46.15
2010-03-08,93,71.0,,0.71,66.03
2010-03-09,95,71.0,,0.71,67.45
2010-03-10,91,71.0,,0.71,64.61
2010-03-11,94,71.0,,0.71,66.74
2010-03-12,93,71.0,,0.71,66.03
2010-03-13,78,71.0,,0.71,55.379999999999995
2010-03-14,69,71.0,,0.71,48.989999999999995
2010-03-15,98,71.0,,0.71,69.58
2010-03-16,94,71.0,,0.71,66.74
2010-03-17,86,71.0,,0.71,61.059999999999995
2010-03-18,88,71.0,,0.71,62.48
2010-03-19,96,71.0,,0.71,68.16
2010-03-20,78,71.0,,0.71,55.379999999999995
2010-03-21,67,71.0,,0.71,47.57
2010-03-22,96,71.0,,0.71,68.16
2010-03-23,94,71.0,,0.71,66.74
2010-03-24,94,71.0,,0.71,66.74
2010-03-25,89,71.0,,0.71,63.19
2010-03-26,93,71.0,,0.71,66.03
2010-03-27,75,71.0,,0.71,53.25
2010-03-28,66,71.0,,0.71,46.86
2010-03-29,92,71.0,,0.71,65.32
2010-03-30,100,71.0,,0.71,71.0
2010-03-31,98,71.0,,0.71,69.58
2010-04-01,91,71.0,False,0.71,64.61
2010-04-02,96,71.0,,0.71,68.16
2010-04-03,70,71.0,,0.71,49.699999999999996
2010-04-04,56,71.0,,0.71,39.76
2010-04-05,96,71.0,,0.71,68.16
2010-04-06,91,71.0,,0.71,64.61
2010-04-07,91,71.0,,0.71,64.61
2010-04-08,88,71.0,,0.71,62.48
2010-04-09,94,71.0,,0.71,66.74
2010-04-10,71,71.0,,0.71,50.41
2010-04-11,66,71.0,,0.71,46.86
2010-04-12,99,71.0,,0.71,70.28999999999999
2010-04-13,90,71.0,,0.71,63.9
2010-04-14,99,71.0,,0.71,70.28999999999999
2010-04-15,100,71.0,,0.71,71.0
2010-04-16,91,71.0,,0.71,64.61
2010-04-17,71,71.0,,0.71,50.41
2010-04-18,53,71.0,,0.71,37.629999999999995
2010-04-19,83,71.0,,0.71,58.93
2010-04-20,83,71.0,,0.71,58.93
2010-04-21,81,71.0,,0.71,57.51
2010-04-22,82,71.0,,0.71,58.22
2010-04-23,83,71.0,,0.71,58.93
2010-04-24,62,71.0,,0.71,44.019999999999996
2010-04-25,56,71.0,,0.71,39.76
2010-04-26,79,71.0,,0.71,56.089999999999996
2010-04-27,80,71.0,,0.71,56.8
2010-04-28,80,71.0,,0.71,56.8
2010-04-29,80,71.0,,0.71,56.8
2010-04-30,97,71.0,,0.71,68.86999999999999
2010-05-01,80,66.0,False,0.66,52.800000000000004
2010-05-02,63,66.0,,0.66,41.580000000000005
2010-05-03,99,66.0,,0.66,65.34
2010-05-04,93,66.0,,0.66,61.38
2010-05-05,88,66.0,,0.66,58.080000000000005
2010-05-06,89,66.0,,0.66,58.74
2010-05-07,86,66.0,,0.66,56.760000000000005
2010-05-08,72,66.0,,0.66,47.52
2010-05-09,58,66.0,,0.66,38.28
2010-05-10,94,66.0,,0.66,62.040000000000006
2010-05-11,86,66.0,,0.66,56.760000000000005
2010-05-12,85,66.0,,0.66,56.1
2010-05-13,90,66.0,,0.66,59.400000000000006
2010-05-14,97,66.0,,0.66,64.02
2010-05-15,70,66.0,,0.66,46.2
2010-05-16,59,66.0,,0.66,38.940000000000005
2010-05-17,91,66.0,,0.66,60.06
2010-05-18,91,66.0,,0.66,60.06
2010-05-19,89,66.0,,0.66,58.74
2010-05-20,86,66.0,,0.66,56.760000000000005
2010-05-21,91,66.0,,0.66,60.06
2010-05-22,71,66.0,,0.66,46.86
2010-05-23,58,66.0,,0.66,38.28
2010-05-24,96,66.0,,0.66,63.36
2010-05-25,91,66.0,,0.66,60.06
2010-05-26,83,66.0,,0.66,54.78
2010-05-27,89,66.0,,0.66,58.74
2010-05-28,100,66.0,,0.66,66.0
2010-05-29,68,66.0,,0.66,44.88
2010-05-30,58,66.0,,0.66,38.28
2010-05-31,63,66.0,,0.66,41.580000000000005
2010-06-01,87,70.0,False,0.7,60.9
2010-06-02,86,70.0,,0.7,60.199999999999996
2010-06-03,80,70.0,,0.7,56.0
2010-06-04,83,70.0,,0.7,58.099999999999994
2010-06-05,70,70.0,,0.7,49.0
