date,crisis_unscaled,crisis_monthly,isPartial,scale,crisis
2010-01-01,38,61.0,False,0.61,23.18
2010-01-02,63,61.0,,0.61,38.43
2010-01-03,77,61.0,,0.61,46.97
2010-01-04,73,61.0,,0.61,44.53
2010-01-05,76,61.0,,0.61,46.36
2010-01-06,56,61.0,,0.61,34.16
2010-01-07,68,61.0,,0.61,41.48
2010-01-08,53,61.0,,0.61,32.33
2010-01-09,49,61.0,,0.61,29.89
2010-01-10,79,61.0,,0.61,48.19
2010-01-11,70,61.0,,0.61,42.699999999999996
2010-01-12,73,61.0,,0.61,44.53
2010-01-13,100,61.0,,0.61,61.0
2010-01-14,86,61.0,,0.61,52.46
2010-01-15,94,61.0,,0.61,57.339999999999996
2010-01-16,66,61.0,,0.61,40.26
2010-01-17,58,61.0,,0.61,35.38
2010-01-18,74,61.0,,0.61,45.14
2010-01-19,89,61.0,,0.61,54.29
2010-01-20,83,61.0,,0.61,50.629999999999995
2010-01-21,83,61.0,,0.61,50.629999999999995
2010-01-22,79,61.0,,0.61,48.19
2010-01-23,58,61.0,,0.61,35.38
2010-01-24,61,61.0,,0.61,37.21
2010-01-25,74,61.0,,0.61,45.14
2010-01-26,98,61.0,,0.61,59.78
2010-01-27,85,61.0,,0.61,51.85
2010-01-28,82,61.0,,0.61,50.019999999999996
2010-01-29,65,61.0,,0.61,39.65
2010-01-30,62,61.0,,0.61,37.82
2010-01-31,77,61.0,,0.61,46.97
2010-02-01,59,67.0,False,0.67,39.53
2010-02-02,69,67.0,,0.67,46.230000000000004
2010-02-03,70,67.0,,0.67,46.900000000000006
2010-02-04,77,67.0,,0.67,51.59
2010-02-05,67,67.0,,0.67,44.89
2010-02-06,59,67.0,,0.67,39.53
2010-02-07,68,67.0,,0.67,45.56
2010-02-08,79,67.0,,0.67,52.93
2010-02-09,88,67.0,,0.67,58.96
2010-02-10,77,67.0,,0.67,51.59
2010-02-11,76,67.0,,0.67,50.92
2010-02-12,63,67.0,,0.67,42.21
2010-02-13,53,67.0,,0.67,35.510000000000005
2010-02-14,69,67.0,,0.67,46.230000000000004
2010-02-15,71,67.0,,0.67,47.57
2010-02-16,90,67.0,,0.67,60.300000000000004
2010-02-17,79,67.0,,0.67,52.93
2010-02-18,83,67.0,,0.67,55.61000000000001
2010-02-19,74,67.0,,0.67,49.580000000000005
2010-02-20,76,67.0,,0.67,50.92
2010-02-21,78,67.0,,0.67,52.260000000000005
2010-02-22,85,67.0,,0.67,56.95
2010-02-23,100,67.0,,0.67,67.0
2010-02-24,94,67.0,,0.67,62.980000000000004
2010-02-25,90,67.0,,0.67,60.300000000000004
2010-02-26,70,67.0,,0.67,46.900000000000006
2010-02-27,73,67.0,,0.67,48.910000000000004
2010-02-28,72,67.0,,0.67,48.24
2010-03-01,78,68.0,False,0.68,53.040000000000006
2010-03-02,82,68.0,,0.68,55.760000000000005
2010-03-03,98,68.0,,0.68,66.64
2010-03-04,72,68.0,,0.68,48.96
