date,culture_unscaled,culture_monthly,isPartial,scale,culture
2010-01-01,42,58.0,False,0.58,24.36
2010-01-02,44,58.0,,0.58,25.52
2010-01-03,46,58.0,,0.58,26.68
2010-01-04,57,58.0,,0.58,33.059999999999995
2010-01-05,66,58.0,,0.58,38.279999999999994
2010-01-06,87,58.0,,0.58,50.459999999999994
2010-01-07,80,58.0,,0.58,46.4
2010-01-08,61,58.0,,0.58,35.379999999999995
2010-01-09,47,58.0,,0.58,27.259999999999998
2010-01-10,63,58.0,,0.58,36.54
2010-01-11,88,58.0,,0.58,51.04
2010-01-12,92,58.0,,0.58,53.36
2010-01-13,91,58.0,,0.58,52.779999999999994
2010-01-14,88,58.0,,0.58,51.04
2010-01-15,90,58.0,,0.58,52.199999999999996
2010-01-16,63,58.0,,0.58,36.54
2010-01-17,66,58.0,,0.58,38.279999999999994
2010-01-18,77,58.0,,0.58,44.66
2010-01-19,83,58.0,,0.58,48.13999999999999
2010-01-20,86,58.0,,0.58,49.879999999999995
2010-01-21,95,58.0,,0.58,55.099999999999994
2010-01-22,90,58.0,,0.58,52.199999999999996
2010-01-23,56,58.0,,0.58,32.48
2010-01-24,74,58.0,,0.58,42.919999999999995
2010-01-25,94,58.0,,0.58,54.519999999999996
2010-01-26,96,58.0,,0.58,55.67999999999999
2010-01-27,98,58.0,,0.58,56.839999999999996
2010-01-28,100,58.0,,0.58,57.99999999999999
2010-01-29,89,58.0,,0.58,51.62
2010-01-30,57,58.0,,0.58,33.059999999999995
2010-01-31,73,58.0,,0.58,42.339999999999996
2010-02-01,96,67.0,False,0.67,64.32000000000001
2010-02-02,92,67.0,,0.67,61.64
2010-02-03,85,67.0,,0.67,56.95
2010-02-04,88,67.0,,0.67,58.96
2010-02-05,80,67.0,,0.67,53.6
2010-02-06,59,67.0,,0.67,39.53
2010-02-07,74,67.0,,0.67,49.580000000000005
2010-02-08,87,67.0,,0.67,58.290000000000006
2010-02-09,89,67.0,,0.67,59.63
2010-02-10,81,67.0,,0.67,54.27
2010-02-11,86,67.0,,0.67,57.620000000000005
2010-02-12,67,67.0,,0.67,44.89
2010-02-13,48,67.0,,0.67,32.160000000000004
2010-02-14,53,67.0,,0.67,35.510000000000005
2010-02-15,85,67.0,,0.67,56.95
2010-02-16,91,67.0,,0.67,60.970000000000006
2010-02-17,88,67.0,,0.67,58.96
2010-02-18,88,67.0,,0.67,58.96
2010-02-19,80,67.0,,0.67,53.6
2010-02-20,67,67.0,,0.67,44.89
2010-02-21,74,67.0,,0.67,49.580000000000005
2010-02-22,90,67.0,,0.67,60.300000000000004
2010-02-23,100,67.0,,0.67,67.0
2010-02-24,94,67.0,,0.67,62.980000000000004
2010-02-25,89,67.0,,0.67,59.63
2010-02-26,80,67.0,,0.67,53.6
2010-02-27,49,67.0,,0.67,32.830000000000005
2010-02-28,81,67.0,,0.67,54.27
2010-03-01,87,69.0,False,0.69,60.029999999999994
2010-03-02,86,69.0,,0.69,59.339999999999996
2010-03-03,84,69.0,,0.69,57.959999999999994
2010-03-04,100,69.0,,0.69,69.0
2010-03-05,74,69.0,,0.69,51.059999999999995
2010-03-06,49,69.0,,0.69,33.809999999999995
2010-03-07,74,69.0,,0.69,51.059999999999995
2010-03-08,90,69.0,,0.69,62.099999999999994
2010-03-09,77,69.0,,0.69,53.129999999999995
2010-03-10,86,69.0,,0.69,59.339999999999996
2010-03-11,76,69.0,,0.69,52.44
2010-03-12,76,69.0,,0.69,52.44
2010-03-13,49,69.0,,0.69,33.809999999999995
2010-03-14,67,69.0,,0.69,46.23
2010-03-15,74,69.0,,0.69,51.059999999999995
2010-03-16,72,69.0,,0.69,49.67999999999999
2010-03-17,70,69.0,,0.69,48.3
2010-03-18,66,69.0,,0.69,45.54
2010-03-19,62,69.0,,0.69,42.779999999999994
2010-03-20,46,69.0,,0.69,31.74
2010-03-21,59,69.0,,0.69,40.709999999999994
2010-03-22,78,69.0,,0.69,53.81999999999999
2010-03-23,74,69.0,,0.69,51.059999999999995
2010-03-24,78,69.0,,0.69,53.81999999999999
2010-03-25,70,69.0,,0.69,48.3
2010-03-26,64,69.0,,0.69,44.16
2010-03-27,54,69.0,,0.69,37.26
2010-03-28,62,69.0,,0.69,42.779999999999994
2010-03-29,84,69.0,,0.69,57.959999999999994
2010-03-30,67,69.0,,0.69,46.23
2010-03-31,74,69.0,,0.69,51.059999999999995
2010-04-01,75,72.0,False,0.72,54.0
2010-04-02,54,72.0,,0.72,38.879999999999995
2010-04-03,60,72.0,,0.72,43.199999999999996
2010-04-04,56,72.0,,0.72,40.32
2010-04-05,70,72.0,,0.72,50.4
2010-04-06,71,72.0,,0.72,51.12
2010-04-07,81,72.0,,0.72,58.32
2010-04-08,85,72.0,,0.72,61.199999999999996
2010-04-09,76,72.0,,0.72,54.72
2010-04-10,59,72.0,,0.72,42.48
2010-04-11,65,72.0,,0.72,46.8
2010-04-12,84,72.0,,0.72,60.48
2010-04-13,72,72.0,,0.72,51.839999999999996
2010-04-14,87,72.0,,0.72,62.64
2010-04-15,100,72.0,,0.72,72.0
2010-04-16,82,72.0,,0.72,59.04
2010-04-17,59,72.0,,0.72,42.48
2010-04-18,65,72.0,,0.72,46.8
2010-04-19,95,72.0,,0.72,68.39999999999999
2010-04-20,93,72.0,,0.72,66.96
2010-04-21,99,72.0,,0.72,71.28
2010-04-22,87,72.0,,0.72,62.64
2010-04-23,77,72.0,,0.72,55.44
2010-04-24,67,72.0,,0.72,48.239999999999995
2010-04-25,78,72.0,,0.72,56.16
2010-04-26,91,72.0,,0.72,65.52
2010-04-27,90,72.0,,0.72,64.8
2010-04-28,87,72.0,,0.72,62.64
2010-04-29,97,72.0,,0.72,69.84
2010-04-30,83,72.0,,0.72,59.76
2010-05-01,60,64.0,False,0.64,38.4
2010-05-02,76,64.0,,0.64,48.64
2010-05-03,96,64.0,,0.64,61.44
2010-05-04,96,64.0,,0.64,61.44
2010-05-05,100,64.0,,0.64,64.0
2010-05-06,96,64.0,,0.64,61.44
2010-05-07,77,64.0,,0.64,49.28
2010-05-08,51,64.0,,0.64,32.64
2010-05-09,72,64.0,,0.64,46.08
2010-05-10,92,64.0,,0.64,58.88
2010-05-11,91,64.0,,0.64,58.24
2010-05-12,88,64.0,,0.64,56.32
2010-05-13,93,64.0,,0.64,59.52
2010-05-14,80,64.0,,0.64,51.2
2010-05-15,52,64.0,,0.64,33.28
2010-05-16,59,64.0,,0.64,37.76
2010-05-17,80,64.0,,0.64,51.2
2010-05-18,94,64.0,,0.64,60.160000000000004
2010-05-19,84,64.0,,0.64,53.76
2010-05-20,84,64.0,,0.64,53.76
2010-05-21,69,64.0,,0.64,44.160000000000004
2010-05-22,49,64.0,,0.64,31.36
2010-05-23,58,64.0,,0.64,37.12
2010-05-24,83,64.0,,0.64,53.120000000000005
2010-05-25,82,64.0,,0.64,52.480000000000004
2010-05-26,82,64.0,,0.64,52.480000000000004
2010-05-27,81,64.0,,0.64,51.84
2010-05-28,66,64.0,,0.64,42.24
2010-05-29,48,64.0,,0.64,30.72
2010-05-30,51,64.0,,0.64,32.64
2010-05-31,49,64.0,,0.64,31.36
2010-06-01,92,45.0,False,0.45,41.4
2010-06-02,100,45.0,,0.45,45.0
2010-06-03,95,45.0,,0.45,42.75
2010-06-04,86,45.0,,0.45,38.7
2010-06-05,66,45.0,,0.45,29.7
2010-06-06,92,45.0,,0.45,41.4
2010-06-07,91,45.0,,0.45,40.95
2010-06-08,93,45.0,,0.45,41.85
2010-06-09,93,45.0,,0.45,41.85
2010-06-10,89,45.0,,0.45,40.050000000000004
2010-06-11,71,45.0,,0.45,31.95
2010-06-12,66,45.0,,0.45,29.7
2010-06-13,75,45.0,,0.45,33.75
2010-06-14,89,45.0,,0.45,40.050000000000004
2010-06-15,90,45.0,,0.45,40.5
2010-06-16,78,45.0,,0.45,35.1
2010-06-17,75,45.0,,0.45,33.75
2010-06-18,60,45.0,,0.45,27.0
2010-06-19,57,45.0,,0.45,25.650000000000002
2010-06-20,62,45.0,,0.45,27.900000000000002
2010-06-21,78,45.0,,0.45,35.1
2010-06-22,73,45.0,,0.45,32.85
2010-06-23,74,45.0,,0.45,33.300000000000004
2010-06-24,71,45.0,,0.45,31.95
2010-06-25,64,45.0,,0.45,28.8
2010-06-26,50,45.0,,0.45,22.5
2010-06-27,59,45.0,,0.45,26.55
2010-06-28,68,45.0,,0.45,30.6
2010-06-29,77,45.0,,0.45,34.65
2010-06-30,65,45.0,,0.45,29.25
2010-07-01,89,36.0,False,0.36,32.04
2010-07-02,85,36.0,,0.36,30.599999999999998
2010-07-03,61,36.0,,0.36,21.96
2010-07-04,66,36.0,,0.36,23.759999999999998
2010-07-05,72,36.0,,0.36,25.919999999999998
2010-07-06,81,36.0,,0.36,29.16
2010-07-07,100,36.0,,0.36,36.0
2010-07-08,100,36.0,,0.36,36.0
2010-07-09,82,36.0,,0.36,29.52
2010-07-10,87,36.0,,0.36,31.32
2010-07-11,89,36.0,,0.36,32.04
2010-07-12,81,36.0,,0.36,29.16
2010-07-13,78,36.0,,0.36,28.08
2010-07-14,88,36.0,,0.36,31.68
2010-07-15,83,36.0,,0.36,29.88
2010-07-16,79,36.0,,0.36,28.439999999999998
2010-07-17,78,36.0,,0.36,28.08
2010-07-18,83,36.0,,0.36,29.88
2010-07-19,93,36.0,,0.36,33.48
2010-07-20,95,36.0,,0.36,34.199999999999996
2010-07-21,81,36.0,,0.36,29.16
2010-07-22,68,36.0,,0.36,24.48
2010-07-23,76,36.0,,0.36,27.36
2010-07-24,50,36.0,,0.36,18.0
2010-07-25,66,36.0,,0.36,23.759999999999998
2010-07-26,71,36.0,,0.36,25.56
2010-07-27,89,36.0,,0.36,32.04
2010-07-28,80,36.0,,0.36,28.799999999999997
2010-07-29,96,36.0,,0.36,34.56
2010-07-30,80,36.0,,0.36,28.799999999999997
2010-07-31,67,36.0,,0.36,24.119999999999997
2010-08-01,63,40.0,False,0.4,25.200000000000003
2010-08-02,63,40.0,,0.4,25.200000000000003
2010-08-03,65,40.0,,0.4,26.0
2010-08-04,64,40.0,,0.4,25.6
2010-08-05,73,40.0,,0.4,29.200000000000003
2010-08-06,52,40.0,,0.4,20.8
2010-08-07,44,40.0,,0.4,17.6
2010-08-08,49,40.0,,0.4,19.6
2010-08-09,62,40.0,,0.4,24.8
2010-08-10,62,40.0,,0.4,24.8
2010-08-11,58,40.0,,0.4,23.200000000000003
2010-08-12,53,40.0,,0.4,21.200000000000003
2010-08-13,61,40.0,,0.4,24.400000000000002
2010-08-14,48,40.0,,0.4,19.200000000000003
2010-08-15,48,40.0,,0.4,19.200000000000003
2010-08-16,59,40.0,,0.4,23.6
2010-08-17,65,40.0,,0.4,26.0
2010-08-18,60,40.0,,0.4,24.0
2010-08-19,70,40.0,,0.4,28.0
2010-08-20,68,40.0,,0.4,27.200000000000003
2010-08-21,50,40.0,,0.4,20.0
2010-08-22,61,40.0,,0.4,24.400000000000002
2010-08-23,66,40.0,,0.4,26.400000000000002
2010-08-24,65,40.0,,0.4,26.0
2010-08-25,84,40.0,,0.4,33.6
2010-08-26,84,40.0,,0.4,33.6
2010-08-27,77,40.0,,0.4,30.8
2010-08-28,72,40.0,,0.4,28.8
2010-08-29,68,40.0,,0.4,27.200000000000003
2010-08-30,93,40.0,,0.4,37.2
2010-08-31,100,40.0,,0.4,40.0
2010-09-01,71,60.0,False,0.6,42.6
2010-09-02,70,60.0,,0.6,42.0
2010-09-03,52,60.0,,0.6,31.2
2010-09-04,40,60.0,,0.6,24.0
2010-09-05,44,60.0,,0.6,26.4
2010-09-06,54,60.0,,0.6,32.4
2010-09-07,76,60.0,,0.6,45.6
2010-09-08,93,60.0,,0.6,55.8
2010-09-09,74,60.0,,0.6,44.4
2010-09-10,70,60.0,,0.6,42.0
2010-09-11,58,60.0,,0.6,34.8
2010-09-12,73,60.0,,0.6,43.8
2010-09-13,68,60.0,,0.6,40.8
2010-09-14,76,60.0,,0.6,45.6
2010-09-15,87,60.0,,0.6,52.199999999999996
2010-09-16,95,60.0,,0.6,57.0
2010-09-17,78,60.0,,0.6,46.8
2010-09-18,39,60.0,,0.6,23.4
2010-09-19,69,60.0,,0.6,41.4
2010-09-20,82,60.0,,0.6,49.199999999999996
2010-09-21,94,60.0,,0.6,56.4
2010-09-22,81,60.0,,0.6,48.6
2010-09-23,94,60.0,,0.6,56.4
2010-09-24,88,60.0,,0.6,52.8
2010-09-25,58,60.0,,0.6,34.8
2010-09-26,82,60.0,,0.6,49.199999999999996
2010-09-27,92,60.0,,0.6,55.199999999999996
2010-09-28,99,60.0,,0.6,59.4
2010-09-29,100,60.0,,0.6,60.0
2010-09-30,97,60.0,,0.6,58.199999999999996
2010-10-01,69,64.0,False,0.64,44.160000000000004
2010-10-02,54,64.0,,0.64,34.56
2010-10-03,70,64.0,,0.64,44.800000000000004
2010-10-04,88,64.0,,0.64,56.32
2010-10-05,87,64.0,,0.64,55.68
2010-10-06,100,64.0,,0.64,64.0
2010-10-07,92,64.0,,0.64,58.88
2010-10-08,69,64.0,,0.64,44.160000000000004
2010-10-09,47,64.0,,0.64,30.080000000000002
2010-10-10,67,64.0,,0.64,42.88
2010-10-11,82,64.0,,0.64,52.480000000000004
2010-10-12,82,64.0,,0.64,52.480000000000004
2010-10-13,81,64.0,,0.64,51.84
2010-10-14,91,64.0,,0.64,58.24
2010-10-15,75,64.0,,0.64,48.0
2010-10-16,45,64.0,,0.64,28.8
2010-10-17,67,64.0,,0.64,42.88
2010-10-18,90,64.0,,0.64,57.6
2010-10-19,89,64.0,,0.64,56.96
2010-10-20,96,64.0,,0.64,61.44
2010-10-21,86,64.0,,0.64,55.04
2010-10-22,72,64.0,,0.64,46.08
2010-10-23,50,64.0,,0.64,32.0
2010-10-24,66,64.0,,0.64,42.24
2010-10-25,79,64.0,,0.64,50.56
2010-10-26,95,64.0,,0.64,60.800000000000004
2010-10-27,78,64.0,,0.64,49.92
2010-10-28,83,64.0,,0.64,53.120000000000005
2010-10-29,64,64.0,,0.64,40.96
2010-10-30,53,64.0,,0.64,33.92
2010-10-31,59,64.0,,0.64,37.76
2010-11-01,81,64.0,False,0.64,51.84
2010-11-02,83,64.0,,0.64,53.120000000000005
2010-11-03,76,64.0,,0.64,48.64
2010-11-04,74,64.0,,0.64,47.36
2010-11-05,71,64.0,,0.64,45.44
2010-11-06,48,64.0,,0.64,30.72
2010-11-07,65,64.0,,0.64,41.6
2010-11-08,79,64.0,,0.64,50.56
2010-11-09,85,64.0,,0.64,54.4
2010-11-10,86,64.0,,0.64,55.04
2010-11-11,75,64.0,,0.64,48.0
2010-11-12,67,64.0,,0.64,42.88
2010-11-13,51,64.0,,0.64,32.64
2010-11-14,62,64.0,,0.64,39.68
2010-11-15,100,64.0,,0.64,64.0
2010-11-16,87,64.0,,0.64,55.68
2010-11-17,91,64.0,,0.64,58.24
2010-11-18,87,64.0,,0.64,55.68
2010-11-19,71,64.0,,0.64,45.44
2010-11-20,47,64.0,,0.64,30.080000000000002
2010-11-21,62,64.0,,0.64,39.68
2010-11-22,77,64.0,,0.64,49.28
2010-11-23,74,64.0,,0.64,47.36
2010-11-24,62,64.0,,0.64,39.68
2010-11-25,39,64.0,,0.64,24.96
2010-11-26,46,64.0,,0.64,29.44
2010-11-27,50,64.0,,0.64,32.0
2010-11-28,60,64.0,,0.64,38.4
2010-11-29,77,64.0,,0.64,49.28
2010-11-30,87,64.0,,0.64,55.68
2010-12-01,94,52.0,False,0.52,48.88
2010-12-02,94,52.0,,0.52,48.88
2010-12-03,87,52.0,,0.52,45.24
2010-12-04,57,52.0,,0.52,29.64
2010-12-05,85,52.0,,0.52,44.2
2010-12-06,97,52.0,,0.52,50.440000000000005
2010-12-07,100,52.0,,0.52,52.0
2010-12-08,96,52.0,,0.52,49.92
2010-12-09,95,52.0,,0.52,49.4
2010-12-10,85,52.0,,0.52,44.2
2010-12-11,59,52.0,,0.52,30.68
2010-12-12,69,52.0,,0.52,35.88
2010-12-13,81,52.0,,0.52,42.120000000000005
2010-12-14,90,52.0,,0.52,46.800000000000004
2010-12-15,84,52.0,,0.52,43.68
2010-12-16,76,52.0,,0.52,39.52
2010-12-17,64,52.0,,0.52,33.28
2010-12-18,40,52.0,,0.52,20.8
2010-12-19,46,52.0,,0.52,23.92
2010-12-20,49,52.0,,0.52,25.48
2010-12-21,41,52.0,,0.52,21.32
2010-12-22,41,52.0,,0.52,21.32
2010-12-23,41,52.0,,0.52,21.32
2010-12-24,31,52.0,,0.52,16.12
2010-12-25,27,52.0,,0.52,14.040000000000001
2010-12-26,39,52.0,,0.52,20.28
2010-12-27,30,52.0,,0.52,15.600000000000001
2010-12-28,47,52.0,,0.52,24.44
2010-12-29,39,52.0,,0.52,20.28
2010-12-30,44,52.0,,0.52,22.880000000000003
2010-12-31,38,52.0,,0.52,19.76
