date,debt_unscaled,debt_monthly,isPartial,scale,debt
2010-01-01,38,47.0,False,0.47,17.86
2010-01-02,36,47.0,,0.47,16.919999999999998
2010-01-03,51,47.0,,0.47,23.97
2010-01-04,61,47.0,,0.47,28.669999999999998
2010-01-05,75,47.0,,0.47,35.25
2010-01-06,85,47.0,,0.47,39.949999999999996
2010-01-07,61,47.0,,0.47,28.669999999999998
2010-01-08,62,47.0,,0.47,29.139999999999997
2010-01-09,59,47.0,,0.47,27.729999999999997
2010-01-10,52,47.0,,0.47,24.439999999999998
2010-01-11,64,47.0,,0.47,30.08
2010-01-12,76,47.0,,0.47,35.72
2010-01-13,71,47.0,,0.47,33.37
2010-01-14,72,47.0,,0.47,33.839999999999996
2010-01-15,68,47.0,,0.47,31.959999999999997
2010-01-16,52,47.0,,0.47,24.439999999999998
2010-01-17,54,47.0,,0.47,25.38
2010-01-18,61,47.0,,0.47,28.669999999999998
2010-01-19,80,47.0,,0.47,37.599999999999994
2010-01-20,82,47.0,,0.47,38.54
2010-01-21,78,47.0,,0.47,36.66
2010-01-22,66,47.0,,0.47,31.02
2010-01-23,55,47.0,,0.47,25.849999999999998
2010-01-24,50,47.0,,0.47,23.5
2010-01-25,66,47.0,,0.47,31.02
2010-01-26,100,47.0,,0.47,47.0
2010-01-27,84,47.0,,0.47,39.48
2010-01-28,93,47.0,,0.47,43.71
2010-01-29,74,47.0,,0.47,34.78
2010-01-30,58,47.0,,0.47,27.259999999999998
2010-01-31,46,47.0,,0.47,21.619999999999997
2010-02-01,81,56.0,False,0.56,45.36000000000001
2010-02-02,93,56.0,,0.56,52.080000000000005
2010-02-03,83,56.0,,0.56,46.480000000000004
2010-02-04,100,56.0,,0.56,56.00000000000001
2010-02-05,84,56.0,,0.56,47.040000000000006
2010-02-06,59,56.0,,0.56,33.040000000000006
2010-02-07,50,56.0,,0.56,28.000000000000004
2010-02-08,77,56.0,,0.56,43.120000000000005
2010-02-09,79,56.0,,0.56,44.24
2010-02-10,85,56.0,,0.56,47.6
2010-02-11,78,56.0,,0.56,43.68000000000001
2010-02-12,72,56.0,,0.56,40.32000000000001
2010-02-13,59,56.0,,0.56,33.040000000000006
2010-02-14,50,56.0,,0.56,28.000000000000004
2010-02-15,72,56.0,,0.56,40.32000000000001
2010-02-16,79,56.0,,0.56,44.24
2010-02-17,81,56.0,,0.56,45.36000000000001
2010-02-18,85,56.0,,0.56,47.6
2010-02-19,69,56.0,,0.56,38.64
2010-02-20,46,56.0,,0.56,25.76
2010-02-21,55,56.0,,0.56,30.800000000000004
2010-02-22,79,56.0,,0.56,44.24
2010-02-23,72,56.0,,0.56,40.32000000000001
2010-02-24,74,56.0,,0.56,41.440000000000005
2010-02-25,77,56.0,,0.56,43.120000000000005
2010-02-26,66,56.0,,0.56,36.96
2010-02-27,49,56.0,,0.56,27.44
2010-02-28,51,56.0,,0.56,28.560000000000002
2010-03-01,79,52.0,False,0.52,41.08
2010-03-02,87,52.0,,0.52,45.24
2010-03-03,91,52.0,,0.52,47.32
2010-03-04,83,52.0,,0.52,43.160000000000004
2010-03-05,83,52.0,,0.52,43.160000000000004
2010-03-06,57,52.0,,0.52,29.64
2010-03-07,65,52.0,,0.52,33.800000000000004
2010-03-08,81,52.0,,0.52,42.120000000000005
2010-03-09,79,52.0,,0.52,41.08
2010-03-10,83,52.0,,0.52,43.160000000000004
2010-03-11,80,52.0,,0.52,41.6
2010-03-12,76,52.0,,0.52,39.52
2010-03-13,56,52.0,,0.52,29.12
2010-03-14,59,52.0,,0.52,30.68
2010-03-15,81,52.0,,0.52,42.120000000000005
2010-03-16,82,52.0,,0.52,42.64
2010-03-17,77,52.0,,0.52,40.04
2010-03-18,85,52.0,,0.52,44.2
2010-03-19,62,52.0,,0.52,32.24
2010-03-20,61,52.0,,0.52,31.720000000000002
2010-03-21,50,52.0,,0.52,26.0
2010-03-22,96,52.0,,0.52,49.92
2010-03-23,100,52.0,,0.52,52.0
2010-03-24,92,52.0,,0.52,47.84
2010-03-25,93,52.0,,0.52,48.36
2010-03-26,86,52.0,,0.52,44.72
2010-03-27,58,52.0,,0.52,30.16
2010-03-28,54,52.0,,0.52,28.080000000000002
2010-03-29,81,52.0,,0.52,42.120000000000005
2010-03-30,79,52.0,,0.52,41.08
2010-03-31,76,52.0,,0.52,39.52
2010-04-01,79,50.0,False,0.5,39.5
2010-04-02,63,50.0,,0.5,31.5
2010-04-03,45,50.0,,0.5,22.5
2010-04-04,50,50.0,,0.5,25.0
2010-04-05,74,50.0,,0.5,37.0
2010-04-06,82,50.0,,0.5,41.0
2010-04-07,79,50.0,,0.5,39.5
2010-04-08,78,50.0,,0.5,39.0
2010-04-09,73,50.0,,0.5,36.5
2010-04-10,60,50.0,,0.5,30.0
2010-04-11,56,50.0,,0.5,28.0
2010-04-12,81,50.0,,0.5,40.5
2010-04-13,84,50.0,,0.5,42.0
2010-04-14,86,50.0,,0.5,43.0
2010-04-15,83,50.0,,0.5,41.5
2010-04-16,71,50.0,,0.5,35.5
2010-04-17,52,50.0,,0.5,26.0
2010-04-18,52,50.0,,0.5,26.0
2010-04-19,77,50.0,,0.5,38.5
2010-04-20,87,50.0,,0.5,43.5
2010-04-21,93,50.0,,0.5,46.5
2010-04-22,82,50.0,,0.5,41.0
2010-04-23,70,50.0,,0.5,35.0
2010-04-24,49,50.0,,0.5,24.5
2010-04-25,60,50.0,,0.5,30.0
2010-04-26,87,50.0,,0.5,43.5
2010-04-27,89,50.0,,0.5,44.5
2010-04-28,100,50.0,,0.5,50.0
2010-04-29,77,50.0,,0.5,38.5
2010-04-30,74,50.0,,0.5,37.0
2010-05-01,49,45.0,False,0.45,22.05
2010-05-02,53,45.0,,0.45,23.85
2010-05-03,56,45.0,,0.45,25.2
2010-05-04,73,45.0,,0.45,32.85
2010-05-05,68,45.0,,0.45,30.6
2010-05-06,100,45.0,,0.45,45.0
2010-05-07,82,45.0,,0.45,36.9
2010-05-08,47,45.0,,0.45,21.150000000000002
2010-05-09,56,45.0,,0.45,25.2
2010-05-10,82,45.0,,0.45,36.9
2010-05-11,64,45.0,,0.45,28.8
2010-05-12,62,45.0,,0.45,27.900000000000002
2010-05-13,74,45.0,,0.45,33.300000000000004
2010-05-14,68,45.0,,0.45,30.6
2010-05-15,35,45.0,,0.45,15.75
2010-05-16,41,45.0,,0.45,18.45
2010-05-17,66,45.0,,0.45,29.7
2010-05-18,66,45.0,,0.45,29.7
2010-05-19,58,45.0,,0.45,26.1
2010-05-20,65,45.0,,0.45,29.25
2010-05-21,71,45.0,,0.45,31.95
2010-05-22,50,45.0,,0.45,22.5
2010-05-23,40,45.0,,0.45,18.0
2010-05-24,56,45.0,,0.45,25.2
