date,default_unscaled,default_monthly,isPartial,scale,default
2010-01-01,72,92.0,False,0.92,66.24000000000001
2010-01-02,74,92.0,,0.92,68.08
2010-01-03,83,92.0,,0.92,76.36
2010-01-04,81,92.0,,0.92,74.52000000000001
2010-01-05,75,92.0,,0.92,69.0
2010-01-06,91,92.0,,0.92,83.72
2010-01-07,83,92.0,,0.92,76.36
2010-01-08,99,92.0,,0.92,91.08
2010-01-09,81,92.0,,0.92,74.52000000000001
2010-01-10,79,92.0,,0.92,72.68
2010-01-11,78,92.0,,0.92,71.76
2010-01-12,100,92.0,,0.92,92.0
2010-01-13,80,92.0,,0.92,73.60000000000001
2010-01-14,97,92.0,,0.92,89.24000000000001
2010-01-15,73,92.0,,0.92,67.16
2010-01-16,89,92.0,,0.92,81.88000000000001
2010-01-17,65,92.0,,0.92,59.800000000000004
2010-01-18,96,92.0,,0.92,88.32000000000001
2010-01-19,80,92.0,,0.92,73.60000000000001
2010-01-20,98,92.0,,0.92,90.16000000000001
2010-01-21,92,92.0,,0.92,84.64
2010-01-22,97,92.0,,0.92,89.24000000000001
2010-01-23,71,92.0,,0.92,65.32000000000001
2010-01-24,76,92.0,,0.92,69.92
2010-01-25,81,92.0,,0.92,74.52000000000001
2010-01-26,85,92.0,,0.92,78.2
2010-01-27,95,92.0,,0.92,87.4
2010-01-28,90,92.0,,0.92,82.8
2010-01-29,84,92.0,,0.92,77.28
2010-01-30,68,92.0,,0.92,62.56
2010-01-31,73,92.0,,0.92,67.16
2010-02-01,91,88.0,False,0.88,80.08
2010-02-02,67,88.0,,0.88,58.96
2010-02-03,89,88.0,,0.88,78.32000000000001
2010-02-04,100,88.0,,0.88,88.0
2010-02-05,96,88.0,,0.88,84.48
2010-02-06,60,88.0,,0.88,52.8
2010-02-07,71,88.0,,0.88,62.48
2010-02-08,92,88.0,,0.88,80.96
2010-02-09,84,88.0,,0.88,73.92
2010-02-10,74,88.0,,0.88,65.12
2010-02-11,86,88.0,,0.88,75.68
2010-02-12,76,88.0,,0.88,66.88
2010-02-13,74,88.0,,0.88,65.12
2010-02-14,68,88.0,,0.88,59.84
2010-02-15,72,88.0,,0.88,63.36
2010-02-16,81,88.0,,0.88,71.28
2010-02-17,83,88.0,,0.88,73.04
2010-02-18,89,88.0,,0.88,78.32000000000001
2010-02-19,82,88.0,,0.88,72.16
2010-02-20,63,88.0,,0.88,55.44
2010-02-21,78,88.0,,0.88,68.64
2010-02-22,78,88.0,,0.88,68.64
2010-02-23,84,88.0,,0.88,73.92
2010-02-24,76,88.0,,0.88,66.88
2010-02-25,98,88.0,,0.88,86.24
2010-02-26,86,88.0,,0.88,75.68
2010-02-27,61,88.0,,0.88,53.68
2010-02-28,54,88.0,,0.88,47.52
2010-03-01,87,91.0,False,0.91,79.17
2010-03-02,90,91.0,,0.91,81.9
2010-03-03,86,91.0,,0.91,78.26
2010-03-04,100,91.0,,0.91,91.0
2010-03-05,84,91.0,,0.91,76.44
2010-03-06,69,91.0,,0.91,62.79
2010-03-07,70,91.0,,0.91,63.7
2010-03-08,91,91.0,,0.91,82.81
2010-03-09,84,91.0,,0.91,76.44
2010-03-10,92,91.0,,0.91,83.72
2010-03-11,98,91.0,,0.91,89.18
2010-03-12,86,91.0,,0.91,78.26
2010-03-13,69,91.0,,0.91,62.79
2010-03-14,62,91.0,,0.91,56.42
2010-03-15,90,91.0,,0.91,81.9
2010-03-16,90,91.0,,0.91,81.9
2010-03-17,93,91.0,,0.91,84.63000000000001
2010-03-18,96,91.0,,0.91,87.36
2010-03-19,82,91.0,,0.91,74.62
2010-03-20,57,91.0,,0.91,51.870000000000005
2010-03-21,62,91.0,,0.91,56.42
2010-03-22,79,91.0,,0.91,71.89
2010-03-23,78,91.0,,0.91,70.98
2010-03-24,82,91.0,,0.91,74.62
2010-03-25,87,91.0,,0.91,79.17
2010-03-26,88,91.0,,0.91,80.08
2010-03-27,66,91.0,,0.91,60.06
2010-03-28,67,91.0,,0.91,60.97
2010-03-29,77,91.0,,0.91,70.07000000000001
2010-03-30,86,91.0,,0.91,78.26
2010-03-31,90,91.0,,0.91,81.9
2010-04-01,88,86.0,False,0.86,75.67999999999999
2010-04-02,80,86.0,,0.86,68.8
2010-04-03,76,86.0,,0.86,65.36
2010-04-04,75,86.0,,0.86,64.5
2010-04-05,96,86.0,,0.86,82.56
2010-04-06,87,86.0,,0.86,74.82
2010-04-07,100,86.0,,0.86,86.0
2010-04-08,77,86.0,,0.86,66.22
2010-04-09,83,86.0,,0.86,71.38
2010-04-10,79,86.0,,0.86,67.94
2010-04-11,66,86.0,,0.86,56.76
2010-04-12,76,86.0,,0.86,65.36
2010-04-13,84,86.0,,0.86,72.24
2010-04-14,94,86.0,,0.86,80.84
2010-04-15,87,86.0,,0.86,74.82
2010-04-16,76,86.0,,0.86,65.36
2010-04-17,71,86.0,,0.86,61.06
2010-04-18,69,86.0,,0.86,59.339999999999996
2010-04-19,83,86.0,,0.86,71.38
2010-04-20,94,86.0,,0.86,80.84
2010-04-21,84,86.0,,0.86,72.24
2010-04-22,94,86.0,,0.86,80.84
2010-04-23,89,86.0,,0.86,76.53999999999999
2010-04-24,62,86.0,,0.86,53.32
2010-04-25,70,86.0,,0.86,60.199999999999996
2010-04-26,82,86.0,,0.86,70.52
2010-04-27,80,86.0,,0.86,68.8
2010-04-28,84,86.0,,0.86,72.24
2010-04-29,95,86.0,,0.86,81.7
2010-04-30,82,86.0,,0.86,70.52
2010-05-01,74,85.0,False,0.85,62.9
2010-05-02,73,85.0,,0.85,62.05
2010-05-03,79,85.0,,0.85,67.14999999999999
2010-05-04,100,85.0,,0.85,85.0
2010-05-05,96,85.0,,0.85,81.6
2010-05-06,88,85.0,,0.85,74.8
2010-05-07,88,85.0,,0.85,74.8
2010-05-08,73,85.0,,0.85,62.05
2010-05-09,72,85.0,,0.85,61.199999999999996
2010-05-10,80,85.0,,0.85,68.0
2010-05-11,87,85.0,,0.85,73.95
2010-05-12,98,85.0,,0.85,83.3
2010-05-13,89,85.0,,0.85,75.64999999999999
2010-05-14,81,85.0,,0.85,68.85
2010-05-15,70,85.0,,0.85,59.5
2010-05-16,64,85.0,,0.85,54.4
2010-05-17,93,85.0,,0.85,79.05
2010-05-18,83,85.0,,0.85,70.55
2010-05-19,100,85.0,,0.85,85.0
2010-05-20,92,85.0,,0.85,78.2
2010-05-21,86,85.0,,0.85,73.1
2010-05-22,75,85.0,,0.85,63.75
2010-05-23,68,85.0,,0.85,57.8
2010-05-24,84,85.0,,0.85,71.39999999999999
2010-05-25,84,85.0,,0.85,71.39999999999999
2010-05-26,92,85.0,,0.85,78.2
2010-05-27,77,85.0,,0.85,65.45
2010-05-28,87,85.0,,0.85,73.95
2010-05-29,66,85.0,,0.85,56.1
2010-05-30,52,85.0,,0.85,44.199999999999996
2010-05-31,57,85.0,,0.85,48.449999999999996
2010-06-01,70,87.0,False,0.87,60.9
2010-06-02,85,87.0,,0.87,73.95
2010-06-03,79,87.0,,0.87,68.73
2010-06-04,100,87.0,,0.87,87.0
2010-06-05,71,87.0,,0.87,61.77
2010-06-06,57,87.0,,0.87,49.589999999999996
2010-06-07,88,87.0,,0.87,76.56
2010-06-08,84,87.0,,0.87,73.08
2010-06-09,84,87.0,,0.87,73.08
