date,derivatives_unscaled,derivatives_monthly,isPartial,scale,derivatives
2010-01-01,15,55.0,False,0.55,8.25
2010-01-02,24,55.0,,0.55,13.200000000000001
2010-01-03,18,55.0,,0.55,9.9
2010-01-04,38,55.0,,0.55,20.900000000000002
2010-01-05,73,55.0,,0.55,40.150000000000006
2010-01-06,53,55.0,,0.55,29.150000000000002
2010-01-07,37,55.0,,0.55,20.35
2010-01-08,33,55.0,,0.55,18.150000000000002
2010-01-09,23,55.0,,0.55,12.65
2010-01-10,65,55.0,,0.55,35.75
2010-01-11,73,55.0,,0.55,40.150000000000006
2010-01-12,44,55.0,,0.55,24.200000000000003
2010-01-13,100,55.0,,0.55,55.00000000000001
2010-01-14,80,55.0,,0.55,44.0
2010-01-15,50,55.0,,0.55,27.500000000000004
2010-01-16,29,55.0,,0.55,15.950000000000001
2010-01-17,41,55.0,,0.55,22.55
2010-01-18,53,55.0,,0.55,29.150000000000002
2010-01-19,78,55.0,,0.55,42.900000000000006
2010-01-20,93,55.0,,0.55,51.150000000000006
2010-01-21,86,55.0,,0.55,47.300000000000004
2010-01-22,86,55.0,,0.55,47.300000000000004
2010-01-23,51,55.0,,0.55,28.05
2010-01-24,40,55.0,,0.55,22.0
2010-01-25,66,55.0,,0.55,36.300000000000004
2010-01-26,88,55.0,,0.55,48.400000000000006
2010-01-27,99,55.0,,0.55,54.45
2010-01-28,85,55.0,,0.55,46.75000000000001
2010-01-29,73,55.0,,0.55,40.150000000000006
2010-01-30,55,55.0,,0.55,30.250000000000004
2010-01-31,78,55.0,,0.55,42.900000000000006
2010-02-01,45,90.0,False,0.9,40.5
2010-02-02,57,90.0,,0.9,51.300000000000004
2010-02-03,49,90.0,,0.9,44.1
2010-02-04,58,90.0,,0.9,52.2
2010-02-05,57,90.0,,0.9,51.300000000000004
2010-02-06,32,90.0,,0.9,28.8
2010-02-07,33,90.0,,0.9,29.7
2010-02-08,37,90.0,,0.9,33.300000000000004
2010-02-09,45,90.0,,0.9,40.5
2010-02-10,84,90.0,,0.9,75.60000000000001
2010-02-11,82,90.0,,0.9,73.8
2010-02-12,53,90.0,,0.9,47.7
2010-02-13,7,90.0,,0.9,6.3
2010-02-14,56,90.0,,0.9,50.4
2010-02-15,41,90.0,,0.9,36.9
2010-02-16,54,90.0,,0.9,48.6
2010-02-17,100,90.0,,0.9,90.0
2010-02-18,77,90.0,,0.9,69.3
2010-02-19,43,90.0,,0.9,38.7
2010-02-20,52,90.0,,0.9,46.800000000000004
2010-02-21,33,90.0,,0.9,29.7
2010-02-22,58,90.0,,0.9,52.2
2010-02-23,83,90.0,,0.9,74.7
2010-02-24,71,90.0,,0.9,63.9
2010-02-25,40,90.0,,0.9,36.0
2010-02-26,28,90.0,,0.9,25.2
2010-02-27,38,90.0,,0.9,34.2
2010-02-28,27,90.0,,0.9,24.3
2010-03-01,71,67.0,False,0.67,47.57
2010-03-02,81,67.0,,0.67,54.27
2010-03-03,99,67.0,,0.67,66.33
2010-03-04,95,67.0,,0.67,63.650000000000006
2010-03-05,73,67.0,,0.67,48.910000000000004
2010-03-06,63,67.0,,0.67,42.21
2010-03-07,74,67.0,,0.67,49.580000000000005
2010-03-08,57,67.0,,0.67,38.190000000000005
2010-03-09,77,67.0,,0.67,51.59
2010-03-10,81,67.0,,0.67,54.27
2010-03-11,82,67.0,,0.67,54.940000000000005
2010-03-12,78,67.0,,0.67,52.260000000000005
2010-03-13,23,67.0,,0.67,15.41
2010-03-14,57,67.0,,0.67,38.190000000000005
2010-03-15,66,67.0,,0.67,44.220000000000006
2010-03-16,79,67.0,,0.67,52.93
2010-03-17,47,67.0,,0.67,31.490000000000002
2010-03-18,92,67.0,,0.67,61.64
2010-03-19,68,67.0,,0.67,45.56
2010-03-20,30,67.0,,0.67,20.1
2010-03-21,43,67.0,,0.67,28.810000000000002
2010-03-22,97,67.0,,0.67,64.99000000000001
2010-03-23,61,67.0,,0.67,40.870000000000005
2010-03-24,55,67.0,,0.67,36.85
2010-03-25,68,67.0,,0.67,45.56
2010-03-26,62,67.0,,0.67,41.54
2010-03-27,34,67.0,,0.67,22.78
2010-03-28,68,67.0,,0.67,45.56
2010-03-29,68,67.0,,0.67,45.56
2010-03-30,77,67.0,,0.67,51.59
2010-03-31,100,67.0,,0.67,67.0
2010-04-01,32,100.0,False,1.0,32.0
2010-04-02,35,100.0,,1.0,35.0
2010-04-03,22,100.0,,1.0,22.0
2010-04-04,18,100.0,,1.0,18.0
2010-04-05,36,100.0,,1.0,36.0
2010-04-06,38,100.0,,1.0,38.0
2010-04-07,49,100.0,,1.0,49.0
2010-04-08,42,100.0,,1.0,42.0
2010-04-09,21,100.0,,1.0,21.0
2010-04-10,21,100.0,,1.0,21.0
2010-04-11,13,100.0,,1.0,13.0
2010-04-12,33,100.0,,1.0,33.0
2010-04-13,41,100.0,,1.0,41.0
2010-04-14,57,100.0,,1.0,57.0
2010-04-15,52,100.0,,1.0,52.0
2010-04-16,38,100.0,,1.0,38.0
2010-04-17,49,100.0,,1.0,49.0
2010-04-18,41,100.0,,1.0,41.0
2010-04-19,35,100.0,,1.0,35.0
2010-04-20,55,100.0,,1.0,55.0
2010-04-21,68,100.0,,1.0,68.0
2010-04-22,71,100.0,,1.0,71.0
2010-04-23,57,100.0,,1.0,57.0
2010-04-24,31,100.0,,1.0,31.0
2010-04-25,41,100.0,,1.0,41.0
2010-04-26,100,100.0,,1.0,100.0
2010-04-27,93,100.0,,1.0,93.0
2010-04-28,72,100.0,,1.0,72.0
2010-04-29,53,100.0,,1.0,53.0
2010-04-30,49,100.0,,1.0,49.0
2010-05-01,27,73.0,False,0.73,19.71
2010-05-02,36,73.0,,0.73,26.28
2010-05-03,93,73.0,,0.73,67.89
2010-05-04,99,73.0,,0.73,72.27
2010-05-05,100,73.0,,0.73,73.0
2010-05-06,61,73.0,,0.73,44.53
2010-05-07,58,73.0,,0.73,42.339999999999996
2010-05-08,37,73.0,,0.73,27.009999999999998
2010-05-09,29,73.0,,0.73,21.169999999999998
2010-05-10,42,73.0,,0.73,30.66
2010-05-11,69,73.0,,0.73,50.37
2010-05-12,71,73.0,,0.73,51.83
2010-05-13,61,73.0,,0.73,44.53
2010-05-14,19,73.0,,0.73,13.87
2010-05-15,47,73.0,,0.73,34.31
2010-05-16,57,73.0,,0.73,41.61
2010-05-17,94,73.0,,0.73,68.62
2010-05-18,70,73.0,,0.73,51.1
2010-05-19,60,73.0,,0.73,43.8
2010-05-20,86,73.0,,0.73,62.78
2010-05-21,53,73.0,,0.73,38.69
2010-05-22,47,73.0,,0.73,34.31
2010-05-23,38,73.0,,0.73,27.74
2010-05-24,85,73.0,,0.73,62.05
2010-05-25,42,73.0,,0.73,30.66
2010-05-26,25,73.0,,0.73,18.25
2010-05-27,44,73.0,,0.73,32.12
2010-05-28,48,73.0,,0.73,35.04
2010-05-29,29,73.0,,0.73,21.169999999999998
2010-05-30,31,73.0,,0.73,22.63
2010-05-31,26,73.0,,0.73,18.98
2010-06-01,89,51.0,False,0.51,45.39
2010-06-02,97,51.0,,0.51,49.47
2010-06-03,40,51.0,,0.51,20.4
2010-06-04,43,51.0,,0.51,21.93
2010-06-05,13,51.0,,0.51,6.63
2010-06-06,47,51.0,,0.51,23.97
2010-06-07,80,51.0,,0.51,40.8
2010-06-08,66,51.0,,0.51,33.660000000000004
2010-06-09,71,51.0,,0.51,36.21
2010-06-10,100,51.0,,0.51,51.0
2010-06-11,54,51.0,,0.51,27.54
2010-06-12,28,51.0,,0.51,14.280000000000001
2010-06-13,48,51.0,,0.51,24.48
2010-06-14,54,51.0,,0.51,27.54
2010-06-15,81,51.0,,0.51,41.31
2010-06-16,59,51.0,,0.51,30.09
2010-06-17,75,51.0,,0.51,38.25
2010-06-18,51,51.0,,0.51,26.01
2010-06-19,28,51.0,,0.51,14.280000000000001
2010-06-20,29,51.0,,0.51,14.790000000000001
2010-06-21,64,51.0,,0.51,32.64
2010-06-22,62,51.0,,0.51,31.62
2010-06-23,94,51.0,,0.51,47.94
2010-06-24,96,51.0,,0.51,48.96
2010-06-25,93,51.0,,0.51,47.43
2010-06-26,41,51.0,,0.51,20.91
2010-06-27,35,51.0,,0.51,17.85
2010-06-28,54,51.0,,0.51,27.54
2010-06-29,53,51.0,,0.51,27.03
2010-06-30,95,51.0,,0.51,48.45
2010-07-01,66,45.0,False,0.45,29.7
2010-07-02,56,45.0,,0.45,25.2
2010-07-03,48,45.0,,0.45,21.6
2010-07-04,25,45.0,,0.45,11.25
2010-07-05,44,45.0,,0.45,19.8
2010-07-06,57,45.0,,0.45,25.650000000000002
2010-07-07,63,45.0,,0.45,28.35
2010-07-08,48,45.0,,0.45,21.6
2010-07-09,34,45.0,,0.45,15.3
2010-07-10,11,45.0,,0.45,4.95
2010-07-11,34,45.0,,0.45,15.3
2010-07-12,40,45.0,,0.45,18.0
2010-07-13,100,45.0,,0.45,45.0
2010-07-14,47,45.0,,0.45,21.150000000000002
2010-07-15,88,45.0,,0.45,39.6
2010-07-16,42,45.0,,0.45,18.900000000000002
2010-07-17,45,45.0,,0.45,20.25
2010-07-18,91,45.0,,0.45,40.95
2010-07-19,55,45.0,,0.45,24.75
2010-07-20,16,45.0,,0.45,7.2
2010-07-21,72,45.0,,0.45,32.4
2010-07-22,55,45.0,,0.45,24.75
2010-07-23,59,45.0,,0.45,26.55
2010-07-24,11,45.0,,0.45,4.95
2010-07-25,34,45.0,,0.45,15.3
2010-07-26,40,45.0,,0.45,18.0
2010-07-27,23,45.0,,0.45,10.35
2010-07-28,47,45.0,,0.45,21.150000000000002
2010-07-29,80,45.0,,0.45,36.0
