date,dividend_unscaled,dividend_monthly,isPartial,scale,dividend
2010-01-01,22,35.0,False,0.35,7.699999999999999
2010-01-02,37,35.0,,0.35,12.95
2010-01-03,32,35.0,,0.35,11.2
2010-01-04,98,35.0,,0.35,34.3
2010-01-05,100,35.0,,0.35,35.0
2010-01-06,77,35.0,,0.35,26.95
2010-01-07,73,35.0,,0.35,25.549999999999997
2010-01-08,75,35.0,,0.35,26.25
2010-01-09,52,35.0,,0.35,18.2
2010-01-10,49,35.0,,0.35,17.15
2010-01-11,98,35.0,,0.35,34.3
2010-01-12,57,35.0,,0.35,19.95
2010-01-13,60,35.0,,0.35,21.0
2010-01-14,48,35.0,,0.35,16.799999999999997
2010-01-15,69,35.0,,0.35,24.15
2010-01-16,57,35.0,,0.35,19.95
2010-01-17,44,35.0,,0.35,15.399999999999999
2010-01-18,66,35.0,,0.35,23.099999999999998
2010-01-19,61,35.0,,0.35,21.349999999999998
2010-01-20,70,35.0,,0.35,24.5
2010-01-21,50,35.0,,0.35,17.5
2010-01-22,61,35.0,,0.35,21.349999999999998
2010-01-23,42,35.0,,0.35,14.7
2010-01-24,47,35.0,,0.35,16.45
2010-01-25,44,35.0,,0.35,15.399999999999999
2010-01-26,66,35.0,,0.35,23.099999999999998
2010-01-27,52,35.0,,0.35,18.2
2010-01-28,69,35.0,,0.35,24.15
2010-01-29,61,35.0,,0.35,21.349999999999998
2010-01-30,62,35.0,,0.35,21.7
2010-01-31,71,35.0,,0.35,24.849999999999998
2010-02-01,57,41.0,False,0.41,23.369999999999997
2010-02-02,79,41.0,,0.41,32.39
2010-02-03,99,41.0,,0.41,40.589999999999996
2010-02-04,100,41.0,,0.41,41.0
2010-02-05,72,41.0,,0.41,29.52
2010-02-06,66,41.0,,0.41,27.06
2010-02-07,69,41.0,,0.41,28.29
2010-02-08,65,41.0,,0.41,26.65
2010-02-09,75,41.0,,0.41,30.749999999999996
2010-02-10,87,41.0,,0.41,35.669999999999995
2010-02-11,98,41.0,,0.41,40.18
2010-02-12,65,41.0,,0.41,26.65
2010-02-13,46,41.0,,0.41,18.86
2010-02-14,83,41.0,,0.41,34.03
2010-02-15,68,41.0,,0.41,27.88
2010-02-16,82,41.0,,0.41,33.62
2010-02-17,83,41.0,,0.41,34.03
2010-02-18,70,41.0,,0.41,28.7
2010-02-19,47,41.0,,0.41,19.27
2010-02-20,82,41.0,,0.41,33.62
2010-02-21,61,41.0,,0.41,25.009999999999998
2010-02-22,97,41.0,,0.41,39.769999999999996
2010-02-23,98,41.0,,0.41,40.18
2010-02-24,68,41.0,,0.41,27.88
2010-02-25,94,41.0,,0.41,38.54
2010-02-26,82,41.0,,0.41,33.62
2010-02-27,75,41.0,,0.41,30.749999999999996
2010-02-28,93,41.0,,0.41,38.129999999999995
2010-03-01,51,46.0,False,0.46,23.46
2010-03-02,79,46.0,,0.46,36.34
2010-03-03,57,46.0,,0.46,26.220000000000002
2010-03-04,69,46.0,,0.46,31.740000000000002
2010-03-05,71,46.0,,0.46,32.660000000000004
2010-03-06,33,46.0,,0.46,15.180000000000001
2010-03-07,63,46.0,,0.46,28.98
2010-03-08,63,46.0,,0.46,28.98
2010-03-09,81,46.0,,0.46,37.260000000000005
2010-03-10,54,46.0,,0.46,24.84
2010-03-11,72,46.0,,0.46,33.120000000000005
2010-03-12,80,46.0,,0.46,36.800000000000004
