date,earnings_unscaled,earnings_monthly,isPartial,scale,earnings
2010-01-01,26,40.0,False,0.4,10.4
2010-01-02,35,40.0,,0.4,14.0
2010-01-03,13,40.0,,0.4,5.2
2010-01-04,43,40.0,,0.4,17.2
2010-01-05,48,40.0,,0.4,19.200000000000003
2010-01-06,40,40.0,,0.4,16.0
2010-01-07,53,40.0,,0.4,21.200000000000003
2010-01-08,43,40.0,,0.4,17.2
2010-01-09,33,40.0,,0.4,13.200000000000001
2010-01-10,18,40.0,,0.4,7.2
2010-01-11,73,40.0,,0.4,29.200000000000003
2010-01-12,85,40.0,,0.4,34.0
2010-01-13,66,40.0,,0.4,26.400000000000002
2010-01-14,91,40.0,,0.4,36.4
2010-01-15,86,40.0,,0.4,34.4
2010-01-16,39,40.0,,0.4,15.600000000000001
2010-01-17,52,40.0,,0.4,20.8
2010-01-18,59,40.0,,0.4,23.6
2010-01-19,76,40.0,,0.4,30.400000000000002
2010-01-20,88,40.0,,0.4,35.2
2010-01-21,100,40.0,,0.4,40.0
2010-01-22,85,40.0,,0.4,34.0
2010-01-23,41,40.0,,0.4,16.400000000000002
2010-01-24,56,40.0,,0.4,22.400000000000002
2010-01-25,70,40.0,,0.4,28.0
2010-01-26,98,40.0,,0.4,39.2
2010-01-27,92,40.0,,0.4,36.800000000000004
2010-01-28,94,40.0,,0.4,37.6
2010-01-29,60,40.0,,0.4,24.0
2010-01-30,37,40.0,,0.4,14.8
2010-01-31,51,40.0,,0.4,20.400000000000002
2010-02-01,89,35.0,False,0.35,31.15
2010-02-02,100,35.0,,0.35,35.0
2010-02-03,98,35.0,,0.35,34.3
2010-02-04,68,35.0,,0.35,23.799999999999997
2010-02-05,58,35.0,,0.35,20.299999999999997
2010-02-06,58,35.0,,0.35,20.299999999999997
2010-02-07,56,35.0,,0.35,19.599999999999998
2010-02-08,88,35.0,,0.35,30.799999999999997
2010-02-09,62,35.0,,0.35,21.7
2010-02-10,87,35.0,,0.35,30.45
2010-02-11,69,35.0,,0.35,24.15
2010-02-12,53,35.0,,0.35,18.549999999999997
2010-02-13,32,35.0,,0.35,11.2
2010-02-14,54,35.0,,0.35,18.9
2010-02-15,49,35.0,,0.35,17.15
2010-02-16,51,35.0,,0.35,17.849999999999998
2010-02-17,67,35.0,,0.35,23.45
2010-02-18,83,35.0,,0.35,29.049999999999997
2010-02-19,58,35.0,,0.35,20.299999999999997
2010-02-20,39,35.0,,0.35,13.649999999999999
2010-02-21,52,35.0,,0.35,18.2
2010-02-22,87,35.0,,0.35,30.45
2010-02-23,59,35.0,,0.35,20.65
2010-02-24,66,35.0,,0.35,23.099999999999998
2010-02-25,72,35.0,,0.35,25.2
2010-02-26,56,35.0,,0.35,19.599999999999998
2010-02-27,49,35.0,,0.35,17.15
2010-02-28,53,35.0,,0.35,18.549999999999997
2010-03-01,100,29.0,False,0.29,28.999999999999996
2010-03-02,73,29.0,,0.29,21.169999999999998
2010-03-03,71,29.0,,0.29,20.59
2010-03-04,74,29.0,,0.29,21.459999999999997
2010-03-05,73,29.0,,0.29,21.169999999999998
2010-03-06,60,29.0,,0.29,17.4
2010-03-07,51,29.0,,0.29,14.79
2010-03-08,64,29.0,,0.29,18.56
2010-03-09,88,29.0,,0.29,25.52
2010-03-10,70,29.0,,0.29,20.299999999999997
2010-03-11,57,29.0,,0.29,16.529999999999998
