date,economics_unscaled,economics_monthly,isPartial,scale,economics
2010-01-01,25,94.0,False,0.94,23.5
2010-01-02,28,94.0,,0.94,26.32
2010-01-03,48,94.0,,0.94,45.12
2010-01-04,61,94.0,,0.94,57.339999999999996
2010-01-05,75,94.0,,0.94,70.5
2010-01-06,62,94.0,,0.94,58.279999999999994
2010-01-07,53,94.0,,0.94,49.82
2010-01-08,62,94.0,,0.94,58.279999999999994
2010-01-09,56,94.0,,0.94,52.64
2010-01-10,46,94.0,,0.94,43.239999999999995
2010-01-11,60,94.0,,0.94,56.4
2010-01-12,92,94.0,,0.94,86.47999999999999
2010-01-13,80,94.0,,0.94,75.19999999999999
2010-01-14,67,94.0,,0.94,62.98
2010-01-15,78,94.0,,0.94,73.32
2010-01-16,59,94.0,,0.94,55.459999999999994
2010-01-17,46,94.0,,0.94,43.239999999999995
2010-01-18,65,94.0,,0.94,61.099999999999994
2010-01-19,65,94.0,,0.94,61.099999999999994
2010-01-20,77,94.0,,0.94,72.38
2010-01-21,73,94.0,,0.94,68.61999999999999
2010-01-22,88,94.0,,0.94,82.72
2010-01-23,59,94.0,,0.94,55.459999999999994
2010-01-24,56,94.0,,0.94,52.64
2010-01-25,97,94.0,,0.94,91.17999999999999
2010-01-26,100,94.0,,0.94,94.0
2010-01-27,82,94.0,,0.94,77.08
2010-01-28,79,94.0,,0.94,74.25999999999999
2010-01-29,81,94.0,,0.94,76.14
2010-01-30,64,94.0,,0.94,60.16
2010-01-31,56,94.0,,0.94,52.64
2010-02-01,85,94.0,False,0.94,79.89999999999999
2010-02-02,89,94.0,,0.94,83.66
2010-02-03,85,94.0,,0.94,79.89999999999999
2010-02-04,87,94.0,,0.94,81.78
2010-02-05,86,94.0,,0.94,80.83999999999999
2010-02-06,54,94.0,,0.94,50.76
2010-02-07,66,94.0,,0.94,62.04
2010-02-08,82,94.0,,0.94,77.08
2010-02-09,80,94.0,,0.94,75.19999999999999
2010-02-10,81,94.0,,0.94,76.14
2010-02-11,84,94.0,,0.94,78.96
2010-02-12,75,94.0,,0.94,70.5
2010-02-13,40,94.0,,0.94,37.599999999999994
2010-02-14,60,94.0,,0.94,56.4
2010-02-15,63,94.0,,0.94,59.22
2010-02-16,77,94.0,,0.94,72.38
2010-02-17,100,94.0,,0.94,94.0
2010-02-18,88,94.0,,0.94,82.72
2010-02-19,73,94.0,,0.94,68.61999999999999
2010-02-20,49,94.0,,0.94,46.059999999999995
2010-02-21,52,94.0,,0.94,48.879999999999995
2010-02-22,86,94.0,,0.94,80.83999999999999
2010-02-23,91,94.0,,0.94,85.53999999999999
2010-02-24,90,94.0,,0.94,84.6
2010-02-25,82,94.0,,0.94,77.08
2010-02-26,67,94.0,,0.94,62.98
2010-02-27,51,94.0,,0.94,47.94
2010-02-28,64,94.0,,0.94,60.16
2010-03-01,89,90.0,False,0.9,80.10000000000001
2010-03-02,88,90.0,,0.9,79.2
2010-03-03,82,90.0,,0.9,73.8
2010-03-04,74,90.0,,0.9,66.60000000000001
2010-03-05,63,90.0,,0.9,56.7
2010-03-06,51,90.0,,0.9,45.9
2010-03-07,53,90.0,,0.9,47.7
2010-03-08,70,90.0,,0.9,63.0
2010-03-09,67,90.0,,0.9,60.300000000000004
2010-03-10,84,90.0,,0.9,75.60000000000001
2010-03-11,72,90.0,,0.9,64.8
2010-03-12,66,90.0,,0.9,59.4
2010-03-13,46,90.0,,0.9,41.4
2010-03-14,45,90.0,,0.9,40.5
2010-03-15,73,90.0,,0.9,65.7
2010-03-16,100,90.0,,0.9,90.0
2010-03-17,81,90.0,,0.9,72.9
2010-03-18,63,90.0,,0.9,56.7
2010-03-19,57,90.0,,0.9,51.300000000000004
2010-03-20,47,90.0,,0.9,42.300000000000004
2010-03-21,74,90.0,,0.9,66.60000000000001
2010-03-22,75,90.0,,0.9,67.5
2010-03-23,72,90.0,,0.9,64.8
2010-03-24,76,90.0,,0.9,68.4
2010-03-25,69,90.0,,0.9,62.1
2010-03-26,71,90.0,,0.9,63.9
2010-03-27,50,90.0,,0.9,45.0
2010-03-28,49,90.0,,0.9,44.1
2010-03-29,77,90.0,,0.9,69.3
2010-03-30,74,90.0,,0.9,66.60000000000001
2010-03-31,82,90.0,,0.9,73.8
2010-04-01,66,92.0,False,0.92,60.720000000000006
2010-04-02,61,92.0,,0.92,56.120000000000005
2010-04-03,46,92.0,,0.92,42.32
2010-04-04,45,92.0,,0.92,41.4
2010-04-05,81,92.0,,0.92,74.52000000000001
2010-04-06,83,92.0,,0.92,76.36
2010-04-07,81,92.0,,0.92,74.52000000000001
2010-04-08,69,92.0,,0.92,63.480000000000004
2010-04-09,65,92.0,,0.92,59.800000000000004
2010-04-10,40,92.0,,0.92,36.800000000000004
