date,economy_unscaled,economy_monthly,isPartial,scale,economy
2010-01-01,40,59.0,False,0.59,23.599999999999998
2010-01-02,42,59.0,,0.59,24.779999999999998
2010-01-03,59,59.0,,0.59,34.809999999999995
2010-01-04,52,59.0,,0.59,30.68
2010-01-05,59,59.0,,0.59,34.809999999999995
2010-01-06,74,59.0,,0.59,43.66
2010-01-07,66,59.0,,0.59,38.94
2010-01-08,60,59.0,,0.59,35.4
2010-01-09,35,59.0,,0.59,20.65
2010-01-10,60,59.0,,0.59,35.4
2010-01-11,73,59.0,,0.59,43.07
2010-01-12,82,59.0,,0.59,48.379999999999995
2010-01-13,72,59.0,,0.59,42.48
2010-01-14,86,59.0,,0.59,50.739999999999995
2010-01-15,64,59.0,,0.59,37.76
2010-01-16,48,59.0,,0.59,28.32
2010-01-17,47,59.0,,0.59,27.729999999999997
2010-01-18,55,59.0,,0.59,32.449999999999996
2010-01-19,72,59.0,,0.59,42.48
2010-01-20,82,59.0,,0.59,48.379999999999995
2010-01-21,73,59.0,,0.59,43.07
2010-01-22,51,59.0,,0.59,30.09
2010-01-23,41,59.0,,0.59,24.189999999999998
2010-01-24,50,59.0,,0.59,29.5
2010-01-25,95,59.0,,0.59,56.05
2010-01-26,100,59.0,,0.59,59.0
2010-01-27,92,59.0,,0.59,54.279999999999994
2010-01-28,86,59.0,,0.59,50.739999999999995
2010-01-29,81,59.0,,0.59,47.79
2010-01-30,48,59.0,,0.59,28.32
2010-01-31,68,59.0,,0.59,40.12
2010-02-01,87,70.0,False,0.7,60.9
2010-02-02,97,70.0,,0.7,67.89999999999999
2010-02-03,82,70.0,,0.7,57.4
2010-02-04,88,70.0,,0.7,61.599999999999994
2010-02-05,99,70.0,,0.7,69.3
2010-02-06,43,70.0,,0.7,30.099999999999998
2010-02-07,62,70.0,,0.7,43.4
2010-02-08,87,70.0,,0.7,60.9
2010-02-09,94,70.0,,0.7,65.8
2010-02-10,89,70.0,,0.7,62.3
2010-02-11,89,70.0,,0.7,62.3
2010-02-12,72,70.0,,0.7,50.4
2010-02-13,48,70.0,,0.7,33.599999999999994
2010-02-14,63,70.0,,0.7,44.099999999999994
2010-02-15,60,70.0,,0.7,42.0
2010-02-16,87,70.0,,0.7,60.9
2010-02-17,92,70.0,,0.7,64.39999999999999
2010-02-18,83,70.0,,0.7,58.099999999999994
2010-02-19,73,70.0,,0.7,51.099999999999994
2010-02-20,70,70.0,,0.7,49.0
2010-02-21,88,70.0,,0.7,61.599999999999994
2010-02-22,94,70.0,,0.7,65.8
2010-02-23,94,70.0,,0.7,65.8
2010-02-24,100,70.0,,0.7,70.0
2010-02-25,71,70.0,,0.7,49.699999999999996
2010-02-26,94,70.0,,0.7,65.8
2010-02-27,48,70.0,,0.7,33.599999999999994
2010-02-28,54,70.0,,0.7,37.8
2010-03-01,89,72.0,False,0.72,64.08
2010-03-02,91,72.0,,0.72,65.52
2010-03-03,86,72.0,,0.72,61.919999999999995
2010-03-04,82,72.0,,0.72,59.04
2010-03-05,75,72.0,,0.72,54.0
2010-03-06,55,72.0,,0.72,39.6
2010-03-07,64,72.0,,0.72,46.08
2010-03-08,80,72.0,,0.72,57.599999999999994
2010-03-09,87,72.0,,0.72,62.64
2010-03-10,84,72.0,,0.72,60.48
2010-03-11,98,72.0,,0.72,70.56
2010-03-12,73,72.0,,0.72,52.559999999999995
2010-03-13,49,72.0,,0.72,35.28
2010-03-14,58,72.0,,0.72,41.76
2010-03-15,72,72.0,,0.72,51.839999999999996
2010-03-16,72,72.0,,0.72,51.839999999999996
2010-03-17,74,72.0,,0.72,53.28
2010-03-18,78,72.0,,0.72,56.16
2010-03-19,62,72.0,,0.72,44.64
2010-03-20,50,72.0,,0.72,36.0
2010-03-21,64,72.0,,0.72,46.08
2010-03-22,92,72.0,,0.72,66.24
2010-03-23,100,72.0,,0.72,72.0
2010-03-24,83,72.0,,0.72,59.76
2010-03-25,89,72.0,,0.72,64.08
2010-03-26,77,72.0,,0.72,55.44
2010-03-27,43,72.0,,0.72,30.959999999999997
2010-03-28,57,72.0,,0.72,41.04
2010-03-29,76,72.0,,0.72,54.72
2010-03-30,70,72.0,,0.72,50.4
2010-03-31,75,72.0,,0.72,54.0
2010-04-01,65,75.0,False,0.75,48.75
2010-04-02,50,75.0,,0.75,37.5
2010-04-03,45,75.0,,0.75,33.75
2010-04-04,57,75.0,,0.75,42.75
2010-04-05,67,75.0,,0.75,50.25
2010-04-06,73,75.0,,0.75,54.75
2010-04-07,78,75.0,,0.75,58.5
2010-04-08,85,75.0,,0.75,63.75
2010-04-09,69,75.0,,0.75,51.75
2010-04-10,50,75.0,,0.75,37.5
2010-04-11,73,75.0,,0.75,54.75
2010-04-12,76,75.0,,0.75,57.0
2010-04-13,80,75.0,,0.75,60.0
2010-04-14,84,75.0,,0.75,63.0
2010-04-15,97,75.0,,0.75,72.75
2010-04-16,72,75.0,,0.75,54.0
2010-04-17,41,75.0,,0.75,30.75
2010-04-18,72,75.0,,0.75,54.0
2010-04-19,97,75.0,,0.75,72.75
2010-04-20,82,75.0,,0.75,61.5
2010-04-21,100,75.0,,0.75,75.0
2010-04-22,91,75.0,,0.75,68.25
2010-04-23,84,75.0,,0.75,63.0
2010-04-24,54,75.0,,0.75,40.5
2010-04-25,77,75.0,,0.75,57.75
2010-04-26,87,75.0,,0.75,65.25
2010-04-27,94,75.0,,0.75,70.5
2010-04-28,96,75.0,,0.75,72.0
2010-04-29,91,75.0,,0.75,68.25
2010-04-30,73,75.0,,0.75,54.75
2010-05-01,59,70.0,False,0.7,41.3
2010-05-02,72,70.0,,0.7,50.4
2010-05-03,100,70.0,,0.7,70.0
2010-05-04,99,70.0,,0.7,69.3
2010-05-05,91,70.0,,0.7,63.699999999999996
2010-05-06,93,70.0,,0.7,65.1
2010-05-07,84,70.0,,0.7,58.8
2010-05-08,55,70.0,,0.7,38.5
2010-05-09,65,70.0,,0.7,45.5
2010-05-10,92,70.0,,0.7,64.39999999999999
2010-05-11,83,70.0,,0.7,58.099999999999994
2010-05-12,86,70.0,,0.7,60.199999999999996
2010-05-13,86,70.0,,0.7,60.199999999999996
2010-05-14,83,70.0,,0.7,58.099999999999994
2010-05-15,58,70.0,,0.7,40.599999999999994
2010-05-16,62,70.0,,0.7,43.4
2010-05-17,88,70.0,,0.7,61.599999999999994
2010-05-18,81,70.0,,0.7,56.699999999999996
2010-05-19,84,70.0,,0.7,58.8
2010-05-20,86,70.0,,0.7,60.199999999999996
2010-05-21,67,70.0,,0.7,46.9
2010-05-22,49,70.0,,0.7,34.3
2010-05-23,59,70.0,,0.7,41.3
2010-05-24,68,70.0,,0.7,47.599999999999994
2010-05-25,86,70.0,,0.7,60.199999999999996
2010-05-26,75,70.0,,0.7,52.5
2010-05-27,82,70.0,,0.7,57.4
2010-05-28,66,70.0,,0.7,46.199999999999996
2010-05-29,51,70.0,,0.7,35.699999999999996
2010-05-30,60,70.0,,0.7,42.0
2010-05-31,59,70.0,,0.7,41.3
2010-06-01,100,48.0,False,0.48,48.0
2010-06-02,83,48.0,,0.48,39.839999999999996
2010-06-03,77,48.0,,0.48,36.96
2010-06-04,66,48.0,,0.48,31.68
2010-06-05,62,48.0,,0.48,29.759999999999998
2010-06-06,55,48.0,,0.48,26.4
2010-06-07,60,48.0,,0.48,28.799999999999997
2010-06-08,62,48.0,,0.48,29.759999999999998
2010-06-09,77,48.0,,0.48,36.96
2010-06-10,62,48.0,,0.48,29.759999999999998
2010-06-11,66,48.0,,0.48,31.68
2010-06-12,40,48.0,,0.48,19.2
2010-06-13,57,48.0,,0.48,27.36
2010-06-14,60,48.0,,0.48,28.799999999999997
2010-06-15,62,48.0,,0.48,29.759999999999998
2010-06-16,66,48.0,,0.48,31.68
2010-06-17,62,48.0,,0.48,29.759999999999998
2010-06-18,53,48.0,,0.48,25.439999999999998
2010-06-19,44,48.0,,0.48,21.119999999999997
2010-06-20,46,48.0,,0.48,22.08
2010-06-21,56,48.0,,0.48,26.88
2010-06-22,41,48.0,,0.48,19.68
2010-06-23,59,48.0,,0.48,28.32
2010-06-24,48,48.0,,0.48,23.04
2010-06-25,50,48.0,,0.48,24.0
2010-06-26,53,48.0,,0.48,25.439999999999998
2010-06-27,38,48.0,,0.48,18.24
2010-06-28,46,48.0,,0.48,22.08
2010-06-29,54,48.0,,0.48,25.919999999999998
2010-06-30,62,48.0,,0.48,29.759999999999998
2010-07-01,88,42.0,False,0.42,36.96
2010-07-02,81,42.0,,0.42,34.019999999999996
2010-07-03,67,42.0,,0.42,28.14
2010-07-04,57,42.0,,0.42,23.939999999999998
2010-07-05,74,42.0,,0.42,31.08
2010-07-06,95,42.0,,0.42,39.9
2010-07-07,81,42.0,,0.42,34.019999999999996
2010-07-08,100,42.0,,0.42,42.0
2010-07-09,73,42.0,,0.42,30.66
2010-07-10,57,42.0,,0.42,23.939999999999998
2010-07-11,74,42.0,,0.42,31.08
2010-07-12,81,42.0,,0.42,34.019999999999996
2010-07-13,93,42.0,,0.42,39.059999999999995
2010-07-14,70,42.0,,0.42,29.4
2010-07-15,97,42.0,,0.42,40.74
2010-07-16,90,42.0,,0.42,37.8
2010-07-17,58,42.0,,0.42,24.36
2010-07-18,63,42.0,,0.42,26.459999999999997
2010-07-19,73,42.0,,0.42,30.66
2010-07-20,73,42.0,,0.42,30.66
2010-07-21,86,42.0,,0.42,36.12
2010-07-22,71,42.0,,0.42,29.82
2010-07-23,71,42.0,,0.42,29.82
2010-07-24,67,42.0,,0.42,28.14
2010-07-25,69,42.0,,0.42,28.98
2010-07-26,84,42.0,,0.42,35.28
2010-07-27,71,42.0,,0.42,29.82
2010-07-28,64,42.0,,0.42,26.88
2010-07-29,86,42.0,,0.42,36.12
2010-07-30,76,42.0,,0.42,31.919999999999998
2010-07-31,68,42.0,,0.42,28.56
2010-08-01,59,46.0,False,0.46,27.14
2010-08-02,65,46.0,,0.46,29.900000000000002
2010-08-03,82,46.0,,0.46,37.72
2010-08-04,57,46.0,,0.46,26.220000000000002
2010-08-05,60,46.0,,0.46,27.6
2010-08-06,53,46.0,,0.46,24.380000000000003
2010-08-07,50,46.0,,0.46,23.0
2010-08-08,51,46.0,,0.46,23.46
2010-08-09,65,46.0,,0.46,29.900000000000002
2010-08-10,58,46.0,,0.46,26.68
2010-08-11,80,46.0,,0.46,36.800000000000004
