date,energy_unscaled,energy_monthly,isPartial,scale,energy
2010-01-01,48,88.0,False,0.88,42.24
2010-01-02,55,88.0,,0.88,48.4
2010-01-03,52,88.0,,0.88,45.76
2010-01-04,95,88.0,,0.88,83.6
2010-01-05,97,88.0,,0.88,85.36
2010-01-06,92,88.0,,0.88,80.96
2010-01-07,88,88.0,,0.88,77.44
2010-01-08,87,88.0,,0.88,76.56
2010-01-09,59,88.0,,0.88,51.92
2010-01-10,60,88.0,,0.88,52.8
2010-01-11,98,88.0,,0.88,86.24
2010-01-12,94,88.0,,0.88,82.72
2010-01-13,93,88.0,,0.88,81.84
2010-01-14,95,88.0,,0.88,83.6
2010-01-15,93,88.0,,0.88,81.84
2010-01-16,54,88.0,,0.88,47.52
2010-01-17,49,88.0,,0.88,43.12
2010-01-18,74,88.0,,0.88,65.12
2010-01-19,90,88.0,,0.88,79.2
2010-01-20,90,88.0,,0.88,79.2
2010-01-21,96,88.0,,0.88,84.48
2010-01-22,89,88.0,,0.88,78.32000000000001
2010-01-23,57,88.0,,0.88,50.160000000000004
2010-01-24,64,88.0,,0.88,56.32
2010-01-25,100,88.0,,0.88,88.0
2010-01-26,96,88.0,,0.88,84.48
2010-01-27,97,88.0,,0.88,85.36
2010-01-28,98,88.0,,0.88,86.24
2010-01-29,93,88.0,,0.88,81.84
2010-01-30,62,88.0,,0.88,54.56
2010-01-31,65,88.0,,0.88,57.2
2010-02-01,71,100.0,False,1.0,71.0
2010-02-02,68,100.0,,1.0,68.0
2010-02-03,73,100.0,,1.0,73.0
2010-02-04,72,100.0,,1.0,72.0
2010-02-05,66,100.0,,1.0,66.0
2010-02-06,42,100.0,,1.0,42.0
2010-02-07,47,100.0,,1.0,47.0
2010-02-08,73,100.0,,1.0,73.0
2010-02-09,76,100.0,,1.0,76.0
2010-02-10,75,100.0,,1.0,75.0
2010-02-11,75,100.0,,1.0,75.0
2010-02-12,66,100.0,,1.0,66.0
2010-02-13,40,100.0,,1.0,40.0
2010-02-14,41,100.0,,1.0,41.0
2010-02-15,65,100.0,,1.0,65.0
2010-02-16,70,100.0,,1.0,70.0
2010-02-17,70,100.0,,1.0,70.0
2010-02-18,70,100.0,,1.0,70.0
2010-02-19,66,100.0,,1.0,66.0
2010-02-20,50,100.0,,1.0,50.0
2010-02-21,47,100.0,,1.0,47.0
2010-02-22,100,100.0,,1.0,100.0
2010-02-23,89,100.0,,1.0,89.0
2010-02-24,91,100.0,,1.0,91.0
2010-02-25,90,100.0,,1.0,90.0
2010-02-26,81,100.0,,1.0,81.0
2010-02-27,46,100.0,,1.0,46.0
2010-02-28,55,100.0,,1.0,55.0
2010-03-01,99,98.0,False,0.98,97.02
2010-03-02,86,98.0,,0.98,84.28
2010-03-03,99,98.0,,0.98,97.02
2010-03-04,94,98.0,,0.98,92.12
2010-03-05,92,98.0,,0.98,90.16
2010-03-06,58,98.0,,0.98,56.839999999999996
2010-03-07,55,98.0,,0.98,53.9
2010-03-08,95,98.0,,0.98,93.1
2010-03-09,86,98.0,,0.98,84.28
2010-03-10,100,98.0,,0.98,98.0
2010-03-11,92,98.0,,0.98,90.16
2010-03-12,76,98.0,,0.98,74.48
2010-03-13,56,98.0,,0.98,54.879999999999995
2010-03-14,53,98.0,,0.98,51.94
2010-03-15,90,98.0,,0.98,88.2
2010-03-16,86,98.0,,0.98,84.28
2010-03-17,80,98.0,,0.98,78.4
2010-03-18,85,98.0,,0.98,83.3
2010-03-19,81,98.0,,0.98,79.38
2010-03-20,47,98.0,,0.98,46.06
2010-03-21,59,98.0,,0.98,57.82
2010-03-22,96,98.0,,0.98,94.08
2010-03-23,89,98.0,,0.98,87.22
2010-03-24,85,98.0,,0.98,83.3
2010-03-25,87,98.0,,0.98,85.26
2010-03-26,84,98.0,,0.98,82.32
2010-03-27,56,98.0,,0.98,54.879999999999995
2010-03-28,51,98.0,,0.98,49.98
2010-03-29,83,98.0,,0.98,81.34
2010-03-30,84,98.0,,0.98,82.32
2010-03-31,87,98.0,,0.98,85.26
2010-04-01,85,98.0,False,0.98,83.3
2010-04-02,72,98.0,,0.98,70.56
2010-04-03,52,98.0,,0.98,50.96
2010-04-04,48,98.0,,0.98,47.04
2010-04-05,85,98.0,,0.98,83.3
2010-04-06,97,98.0,,0.98,95.06
2010-04-07,91,98.0,,0.98,89.17999999999999
2010-04-08,88,98.0,,0.98,86.24
2010-04-09,83,98.0,,0.98,81.34
2010-04-10,54,98.0,,0.98,52.92
2010-04-11,59,98.0,,0.98,57.82
2010-04-12,99,98.0,,0.98,97.02
2010-04-13,95,98.0,,0.98,93.1
2010-04-14,100,98.0,,0.98,98.0
2010-04-15,94,98.0,,0.98,92.12
2010-04-16,84,98.0,,0.98,82.32
2010-04-17,58,98.0,,0.98,56.839999999999996
2010-04-18,57,98.0,,0.98,55.86
2010-04-19,98,98.0,,0.98,96.03999999999999
2010-04-20,90,98.0,,0.98,88.2
2010-04-21,86,98.0,,0.98,84.28
2010-04-22,95,98.0,,0.98,93.1
2010-04-23,86,98.0,,0.98,84.28
2010-04-24,51,98.0,,0.98,49.98
2010-04-25,56,98.0,,0.98,54.879999999999995
2010-04-26,84,98.0,,0.98,82.32
2010-04-27,84,98.0,,0.98,82.32
2010-04-28,91,98.0,,0.98,89.17999999999999
2010-04-29,89,98.0,,0.98,87.22
2010-04-30,84,98.0,,0.98,82.32
2010-05-01,57,87.0,False,0.87,49.589999999999996
2010-05-02,59,87.0,,0.87,51.33
2010-05-03,100,87.0,,0.87,87.0
2010-05-04,95,87.0,,0.87,82.65
2010-05-05,90,87.0,,0.87,78.3
2010-05-06,95,87.0,,0.87,82.65
2010-05-07,82,87.0,,0.87,71.34
2010-05-08,54,87.0,,0.87,46.98
2010-05-09,54,87.0,,0.87,46.98
2010-05-10,94,87.0,,0.87,81.78
2010-05-11,86,87.0,,0.87,74.82
2010-05-12,92,87.0,,0.87,80.04
2010-05-13,91,87.0,,0.87,79.17
2010-05-14,86,87.0,,0.87,74.82
2010-05-15,46,87.0,,0.87,40.02
2010-05-16,54,87.0,,0.87,46.98
2010-05-17,85,87.0,,0.87,73.95
2010-05-18,90,87.0,,0.87,78.3
2010-05-19,83,87.0,,0.87,72.21
2010-05-20,81,87.0,,0.87,70.47
2010-05-21,79,87.0,,0.87,68.73
2010-05-22,50,87.0,,0.87,43.5
2010-05-23,54,87.0,,0.87,46.98
2010-05-24,83,87.0,,0.87,72.21
