date,fed_unscaled,fed_monthly,isPartial,scale,fed
2010-01-01,51,65.0,False,0.65,33.15
2010-01-02,61,65.0,,0.65,39.65
2010-01-03,56,65.0,,0.65,36.4
2010-01-04,81,65.0,,0.65,52.65
2010-01-05,90,65.0,,0.65,58.5
2010-01-06,83,65.0,,0.65,53.95
2010-01-07,92,65.0,,0.65,59.800000000000004
2010-01-08,100,65.0,,0.65,65.0
2010-01-09,73,65.0,,0.65,47.45
2010-01-10,45,65.0,,0.65,29.25
2010-01-11,93,65.0,,0.65,60.45
2010-01-12,84,65.0,,0.65,54.6
2010-01-13,96,65.0,,0.65,62.400000000000006
2010-01-14,96,65.0,,0.65,62.400000000000006
2010-01-15,86,65.0,,0.65,55.9
2010-01-16,66,65.0,,0.65,42.9
2010-01-17,43,65.0,,0.65,27.95
2010-01-18,69,65.0,,0.65,44.85
2010-01-19,79,65.0,,0.65,51.35
2010-01-20,85,65.0,,0.65,55.25
2010-01-21,90,65.0,,0.65,58.5
2010-01-22,85,65.0,,0.65,55.25
2010-01-23,62,65.0,,0.65,40.300000000000004
2010-01-24,47,65.0,,0.65,30.55
2010-01-25,88,65.0,,0.65,57.2
2010-01-26,99,65.0,,0.65,64.35000000000001
2010-01-27,96,65.0,,0.65,62.400000000000006
2010-01-28,93,65.0,,0.65,60.45
2010-01-29,76,65.0,,0.65,49.4
2010-01-30,65,65.0,,0.65,42.25
2010-01-31,49,65.0,,0.65,31.85
2010-02-01,69,69.0,False,0.69,47.61
2010-02-02,80,69.0,,0.69,55.199999999999996
2010-02-03,75,69.0,,0.69,51.74999999999999
2010-02-04,84,69.0,,0.69,57.959999999999994
2010-02-05,71,69.0,,0.69,48.989999999999995
2010-02-06,53,69.0,,0.69,36.57
2010-02-07,46,69.0,,0.69,31.74
2010-02-08,72,69.0,,0.69,49.67999999999999
2010-02-09,80,69.0,,0.69,55.199999999999996
2010-02-10,72,69.0,,0.69,49.67999999999999
2010-02-11,86,69.0,,0.69,59.339999999999996
2010-02-12,76,69.0,,0.69,52.44
2010-02-13,50,69.0,,0.69,34.5
2010-02-14,37,69.0,,0.69,25.529999999999998
2010-02-15,68,69.0,,0.69,46.919999999999995
2010-02-16,74,69.0,,0.69,51.059999999999995
2010-02-17,76,69.0,,0.69,52.44
2010-02-18,85,69.0,,0.69,58.65
2010-02-19,100,69.0,,0.69,69.0
2010-02-20,62,69.0,,0.69,42.779999999999994
2010-02-21,39,69.0,,0.69,26.909999999999997
2010-02-22,78,69.0,,0.69,53.81999999999999
2010-02-23,74,69.0,,0.69,51.059999999999995
2010-02-24,72,69.0,,0.69,49.67999999999999
2010-02-25,81,69.0,,0.69,55.88999999999999
