date,finance_unscaled,finance_monthly,isPartial,scale,finance
2010-01-01,38,54.0,False,0.54,20.520000000000003
2010-01-02,37,54.0,,0.54,19.98
2010-01-03,38,54.0,,0.54,20.520000000000003
2010-01-04,86,54.0,,0.54,46.440000000000005
2010-01-05,88,54.0,,0.54,47.52
2010-01-06,91,54.0,,0.54,49.14
2010-01-07,89,54.0,,0.54,48.06
2010-01-08,90,54.0,,0.54,48.6
2010-01-09,52,54.0,,0.54,28.080000000000002
2010-01-10,46,54.0,,0.54,24.840000000000003
2010-01-11,85,54.0,,0.54,45.900000000000006
2010-01-12,91,54.0,,0.54,49.14
2010-01-13,86,54.0,,0.54,46.440000000000005
2010-01-14,87,54.0,,0.54,46.980000000000004
2010-01-15,88,54.0,,0.54,47.52
2010-01-16,54,54.0,,0.54,29.160000000000004
2010-01-17,37,54.0,,0.54,19.98
2010-01-18,58,54.0,,0.54,31.32
2010-01-19,80,54.0,,0.54,43.2
2010-01-20,95,54.0,,0.54,51.300000000000004
2010-01-21,100,54.0,,0.54,54.0
2010-01-22,97,54.0,,0.54,52.38
2010-01-23,55,54.0,,0.54,29.700000000000003
2010-01-24,46,54.0,,0.54,24.840000000000003
2010-01-25,90,54.0,,0.54,48.6
2010-01-26,96,54.0,,0.54,51.84
2010-01-27,93,54.0,,0.54,50.220000000000006
2010-01-28,92,54.0,,0.54,49.68000000000001
2010-01-29,89,54.0,,0.54,48.06
2010-01-30,47,54.0,,0.54,25.380000000000003
2010-01-31,40,54.0,,0.54,21.6
2010-02-01,98,54.0,False,0.54,52.92
2010-02-02,94,54.0,,0.54,50.760000000000005
2010-02-03,89,54.0,,0.54,48.06
2010-02-04,84,54.0,,0.54,45.36
2010-02-05,89,54.0,,0.54,48.06
2010-02-06,37,54.0,,0.54,19.98
2010-02-07,36,54.0,,0.54,19.44
2010-02-08,100,54.0,,0.54,54.0
2010-02-09,91,54.0,,0.54,49.14
2010-02-10,87,54.0,,0.54,46.980000000000004
2010-02-11,87,54.0,,0.54,46.980000000000004
2010-02-12,86,54.0,,0.54,46.440000000000005
2010-02-13,51,54.0,,0.54,27.540000000000003
2010-02-14,29,54.0,,0.54,15.66
2010-02-15,63,54.0,,0.54,34.02
2010-02-16,87,54.0,,0.54,46.980000000000004
2010-02-17,78,54.0,,0.54,42.120000000000005
2010-02-18,85,54.0,,0.54,45.900000000000006
2010-02-19,87,54.0,,0.54,46.980000000000004
2010-02-20,50,54.0,,0.54,27.0
2010-02-21,39,54.0,,0.54,21.060000000000002
2010-02-22,80,54.0,,0.54,43.2
