date,financial markets_unscaled,financial markets_monthly,isPartial,scale,financial markets
2010-01-01,0,81.0,False,0.81,0.0
2010-01-02,40,81.0,,0.81,32.400000000000006
2010-01-03,0,81.0,,0.81,0.0
2010-01-04,55,81.0,,0.81,44.550000000000004
2010-01-05,27,81.0,,0.81,21.87
2010-01-06,80,81.0,,0.81,64.80000000000001
2010-01-07,27,81.0,,0.81,21.87
2010-01-08,55,81.0,,0.81,44.550000000000004
2010-01-09,0,81.0,,0.81,0.0
2010-01-10,0,81.0,,0.81,0.0
2010-01-11,27,81.0,,0.81,21.87
2010-01-12,26,81.0,,0.81,21.060000000000002
2010-01-13,92,81.0,,0.81,74.52000000000001
2010-01-14,92,81.0,,0.81,74.52000000000001
2010-01-15,82,81.0,,0.81,66.42
2010-01-16,57,81.0,,0.81,46.17
2010-01-17,0,81.0,,0.81,0.0
2010-01-18,57,81.0,,0.81,46.17
2010-01-19,76,81.0,,0.81,61.56
2010-01-20,51,81.0,,0.81,41.31
2010-01-21,64,81.0,,0.81,51.84
2010-01-22,80,81.0,,0.81,64.80000000000001
2010-01-23,37,81.0,,0.81,29.970000000000002
2010-01-24,37,81.0,,0.81,29.970000000000002
2010-01-25,38,81.0,,0.81,30.78
2010-01-26,62,81.0,,0.81,50.220000000000006
2010-01-27,100,81.0,,0.81,81.0
2010-01-28,51,81.0,,0.81,41.31
2010-01-29,66,81.0,,0.81,53.46
2010-01-30,54,81.0,,0.81,43.74
2010-01-31,36,81.0,,0.81,29.160000000000004
2010-02-01,100,84.0,False,0.84,84.0
2010-02-02,29,84.0,,0.84,24.36
2010-02-03,39,84.0,,0.84,32.76
2010-02-04,80,84.0,,0.84,67.2
2010-02-05,31,84.0,,0.84,26.04
2010-02-06,42,84.0,,0.84,35.28
2010-02-07,58,84.0,,0.84,48.72
2010-02-08,21,84.0,,0.84,17.64
2010-02-09,77,84.0,,0.84,64.67999999999999
2010-02-10,30,84.0,,0.84,25.2
2010-02-11,61,84.0,,0.84,51.239999999999995
2010-02-12,21,84.0,,0.84,17.64
2010-02-13,0,84.0,,0.84,0.0
2010-02-14,0,84.0,,0.84,0.0
2010-02-15,23,84.0,,0.84,19.32
2010-02-16,20,84.0,,0.84,16.8
2010-02-17,30,84.0,,0.84,25.2
2010-02-18,60,84.0,,0.84,50.4
2010-02-19,32,84.0,,0.84,26.88
2010-02-20,29,84.0,,0.84,24.36
2010-02-21,74,84.0,,0.84,62.16
2010-02-22,60,84.0,,0.84,50.4
2010-02-23,68,84.0,,0.84,57.12
2010-02-24,78,84.0,,0.84,65.52
2010-02-25,59,84.0,,0.84,49.559999999999995
2010-02-26,21,84.0,,0.84,17.64
2010-02-27,85,84.0,,0.84,71.39999999999999
2010-02-28,44,84.0,,0.84,36.96
2010-03-01,17,84.0,False,0.84,14.28
2010-03-02,33,84.0,,0.84,27.72
2010-03-03,34,84.0,,0.84,28.56
2010-03-04,26,84.0,,0.84,21.84
2010-03-05,46,84.0,,0.84,38.64
2010-03-06,76,84.0,,0.84,63.839999999999996
2010-03-07,52,84.0,,0.84,43.68
2010-03-08,17,84.0,,0.84,14.28
2010-03-09,34,84.0,,0.84,28.56
2010-03-10,17,84.0,,0.84,14.28
2010-03-11,35,84.0,,0.84,29.4
2010-03-12,45,84.0,,0.84,37.8
2010-03-13,50,84.0,,0.84,42.0
2010-03-14,100,84.0,,0.84,84.0
2010-03-15,52,84.0,,0.84,43.68
2010-03-16,35,84.0,,0.84,29.4
2010-03-17,18,84.0,,0.84,15.12
2010-03-18,18,84.0,,0.84,15.12
