date,fine_unscaled,fine_monthly,isPartial,scale,fine
2010-01-01,67,78.0,False,0.78,52.260000000000005
2010-01-02,89,78.0,,0.78,69.42
2010-01-03,74,78.0,,0.78,57.72
2010-01-04,71,78.0,,0.78,55.38
2010-01-05,76,78.0,,0.78,59.28
2010-01-06,67,78.0,,0.78,52.260000000000005
2010-01-07,78,78.0,,0.78,60.84
2010-01-08,65,78.0,,0.78,50.7
2010-01-09,75,78.0,,0.78,58.5
2010-01-10,78,78.0,,0.78,60.84
2010-01-11,76,78.0,,0.78,59.28
2010-01-12,71,78.0,,0.78,55.38
2010-01-13,75,78.0,,0.78,58.5
2010-01-14,79,78.0,,0.78,61.620000000000005
2010-01-15,81,78.0,,0.78,63.18
2010-01-16,67,78.0,,0.78,52.260000000000005
2010-01-17,77,78.0,,0.78,60.06
2010-01-18,66,78.0,,0.78,51.480000000000004
2010-01-19,71,78.0,,0.78,55.38
2010-01-20,70,78.0,,0.78,54.6
2010-01-21,92,78.0,,0.78,71.76
2010-01-22,100,78.0,,0.78,78.0
2010-01-23,100,78.0,,0.78,78.0
2010-01-24,89,78.0,,0.78,69.42
2010-01-25,66,78.0,,0.78,51.480000000000004
2010-01-26,74,78.0,,0.78,57.72
2010-01-27,91,78.0,,0.78,70.98
2010-01-28,67,78.0,,0.78,52.260000000000005
2010-01-29,81,78.0,,0.78,63.18
2010-01-30,79,78.0,,0.78,61.620000000000005
2010-01-31,72,78.0,,0.78,56.160000000000004
2010-02-01,86,78.0,False,0.78,67.08
2010-02-02,79,78.0,,0.78,61.620000000000005
2010-02-03,93,78.0,,0.78,72.54
2010-02-04,95,78.0,,0.78,74.10000000000001
2010-02-05,93,78.0,,0.78,72.54
2010-02-06,89,78.0,,0.78,69.42
2010-02-07,85,78.0,,0.78,66.3
2010-02-08,95,78.0,,0.78,74.10000000000001
2010-02-09,94,78.0,,0.78,73.32000000000001
2010-02-10,96,78.0,,0.78,74.88
2010-02-11,95,78.0,,0.78,74.10000000000001
2010-02-12,99,78.0,,0.78,77.22
2010-02-13,99,78.0,,0.78,77.22
2010-02-14,100,78.0,,0.78,78.0
2010-02-15,86,78.0,,0.78,67.08
2010-02-16,83,78.0,,0.78,64.74000000000001
2010-02-17,85,78.0,,0.78,66.3
2010-02-18,82,78.0,,0.78,63.96
2010-02-19,92,78.0,,0.78,71.76
2010-02-20,79,78.0,,0.78,61.620000000000005
2010-02-21,93,78.0,,0.78,72.54
2010-02-22,81,78.0,,0.78,63.18
2010-02-23,86,78.0,,0.78,67.08
2010-02-24,88,78.0,,0.78,68.64
2010-02-25,86,78.0,,0.78,67.08
2010-02-26,94,78.0,,0.78,73.32000000000001
2010-02-27,89,78.0,,0.78,69.42
2010-02-28,79,78.0,,0.78,61.620000000000005
2010-03-01,76,76.0,False,0.76,57.76
2010-03-02,70,76.0,,0.76,53.2
2010-03-03,89,76.0,,0.76,67.64
2010-03-04,72,76.0,,0.76,54.72
2010-03-05,77,76.0,,0.76,58.52
2010-03-06,86,76.0,,0.76,65.36
2010-03-07,77,76.0,,0.76,58.52
2010-03-08,77,76.0,,0.76,58.52
2010-03-09,70,76.0,,0.76,53.2
2010-03-10,85,76.0,,0.76,64.6
2010-03-11,75,76.0,,0.76,57.0
2010-03-12,82,76.0,,0.76,62.32
2010-03-13,61,76.0,,0.76,46.36
2010-03-14,79,76.0,,0.76,60.04
2010-03-15,71,76.0,,0.76,53.96
2010-03-16,70,76.0,,0.76,53.2
2010-03-17,81,76.0,,0.76,61.56
2010-03-18,75,76.0,,0.76,57.0
2010-03-19,63,76.0,,0.76,47.88
2010-03-20,61,76.0,,0.76,46.36
2010-03-21,100,76.0,,0.76,76.0
2010-03-22,77,76.0,,0.76,58.52
2010-03-23,81,76.0,,0.76,61.56
2010-03-24,77,76.0,,0.76,58.52
2010-03-25,76,76.0,,0.76,57.76
2010-03-26,76,76.0,,0.76,57.76
2010-03-27,65,76.0,,0.76,49.4
2010-03-28,66,76.0,,0.76,50.160000000000004
2010-03-29,68,76.0,,0.76,51.68
2010-03-30,64,76.0,,0.76,48.64
2010-03-31,93,76.0,,0.76,70.68
2010-04-01,73,78.0,False,0.78,56.940000000000005
2010-04-02,81,78.0,,0.78,63.18
2010-04-03,74,78.0,,0.78,57.72
2010-04-04,91,78.0,,0.78,70.98
2010-04-05,85,78.0,,0.78,66.3
2010-04-06,80,78.0,,0.78,62.400000000000006
2010-04-07,100,78.0,,0.78,78.0
2010-04-08,90,78.0,,0.78,70.2
2010-04-09,88,78.0,,0.78,68.64
2010-04-10,81,78.0,,0.78,63.18
2010-04-11,100,78.0,,0.78,78.0
2010-04-12,84,78.0,,0.78,65.52
2010-04-13,78,78.0,,0.78,60.84
2010-04-14,97,78.0,,0.78,75.66
2010-04-15,83,78.0,,0.78,64.74000000000001
2010-04-16,82,78.0,,0.78,63.96
2010-04-17,80,78.0,,0.78,62.400000000000006
2010-04-18,85,78.0,,0.78,66.3
2010-04-19,99,78.0,,0.78,77.22
2010-04-20,81,78.0,,0.78,63.18
2010-04-21,85,78.0,,0.78,66.3
2010-04-22,82,78.0,,0.78,63.96
2010-04-23,73,78.0,,0.78,56.940000000000005
2010-04-24,81,78.0,,0.78,63.18
2010-04-25,85,78.0,,0.78,66.3
2010-04-26,90,78.0,,0.78,70.2
2010-04-27,97,78.0,,0.78,75.66
2010-04-28,88,78.0,,0.78,68.64
2010-04-29,94,78.0,,0.78,73.32000000000001
2010-04-30,93,78.0,,0.78,72.54
2010-05-01,100,77.0,False,0.77,77.0
2010-05-02,79,77.0,,0.77,60.83
2010-05-03,76,77.0,,0.77,58.52
2010-05-04,78,77.0,,0.77,60.06
2010-05-05,80,77.0,,0.77,61.6
2010-05-06,80,77.0,,0.77,61.6
2010-05-07,69,77.0,,0.77,53.13
2010-05-08,83,77.0,,0.77,63.910000000000004
2010-05-09,83,77.0,,0.77,63.910000000000004
2010-05-10,88,77.0,,0.77,67.76
2010-05-11,77,77.0,,0.77,59.29
2010-05-12,71,77.0,,0.77,54.67
2010-05-13,75,77.0,,0.77,57.75
2010-05-14,80,77.0,,0.77,61.6
2010-05-15,97,77.0,,0.77,74.69
2010-05-16,81,77.0,,0.77,62.370000000000005
2010-05-17,75,77.0,,0.77,57.75
2010-05-18,94,77.0,,0.77,72.38
2010-05-19,82,77.0,,0.77,63.14
2010-05-20,82,77.0,,0.77,63.14
2010-05-21,80,77.0,,0.77,61.6
2010-05-22,77,77.0,,0.77,59.29
2010-05-23,73,77.0,,0.77,56.21
2010-05-24,78,77.0,,0.77,60.06
2010-05-25,81,77.0,,0.77,62.370000000000005
2010-05-26,87,77.0,,0.77,66.99
2010-05-27,72,77.0,,0.77,55.44
2010-05-28,69,77.0,,0.77,53.13
2010-05-29,77,77.0,,0.77,59.29
2010-05-30,90,77.0,,0.77,69.3
2010-05-31,69,77.0,,0.77,53.13
2010-06-01,100,73.0,False,0.73,73.0
2010-06-02,82,73.0,,0.73,59.86
2010-06-03,86,73.0,,0.73,62.78
2010-06-04,89,73.0,,0.73,64.97
2010-06-05,77,73.0,,0.73,56.21
2010-06-06,66,73.0,,0.73,48.18
2010-06-07,85,73.0,,0.73,62.05
2010-06-08,84,73.0,,0.73,61.32
2010-06-09,100,73.0,,0.73,73.0
2010-06-10,78,73.0,,0.73,56.94
2010-06-11,73,73.0,,0.73,53.29
2010-06-12,77,73.0,,0.73,56.21
2010-06-13,84,73.0,,0.73,61.32
2010-06-14,88,73.0,,0.73,64.24
2010-06-15,89,73.0,,0.73,64.97
2010-06-16,93,73.0,,0.73,67.89
2010-06-17,88,73.0,,0.73,64.24
2010-06-18,79,73.0,,0.73,57.67
2010-06-19,91,73.0,,0.73,66.42999999999999
2010-06-20,77,73.0,,0.73,56.21
2010-06-21,76,73.0,,0.73,55.48
2010-06-22,81,73.0,,0.73,59.129999999999995
2010-06-23,78,73.0,,0.73,56.94
2010-06-24,100,73.0,,0.73,73.0
2010-06-25,84,73.0,,0.73,61.32
2010-06-26,82,73.0,,0.73,59.86
2010-06-27,76,73.0,,0.73,55.48
2010-06-28,77,73.0,,0.73,56.21
2010-06-29,91,73.0,,0.73,66.42999999999999
2010-06-30,79,73.0,,0.73,57.67
2010-07-01,83,71.0,False,0.71,58.93
2010-07-02,90,71.0,,0.71,63.9
2010-07-03,86,71.0,,0.71,61.059999999999995
2010-07-04,84,71.0,,0.71,59.64
2010-07-05,89,71.0,,0.71,63.19
2010-07-06,94,71.0,,0.71,66.74
2010-07-07,77,71.0,,0.71,54.669999999999995
2010-07-08,75,71.0,,0.71,53.25
2010-07-09,86,71.0,,0.71,61.059999999999995
2010-07-10,81,71.0,,0.71,57.51
2010-07-11,82,71.0,,0.71,58.22
2010-07-12,89,71.0,,0.71,63.19
2010-07-13,85,71.0,,0.71,60.349999999999994
2010-07-14,87,71.0,,0.71,61.769999999999996
2010-07-15,100,71.0,,0.71,71.0
2010-07-16,85,71.0,,0.71,60.349999999999994
2010-07-17,74,71.0,,0.71,52.54
2010-07-18,79,71.0,,0.71,56.089999999999996
2010-07-19,84,71.0,,0.71,59.64
2010-07-20,86,71.0,,0.71,61.059999999999995
2010-07-21,97,71.0,,0.71,68.86999999999999
2010-07-22,92,71.0,,0.71,65.32
2010-07-23,75,71.0,,0.71,53.25
2010-07-24,98,71.0,,0.71,69.58
2010-07-25,74,71.0,,0.71,52.54
2010-07-26,90,71.0,,0.71,63.9
2010-07-27,81,71.0,,0.71,57.51
2010-07-28,98,71.0,,0.71,69.58
2010-07-29,99,71.0,,0.71,70.28999999999999
2010-07-30,94,71.0,,0.71,66.74
