date,fond_unscaled,fond_monthly,isPartial,scale,fond
2010-01-01,44,56.0,False,0.56,24.64
2010-01-02,91,56.0,,0.56,50.96000000000001
2010-01-03,57,56.0,,0.56,31.92
2010-01-04,70,56.0,,0.56,39.2
2010-01-05,87,56.0,,0.56,48.720000000000006
2010-01-06,63,56.0,,0.56,35.28
2010-01-07,76,56.0,,0.56,42.56
2010-01-08,53,56.0,,0.56,29.680000000000003
2010-01-09,42,56.0,,0.56,23.520000000000003
2010-01-10,56,56.0,,0.56,31.360000000000003
2010-01-11,84,56.0,,0.56,47.040000000000006
2010-01-12,100,56.0,,0.56,56.00000000000001
2010-01-13,75,56.0,,0.56,42.00000000000001
2010-01-14,75,56.0,,0.56,42.00000000000001
2010-01-15,81,56.0,,0.56,45.36000000000001
2010-01-16,55,56.0,,0.56,30.800000000000004
2010-01-17,78,56.0,,0.56,43.68000000000001
2010-01-18,79,56.0,,0.56,44.24
2010-01-19,84,56.0,,0.56,47.040000000000006
2010-01-20,68,56.0,,0.56,38.080000000000005
2010-01-21,50,56.0,,0.56,28.000000000000004
2010-01-22,68,56.0,,0.56,38.080000000000005
2010-01-23,71,56.0,,0.56,39.760000000000005
2010-01-24,62,56.0,,0.56,34.720000000000006
2010-01-25,55,56.0,,0.56,30.800000000000004
2010-01-26,51,56.0,,0.56,28.560000000000002
2010-01-27,62,56.0,,0.56,34.720000000000006
2010-01-28,73,56.0,,0.56,40.88
2010-01-29,71,56.0,,0.56,39.760000000000005
2010-01-30,66,56.0,,0.56,36.96
2010-01-31,52,56.0,,0.56,29.120000000000005
2010-02-01,58,56.0,False,0.56,32.480000000000004
2010-02-02,100,56.0,,0.56,56.00000000000001
2010-02-03,49,56.0,,0.56,27.44
2010-02-04,54,56.0,,0.56,30.240000000000002
2010-02-05,56,56.0,,0.56,31.360000000000003
2010-02-06,47,56.0,,0.56,26.320000000000004
2010-02-07,66,56.0,,0.56,36.96
2010-02-08,68,56.0,,0.56,38.080000000000005
2010-02-09,52,56.0,,0.56,29.120000000000005
2010-02-10,33,56.0,,0.56,18.48
2010-02-11,100,56.0,,0.56,56.00000000000001
2010-02-12,58,56.0,,0.56,32.480000000000004
2010-02-13,31,56.0,,0.56,17.360000000000003
2010-02-14,57,56.0,,0.56,31.92
2010-02-15,70,56.0,,0.56,39.2
2010-02-16,62,56.0,,0.56,34.720000000000006
2010-02-17,70,56.0,,0.56,39.2
2010-02-18,50,56.0,,0.56,28.000000000000004
2010-02-19,52,56.0,,0.56,29.120000000000005
2010-02-20,72,56.0,,0.56,40.32000000000001
2010-02-21,66,56.0,,0.56,36.96
2010-02-22,69,56.0,,0.56,38.64
2010-02-23,60,56.0,,0.56,33.6
2010-02-24,40,56.0,,0.56,22.400000000000002
2010-02-25,85,56.0,,0.56,47.6
2010-02-26,51,56.0,,0.56,28.560000000000002
2010-02-27,52,56.0,,0.56,29.120000000000005
2010-02-28,55,56.0,,0.56,30.800000000000004
2010-03-01,50,55.0,False,0.55,27.500000000000004
2010-03-02,54,55.0,,0.55,29.700000000000003
2010-03-03,81,55.0,,0.55,44.550000000000004
2010-03-04,48,55.0,,0.55,26.400000000000002
2010-03-05,67,55.0,,0.55,36.85
2010-03-06,91,55.0,,0.55,50.050000000000004
2010-03-07,50,55.0,,0.55,27.500000000000004
2010-03-08,100,55.0,,0.55,55.00000000000001
2010-03-09,67,55.0,,0.55,36.85
2010-03-10,65,55.0,,0.55,35.75
2010-03-11,65,55.0,,0.55,35.75
2010-03-12,95,55.0,,0.55,52.25000000000001
2010-03-13,55,55.0,,0.55,30.250000000000004
2010-03-14,52,55.0,,0.55,28.6
2010-03-15,80,55.0,,0.55,44.0
2010-03-16,66,55.0,,0.55,36.300000000000004
2010-03-17,60,55.0,,0.55,33.0
2010-03-18,66,55.0,,0.55,36.300000000000004
2010-03-19,72,55.0,,0.55,39.6
2010-03-20,62,55.0,,0.55,34.1
2010-03-21,37,55.0,,0.55,20.35
2010-03-22,75,55.0,,0.55,41.25
2010-03-23,60,55.0,,0.55,33.0
2010-03-24,58,55.0,,0.55,31.900000000000002
2010-03-25,76,55.0,,0.55,41.800000000000004
2010-03-26,73,55.0,,0.55,40.150000000000006
2010-03-27,49,55.0,,0.55,26.950000000000003
2010-03-28,90,55.0,,0.55,49.50000000000001
2010-03-29,65,55.0,,0.55,35.75
2010-03-30,75,55.0,,0.55,41.25
2010-03-31,54,55.0,,0.55,29.700000000000003
2010-04-01,55,56.0,False,0.56,30.800000000000004
2010-04-02,80,56.0,,0.56,44.800000000000004
2010-04-03,74,56.0,,0.56,41.440000000000005
2010-04-04,48,56.0,,0.56,26.880000000000003
2010-04-05,54,56.0,,0.56,30.240000000000002
2010-04-06,64,56.0,,0.56,35.84
2010-04-07,84,56.0,,0.56,47.040000000000006
2010-04-08,70,56.0,,0.56,39.2
2010-04-09,77,56.0,,0.56,43.120000000000005
2010-04-10,54,56.0,,0.56,30.240000000000002
2010-04-11,54,56.0,,0.56,30.240000000000002
2010-04-12,55,56.0,,0.56,30.800000000000004
2010-04-13,42,56.0,,0.56,23.520000000000003
2010-04-14,73,56.0,,0.56,40.88
2010-04-15,59,56.0,,0.56,33.040000000000006
2010-04-16,100,56.0,,0.56,56.00000000000001
2010-04-17,88,56.0,,0.56,49.28
2010-04-18,61,56.0,,0.56,34.160000000000004
2010-04-19,78,56.0,,0.56,43.68000000000001
2010-04-20,89,56.0,,0.56,49.84
2010-04-21,70,56.0,,0.56,39.2
2010-04-22,63,56.0,,0.56,35.28
2010-04-23,87,56.0,,0.56,48.720000000000006
2010-04-24,72,56.0,,0.56,40.32000000000001
2010-04-25,37,56.0,,0.56,20.720000000000002
2010-04-26,49,56.0,,0.56,27.44
2010-04-27,65,56.0,,0.56,36.400000000000006
2010-04-28,94,56.0,,0.56,52.64000000000001
2010-04-29,55,56.0,,0.56,30.800000000000004
2010-04-30,64,56.0,,0.56,35.84
2010-05-01,59,55.0,False,0.55,32.45
2010-05-02,67,55.0,,0.55,36.85
2010-05-03,59,55.0,,0.55,32.45
2010-05-04,66,55.0,,0.55,36.300000000000004
2010-05-05,77,55.0,,0.55,42.35
2010-05-06,63,55.0,,0.55,34.650000000000006
2010-05-07,100,55.0,,0.55,55.00000000000001
2010-05-08,44,55.0,,0.55,24.200000000000003
2010-05-09,62,55.0,,0.55,34.1
2010-05-10,64,55.0,,0.55,35.2
2010-05-11,66,55.0,,0.55,36.300000000000004
2010-05-12,59,55.0,,0.55,32.45
2010-05-13,72,55.0,,0.55,39.6
2010-05-14,88,55.0,,0.55,48.400000000000006
2010-05-15,33,55.0,,0.55,18.150000000000002
2010-05-16,49,55.0,,0.55,26.950000000000003
2010-05-17,93,55.0,,0.55,51.150000000000006
2010-05-18,71,55.0,,0.55,39.050000000000004
2010-05-19,88,55.0,,0.55,48.400000000000006
2010-05-20,64,55.0,,0.55,35.2
2010-05-21,86,55.0,,0.55,47.300000000000004
2010-05-22,70,55.0,,0.55,38.5
2010-05-23,58,55.0,,0.55,31.900000000000002
2010-05-24,83,55.0,,0.55,45.650000000000006
2010-05-25,95,55.0,,0.55,52.25000000000001
2010-05-26,73,55.0,,0.55,40.150000000000006
2010-05-27,68,55.0,,0.55,37.400000000000006
2010-05-28,71,55.0,,0.55,39.050000000000004
2010-05-29,43,55.0,,0.55,23.650000000000002
2010-05-30,32,55.0,,0.55,17.6
2010-05-31,50,55.0,,0.55,27.500000000000004
2010-06-01,53,57.0,False,0.57,30.209999999999997
2010-06-02,33,57.0,,0.57,18.81
2010-06-03,46,57.0,,0.57,26.22
2010-06-04,57,57.0,,0.57,32.489999999999995
2010-06-05,68,57.0,,0.57,38.76
2010-06-06,31,57.0,,0.57,17.669999999999998
2010-06-07,57,57.0,,0.57,32.489999999999995
2010-06-08,32,57.0,,0.57,18.24
2010-06-09,66,57.0,,0.57,37.62
2010-06-10,42,57.0,,0.57,23.939999999999998
2010-06-11,82,57.0,,0.57,46.739999999999995
2010-06-12,32,57.0,,0.57,18.24
2010-06-13,25,57.0,,0.57,14.249999999999998
2010-06-14,33,57.0,,0.57,18.81
2010-06-15,100,57.0,,0.57,56.99999999999999
2010-06-16,55,57.0,,0.57,31.349999999999998
2010-06-17,52,57.0,,0.57,29.639999999999997
2010-06-18,28,57.0,,0.57,15.959999999999999
2010-06-19,52,57.0,,0.57,29.639999999999997
2010-06-20,55,57.0,,0.57,31.349999999999998
2010-06-21,34,57.0,,0.57,19.38
2010-06-22,49,57.0,,0.57,27.929999999999996
