date,food_unscaled,food_monthly,isPartial,scale,food
2010-01-01,100,50.0,False,0.5,50.0
2010-01-02,98,50.0,,0.5,49.0
2010-01-03,91,50.0,,0.5,45.5
2010-01-04,90,50.0,,0.5,45.0
2010-01-05,90,50.0,,0.5,45.0
2010-01-06,90,50.0,,0.5,45.0
2010-01-07,88,50.0,,0.5,44.0
2010-01-08,90,50.0,,0.5,45.0
2010-01-09,83,50.0,,0.5,41.5
2010-01-10,90,50.0,,0.5,45.0
2010-01-11,88,50.0,,0.5,44.0
2010-01-12,88,50.0,,0.5,44.0
2010-01-13,99,50.0,,0.5,49.5
2010-01-14,86,50.0,,0.5,43.0
2010-01-15,83,50.0,,0.5,41.5
2010-01-16,81,50.0,,0.5,40.5
2010-01-17,95,50.0,,0.5,47.5
2010-01-18,75,50.0,,0.5,37.5
2010-01-19,86,50.0,,0.5,43.0
2010-01-20,91,50.0,,0.5,45.5
2010-01-21,90,50.0,,0.5,45.0
2010-01-22,85,50.0,,0.5,42.5
2010-01-23,86,50.0,,0.5,43.0
2010-01-24,95,50.0,,0.5,47.5
2010-01-25,89,50.0,,0.5,44.5
2010-01-26,90,50.0,,0.5,45.0
2010-01-27,95,50.0,,0.5,47.5
2010-01-28,85,50.0,,0.5,42.5
2010-01-29,86,50.0,,0.5,43.0
2010-01-30,92,50.0,,0.5,46.0
2010-01-31,89,50.0,,0.5,44.5
2010-02-01,84,50.0,False,0.5,42.0
2010-02-02,91,50.0,,0.5,45.5
2010-02-03,95,50.0,,0.5,47.5
2010-02-04,89,50.0,,0.5,44.5
2010-02-05,88,50.0,,0.5,44.0
2010-02-06,88,50.0,,0.5,44.0
2010-02-07,98,50.0,,0.5,49.0
2010-02-08,83,50.0,,0.5,41.5
2010-02-09,81,50.0,,0.5,40.5
2010-02-10,83,50.0,,0.5,41.5
2010-02-11,88,50.0,,0.5,44.0
2010-02-12,82,50.0,,0.5,41.0
2010-02-13,85,50.0,,0.5,42.5
2010-02-14,94,50.0,,0.5,47.0
2010-02-15,85,50.0,,0.5,42.5
2010-02-16,86,50.0,,0.5,43.0
2010-02-17,88,50.0,,0.5,44.0
2010-02-18,85,50.0,,0.5,42.5
2010-02-19,80,50.0,,0.5,40.0
2010-02-20,84,50.0,,0.5,42.0
2010-02-21,87,50.0,,0.5,43.5
2010-02-22,88,50.0,,0.5,44.0
2010-02-23,85,50.0,,0.5,42.5
2010-02-24,88,50.0,,0.5,44.0
2010-02-25,81,50.0,,0.5,40.5
2010-02-26,84,50.0,,0.5,42.0
2010-02-27,86,50.0,,0.5,43.0
2010-02-28,100,50.0,,0.5,50.0
2010-03-01,89,50.0,False,0.5,44.5
2010-03-02,86,50.0,,0.5,43.0
2010-03-03,82,50.0,,0.5,41.0
2010-03-04,89,50.0,,0.5,44.5
2010-03-05,86,50.0,,0.5,43.0
2010-03-06,79,50.0,,0.5,39.5
2010-03-07,86,50.0,,0.5,43.0
2010-03-08,87,50.0,,0.5,43.5
2010-03-09,89,50.0,,0.5,44.5
2010-03-10,83,50.0,,0.5,41.5
2010-03-11,85,50.0,,0.5,42.5
2010-03-12,86,50.0,,0.5,43.0
2010-03-13,82,50.0,,0.5,41.0
2010-03-14,88,50.0,,0.5,44.0
2010-03-15,89,50.0,,0.5,44.5
