date,forex_unscaled,forex_monthly,isPartial,scale,forex
2010-01-01,44,61.0,False,0.61,26.84
2010-01-02,85,61.0,,0.61,51.85
2010-01-03,86,61.0,,0.61,52.46
2010-01-04,95,61.0,,0.61,57.949999999999996
2010-01-05,90,61.0,,0.61,54.9
2010-01-06,88,61.0,,0.61,53.68
2010-01-07,87,61.0,,0.61,53.07
2010-01-08,67,61.0,,0.61,40.87
2010-01-09,72,61.0,,0.61,43.92
2010-01-10,60,61.0,,0.61,36.6
2010-01-11,82,61.0,,0.61,50.019999999999996
2010-01-12,68,61.0,,0.61,41.48
2010-01-13,69,61.0,,0.61,42.089999999999996
2010-01-14,91,61.0,,0.61,55.51
2010-01-15,82,61.0,,0.61,50.019999999999996
2010-01-16,94,61.0,,0.61,57.339999999999996
2010-01-17,77,61.0,,0.61,46.97
2010-01-18,96,61.0,,0.61,58.56
2010-01-19,83,61.0,,0.61,50.629999999999995
2010-01-20,86,61.0,,0.61,52.46
2010-01-21,95,61.0,,0.61,57.949999999999996
2010-01-22,77,61.0,,0.61,46.97
2010-01-23,100,61.0,,0.61,61.0
2010-01-24,68,61.0,,0.61,41.48
2010-01-25,72,61.0,,0.61,43.92
2010-01-26,70,61.0,,0.61,42.699999999999996
2010-01-27,66,61.0,,0.61,40.26
2010-01-28,93,61.0,,0.61,56.73
2010-01-29,77,61.0,,0.61,46.97
2010-01-30,85,61.0,,0.61,51.85
2010-01-31,60,61.0,,0.61,36.6
2010-02-01,54,55.0,False,0.55,29.700000000000003
2010-02-02,66,55.0,,0.55,36.300000000000004
2010-02-03,57,55.0,,0.55,31.35
2010-02-04,56,55.0,,0.55,30.800000000000004
2010-02-05,69,55.0,,0.55,37.95
2010-02-06,36,55.0,,0.55,19.8
2010-02-07,49,55.0,,0.55,26.950000000000003
2010-02-08,47,55.0,,0.55,25.85
2010-02-09,58,55.0,,0.55,31.900000000000002
2010-02-10,55,55.0,,0.55,30.250000000000004
2010-02-11,67,55.0,,0.55,36.85
2010-02-12,71,55.0,,0.55,39.050000000000004
2010-02-13,45,55.0,,0.55,24.750000000000004
2010-02-14,47,55.0,,0.55,25.85
2010-02-15,100,55.0,,0.55,55.00000000000001
2010-02-16,54,55.0,,0.55,29.700000000000003
2010-02-17,52,55.0,,0.55,28.6
2010-02-18,53,55.0,,0.55,29.150000000000002
2010-02-19,74,55.0,,0.55,40.7
2010-02-20,37,55.0,,0.55,20.35
2010-02-21,60,55.0,,0.55,33.0
2010-02-22,64,55.0,,0.55,35.2
2010-02-23,64,55.0,,0.55,35.2
2010-02-24,63,55.0,,0.55,34.650000000000006
2010-02-25,63,55.0,,0.55,34.650000000000006
2010-02-26,51,55.0,,0.55,28.05
2010-02-27,57,55.0,,0.55,31.35
2010-02-28,40,55.0,,0.55,22.0
2010-03-01,85,58.0,False,0.58,49.3
2010-03-02,84,58.0,,0.58,48.72
2010-03-03,82,58.0,,0.58,47.559999999999995
2010-03-04,91,58.0,,0.58,52.779999999999994
2010-03-05,48,58.0,,0.58,27.839999999999996
2010-03-06,55,58.0,,0.58,31.9
2010-03-07,63,58.0,,0.58,36.54
2010-03-08,77,58.0,,0.58,44.66
2010-03-09,66,58.0,,0.58,38.279999999999994
2010-03-10,69,58.0,,0.58,40.019999999999996
2010-03-11,67,58.0,,0.58,38.86
2010-03-12,88,58.0,,0.58,51.04
2010-03-13,62,58.0,,0.58,35.96
2010-03-14,79,58.0,,0.58,45.82
2010-03-15,84,58.0,,0.58,48.72
2010-03-16,56,58.0,,0.58,32.48
2010-03-17,71,58.0,,0.58,41.18
2010-03-18,100,58.0,,0.58,57.99999999999999
2010-03-19,81,58.0,,0.58,46.98
2010-03-20,53,58.0,,0.58,30.74
2010-03-21,87,58.0,,0.58,50.459999999999994
2010-03-22,47,58.0,,0.58,27.259999999999998
2010-03-23,89,58.0,,0.58,51.62
2010-03-24,89,58.0,,0.58,51.62
2010-03-25,82,58.0,,0.58,47.559999999999995
2010-03-26,67,58.0,,0.58,38.86
2010-03-27,52,58.0,,0.58,30.159999999999997
2010-03-28,74,58.0,,0.58,42.919999999999995
2010-03-29,90,58.0,,0.58,52.199999999999996
2010-03-30,84,58.0,,0.58,48.72
2010-03-31,57,58.0,,0.58,33.059999999999995
2010-04-01,91,50.0,False,0.5,45.5
2010-04-02,89,50.0,,0.5,44.5
2010-04-03,85,50.0,,0.5,42.5
2010-04-04,99,50.0,,0.5,49.5
2010-04-05,92,50.0,,0.5,46.0
2010-04-06,93,50.0,,0.5,46.5
2010-04-07,85,50.0,,0.5,42.5
