date,freedom_unscaled,freedom_monthly,isPartial,scale,freedom
2010-01-01,73,74.0,False,0.74,54.019999999999996
2010-01-02,69,74.0,,0.74,51.06
2010-01-03,92,74.0,,0.74,68.08
2010-01-04,83,74.0,,0.74,61.42
2010-01-05,94,74.0,,0.74,69.56
2010-01-06,82,74.0,,0.74,60.68
2010-01-07,91,74.0,,0.74,67.34
2010-01-08,88,74.0,,0.74,65.12
2010-01-09,86,74.0,,0.74,63.64
2010-01-10,77,74.0,,0.74,56.98
2010-01-11,90,74.0,,0.74,66.6
2010-01-12,100,74.0,,0.74,74.0
2010-01-13,95,74.0,,0.74,70.3
2010-01-14,91,74.0,,0.74,67.34
2010-01-15,90,74.0,,0.74,66.6
2010-01-16,77,74.0,,0.74,56.98
2010-01-17,81,74.0,,0.74,59.94
2010-01-18,92,74.0,,0.74,68.08
2010-01-19,90,74.0,,0.74,66.6
2010-01-20,91,74.0,,0.74,67.34
2010-01-21,92,74.0,,0.74,68.08
2010-01-22,92,74.0,,0.74,68.08
2010-01-23,92,74.0,,0.74,68.08
2010-01-24,92,74.0,,0.74,68.08
2010-01-25,89,74.0,,0.74,65.86
2010-01-26,91,74.0,,0.74,67.34
2010-01-27,94,74.0,,0.74,69.56
2010-01-28,93,74.0,,0.74,68.82
2010-01-29,96,74.0,,0.74,71.03999999999999
2010-01-30,85,74.0,,0.74,62.9
2010-01-31,84,74.0,,0.74,62.16
2010-02-01,95,77.0,False,0.77,73.15
2010-02-02,88,77.0,,0.77,67.76
2010-02-03,88,77.0,,0.77,67.76
2010-02-04,77,77.0,,0.77,59.29
2010-02-05,82,77.0,,0.77,63.14
2010-02-06,62,77.0,,0.77,47.74
2010-02-07,81,77.0,,0.77,62.370000000000005
2010-02-08,75,77.0,,0.77,57.75
2010-02-09,89,77.0,,0.77,68.53
2010-02-10,100,77.0,,0.77,77.0
2010-02-11,97,77.0,,0.77,74.69
2010-02-12,76,77.0,,0.77,58.52
2010-02-13,54,77.0,,0.77,41.58
2010-02-14,56,77.0,,0.77,43.120000000000005
2010-02-15,84,77.0,,0.77,64.68
2010-02-16,90,77.0,,0.77,69.3
2010-02-17,78,77.0,,0.77,60.06
2010-02-18,85,77.0,,0.77,65.45
2010-02-19,82,77.0,,0.77,63.14
2010-02-20,65,77.0,,0.77,50.050000000000004
2010-02-21,75,77.0,,0.77,57.75
2010-02-22,92,77.0,,0.77,70.84
2010-02-23,79,77.0,,0.77,60.83
2010-02-24,87,77.0,,0.77,66.99
2010-02-25,95,77.0,,0.77,73.15
2010-02-26,82,77.0,,0.77,63.14
2010-02-27,67,77.0,,0.77,51.59
2010-02-28,96,77.0,,0.77,73.92
2010-03-01,94,78.0,False,0.78,73.32000000000001
2010-03-02,89,78.0,,0.78,69.42
2010-03-03,89,78.0,,0.78,69.42
2010-03-04,100,78.0,,0.78,78.0
2010-03-05,86,78.0,,0.78,67.08
2010-03-06,87,78.0,,0.78,67.86
2010-03-07,79,78.0,,0.78,61.620000000000005
2010-03-08,93,78.0,,0.78,72.54
2010-03-09,86,78.0,,0.78,67.08
2010-03-10,85,78.0,,0.78,66.3
2010-03-11,80,78.0,,0.78,62.400000000000006
2010-03-12,81,78.0,,0.78,63.18
2010-03-13,92,78.0,,0.78,71.76
2010-03-14,78,78.0,,0.78,60.84
2010-03-15,91,78.0,,0.78,70.98
2010-03-16,92,78.0,,0.78,71.76
2010-03-17,98,78.0,,0.78,76.44
2010-03-18,78,78.0,,0.78,60.84
2010-03-19,95,78.0,,0.78,74.10000000000001
2010-03-20,80,78.0,,0.78,62.400000000000006
2010-03-21,83,78.0,,0.78,64.74000000000001
2010-03-22,100,78.0,,0.78,78.0
2010-03-23,97,78.0,,0.78,75.66
2010-03-24,94,78.0,,0.78,73.32000000000001
2010-03-25,95,78.0,,0.78,74.10000000000001
2010-03-26,81,78.0,,0.78,63.18
2010-03-27,73,78.0,,0.78,56.940000000000005
2010-03-28,88,78.0,,0.78,68.64
2010-03-29,95,78.0,,0.78,74.10000000000001
2010-03-30,73,78.0,,0.78,56.940000000000005
2010-03-31,91,78.0,,0.78,70.98
2010-04-01,83,83.0,False,0.83,68.89
2010-04-02,69,83.0,,0.83,57.269999999999996
2010-04-03,56,83.0,,0.83,46.48
2010-04-04,83,83.0,,0.83,68.89
2010-04-05,78,83.0,,0.83,64.74
2010-04-06,81,83.0,,0.83,67.22999999999999
2010-04-07,80,83.0,,0.83,66.39999999999999
2010-04-08,82,83.0,,0.83,68.06
2010-04-09,69,83.0,,0.83,57.269999999999996
2010-04-10,90,83.0,,0.83,74.7
2010-04-11,77,83.0,,0.83,63.91
2010-04-12,81,83.0,,0.83,67.22999999999999
2010-04-13,86,83.0,,0.83,71.38
2010-04-14,87,83.0,,0.83,72.21
2010-04-15,100,83.0,,0.83,83.0
2010-04-16,89,83.0,,0.83,73.86999999999999
2010-04-17,57,83.0,,0.83,47.309999999999995
2010-04-18,61,83.0,,0.83,50.629999999999995
2010-04-19,85,83.0,,0.83,70.55
2010-04-20,76,83.0,,0.83,63.08
2010-04-21,71,83.0,,0.83,58.93
2010-04-22,88,83.0,,0.83,73.03999999999999
2010-04-23,80,83.0,,0.83,66.39999999999999
2010-04-24,66,83.0,,0.83,54.779999999999994
2010-04-25,71,83.0,,0.83,58.93
2010-04-26,91,83.0,,0.83,75.53
2010-04-27,99,83.0,,0.83,82.17
2010-04-28,82,83.0,,0.83,68.06
2010-04-29,86,83.0,,0.83,71.38
2010-04-30,73,83.0,,0.83,60.589999999999996
2010-05-01,75,80.0,False,0.8,60.0
2010-05-02,77,80.0,,0.8,61.6
2010-05-03,81,80.0,,0.8,64.8
2010-05-04,79,80.0,,0.8,63.2
2010-05-05,78,80.0,,0.8,62.400000000000006
2010-05-06,85,80.0,,0.8,68.0
2010-05-07,70,80.0,,0.8,56.0
2010-05-08,59,80.0,,0.8,47.2
2010-05-09,67,80.0,,0.8,53.6
2010-05-10,74,80.0,,0.8,59.2
2010-05-11,86,80.0,,0.8,68.8
2010-05-12,85,80.0,,0.8,68.0
2010-05-13,77,80.0,,0.8,61.6
2010-05-14,78,80.0,,0.8,62.400000000000006
2010-05-15,63,80.0,,0.8,50.400000000000006
2010-05-16,73,80.0,,0.8,58.400000000000006
2010-05-17,81,80.0,,0.8,64.8
2010-05-18,82,80.0,,0.8,65.60000000000001
2010-05-19,78,80.0,,0.8,62.400000000000006
2010-05-20,72,80.0,,0.8,57.6
2010-05-21,82,80.0,,0.8,65.60000000000001
2010-05-22,60,80.0,,0.8,48.0
2010-05-23,71,80.0,,0.8,56.800000000000004
2010-05-24,74,80.0,,0.8,59.2
2010-05-25,64,80.0,,0.8,51.2
2010-05-26,86,80.0,,0.8,68.8
2010-05-27,72,80.0,,0.8,57.6
2010-05-28,80,80.0,,0.8,64.0
2010-05-29,82,80.0,,0.8,65.60000000000001
2010-05-30,82,80.0,,0.8,65.60000000000001
2010-05-31,100,80.0,,0.8,80.0
2010-06-01,95,77.0,False,0.77,73.15
2010-06-02,85,77.0,,0.77,65.45
2010-06-03,83,77.0,,0.77,63.910000000000004
2010-06-04,77,77.0,,0.77,59.29
2010-06-05,71,77.0,,0.77,54.67
2010-06-06,77,77.0,,0.77,59.29
2010-06-07,86,77.0,,0.77,66.22
2010-06-08,100,77.0,,0.77,77.0
2010-06-09,77,77.0,,0.77,59.29
2010-06-10,76,77.0,,0.77,58.52
2010-06-11,92,77.0,,0.77,70.84
2010-06-12,76,77.0,,0.77,58.52
2010-06-13,89,77.0,,0.77,68.53
2010-06-14,80,77.0,,0.77,61.6
2010-06-15,83,77.0,,0.77,63.910000000000004
2010-06-16,81,77.0,,0.77,62.370000000000005
2010-06-17,79,77.0,,0.77,60.83
2010-06-18,82,77.0,,0.77,63.14
2010-06-19,77,77.0,,0.77,59.29
2010-06-20,71,77.0,,0.77,54.67
2010-06-21,89,77.0,,0.77,68.53
2010-06-22,82,77.0,,0.77,63.14
2010-06-23,81,77.0,,0.77,62.370000000000005
2010-06-24,83,77.0,,0.77,63.910000000000004
2010-06-25,84,77.0,,0.77,64.68
2010-06-26,76,77.0,,0.77,58.52
2010-06-27,90,77.0,,0.77,69.3
2010-06-28,87,77.0,,0.77,66.99
2010-06-29,98,77.0,,0.77,75.46000000000001
2010-06-30,87,77.0,,0.77,66.99
2010-07-01,55,75.0,False,0.75,41.25
2010-07-02,65,75.0,,0.75,48.75
2010-07-03,76,75.0,,0.75,57.0
2010-07-04,100,75.0,,0.75,75.0
2010-07-05,59,75.0,,0.75,44.25
2010-07-06,48,75.0,,0.75,36.0
2010-07-07,42,75.0,,0.75,31.5
2010-07-08,42,75.0,,0.75,31.5
2010-07-09,43,75.0,,0.75,32.25
2010-07-10,39,75.0,,0.75,29.25
2010-07-11,44,75.0,,0.75,33.0
2010-07-12,43,75.0,,0.75,32.25
2010-07-13,44,75.0,,0.75,33.0
2010-07-14,39,75.0,,0.75,29.25
2010-07-15,43,75.0,,0.75,32.25
2010-07-16,38,75.0,,0.75,28.5
