date,fun_unscaled,fun_monthly,isPartial,scale,fun
2010-01-01,89,79.0,False,0.79,70.31
2010-01-02,80,79.0,,0.79,63.2
2010-01-03,74,79.0,,0.79,58.46
2010-01-04,69,79.0,,0.79,54.510000000000005
2010-01-05,66,79.0,,0.79,52.14
2010-01-06,73,79.0,,0.79,57.67
2010-01-07,69,79.0,,0.79,54.510000000000005
2010-01-08,79,79.0,,0.79,62.410000000000004
2010-01-09,88,79.0,,0.79,69.52000000000001
2010-01-10,81,79.0,,0.79,63.99
2010-01-11,71,79.0,,0.79,56.09
2010-01-12,77,79.0,,0.79,60.830000000000005
2010-01-13,77,79.0,,0.79,60.830000000000005
2010-01-14,78,79.0,,0.79,61.620000000000005
2010-01-15,86,79.0,,0.79,67.94
2010-01-16,89,79.0,,0.79,70.31
2010-01-17,94,79.0,,0.79,74.26
2010-01-18,69,79.0,,0.79,54.510000000000005
2010-01-19,66,79.0,,0.79,52.14
2010-01-20,78,79.0,,0.79,61.620000000000005
2010-01-21,80,79.0,,0.79,63.2
2010-01-22,85,79.0,,0.79,67.15
2010-01-23,100,79.0,,0.79,79.0
2010-01-24,92,79.0,,0.79,72.68
2010-01-25,74,79.0,,0.79,58.46
2010-01-26,71,79.0,,0.79,56.09
2010-01-27,80,79.0,,0.79,63.2
2010-01-28,84,79.0,,0.79,66.36
2010-01-29,89,79.0,,0.79,70.31
2010-01-30,81,79.0,,0.79,63.99
2010-01-31,92,79.0,,0.79,72.68
2010-02-01,76,81.0,False,0.81,61.56
2010-02-02,78,81.0,,0.81,63.18000000000001
2010-02-03,82,81.0,,0.81,66.42
2010-02-04,86,81.0,,0.81,69.66000000000001
2010-02-05,92,81.0,,0.81,74.52000000000001
2010-02-06,100,81.0,,0.81,81.0
2010-02-07,93,81.0,,0.81,75.33
2010-02-08,75,81.0,,0.81,60.75000000000001
2010-02-09,77,81.0,,0.81,62.370000000000005
2010-02-10,83,81.0,,0.81,67.23
2010-02-11,87,81.0,,0.81,70.47
2010-02-12,88,81.0,,0.81,71.28
2010-02-13,100,81.0,,0.81,81.0
2010-02-14,97,81.0,,0.81,78.57000000000001
2010-02-15,87,81.0,,0.81,70.47
2010-02-16,78,81.0,,0.81,63.18000000000001
2010-02-17,78,81.0,,0.81,63.18000000000001
2010-02-18,87,81.0,,0.81,70.47
2010-02-19,94,81.0,,0.81,76.14
2010-02-20,91,81.0,,0.81,73.71000000000001
2010-02-21,96,81.0,,0.81,77.76
2010-02-22,79,81.0,,0.81,63.99
2010-02-23,87,81.0,,0.81,70.47
2010-02-24,81,81.0,,0.81,65.61
2010-02-25,81,81.0,,0.81,65.61
2010-02-26,95,81.0,,0.81,76.95
2010-02-27,100,81.0,,0.81,81.0
2010-02-28,89,81.0,,0.81,72.09
2010-03-01,78,83.0,False,0.83,64.74
2010-03-02,76,83.0,,0.83,63.08
2010-03-03,76,83.0,,0.83,63.08
2010-03-04,81,83.0,,0.83,67.22999999999999
2010-03-05,87,83.0,,0.83,72.21
2010-03-06,100,83.0,,0.83,83.0
2010-03-07,85,83.0,,0.83,70.55
2010-03-08,73,83.0,,0.83,60.589999999999996
2010-03-09,76,83.0,,0.83,63.08
2010-03-10,78,83.0,,0.83,64.74
2010-03-11,85,83.0,,0.83,70.55
2010-03-12,87,83.0,,0.83,72.21
2010-03-13,91,83.0,,0.83,75.53
2010-03-14,90,83.0,,0.83,74.7
2010-03-15,74,83.0,,0.83,61.419999999999995
2010-03-16,76,83.0,,0.83,63.08
2010-03-17,80,83.0,,0.83,66.39999999999999
2010-03-18,78,83.0,,0.83,64.74
2010-03-19,79,83.0,,0.83,65.57
2010-03-20,92,83.0,,0.83,76.36
2010-03-21,83,83.0,,0.83,68.89
2010-03-22,74,83.0,,0.83,61.419999999999995
2010-03-23,84,83.0,,0.83,69.72
2010-03-24,79,83.0,,0.83,65.57
2010-03-25,86,83.0,,0.83,71.38
2010-03-26,89,83.0,,0.83,73.86999999999999
2010-03-27,85,83.0,,0.83,70.55
2010-03-28,90,83.0,,0.83,74.7
2010-03-29,80,83.0,,0.83,66.39999999999999
2010-03-30,81,83.0,,0.83,67.22999999999999
2010-03-31,82,83.0,,0.83,68.06
2010-04-01,97,84.0,False,0.84,81.48
2010-04-02,89,84.0,,0.84,74.75999999999999
2010-04-03,91,84.0,,0.84,76.44
2010-04-04,83,84.0,,0.84,69.72
2010-04-05,78,84.0,,0.84,65.52
2010-04-06,85,84.0,,0.84,71.39999999999999
2010-04-07,86,84.0,,0.84,72.24
2010-04-08,83,84.0,,0.84,69.72
2010-04-09,89,84.0,,0.84,74.75999999999999
2010-04-10,93,84.0,,0.84,78.11999999999999
2010-04-11,97,84.0,,0.84,81.48
2010-04-12,79,84.0,,0.84,66.36
2010-04-13,83,84.0,,0.84,69.72
2010-04-14,85,84.0,,0.84,71.39999999999999
2010-04-15,83,84.0,,0.84,69.72
2010-04-16,97,84.0,,0.84,81.48
2010-04-17,98,84.0,,0.84,82.32
2010-04-18,92,84.0,,0.84,77.28
2010-04-19,85,84.0,,0.84,71.39999999999999
2010-04-20,90,84.0,,0.84,75.6
2010-04-21,86,84.0,,0.84,72.24
2010-04-22,85,84.0,,0.84,71.39999999999999
2010-04-23,98,84.0,,0.84,82.32
2010-04-24,96,84.0,,0.84,80.64
2010-04-25,89,84.0,,0.84,74.75999999999999
2010-04-26,84,84.0,,0.84,70.56
2010-04-27,90,84.0,,0.84,75.6
2010-04-28,91,84.0,,0.84,76.44
2010-04-29,86,84.0,,0.84,72.24
2010-04-30,100,84.0,,0.84,84.0
2010-05-01,100,89.0,False,0.89,89.0
2010-05-02,77,89.0,,0.89,68.53
2010-05-03,84,89.0,,0.89,74.76
2010-05-04,76,89.0,,0.89,67.64
2010-05-05,74,89.0,,0.89,65.86
2010-05-06,81,89.0,,0.89,72.09
2010-05-07,90,89.0,,0.89,80.1
2010-05-08,93,89.0,,0.89,82.77
2010-05-09,88,89.0,,0.89,78.32000000000001
2010-05-10,81,89.0,,0.89,72.09
2010-05-11,76,89.0,,0.89,67.64
2010-05-12,85,89.0,,0.89,75.65
2010-05-13,90,89.0,,0.89,80.1
2010-05-14,99,89.0,,0.89,88.11
2010-05-15,85,89.0,,0.89,75.65
2010-05-16,85,89.0,,0.89,75.65
2010-05-17,80,89.0,,0.89,71.2
2010-05-18,86,89.0,,0.89,76.54
2010-05-19,90,89.0,,0.89,80.1
2010-05-20,99,89.0,,0.89,88.11
2010-05-21,90,89.0,,0.89,80.1
2010-05-22,100,89.0,,0.89,89.0
2010-05-23,98,89.0,,0.89,87.22
2010-05-24,89,89.0,,0.89,79.21000000000001
2010-05-25,89,89.0,,0.89,79.21000000000001
2010-05-26,90,89.0,,0.89,80.1
2010-05-27,96,89.0,,0.89,85.44
2010-05-28,88,89.0,,0.89,78.32000000000001
2010-05-29,96,89.0,,0.89,85.44
2010-05-30,94,89.0,,0.89,83.66
2010-05-31,96,89.0,,0.89,85.44
2010-06-01,91,81.0,False,0.81,73.71000000000001
2010-06-02,95,81.0,,0.81,76.95
2010-06-03,99,81.0,,0.81,80.19000000000001
2010-06-04,95,81.0,,0.81,76.95
2010-06-05,100,81.0,,0.81,81.0
2010-06-06,91,81.0,,0.81,73.71000000000001
2010-06-07,86,81.0,,0.81,69.66000000000001
2010-06-08,96,81.0,,0.81,77.76
2010-06-09,86,81.0,,0.81,69.66000000000001
2010-06-10,77,81.0,,0.81,62.370000000000005
2010-06-11,89,81.0,,0.81,72.09
2010-06-12,95,81.0,,0.81,76.95
2010-06-13,86,81.0,,0.81,69.66000000000001
2010-06-14,78,81.0,,0.81,63.18000000000001
2010-06-15,79,81.0,,0.81,63.99
2010-06-16,80,81.0,,0.81,64.80000000000001
2010-06-17,86,81.0,,0.81,69.66000000000001
2010-06-18,75,81.0,,0.81,60.75000000000001
2010-06-19,90,81.0,,0.81,72.9
2010-06-20,82,81.0,,0.81,66.42
2010-06-21,73,81.0,,0.81,59.13
2010-06-22,86,81.0,,0.81,69.66000000000001
2010-06-23,85,81.0,,0.81,68.85000000000001
2010-06-24,84,81.0,,0.81,68.04
2010-06-25,85,81.0,,0.81,68.85000000000001
2010-06-26,90,81.0,,0.81,72.9
2010-06-27,89,81.0,,0.81,72.09
2010-06-28,71,81.0,,0.81,57.510000000000005
2010-06-29,78,81.0,,0.81,63.18000000000001
2010-06-30,78,81.0,,0.81,63.18000000000001
2010-07-01,64,94.0,False,0.94,60.16
2010-07-02,85,94.0,,0.94,79.89999999999999
2010-07-03,98,94.0,,0.94,92.11999999999999
2010-07-04,90,94.0,,0.94,84.6
2010-07-05,97,94.0,,0.94,91.17999999999999
2010-07-06,80,94.0,,0.94,75.19999999999999
2010-07-07,79,94.0,,0.94,74.25999999999999
2010-07-08,83,94.0,,0.94,78.02
2010-07-09,84,94.0,,0.94,78.96
2010-07-10,94,94.0,,0.94,88.36
2010-07-11,93,94.0,,0.94,87.42
2010-07-12,83,94.0,,0.94,78.02
2010-07-13,85,94.0,,0.94,79.89999999999999
2010-07-14,84,94.0,,0.94,78.96
2010-07-15,83,94.0,,0.94,78.02
2010-07-16,81,94.0,,0.94,76.14
2010-07-17,100,94.0,,0.94,94.0
2010-07-18,99,94.0,,0.94,93.05999999999999
2010-07-19,76,94.0,,0.94,71.44
2010-07-20,73,94.0,,0.94,68.61999999999999
2010-07-21,82,94.0,,0.94,77.08
2010-07-22,86,94.0,,0.94,80.83999999999999
2010-07-23,82,94.0,,0.94,77.08
2010-07-24,97,94.0,,0.94,91.17999999999999
2010-07-25,96,94.0,,0.94,90.24
2010-07-26,75,94.0,,0.94,70.5
2010-07-27,81,94.0,,0.94,76.14
2010-07-28,88,94.0,,0.94,82.72
2010-07-29,81,94.0,,0.94,76.14
2010-07-30,81,94.0,,0.94,76.14
2010-07-31,99,94.0,,0.94,93.05999999999999
