date,garden_unscaled,garden_monthly,isPartial,scale,garden
2010-01-01,97,45.0,False,0.45,43.65
2010-01-02,100,45.0,,0.45,45.0
2010-01-03,92,45.0,,0.45,41.4
2010-01-04,77,45.0,,0.45,34.65
2010-01-05,73,45.0,,0.45,32.85
2010-01-06,78,45.0,,0.45,35.1
2010-01-07,79,45.0,,0.45,35.550000000000004
2010-01-08,82,45.0,,0.45,36.9
2010-01-09,95,45.0,,0.45,42.75
2010-01-10,86,45.0,,0.45,38.7
2010-01-11,73,45.0,,0.45,32.85
2010-01-12,80,45.0,,0.45,36.0
2010-01-13,71,45.0,,0.45,31.95
2010-01-14,78,45.0,,0.45,35.1
2010-01-15,80,45.0,,0.45,36.0
2010-01-16,85,45.0,,0.45,38.25
2010-01-17,88,45.0,,0.45,39.6
2010-01-18,80,45.0,,0.45,36.0
2010-01-19,72,45.0,,0.45,32.4
2010-01-20,73,45.0,,0.45,32.85
2010-01-21,76,45.0,,0.45,34.2
2010-01-22,91,45.0,,0.45,40.95
2010-01-23,86,45.0,,0.45,38.7
2010-01-24,90,45.0,,0.45,40.5
2010-01-25,74,45.0,,0.45,33.300000000000004
2010-01-26,67,45.0,,0.45,30.150000000000002
2010-01-27,70,45.0,,0.45,31.5
2010-01-28,75,45.0,,0.45,33.75
2010-01-29,78,45.0,,0.45,35.1
2010-01-30,90,45.0,,0.45,40.5
2010-01-31,83,45.0,,0.45,37.35
2010-02-01,60,48.0,False,0.48,28.799999999999997
2010-02-02,60,48.0,,0.48,28.799999999999997
2010-02-03,60,48.0,,0.48,28.799999999999997
2010-02-04,67,48.0,,0.48,32.16
2010-02-05,66,48.0,,0.48,31.68
2010-02-06,77,48.0,,0.48,36.96
2010-02-07,66,48.0,,0.48,31.68
2010-02-08,64,48.0,,0.48,30.72
2010-02-09,59,48.0,,0.48,28.32
2010-02-10,61,48.0,,0.48,29.279999999999998
2010-02-11,69,48.0,,0.48,33.12
2010-02-12,78,48.0,,0.48,37.44
2010-02-13,89,48.0,,0.48,42.72
2010-02-14,100,48.0,,0.48,48.0
2010-02-15,74,48.0,,0.48,35.519999999999996
2010-02-16,63,48.0,,0.48,30.24
2010-02-17,69,48.0,,0.48,33.12
2010-02-18,67,48.0,,0.48,32.16
2010-02-19,73,48.0,,0.48,35.04
2010-02-20,85,48.0,,0.48,40.8
2010-02-21,83,48.0,,0.48,39.839999999999996
2010-02-22,70,48.0,,0.48,33.6
2010-02-23,70,48.0,,0.48,33.6
2010-02-24,68,48.0,,0.48,32.64
2010-02-25,67,48.0,,0.48,32.16
2010-02-26,75,48.0,,0.48,36.0
2010-02-27,82,48.0,,0.48,39.36
2010-02-28,83,48.0,,0.48,39.839999999999996
2010-03-01,66,56.0,False,0.56,36.96
2010-03-02,68,56.0,,0.56,38.080000000000005
2010-03-03,68,56.0,,0.56,38.080000000000005
2010-03-04,70,56.0,,0.56,39.2
2010-03-05,86,56.0,,0.56,48.160000000000004
2010-03-06,93,56.0,,0.56,52.080000000000005
2010-03-07,90,56.0,,0.56,50.400000000000006
2010-03-08,75,56.0,,0.56,42.00000000000001
2010-03-09,77,56.0,,0.56,43.120000000000005
2010-03-10,74,56.0,,0.56,41.440000000000005
2010-03-11,76,56.0,,0.56,42.56
2010-03-12,88,56.0,,0.56,49.28
2010-03-13,86,56.0,,0.56,48.160000000000004
2010-03-14,85,56.0,,0.56,47.6
2010-03-15,79,56.0,,0.56,44.24
2010-03-16,71,56.0,,0.56,39.760000000000005
2010-03-17,76,56.0,,0.56,42.56
2010-03-18,79,56.0,,0.56,44.24
2010-03-19,87,56.0,,0.56,48.720000000000006
2010-03-20,100,56.0,,0.56,56.00000000000001
2010-03-21,91,56.0,,0.56,50.96000000000001
2010-03-22,76,56.0,,0.56,42.56
2010-03-23,75,56.0,,0.56,42.00000000000001
2010-03-24,79,56.0,,0.56,44.24
2010-03-25,77,56.0,,0.56,43.120000000000005
2010-03-26,92,56.0,,0.56,51.52
2010-03-27,100,56.0,,0.56,56.00000000000001
2010-03-28,92,56.0,,0.56,51.52
2010-03-29,71,56.0,,0.56,39.760000000000005
2010-03-30,74,56.0,,0.56,41.440000000000005
2010-03-31,81,56.0,,0.56,45.36000000000001
2010-04-01,75,61.0,False,0.61,45.75
