date,gold_unscaled,gold_monthly,isPartial,scale,gold
2010-01-01,97,56.0,False,0.56,54.32000000000001
2010-01-02,96,56.0,,0.56,53.760000000000005
2010-01-03,100,56.0,,0.56,56.00000000000001
2010-01-04,92,56.0,,0.56,51.52
2010-01-05,87,56.0,,0.56,48.720000000000006
2010-01-06,95,56.0,,0.56,53.2
2010-01-07,88,56.0,,0.56,49.28
2010-01-08,80,56.0,,0.56,44.800000000000004
2010-01-09,95,56.0,,0.56,53.2
2010-01-10,87,56.0,,0.56,48.720000000000006
2010-01-11,87,56.0,,0.56,48.720000000000006
2010-01-12,85,56.0,,0.56,47.6
2010-01-13,87,56.0,,0.56,48.720000000000006
2010-01-14,89,56.0,,0.56,49.84
2010-01-15,86,56.0,,0.56,48.160000000000004
2010-01-16,89,56.0,,0.56,49.84
2010-01-17,89,56.0,,0.56,49.84
2010-01-18,87,56.0,,0.56,48.720000000000006
2010-01-19,87,56.0,,0.56,48.720000000000006
2010-01-20,85,56.0,,0.56,47.6
2010-01-21,89,56.0,,0.56,49.84
2010-01-22,96,56.0,,0.56,53.760000000000005
2010-01-23,96,56.0,,0.56,53.760000000000005
2010-01-24,97,56.0,,0.56,54.32000000000001
2010-01-25,92,56.0,,0.56,51.52
2010-01-26,88,56.0,,0.56,49.28
2010-01-27,90,56.0,,0.56,50.400000000000006
2010-01-28,86,56.0,,0.56,48.160000000000004
2010-01-29,88,56.0,,0.56,49.28
2010-01-30,90,56.0,,0.56,50.400000000000006
2010-01-31,98,56.0,,0.56,54.88
2010-02-01,35,68.0,False,0.68,23.8
2010-02-02,34,68.0,,0.68,23.12
2010-02-03,32,68.0,,0.68,21.76
2010-02-04,37,68.0,,0.68,25.16
2010-02-05,39,68.0,,0.68,26.520000000000003
2010-02-06,34,68.0,,0.68,23.12
2010-02-07,35,68.0,,0.68,23.8
2010-02-08,37,68.0,,0.68,25.16
2010-02-09,37,68.0,,0.68,25.16
2010-02-10,33,68.0,,0.68,22.44
2010-02-11,36,68.0,,0.68,24.48
2010-02-12,35,68.0,,0.68,23.8
2010-02-13,40,68.0,,0.68,27.200000000000003
2010-02-14,42,68.0,,0.68,28.560000000000002
2010-02-15,42,68.0,,0.68,28.560000000000002
2010-02-16,41,68.0,,0.68,27.880000000000003
2010-02-17,41,68.0,,0.68,27.880000000000003
2010-02-18,57,68.0,,0.68,38.760000000000005
2010-02-19,53,68.0,,0.68,36.04
2010-02-20,52,68.0,,0.68,35.36
2010-02-21,49,68.0,,0.68,33.32
2010-02-22,42,68.0,,0.68,28.560000000000002
2010-02-23,43,68.0,,0.68,29.240000000000002
2010-02-24,39,68.0,,0.68,26.520000000000003
2010-02-25,40,68.0,,0.68,27.200000000000003
2010-02-26,46,68.0,,0.68,31.28
2010-02-27,48,68.0,,0.68,32.64
2010-02-28,100,68.0,,0.68,68.0
2010-03-01,100,64.0,False,0.64,64.0
2010-03-02,78,64.0,,0.64,49.92
2010-03-03,73,64.0,,0.64,46.72
2010-03-04,69,64.0,,0.64,44.160000000000004
2010-03-05,71,64.0,,0.64,45.44
2010-03-06,72,64.0,,0.64,46.08
2010-03-07,75,64.0,,0.64,48.0
2010-03-08,65,64.0,,0.64,41.6
2010-03-09,73,64.0,,0.64,46.72
2010-03-10,65,64.0,,0.64,41.6
2010-03-11,72,64.0,,0.64,46.08
2010-03-12,75,64.0,,0.64,48.0
2010-03-13,81,64.0,,0.64,51.84
2010-03-14,89,64.0,,0.64,56.96
2010-03-15,82,64.0,,0.64,52.480000000000004
2010-03-16,76,64.0,,0.64,48.64
2010-03-17,77,64.0,,0.64,49.28
2010-03-18,73,64.0,,0.64,46.72
2010-03-19,72,64.0,,0.64,46.08
2010-03-20,88,64.0,,0.64,56.32
2010-03-21,95,64.0,,0.64,60.800000000000004
2010-03-22,75,64.0,,0.64,48.0
2010-03-23,70,64.0,,0.64,44.800000000000004
2010-03-24,71,64.0,,0.64,45.44
2010-03-25,76,64.0,,0.64,48.64
2010-03-26,73,64.0,,0.64,46.72
2010-03-27,85,64.0,,0.64,54.4
2010-03-28,86,64.0,,0.64,55.04
2010-03-29,78,64.0,,0.64,49.92
2010-03-30,75,64.0,,0.64,48.0
2010-03-31,71,64.0,,0.64,45.44
2010-04-01,84,59.0,False,0.59,49.559999999999995
2010-04-02,89,59.0,,0.59,52.51
2010-04-03,100,59.0,,0.59,59.0
2010-04-04,97,59.0,,0.59,57.23
2010-04-05,87,59.0,,0.59,51.33
2010-04-06,86,59.0,,0.59,50.739999999999995
2010-04-07,84,59.0,,0.59,49.559999999999995
2010-04-08,87,59.0,,0.59,51.33
2010-04-09,87,59.0,,0.59,51.33
2010-04-10,90,59.0,,0.59,53.099999999999994
2010-04-11,93,59.0,,0.59,54.87
2010-04-12,84,59.0,,0.59,49.559999999999995
2010-04-13,84,59.0,,0.59,49.559999999999995
2010-04-14,78,59.0,,0.59,46.019999999999996
2010-04-15,85,59.0,,0.59,50.15
2010-04-16,84,59.0,,0.59,49.559999999999995
2010-04-17,92,59.0,,0.59,54.279999999999994
2010-04-18,94,59.0,,0.59,55.459999999999994
2010-04-19,87,59.0,,0.59,51.33
2010-04-20,78,59.0,,0.59,46.019999999999996
2010-04-21,78,59.0,,0.59,46.019999999999996
2010-04-22,80,59.0,,0.59,47.199999999999996
2010-04-23,79,59.0,,0.59,46.61
2010-04-24,86,59.0,,0.59,50.739999999999995
