date,growth_unscaled,growth_monthly,isPartial,scale,growth
2010-01-01,43,64.0,False,0.64,27.52
2010-01-02,67,64.0,,0.64,42.88
2010-01-03,53,64.0,,0.64,33.92
2010-01-04,77,64.0,,0.64,49.28
2010-01-05,91,64.0,,0.64,58.24
2010-01-06,75,64.0,,0.64,48.0
2010-01-07,94,64.0,,0.64,60.160000000000004
2010-01-08,71,64.0,,0.64,45.44
2010-01-09,69,64.0,,0.64,44.160000000000004
2010-01-10,73,64.0,,0.64,46.72
2010-01-11,95,64.0,,0.64,60.800000000000004
2010-01-12,74,64.0,,0.64,47.36
2010-01-13,81,64.0,,0.64,51.84
2010-01-14,94,64.0,,0.64,60.160000000000004
2010-01-15,82,64.0,,0.64,52.480000000000004
2010-01-16,61,64.0,,0.64,39.04
2010-01-17,68,64.0,,0.64,43.52
2010-01-18,81,64.0,,0.64,51.84
2010-01-19,88,64.0,,0.64,56.32
2010-01-20,92,64.0,,0.64,58.88
2010-01-21,100,64.0,,0.64,64.0
2010-01-22,77,64.0,,0.64,49.28
2010-01-23,63,64.0,,0.64,40.32
2010-01-24,73,64.0,,0.64,46.72
2010-01-25,93,64.0,,0.64,59.52
2010-01-26,82,64.0,,0.64,52.480000000000004
2010-01-27,92,64.0,,0.64,58.88
2010-01-28,83,64.0,,0.64,53.120000000000005
2010-01-29,88,64.0,,0.64,56.32
2010-01-30,76,64.0,,0.64,48.64
2010-01-31,89,64.0,,0.64,56.96
2010-02-01,91,72.0,False,0.72,65.52
2010-02-02,78,72.0,,0.72,56.16
2010-02-03,88,72.0,,0.72,63.36
2010-02-04,93,72.0,,0.72,66.96
2010-02-05,81,72.0,,0.72,58.32
2010-02-06,65,72.0,,0.72,46.8
2010-02-07,71,72.0,,0.72,51.12
2010-02-08,88,72.0,,0.72,63.36
2010-02-09,100,72.0,,0.72,72.0
2010-02-10,80,72.0,,0.72,57.599999999999994
2010-02-11,84,72.0,,0.72,60.48
2010-02-12,72,72.0,,0.72,51.839999999999996
2010-02-13,53,72.0,,0.72,38.16
2010-02-14,67,72.0,,0.72,48.239999999999995
2010-02-15,78,72.0,,0.72,56.16
2010-02-16,94,72.0,,0.72,67.67999999999999
2010-02-17,86,72.0,,0.72,61.919999999999995
2010-02-18,90,72.0,,0.72,64.8
2010-02-19,88,72.0,,0.72,63.36
2010-02-20,58,72.0,,0.72,41.76
2010-02-21,81,72.0,,0.72,58.32
2010-02-22,94,72.0,,0.72,67.67999999999999
2010-02-23,89,72.0,,0.72,64.08
2010-02-24,94,72.0,,0.72,67.67999999999999
2010-02-25,87,72.0,,0.72,62.64
2010-02-26,74,72.0,,0.72,53.28
2010-02-27,72,72.0,,0.72,51.839999999999996
2010-02-28,79,72.0,,0.72,56.879999999999995
2010-03-01,90,72.0,False,0.72,64.8
2010-03-02,95,72.0,,0.72,68.39999999999999
2010-03-03,90,72.0,,0.72,64.8
2010-03-04,91,72.0,,0.72,65.52
2010-03-05,82,72.0,,0.72,59.04
2010-03-06,66,72.0,,0.72,47.519999999999996
2010-03-07,77,72.0,,0.72,55.44
2010-03-08,78,72.0,,0.72,56.16
2010-03-09,90,72.0,,0.72,64.8
2010-03-10,88,72.0,,0.72,63.36
2010-03-11,96,72.0,,0.72,69.12
2010-03-12,83,72.0,,0.72,59.76
2010-03-13,57,72.0,,0.72,41.04
2010-03-14,65,72.0,,0.72,46.8
2010-03-15,70,72.0,,0.72,50.4
2010-03-16,100,72.0,,0.72,72.0
2010-03-17,88,72.0,,0.72,63.36
2010-03-18,83,72.0,,0.72,59.76
2010-03-19,77,72.0,,0.72,55.44
2010-03-20,58,72.0,,0.72,41.76
2010-03-21,80,72.0,,0.72,57.599999999999994
2010-03-22,91,72.0,,0.72,65.52
2010-03-23,85,72.0,,0.72,61.199999999999996
2010-03-24,93,72.0,,0.72,66.96
2010-03-25,90,72.0,,0.72,64.8
2010-03-26,73,72.0,,0.72,52.559999999999995
2010-03-27,64,72.0,,0.72,46.08
2010-03-28,71,72.0,,0.72,51.12
2010-03-29,71,72.0,,0.72,51.12
2010-03-30,92,72.0,,0.72,66.24
2010-03-31,80,72.0,,0.72,57.599999999999994
2010-04-01,72,77.0,False,0.77,55.44
2010-04-02,80,77.0,,0.77,61.6
2010-04-03,63,77.0,,0.77,48.51
2010-04-04,78,77.0,,0.77,60.06
2010-04-05,98,77.0,,0.77,75.46000000000001
2010-04-06,88,77.0,,0.77,67.76
2010-04-07,91,77.0,,0.77,70.07000000000001
2010-04-08,100,77.0,,0.77,77.0
2010-04-09,80,77.0,,0.77,61.6
2010-04-10,67,77.0,,0.77,51.59
2010-04-11,68,77.0,,0.77,52.36
2010-04-12,96,77.0,,0.77,73.92
2010-04-13,99,77.0,,0.77,76.23
2010-04-14,96,77.0,,0.77,73.92
2010-04-15,87,77.0,,0.77,66.99
2010-04-16,96,77.0,,0.77,73.92
2010-04-17,67,77.0,,0.77,51.59
2010-04-18,82,77.0,,0.77,63.14
2010-04-19,94,77.0,,0.77,72.38
2010-04-20,94,77.0,,0.77,72.38
2010-04-21,94,77.0,,0.77,72.38
2010-04-22,84,77.0,,0.77,64.68
2010-04-23,77,77.0,,0.77,59.29
2010-04-24,73,77.0,,0.77,56.21
2010-04-25,91,77.0,,0.77,70.07000000000001
2010-04-26,97,77.0,,0.77,74.69
2010-04-27,95,77.0,,0.77,73.15
2010-04-28,92,77.0,,0.77,70.84
