date,happy_unscaled,happy_monthly,isPartial,scale,happy
2010-01-01,100,35.0,False,0.35,35.0
2010-01-02,42,35.0,,0.35,14.7
2010-01-03,34,35.0,,0.35,11.899999999999999
2010-01-04,37,35.0,,0.35,12.95
2010-01-05,34,35.0,,0.35,11.899999999999999
2010-01-06,37,35.0,,0.35,12.95
2010-01-07,30,35.0,,0.35,10.5
2010-01-08,31,35.0,,0.35,10.85
2010-01-09,30,35.0,,0.35,10.5
2010-01-10,29,35.0,,0.35,10.149999999999999
2010-01-11,28,35.0,,0.35,9.799999999999999
2010-01-12,30,35.0,,0.35,10.5
2010-01-13,29,35.0,,0.35,10.149999999999999
2010-01-14,30,35.0,,0.35,10.5
2010-01-15,37,35.0,,0.35,12.95
2010-01-16,28,35.0,,0.35,9.799999999999999
2010-01-17,30,35.0,,0.35,10.5
2010-01-18,28,35.0,,0.35,9.799999999999999
2010-01-19,28,35.0,,0.35,9.799999999999999
2010-01-20,31,35.0,,0.35,10.85
2010-01-21,31,35.0,,0.35,10.85
2010-01-22,31,35.0,,0.35,10.85
2010-01-23,27,35.0,,0.35,9.45
2010-01-24,28,35.0,,0.35,9.799999999999999
2010-01-25,26,35.0,,0.35,9.1
2010-01-26,27,35.0,,0.35,9.45
2010-01-27,30,35.0,,0.35,10.5
2010-01-28,31,35.0,,0.35,10.85
2010-01-29,32,35.0,,0.35,11.2
2010-01-30,30,35.0,,0.35,10.5
2010-01-31,27,35.0,,0.35,9.45
2010-02-01,39,33.0,False,0.33,12.870000000000001
2010-02-02,39,33.0,,0.33,12.870000000000001
2010-02-03,39,33.0,,0.33,12.870000000000001
2010-02-04,40,33.0,,0.33,13.200000000000001
2010-02-05,46,33.0,,0.33,15.180000000000001
2010-02-06,38,33.0,,0.33,12.540000000000001
2010-02-07,44,33.0,,0.33,14.520000000000001
2010-02-08,39,33.0,,0.33,12.870000000000001
2010-02-09,44,33.0,,0.33,14.520000000000001
2010-02-10,42,33.0,,0.33,13.860000000000001
2010-02-11,49,33.0,,0.33,16.17
2010-02-12,53,33.0,,0.33,17.490000000000002
2010-02-13,62,33.0,,0.33,20.46
2010-02-14,100,33.0,,0.33,33.0
2010-02-15,47,33.0,,0.33,15.510000000000002
2010-02-16,44,33.0,,0.33,14.520000000000001
2010-02-17,43,33.0,,0.33,14.190000000000001
2010-02-18,44,33.0,,0.33,14.520000000000001
2010-02-19,48,33.0,,0.33,15.84
2010-02-20,46,33.0,,0.33,15.180000000000001
2010-02-21,42,33.0,,0.33,13.860000000000001
2010-02-22,40,33.0,,0.33,13.200000000000001
2010-02-23,46,33.0,,0.33,15.180000000000001
2010-02-24,45,33.0,,0.33,14.850000000000001
2010-02-25,43,33.0,,0.33,14.190000000000001
2010-02-26,45,33.0,,0.33,14.850000000000001
2010-02-27,51,33.0,,0.33,16.830000000000002
2010-02-28,47,33.0,,0.33,15.510000000000002
