date,health_unscaled,health_monthly,isPartial,scale,health
2010-01-01,41,73.0,False,0.73,29.93
2010-01-02,47,73.0,,0.73,34.31
2010-01-03,48,73.0,,0.73,35.04
2010-01-04,91,73.0,,0.73,66.42999999999999
2010-01-05,92,73.0,,0.73,67.16
2010-01-06,89,73.0,,0.73,64.97
2010-01-07,84,73.0,,0.73,61.32
2010-01-08,80,73.0,,0.73,58.4
2010-01-09,47,73.0,,0.73,34.31
2010-01-10,47,73.0,,0.73,34.31
2010-01-11,87,73.0,,0.73,63.51
2010-01-12,90,73.0,,0.73,65.7
2010-01-13,88,73.0,,0.73,64.24
2010-01-14,86,73.0,,0.73,62.78
2010-01-15,82,73.0,,0.73,59.86
2010-01-16,52,73.0,,0.73,37.96
2010-01-17,50,73.0,,0.73,36.5
2010-01-18,72,73.0,,0.73,52.56
2010-01-19,92,73.0,,0.73,67.16
2010-01-20,100,73.0,,0.73,73.0
2010-01-21,93,73.0,,0.73,67.89
2010-01-22,82,73.0,,0.73,59.86
2010-01-23,52,73.0,,0.73,37.96
2010-01-24,50,73.0,,0.73,36.5
2010-01-25,87,73.0,,0.73,63.51
2010-01-26,85,73.0,,0.73,62.05
2010-01-27,82,73.0,,0.73,59.86
2010-01-28,84,73.0,,0.73,61.32
2010-01-29,73,73.0,,0.73,53.29
2010-01-30,45,73.0,,0.73,32.85
2010-01-31,47,73.0,,0.73,34.31
2010-02-01,82,72.0,False,0.72,59.04
2010-02-02,82,72.0,,0.72,59.04
2010-02-03,84,72.0,,0.72,60.48
2010-02-04,75,72.0,,0.72,54.0
2010-02-05,74,72.0,,0.72,53.28
2010-02-06,47,72.0,,0.72,33.839999999999996
2010-02-07,47,72.0,,0.72,33.839999999999996
2010-02-08,85,72.0,,0.72,61.199999999999996
2010-02-09,79,72.0,,0.72,56.879999999999995
2010-02-10,73,72.0,,0.72,52.559999999999995
2010-02-11,79,72.0,,0.72,56.879999999999995
2010-02-12,70,72.0,,0.72,50.4
2010-02-13,43,72.0,,0.72,30.959999999999997
2010-02-14,44,72.0,,0.72,31.68
2010-02-15,71,72.0,,0.72,51.12
2010-02-16,84,72.0,,0.72,60.48
2010-02-17,86,72.0,,0.72,61.919999999999995
2010-02-18,83,72.0,,0.72,59.76
2010-02-19,76,72.0,,0.72,54.72
2010-02-20,51,72.0,,0.72,36.72
2010-02-21,47,72.0,,0.72,33.839999999999996
2010-02-22,92,72.0,,0.72,66.24
2010-02-23,85,72.0,,0.72,61.199999999999996
2010-02-24,90,72.0,,0.72,64.8
2010-02-25,100,72.0,,0.72,72.0
2010-02-26,81,72.0,,0.72,58.32
2010-02-27,52,72.0,,0.72,37.44
2010-02-28,48,72.0,,0.72,34.56
2010-03-01,27,97.0,False,0.97,26.189999999999998
2010-03-02,27,97.0,,0.97,26.189999999999998
2010-03-03,26,97.0,,0.97,25.22
2010-03-04,27,97.0,,0.97,26.189999999999998
2010-03-05,24,97.0,,0.97,23.28
2010-03-06,16,97.0,,0.97,15.52
2010-03-07,15,97.0,,0.97,14.549999999999999
2010-03-08,28,97.0,,0.97,27.16
2010-03-09,29,97.0,,0.97,28.13
2010-03-10,26,97.0,,0.97,25.22
2010-03-11,26,97.0,,0.97,25.22
2010-03-12,26,97.0,,0.97,25.22
2010-03-13,15,97.0,,0.97,14.549999999999999
2010-03-14,15,97.0,,0.97,14.549999999999999
2010-03-15,29,97.0,,0.97,28.13
2010-03-16,30,97.0,,0.97,29.099999999999998
2010-03-17,28,97.0,,0.97,27.16
2010-03-18,31,97.0,,0.97,30.07
2010-03-19,33,97.0,,0.97,32.01
2010-03-20,23,97.0,,0.97,22.31
2010-03-21,43,97.0,,0.97,41.71
2010-03-22,100,97.0,,0.97,97.0
2010-03-23,66,97.0,,0.97,64.02
2010-03-24,48,97.0,,0.97,46.56
2010-03-25,41,97.0,,0.97,39.769999999999996
2010-03-26,32,97.0,,0.97,31.04
2010-03-27,22,97.0,,0.97,21.34
2010-03-28,19,97.0,,0.97,18.43
2010-03-29,33,97.0,,0.97,32.01
2010-03-30,32,97.0,,0.97,31.04
2010-03-31,30,97.0,,0.97,29.099999999999998
2010-04-01,96,73.0,False,0.73,70.08
2010-04-02,81,73.0,,0.73,59.129999999999995
2010-04-03,52,73.0,,0.73,37.96
2010-04-04,52,73.0,,0.73,37.96
2010-04-05,96,73.0,,0.73,70.08
2010-04-06,98,73.0,,0.73,71.53999999999999
2010-04-07,93,73.0,,0.73,67.89
2010-04-08,97,73.0,,0.73,70.81
2010-04-09,89,73.0,,0.73,64.97
2010-04-10,54,73.0,,0.73,39.42
2010-04-11,55,73.0,,0.73,40.15
2010-04-12,97,73.0,,0.73,70.81
2010-04-13,100,73.0,,0.73,73.0
2010-04-14,97,73.0,,0.73,70.81
2010-04-15,92,73.0,,0.73,67.16
2010-04-16,84,73.0,,0.73,61.32
2010-04-17,50,73.0,,0.73,36.5
2010-04-18,58,73.0,,0.73,42.339999999999996
2010-04-19,95,73.0,,0.73,69.35
2010-04-20,92,73.0,,0.73,67.16
2010-04-21,92,73.0,,0.73,67.16
2010-04-22,88,73.0,,0.73,64.24
2010-04-23,82,73.0,,0.73,59.86
2010-04-24,48,73.0,,0.73,35.04
2010-04-25,53,73.0,,0.73,38.69
2010-04-26,93,73.0,,0.73,67.89
2010-04-27,94,73.0,,0.73,68.62
2010-04-28,90,73.0,,0.73,65.7
2010-04-29,87,73.0,,0.73,63.51
2010-04-30,78,73.0,,0.73,56.94
2010-05-01,51,66.0,False,0.66,33.660000000000004
2010-05-02,51,66.0,,0.66,33.660000000000004
2010-05-03,98,66.0,,0.66,64.68
2010-05-04,98,66.0,,0.66,64.68
2010-05-05,94,66.0,,0.66,62.040000000000006
2010-05-06,89,66.0,,0.66,58.74
2010-05-07,79,66.0,,0.66,52.14
2010-05-08,47,66.0,,0.66,31.020000000000003
2010-05-09,51,66.0,,0.66,33.660000000000004
2010-05-10,97,66.0,,0.66,64.02
2010-05-11,100,66.0,,0.66,66.0
2010-05-12,93,66.0,,0.66,61.38
2010-05-13,91,66.0,,0.66,60.06
2010-05-14,82,66.0,,0.66,54.120000000000005
2010-05-15,49,66.0,,0.66,32.34
2010-05-16,48,66.0,,0.66,31.68
2010-05-17,90,66.0,,0.66,59.400000000000006
2010-05-18,92,66.0,,0.66,60.720000000000006
2010-05-19,87,66.0,,0.66,57.42
2010-05-20,87,66.0,,0.66,57.42
2010-05-21,81,66.0,,0.66,53.46
2010-05-22,49,66.0,,0.66,32.34
2010-05-23,47,66.0,,0.66,31.020000000000003
2010-05-24,90,66.0,,0.66,59.400000000000006
2010-05-25,90,66.0,,0.66,59.400000000000006
2010-05-26,90,66.0,,0.66,59.400000000000006
2010-05-27,84,66.0,,0.66,55.440000000000005
2010-05-28,73,66.0,,0.66,48.18
2010-05-29,40,66.0,,0.66,26.400000000000002
2010-05-30,44,66.0,,0.66,29.040000000000003
2010-05-31,52,66.0,,0.66,34.32
2010-06-01,97,66.0,False,0.66,64.02
2010-06-02,96,66.0,,0.66,63.36
2010-06-03,96,66.0,,0.66,63.36
2010-06-04,85,66.0,,0.66,56.1
2010-06-05,51,66.0,,0.66,33.660000000000004
2010-06-06,50,66.0,,0.66,33.0
2010-06-07,100,66.0,,0.66,66.0
2010-06-08,99,66.0,,0.66,65.34
2010-06-09,97,66.0,,0.66,64.02
2010-06-10,91,66.0,,0.66,60.06
2010-06-11,82,66.0,,0.66,54.120000000000005
2010-06-12,53,66.0,,0.66,34.980000000000004
2010-06-13,50,66.0,,0.66,33.0
2010-06-14,97,66.0,,0.66,64.02
2010-06-15,98,66.0,,0.66,64.68
2010-06-16,95,66.0,,0.66,62.7
2010-06-17,88,66.0,,0.66,58.080000000000005
2010-06-18,79,66.0,,0.66,52.14
2010-06-19,44,66.0,,0.66,29.040000000000003
2010-06-20,51,66.0,,0.66,33.660000000000004
2010-06-21,96,66.0,,0.66,63.36
2010-06-22,95,66.0,,0.66,62.7
2010-06-23,86,66.0,,0.66,56.760000000000005
2010-06-24,87,66.0,,0.66,57.42
2010-06-25,88,66.0,,0.66,58.080000000000005
2010-06-26,49,66.0,,0.66,32.34
2010-06-27,54,66.0,,0.66,35.64
2010-06-28,94,66.0,,0.66,62.040000000000006
2010-06-29,95,66.0,,0.66,62.7
2010-06-30,93,66.0,,0.66,61.38
2010-07-01,93,59.0,False,0.59,54.87
2010-07-02,78,59.0,,0.59,46.019999999999996
2010-07-03,46,59.0,,0.59,27.139999999999997
2010-07-04,36,59.0,,0.59,21.24
2010-07-05,60,59.0,,0.59,35.4
2010-07-06,96,59.0,,0.59,56.64
2010-07-07,96,59.0,,0.59,56.64
2010-07-08,88,59.0,,0.59,51.919999999999995
2010-07-09,80,59.0,,0.59,47.199999999999996
2010-07-10,49,59.0,,0.59,28.91
2010-07-11,49,59.0,,0.59,28.91
2010-07-12,97,59.0,,0.59,57.23
2010-07-13,98,59.0,,0.59,57.82
2010-07-14,96,59.0,,0.59,56.64
2010-07-15,95,59.0,,0.59,56.05
2010-07-16,85,59.0,,0.59,50.15
2010-07-17,52,59.0,,0.59,30.68
2010-07-18,49,59.0,,0.59,28.91
2010-07-19,100,59.0,,0.59,59.0
2010-07-20,95,59.0,,0.59,56.05
2010-07-21,98,59.0,,0.59,57.82
2010-07-22,90,59.0,,0.59,53.099999999999994
2010-07-23,85,59.0,,0.59,50.15
2010-07-24,49,59.0,,0.59,28.91
2010-07-25,47,59.0,,0.59,27.729999999999997
2010-07-26,99,59.0,,0.59,58.41
2010-07-27,95,59.0,,0.59,56.05
2010-07-28,99,59.0,,0.59,58.41
2010-07-29,91,59.0,,0.59,53.69
2010-07-30,88,59.0,,0.59,51.919999999999995
2010-07-31,50,59.0,,0.59,29.5
2010-08-01,48,63.0,False,0.63,30.240000000000002
2010-08-02,95,63.0,,0.63,59.85
2010-08-03,95,63.0,,0.63,59.85
2010-08-04,94,63.0,,0.63,59.22
2010-08-05,94,63.0,,0.63,59.22
2010-08-06,78,63.0,,0.63,49.14
2010-08-07,46,63.0,,0.63,28.98
2010-08-08,49,63.0,,0.63,30.87
2010-08-09,90,63.0,,0.63,56.7
2010-08-10,95,63.0,,0.63,59.85
2010-08-11,93,63.0,,0.63,58.59
2010-08-12,86,63.0,,0.63,54.18
2010-08-13,76,63.0,,0.63,47.88
2010-08-14,48,63.0,,0.63,30.240000000000002
2010-08-15,47,63.0,,0.63,29.61
2010-08-16,94,63.0,,0.63,59.22
2010-08-17,96,63.0,,0.63,60.480000000000004
2010-08-18,96,63.0,,0.63,60.480000000000004
2010-08-19,91,63.0,,0.63,57.33
2010-08-20,86,63.0,,0.63,54.18
2010-08-21,46,63.0,,0.63,28.98
2010-08-22,50,63.0,,0.63,31.5
2010-08-23,97,63.0,,0.63,61.11
2010-08-24,100,63.0,,0.63,63.0
2010-08-25,88,63.0,,0.63,55.44
2010-08-26,92,63.0,,0.63,57.96
2010-08-27,79,63.0,,0.63,49.77
2010-08-28,50,63.0,,0.63,31.5
2010-08-29,48,63.0,,0.63,30.240000000000002
2010-08-30,97,63.0,,0.63,61.11
2010-08-31,99,63.0,,0.63,62.37
2010-09-01,86,65.0,False,0.65,55.9
2010-09-02,85,65.0,,0.65,55.25
2010-09-03,69,65.0,,0.65,44.85
2010-09-04,44,65.0,,0.65,28.6
2010-09-05,37,65.0,,0.65,24.05
2010-09-06,49,65.0,,0.65,31.85
2010-09-07,90,65.0,,0.65,58.5
2010-09-08,93,65.0,,0.65,60.45
2010-09-09,84,65.0,,0.65,54.6
2010-09-10,83,65.0,,0.65,53.95
2010-09-11,40,65.0,,0.65,26.0
2010-09-12,46,65.0,,0.65,29.900000000000002
2010-09-13,91,65.0,,0.65,59.15
2010-09-14,100,65.0,,0.65,65.0
2010-09-15,92,65.0,,0.65,59.800000000000004
2010-09-16,86,65.0,,0.65,55.9
2010-09-17,81,65.0,,0.65,52.65
2010-09-18,42,65.0,,0.65,27.3
2010-09-19,44,65.0,,0.65,28.6
2010-09-20,98,65.0,,0.65,63.7
2010-09-21,94,65.0,,0.65,61.1
2010-09-22,93,65.0,,0.65,60.45
2010-09-23,93,65.0,,0.65,60.45
2010-09-24,85,65.0,,0.65,55.25
2010-09-25,49,65.0,,0.65,31.85
2010-09-26,49,65.0,,0.65,31.85
2010-09-27,91,65.0,,0.65,59.15
2010-09-28,94,65.0,,0.65,61.1
2010-09-29,96,65.0,,0.65,62.400000000000006
2010-09-30,94,65.0,,0.65,61.1
2010-10-01,84,64.0,False,0.64,53.76
2010-10-02,50,64.0,,0.64,32.0
2010-10-03,49,64.0,,0.64,31.36
2010-10-04,99,64.0,,0.64,63.36
2010-10-05,97,64.0,,0.64,62.08
2010-10-06,97,64.0,,0.64,62.08
2010-10-07,96,64.0,,0.64,61.44
2010-10-08,83,64.0,,0.64,53.120000000000005
2010-10-09,47,64.0,,0.64,30.080000000000002
2010-10-10,49,64.0,,0.64,31.36
2010-10-11,90,64.0,,0.64,57.6
2010-10-12,93,64.0,,0.64,59.52
2010-10-13,93,64.0,,0.64,59.52
