date,holiday_unscaled,holiday_monthly,isPartial,scale,holiday
2010-01-01,100,24.0,False,0.24,24.0
2010-01-02,59,24.0,,0.24,14.16
2010-01-03,51,24.0,,0.24,12.24
2010-01-04,62,24.0,,0.24,14.879999999999999
2010-01-05,56,24.0,,0.24,13.44
2010-01-06,51,24.0,,0.24,12.24
2010-01-07,48,24.0,,0.24,11.52
2010-01-08,50,24.0,,0.24,12.0
2010-01-09,41,24.0,,0.24,9.84
2010-01-10,44,24.0,,0.24,10.559999999999999
2010-01-11,53,24.0,,0.24,12.719999999999999
2010-01-12,55,24.0,,0.24,13.2
2010-01-13,54,24.0,,0.24,12.959999999999999
2010-01-14,52,24.0,,0.24,12.48
2010-01-15,57,24.0,,0.24,13.68
2010-01-16,46,24.0,,0.24,11.04
2010-01-17,50,24.0,,0.24,12.0
2010-01-18,80,24.0,,0.24,19.2
2010-01-19,49,24.0,,0.24,11.76
2010-01-20,45,24.0,,0.24,10.799999999999999
2010-01-21,42,24.0,,0.24,10.08
2010-01-22,45,24.0,,0.24,10.799999999999999
2010-01-23,31,24.0,,0.24,7.4399999999999995
2010-01-24,37,24.0,,0.24,8.879999999999999
2010-01-25,47,24.0,,0.24,11.28
2010-01-26,45,24.0,,0.24,10.799999999999999
2010-01-27,39,24.0,,0.24,9.36
2010-01-28,41,24.0,,0.24,9.84
2010-01-29,40,24.0,,0.24,9.6
2010-01-30,35,24.0,,0.24,8.4
2010-01-31,36,24.0,,0.24,8.64
2010-02-01,60,23.0,False,0.23,13.8
2010-02-02,63,23.0,,0.23,14.49
2010-02-03,57,23.0,,0.23,13.110000000000001
2010-02-04,56,23.0,,0.23,12.88
2010-02-05,57,23.0,,0.23,13.110000000000001
2010-02-06,49,23.0,,0.23,11.270000000000001
2010-02-07,51,23.0,,0.23,11.73
2010-02-08,68,23.0,,0.23,15.64
2010-02-09,56,23.0,,0.23,12.88
2010-02-10,57,23.0,,0.23,13.110000000000001
2010-02-11,67,23.0,,0.23,15.41
2010-02-12,73,23.0,,0.23,16.79
2010-02-13,58,23.0,,0.23,13.34
2010-02-14,57,23.0,,0.23,13.110000000000001
2010-02-15,100,23.0,,0.23,23.0
2010-02-16,60,23.0,,0.23,13.8
2010-02-17,50,23.0,,0.23,11.5
2010-02-18,61,23.0,,0.23,14.030000000000001
2010-02-19,62,23.0,,0.23,14.26
2010-02-20,56,23.0,,0.23,12.88
2010-02-21,49,23.0,,0.23,11.270000000000001
2010-02-22,67,23.0,,0.23,15.41
2010-02-23,52,23.0,,0.23,11.96
2010-02-24,54,23.0,,0.23,12.42
2010-02-25,55,23.0,,0.23,12.65
2010-02-26,57,23.0,,0.23,13.110000000000001
2010-02-27,45,23.0,,0.23,10.35
2010-02-28,42,23.0,,0.23,9.66
2010-03-01,91,22.0,False,0.22,20.02
2010-03-02,82,22.0,,0.22,18.04
2010-03-03,76,22.0,,0.22,16.72
2010-03-04,68,22.0,,0.22,14.96
2010-03-05,84,22.0,,0.22,18.48
2010-03-06,66,22.0,,0.22,14.52
2010-03-07,66,22.0,,0.22,14.52
2010-03-08,84,22.0,,0.22,18.48
2010-03-09,77,22.0,,0.22,16.94
2010-03-10,76,22.0,,0.22,16.72
2010-03-11,81,22.0,,0.22,17.82
2010-03-12,78,22.0,,0.22,17.16
2010-03-13,78,22.0,,0.22,17.16
2010-03-14,68,22.0,,0.22,14.96
2010-03-15,86,22.0,,0.22,18.92
2010-03-16,76,22.0,,0.22,16.72
2010-03-17,79,22.0,,0.22,17.38
2010-03-18,76,22.0,,0.22,16.72
2010-03-19,74,22.0,,0.22,16.28
2010-03-20,61,22.0,,0.22,13.42
2010-03-21,62,22.0,,0.22,13.64
2010-03-22,84,22.0,,0.22,18.48
2010-03-23,81,22.0,,0.22,17.82
2010-03-24,82,22.0,,0.22,18.04
2010-03-25,78,22.0,,0.22,17.16
2010-03-26,86,22.0,,0.22,18.92
2010-03-27,64,22.0,,0.22,14.08
2010-03-28,77,22.0,,0.22,16.94
2010-03-29,100,22.0,,0.22,22.0
2010-03-30,87,22.0,,0.22,19.14
2010-03-31,84,22.0,,0.22,18.48
2010-04-01,79,22.0,False,0.22,17.38
2010-04-02,100,22.0,,0.22,22.0
2010-04-03,64,22.0,,0.22,14.08
2010-04-04,91,22.0,,0.22,20.02
2010-04-05,92,22.0,,0.22,20.24
2010-04-06,76,22.0,,0.22,16.72
2010-04-07,76,22.0,,0.22,16.72
2010-04-08,76,22.0,,0.22,16.72
2010-04-09,69,22.0,,0.22,15.18
2010-04-10,52,22.0,,0.22,11.44
2010-04-11,64,22.0,,0.22,14.08
2010-04-12,66,22.0,,0.22,14.52
2010-04-13,68,22.0,,0.22,14.96
2010-04-14,68,22.0,,0.22,14.96
2010-04-15,70,22.0,,0.22,15.4
2010-04-16,74,22.0,,0.22,16.28
2010-04-17,66,22.0,,0.22,14.52
2010-04-18,50,22.0,,0.22,11.0
2010-04-19,85,22.0,,0.22,18.7
2010-04-20,72,22.0,,0.22,15.84
2010-04-21,74,22.0,,0.22,16.28
2010-04-22,74,22.0,,0.22,16.28
2010-04-23,81,22.0,,0.22,17.82
2010-04-24,59,22.0,,0.22,12.98
2010-04-25,61,22.0,,0.22,13.42
2010-04-26,75,22.0,,0.22,16.5
2010-04-27,62,22.0,,0.22,13.64
2010-04-28,73,22.0,,0.22,16.06
2010-04-29,78,22.0,,0.22,17.16
2010-04-30,73,22.0,,0.22,16.06
2010-05-01,62,23.0,False,0.23,14.26
2010-05-02,66,23.0,,0.23,15.180000000000001
2010-05-03,83,23.0,,0.23,19.09
2010-05-04,84,23.0,,0.23,19.32
2010-05-05,83,23.0,,0.23,19.09
2010-05-06,78,23.0,,0.23,17.94
2010-05-07,78,23.0,,0.23,17.94
