date,house_unscaled,house_monthly,isPartial,scale,house
2010-01-01,87,64.0,False,0.64,55.68
2010-01-02,98,64.0,,0.64,62.72
2010-01-03,97,64.0,,0.64,62.08
2010-01-04,91,64.0,,0.64,58.24
2010-01-05,90,64.0,,0.64,57.6
2010-01-06,90,64.0,,0.64,57.6
2010-01-07,83,64.0,,0.64,53.120000000000005
2010-01-08,85,64.0,,0.64,54.4
2010-01-09,90,64.0,,0.64,57.6
2010-01-10,96,64.0,,0.64,61.44
2010-01-11,91,64.0,,0.64,58.24
2010-01-12,95,64.0,,0.64,60.800000000000004
2010-01-13,95,64.0,,0.64,60.800000000000004
2010-01-14,92,64.0,,0.64,58.88
2010-01-15,93,64.0,,0.64,59.52
2010-01-16,98,64.0,,0.64,62.72
2010-01-17,98,64.0,,0.64,62.72
2010-01-18,96,64.0,,0.64,61.44
2010-01-19,95,64.0,,0.64,60.800000000000004
2010-01-20,85,64.0,,0.64,54.4
2010-01-21,92,64.0,,0.64,58.88
2010-01-22,88,64.0,,0.64,56.32
2010-01-23,97,64.0,,0.64,62.08
2010-01-24,97,64.0,,0.64,62.08
2010-01-25,90,64.0,,0.64,57.6
2010-01-26,98,64.0,,0.64,62.72
2010-01-27,90,64.0,,0.64,57.6
2010-01-28,90,64.0,,0.64,57.6
2010-01-29,89,64.0,,0.64,56.96
2010-01-30,94,64.0,,0.64,60.160000000000004
2010-01-31,100,64.0,,0.64,64.0
2010-02-01,88,65.0,False,0.65,57.2
2010-02-02,90,65.0,,0.65,58.5
2010-02-03,87,65.0,,0.65,56.550000000000004
2010-02-04,85,65.0,,0.65,55.25
2010-02-05,87,65.0,,0.65,56.550000000000004
2010-02-06,92,65.0,,0.65,59.800000000000004
2010-02-07,91,65.0,,0.65,59.15
2010-02-08,87,65.0,,0.65,56.550000000000004
2010-02-09,89,65.0,,0.65,57.85
2010-02-10,89,65.0,,0.65,57.85
2010-02-11,87,65.0,,0.65,56.550000000000004
2010-02-12,91,65.0,,0.65,59.15
2010-02-13,94,65.0,,0.65,61.1
2010-02-14,99,65.0,,0.65,64.35000000000001
2010-02-15,91,65.0,,0.65,59.15
2010-02-16,89,65.0,,0.65,57.85
2010-02-17,90,65.0,,0.65,58.5
2010-02-18,86,65.0,,0.65,55.9
2010-02-19,91,65.0,,0.65,59.15
2010-02-20,95,65.0,,0.65,61.75
2010-02-21,100,65.0,,0.65,65.0
