date,housing_unscaled,housing_monthly,isPartial,scale,housing
2010-01-01,50,88.0,False,0.88,44.0
2010-01-02,51,88.0,,0.88,44.88
2010-01-03,54,88.0,,0.88,47.52
2010-01-04,91,88.0,,0.88,80.08
2010-01-05,78,88.0,,0.88,68.64
2010-01-06,84,88.0,,0.88,73.92
2010-01-07,72,88.0,,0.88,63.36
2010-01-08,82,88.0,,0.88,72.16
2010-01-09,49,88.0,,0.88,43.12
2010-01-10,61,88.0,,0.88,53.68
2010-01-11,93,88.0,,0.88,81.84
2010-01-12,95,88.0,,0.88,83.6
2010-01-13,100,88.0,,0.88,88.0
2010-01-14,79,88.0,,0.88,69.52
2010-01-15,79,88.0,,0.88,69.52
2010-01-16,63,88.0,,0.88,55.44
2010-01-17,55,88.0,,0.88,48.4
2010-01-18,61,88.0,,0.88,53.68
2010-01-19,80,88.0,,0.88,70.4
2010-01-20,100,88.0,,0.88,88.0
2010-01-21,83,88.0,,0.88,73.04
2010-01-22,74,88.0,,0.88,65.12
2010-01-23,66,88.0,,0.88,58.08
2010-01-24,74,88.0,,0.88,65.12
2010-01-25,90,88.0,,0.88,79.2
2010-01-26,94,88.0,,0.88,82.72
2010-01-27,77,88.0,,0.88,67.76
2010-01-28,88,88.0,,0.88,77.44
2010-01-29,81,88.0,,0.88,71.28
2010-01-30,66,88.0,,0.88,58.08
2010-01-31,53,88.0,,0.88,46.64
2010-02-01,88,89.0,False,0.89,78.32000000000001
2010-02-02,85,89.0,,0.89,75.65
2010-02-03,89,89.0,,0.89,79.21000000000001
2010-02-04,96,89.0,,0.89,85.44
2010-02-05,82,89.0,,0.89,72.98
2010-02-06,60,89.0,,0.89,53.4
2010-02-07,61,89.0,,0.89,54.29
2010-02-08,85,89.0,,0.89,75.65
2010-02-09,86,89.0,,0.89,76.54
2010-02-10,80,89.0,,0.89,71.2
2010-02-11,95,89.0,,0.89,84.55
2010-02-12,76,89.0,,0.89,67.64
2010-02-13,57,89.0,,0.89,50.730000000000004
2010-02-14,61,89.0,,0.89,54.29
2010-02-15,78,89.0,,0.89,69.42
2010-02-16,97,89.0,,0.89,86.33
2010-02-17,95,89.0,,0.89,84.55
2010-02-18,90,89.0,,0.89,80.1
2010-02-19,88,89.0,,0.89,78.32000000000001
2010-02-20,74,89.0,,0.89,65.86
2010-02-21,80,89.0,,0.89,71.2
