date,inflation_unscaled,inflation_monthly,isPartial,scale,inflation
2010-01-01,58,72.0,False,0.72,41.76
2010-01-02,44,72.0,,0.72,31.68
2010-01-03,67,72.0,,0.72,48.239999999999995
2010-01-04,77,72.0,,0.72,55.44
2010-01-05,69,72.0,,0.72,49.68
2010-01-06,72,72.0,,0.72,51.839999999999996
2010-01-07,58,72.0,,0.72,41.76
2010-01-08,63,72.0,,0.72,45.36
2010-01-09,19,72.0,,0.72,13.68
2010-01-10,54,72.0,,0.72,38.879999999999995
2010-01-11,59,72.0,,0.72,42.48
2010-01-12,78,72.0,,0.72,56.16
2010-01-13,71,72.0,,0.72,51.12
2010-01-14,73,72.0,,0.72,52.559999999999995
2010-01-15,71,72.0,,0.72,51.12
2010-01-16,27,72.0,,0.72,19.439999999999998
2010-01-17,53,72.0,,0.72,38.16
2010-01-18,63,72.0,,0.72,45.36
2010-01-19,56,72.0,,0.72,40.32
2010-01-20,73,72.0,,0.72,52.559999999999995
2010-01-21,87,72.0,,0.72,62.64
2010-01-22,48,72.0,,0.72,34.56
2010-01-23,22,72.0,,0.72,15.84
2010-01-24,45,72.0,,0.72,32.4
2010-01-25,71,72.0,,0.72,51.12
2010-01-26,70,72.0,,0.72,50.4
2010-01-27,100,72.0,,0.72,72.0
2010-01-28,65,72.0,,0.72,46.8
2010-01-29,69,72.0,,0.72,49.68
2010-01-30,32,72.0,,0.72,23.04
2010-01-31,43,72.0,,0.72,30.959999999999997
2010-02-01,73,81.0,False,0.81,59.13
2010-02-02,66,81.0,,0.81,53.46
2010-02-03,63,81.0,,0.81,51.03
2010-02-04,78,81.0,,0.81,63.18000000000001
2010-02-05,85,81.0,,0.81,68.85000000000001
2010-02-06,51,81.0,,0.81,41.31
2010-02-07,51,81.0,,0.81,41.31
2010-02-08,76,81.0,,0.81,61.56
2010-02-09,100,81.0,,0.81,81.0
2010-02-10,61,81.0,,0.81,49.410000000000004
2010-02-11,79,81.0,,0.81,63.99
2010-02-12,57,81.0,,0.81,46.17
2010-02-13,56,81.0,,0.81,45.36
2010-02-14,31,81.0,,0.81,25.110000000000003
2010-02-15,69,81.0,,0.81,55.89
2010-02-16,63,81.0,,0.81,51.03
2010-02-17,70,81.0,,0.81,56.7
2010-02-18,93,81.0,,0.81,75.33
2010-02-19,71,81.0,,0.81,57.510000000000005
2010-02-20,49,81.0,,0.81,39.690000000000005
2010-02-21,44,81.0,,0.81,35.64
2010-02-22,82,81.0,,0.81,66.42
2010-02-23,98,81.0,,0.81,79.38000000000001
2010-02-24,88,81.0,,0.81,71.28
2010-02-25,86,81.0,,0.81,69.66000000000001
2010-02-26,78,81.0,,0.81,63.18000000000001
2010-02-27,34,81.0,,0.81,27.540000000000003
2010-02-28,70,81.0,,0.81,56.7
2010-03-01,62,79.0,False,0.79,48.980000000000004
2010-03-02,62,79.0,,0.79,48.980000000000004
2010-03-03,77,79.0,,0.79,60.830000000000005
2010-03-04,95,79.0,,0.79,75.05
2010-03-05,53,79.0,,0.79,41.870000000000005
2010-03-06,30,79.0,,0.79,23.700000000000003
2010-03-07,30,79.0,,0.79,23.700000000000003
2010-03-08,80,79.0,,0.79,63.2
2010-03-09,81,79.0,,0.79,63.99
2010-03-10,62,79.0,,0.79,48.980000000000004
2010-03-11,85,79.0,,0.79,67.15
2010-03-12,57,79.0,,0.79,45.03
2010-03-13,43,79.0,,0.79,33.97
2010-03-14,40,79.0,,0.79,31.6
2010-03-15,72,79.0,,0.79,56.88
2010-03-16,35,79.0,,0.79,27.650000000000002
2010-03-17,57,79.0,,0.79,45.03
2010-03-18,47,79.0,,0.79,37.13
2010-03-19,61,79.0,,0.79,48.190000000000005
2010-03-20,35,79.0,,0.79,27.650000000000002
2010-03-21,41,79.0,,0.79,32.39
2010-03-22,71,79.0,,0.79,56.09
2010-03-23,54,79.0,,0.79,42.660000000000004
2010-03-24,82,79.0,,0.79,64.78
