date,invest_unscaled,invest_monthly,isPartial,scale,invest
2010-01-01,33,33.0,False,0.33,10.89
2010-01-02,80,33.0,,0.33,26.400000000000002
2010-01-03,77,33.0,,0.33,25.41
2010-01-04,72,33.0,,0.33,23.76
2010-01-05,73,33.0,,0.33,24.09
2010-01-06,56,33.0,,0.33,18.48
2010-01-07,93,33.0,,0.33,30.69
2010-01-08,46,33.0,,0.33,15.180000000000001
2010-01-09,58,33.0,,0.33,19.14
2010-01-10,75,33.0,,0.33,24.75
2010-01-11,60,33.0,,0.33,19.8
2010-01-12,87,33.0,,0.33,28.71
2010-01-13,33,33.0,,0.33,10.89
2010-01-14,73,33.0,,0.33,24.09
2010-01-15,72,33.0,,0.33,23.76
2010-01-16,32,33.0,,0.33,10.56
2010-01-17,75,33.0,,0.33,24.75
2010-01-18,71,33.0,,0.33,23.43
2010-01-19,57,33.0,,0.33,18.810000000000002
2010-01-20,77,33.0,,0.33,25.41
2010-01-21,100,33.0,,0.33,33.0
2010-01-22,78,33.0,,0.33,25.740000000000002
2010-01-23,41,33.0,,0.33,13.530000000000001
2010-01-24,57,33.0,,0.33,18.810000000000002
2010-01-25,50,33.0,,0.33,16.5
2010-01-26,66,33.0,,0.33,21.78
2010-01-27,63,33.0,,0.33,20.790000000000003
2010-01-28,53,33.0,,0.33,17.490000000000002
2010-01-29,74,33.0,,0.33,24.42
2010-01-30,40,33.0,,0.33,13.200000000000001
2010-01-31,81,33.0,,0.33,26.73
2010-02-01,55,30.0,False,0.3,16.5
2010-02-02,89,30.0,,0.3,26.7
2010-02-03,62,30.0,,0.3,18.599999999999998
2010-02-04,87,30.0,,0.3,26.099999999999998
2010-02-05,58,30.0,,0.3,17.4
2010-02-06,64,30.0,,0.3,19.2
2010-02-07,39,30.0,,0.3,11.7
2010-02-08,100,30.0,,0.3,30.0
2010-02-09,74,30.0,,0.3,22.2
2010-02-10,62,30.0,,0.3,18.599999999999998
2010-02-11,71,30.0,,0.3,21.3
2010-02-12,96,30.0,,0.3,28.799999999999997
2010-02-13,36,30.0,,0.3,10.799999999999999
2010-02-14,29,30.0,,0.3,8.7
2010-02-15,80,30.0,,0.3,24.0
2010-02-16,76,30.0,,0.3,22.8
2010-02-17,76,30.0,,0.3,22.8
2010-02-18,61,30.0,,0.3,18.3
2010-02-19,60,30.0,,0.3,18.0
2010-02-20,80,30.0,,0.3,24.0
2010-02-21,67,30.0,,0.3,20.099999999999998
2010-02-22,63,30.0,,0.3,18.9
2010-02-23,66,30.0,,0.3,19.8
2010-02-24,60,30.0,,0.3,18.0
2010-02-25,69,30.0,,0.3,20.7
2010-02-26,68,30.0,,0.3,20.4
2010-02-27,51,30.0,,0.3,15.299999999999999
2010-02-28,73,30.0,,0.3,21.9
2010-03-01,85,34.0,False,0.34,28.900000000000002
2010-03-02,67,34.0,,0.34,22.78
2010-03-03,65,34.0,,0.34,22.1
2010-03-04,56,34.0,,0.34,19.040000000000003
2010-03-05,71,34.0,,0.34,24.14
2010-03-06,55,34.0,,0.34,18.700000000000003
2010-03-07,62,34.0,,0.34,21.080000000000002
2010-03-08,75,34.0,,0.34,25.500000000000004
2010-03-09,74,34.0,,0.34,25.16
2010-03-10,84,34.0,,0.34,28.560000000000002
2010-03-11,86,34.0,,0.34,29.240000000000002
2010-03-12,66,34.0,,0.34,22.44
2010-03-13,37,34.0,,0.34,12.58
2010-03-14,27,34.0,,0.34,9.180000000000001
2010-03-15,63,34.0,,0.34,21.42
2010-03-16,59,34.0,,0.34,20.060000000000002
2010-03-17,72,34.0,,0.34,24.48
2010-03-18,100,34.0,,0.34,34.0
2010-03-19,73,34.0,,0.34,24.82
2010-03-20,68,34.0,,0.34,23.12
2010-03-21,66,34.0,,0.34,22.44
2010-03-22,88,34.0,,0.34,29.92
2010-03-23,90,34.0,,0.34,30.6
2010-03-24,93,34.0,,0.34,31.62
2010-03-25,48,34.0,,0.34,16.32
2010-03-26,79,34.0,,0.34,26.860000000000003
2010-03-27,79,34.0,,0.34,26.860000000000003
2010-03-28,49,34.0,,0.34,16.66
2010-03-29,74,34.0,,0.34,25.16
2010-03-30,70,34.0,,0.34,23.8
2010-03-31,69,34.0,,0.34,23.46
2010-04-01,65,37.0,False,0.37,24.05
2010-04-02,55,37.0,,0.37,20.35
2010-04-03,30,37.0,,0.37,11.1
2010-04-04,43,37.0,,0.37,15.91
2010-04-05,66,37.0,,0.37,24.419999999999998
2010-04-06,60,37.0,,0.37,22.2
2010-04-07,77,37.0,,0.37,28.49
2010-04-08,100,37.0,,0.37,37.0
2010-04-09,47,37.0,,0.37,17.39
2010-04-10,43,37.0,,0.37,15.91
2010-04-11,71,37.0,,0.37,26.27
2010-04-12,62,37.0,,0.37,22.94
2010-04-13,81,37.0,,0.37,29.97
2010-04-14,87,37.0,,0.37,32.19
2010-04-15,79,37.0,,0.37,29.23
2010-04-16,57,37.0,,0.37,21.09
2010-04-17,62,37.0,,0.37,22.94
2010-04-18,47,37.0,,0.37,17.39
2010-04-19,85,37.0,,0.37,31.45
2010-04-20,59,37.0,,0.37,21.83
2010-04-21,81,37.0,,0.37,29.97
2010-04-22,66,37.0,,0.37,24.419999999999998
2010-04-23,57,37.0,,0.37,21.09
2010-04-24,37,37.0,,0.37,13.69
2010-04-25,18,37.0,,0.37,6.66
2010-04-26,87,37.0,,0.37,32.19
2010-04-27,30,37.0,,0.37,11.1
2010-04-28,92,37.0,,0.37,34.04
