date,investment_unscaled,investment_monthly,isPartial,scale,investment
2010-01-01,42,90.0,False,0.9,37.800000000000004
2010-01-02,44,90.0,,0.9,39.6
2010-01-03,41,90.0,,0.9,36.9
2010-01-04,73,90.0,,0.9,65.7
2010-01-05,97,90.0,,0.9,87.3
2010-01-06,97,90.0,,0.9,87.3
2010-01-07,73,90.0,,0.9,65.7
2010-01-08,78,90.0,,0.9,70.2
2010-01-09,48,90.0,,0.9,43.2
2010-01-10,60,90.0,,0.9,54.0
2010-01-11,86,90.0,,0.9,77.4
2010-01-12,83,90.0,,0.9,74.7
2010-01-13,93,90.0,,0.9,83.7
2010-01-14,81,90.0,,0.9,72.9
2010-01-15,78,90.0,,0.9,70.2
2010-01-16,48,90.0,,0.9,43.2
2010-01-17,51,90.0,,0.9,45.9
2010-01-18,69,90.0,,0.9,62.1
2010-01-19,95,90.0,,0.9,85.5
2010-01-20,89,90.0,,0.9,80.10000000000001
2010-01-21,81,90.0,,0.9,72.9
2010-01-22,72,90.0,,0.9,64.8
2010-01-23,46,90.0,,0.9,41.4
2010-01-24,50,90.0,,0.9,45.0
2010-01-25,90,90.0,,0.9,81.0
2010-01-26,79,90.0,,0.9,71.10000000000001
2010-01-27,100,90.0,,0.9,90.0
2010-01-28,95,90.0,,0.9,85.5
2010-01-29,79,90.0,,0.9,71.10000000000001
2010-01-30,57,90.0,,0.9,51.300000000000004
2010-01-31,50,90.0,,0.9,45.0
2010-02-01,84,94.0,False,0.94,78.96
2010-02-02,89,94.0,,0.94,83.66
2010-02-03,82,94.0,,0.94,77.08
2010-02-04,80,94.0,,0.94,75.19999999999999
2010-02-05,84,94.0,,0.94,78.96
2010-02-06,53,94.0,,0.94,49.82
2010-02-07,46,94.0,,0.94,43.239999999999995
2010-02-08,85,94.0,,0.94,79.89999999999999
2010-02-09,93,94.0,,0.94,87.42
2010-02-10,88,94.0,,0.94,82.72
2010-02-11,70,94.0,,0.94,65.8
2010-02-12,62,94.0,,0.94,58.279999999999994
2010-02-13,44,94.0,,0.94,41.36
2010-02-14,53,94.0,,0.94,49.82
2010-02-15,77,94.0,,0.94,72.38
2010-02-16,94,94.0,,0.94,88.36
2010-02-17,94,94.0,,0.94,88.36
2010-02-18,100,94.0,,0.94,94.0
2010-02-19,70,94.0,,0.94,65.8
2010-02-20,50,94.0,,0.94,47.0
2010-02-21,44,94.0,,0.94,41.36
2010-02-22,83,94.0,,0.94,78.02
2010-02-23,94,94.0,,0.94,88.36
2010-02-24,83,94.0,,0.94,78.02
2010-02-25,94,94.0,,0.94,88.36
2010-02-26,81,94.0,,0.94,76.14
2010-02-27,52,94.0,,0.94,48.879999999999995
2010-02-28,63,94.0,,0.94,59.22
2010-03-01,86,100.0,False,1.0,86.0
2010-03-02,100,100.0,,1.0,100.0
2010-03-03,88,100.0,,1.0,88.0
2010-03-04,73,100.0,,1.0,73.0
2010-03-05,73,100.0,,1.0,73.0
2010-03-06,44,100.0,,1.0,44.0
2010-03-07,50,100.0,,1.0,50.0
2010-03-08,82,100.0,,1.0,82.0
2010-03-09,92,100.0,,1.0,92.0
2010-03-10,78,100.0,,1.0,78.0
2010-03-11,77,100.0,,1.0,77.0
2010-03-12,71,100.0,,1.0,71.0
2010-03-13,46,100.0,,1.0,46.0
2010-03-14,47,100.0,,1.0,47.0
2010-03-15,67,100.0,,1.0,67.0
2010-03-16,78,100.0,,1.0,78.0
2010-03-17,78,100.0,,1.0,78.0
2010-03-18,74,100.0,,1.0,74.0
2010-03-19,71,100.0,,1.0,71.0
2010-03-20,33,100.0,,1.0,33.0
2010-03-21,41,100.0,,1.0,41.0
2010-03-22,80,100.0,,1.0,80.0
2010-03-23,78,100.0,,1.0,78.0
2010-03-24,82,100.0,,1.0,82.0
2010-03-25,75,100.0,,1.0,75.0
2010-03-26,79,100.0,,1.0,79.0
2010-03-27,52,100.0,,1.0,52.0
2010-03-28,64,100.0,,1.0,64.0
2010-03-29,97,100.0,,1.0,97.0
2010-03-30,95,100.0,,1.0,95.0
2010-03-31,91,100.0,,1.0,91.0
2010-04-01,84,100.0,False,1.0,84.0
2010-04-02,64,100.0,,1.0,64.0
2010-04-03,51,100.0,,1.0,51.0
2010-04-04,47,100.0,,1.0,47.0
2010-04-05,90,100.0,,1.0,90.0
2010-04-06,96,100.0,,1.0,96.0
2010-04-07,100,100.0,,1.0,100.0
2010-04-08,81,100.0,,1.0,81.0
2010-04-09,90,100.0,,1.0,90.0
2010-04-10,53,100.0,,1.0,53.0
2010-04-11,54,100.0,,1.0,54.0
2010-04-12,96,100.0,,1.0,96.0
2010-04-13,77,100.0,,1.0,77.0
2010-04-14,95,100.0,,1.0,95.0
2010-04-15,86,100.0,,1.0,86.0
2010-04-16,81,100.0,,1.0,81.0
2010-04-17,36,100.0,,1.0,36.0
2010-04-18,56,100.0,,1.0,56.0
2010-04-19,75,100.0,,1.0,75.0
2010-04-20,84,100.0,,1.0,84.0
2010-04-21,83,100.0,,1.0,83.0
2010-04-22,92,100.0,,1.0,92.0
2010-04-23,62,100.0,,1.0,62.0
2010-04-24,41,100.0,,1.0,41.0
2010-04-25,51,100.0,,1.0,51.0
2010-04-26,65,100.0,,1.0,65.0
2010-04-27,100,100.0,,1.0,100.0
2010-04-28,89,100.0,,1.0,89.0
2010-04-29,74,100.0,,1.0,74.0
2010-04-30,72,100.0,,1.0,72.0
2010-05-01,45,86.0,False,0.86,38.7
2010-05-02,44,86.0,,0.86,37.839999999999996
2010-05-03,87,86.0,,0.86,74.82
2010-05-04,85,86.0,,0.86,73.1
2010-05-05,74,86.0,,0.86,63.64
2010-05-06,76,86.0,,0.86,65.36
2010-05-07,83,86.0,,0.86,71.38
2010-05-08,36,86.0,,0.86,30.96
2010-05-09,42,86.0,,0.86,36.12
2010-05-10,75,86.0,,0.86,64.5
2010-05-11,79,86.0,,0.86,67.94
2010-05-12,91,86.0,,0.86,78.26
2010-05-13,100,86.0,,0.86,86.0
2010-05-14,78,86.0,,0.86,67.08
2010-05-15,40,86.0,,0.86,34.4
2010-05-16,45,86.0,,0.86,38.7
2010-05-17,69,86.0,,0.86,59.339999999999996
2010-05-18,79,86.0,,0.86,67.94
2010-05-19,82,86.0,,0.86,70.52
2010-05-20,81,86.0,,0.86,69.66
2010-05-21,78,86.0,,0.86,67.08
2010-05-22,41,86.0,,0.86,35.26
2010-05-23,47,86.0,,0.86,40.42
2010-05-24,69,86.0,,0.86,59.339999999999996
2010-05-25,100,86.0,,0.86,86.0
2010-05-26,82,86.0,,0.86,70.52
2010-05-27,73,86.0,,0.86,62.78
2010-05-28,65,86.0,,0.86,55.9
2010-05-29,39,86.0,,0.86,33.54
2010-05-30,23,86.0,,0.86,19.78
2010-05-31,54,86.0,,0.86,46.44
2010-06-01,93,87.0,False,0.87,80.91
2010-06-02,87,87.0,,0.87,75.69
2010-06-03,77,87.0,,0.87,66.99
2010-06-04,78,87.0,,0.87,67.86
2010-06-05,60,87.0,,0.87,52.2
2010-06-06,51,87.0,,0.87,44.37
2010-06-07,83,87.0,,0.87,72.21
2010-06-08,92,87.0,,0.87,80.04
2010-06-09,87,87.0,,0.87,75.69
2010-06-10,78,87.0,,0.87,67.86
2010-06-11,91,87.0,,0.87,79.17
2010-06-12,46,87.0,,0.87,40.02
2010-06-13,51,87.0,,0.87,44.37
2010-06-14,80,87.0,,0.87,69.6
2010-06-15,100,87.0,,0.87,87.0
2010-06-16,87,87.0,,0.87,75.69
2010-06-17,84,87.0,,0.87,73.08
2010-06-18,86,87.0,,0.87,74.82
2010-06-19,36,87.0,,0.87,31.32
2010-06-20,48,87.0,,0.87,41.76
2010-06-21,95,87.0,,0.87,82.65
2010-06-22,90,87.0,,0.87,78.3
2010-06-23,86,87.0,,0.87,74.82
2010-06-24,82,87.0,,0.87,71.34
2010-06-25,78,87.0,,0.87,67.86
2010-06-26,43,87.0,,0.87,37.41
2010-06-27,50,87.0,,0.87,43.5
2010-06-28,90,87.0,,0.87,78.3
2010-06-29,93,87.0,,0.87,80.91
2010-06-30,98,87.0,,0.87,85.26
2010-07-01,77,78.0,False,0.78,60.06
2010-07-02,53,78.0,,0.78,41.34
2010-07-03,24,78.0,,0.78,18.72
2010-07-04,22,78.0,,0.78,17.16
2010-07-05,38,78.0,,0.78,29.64
2010-07-06,72,78.0,,0.78,56.160000000000004
2010-07-07,81,78.0,,0.78,63.18
2010-07-08,82,78.0,,0.78,63.96
2010-07-09,64,78.0,,0.78,49.92
2010-07-10,32,78.0,,0.78,24.96
2010-07-11,36,78.0,,0.78,28.080000000000002
2010-07-12,88,78.0,,0.78,68.64
2010-07-13,87,78.0,,0.78,67.86
2010-07-14,84,78.0,,0.78,65.52
2010-07-15,78,78.0,,0.78,60.84
2010-07-16,75,78.0,,0.78,58.5
2010-07-17,44,78.0,,0.78,34.32
2010-07-18,38,78.0,,0.78,29.64
2010-07-19,100,78.0,,0.78,78.0
2010-07-20,72,78.0,,0.78,56.160000000000004
2010-07-21,73,78.0,,0.78,56.940000000000005
2010-07-22,68,78.0,,0.78,53.04
2010-07-23,69,78.0,,0.78,53.82
2010-07-24,39,78.0,,0.78,30.42
2010-07-25,46,78.0,,0.78,35.88
2010-07-26,87,78.0,,0.78,67.86
2010-07-27,84,78.0,,0.78,65.52
2010-07-28,82,78.0,,0.78,63.96
2010-07-29,71,78.0,,0.78,55.38
2010-07-30,77,78.0,,0.78,60.06
2010-07-31,40,78.0,,0.78,31.200000000000003
2010-08-01,46,81.0,False,0.81,37.260000000000005
2010-08-02,79,81.0,,0.81,63.99
2010-08-03,100,81.0,,0.81,81.0
2010-08-04,78,81.0,,0.81,63.18000000000001
2010-08-05,72,81.0,,0.81,58.32000000000001
2010-08-06,71,81.0,,0.81,57.510000000000005
2010-08-07,32,81.0,,0.81,25.92
2010-08-08,44,81.0,,0.81,35.64
2010-08-09,69,81.0,,0.81,55.89
2010-08-10,76,81.0,,0.81,61.56
2010-08-11,82,81.0,,0.81,66.42
2010-08-12,71,81.0,,0.81,57.510000000000005
2010-08-13,81,81.0,,0.81,65.61
2010-08-14,35,81.0,,0.81,28.35
2010-08-15,36,81.0,,0.81,29.160000000000004
2010-08-16,81,81.0,,0.81,65.61
2010-08-17,75,81.0,,0.81,60.75000000000001
2010-08-18,64,81.0,,0.81,51.84
2010-08-19,80,81.0,,0.81,64.80000000000001
2010-08-20,67,81.0,,0.81,54.27
2010-08-21,34,81.0,,0.81,27.540000000000003
2010-08-22,39,81.0,,0.81,31.590000000000003
2010-08-23,64,81.0,,0.81,51.84
2010-08-24,69,81.0,,0.81,55.89
2010-08-25,95,81.0,,0.81,76.95
2010-08-26,73,81.0,,0.81,59.13
2010-08-27,61,81.0,,0.81,49.410000000000004
2010-08-28,40,81.0,,0.81,32.400000000000006
2010-08-29,34,81.0,,0.81,27.540000000000003
2010-08-30,80,81.0,,0.81,64.80000000000001
2010-08-31,63,81.0,,0.81,51.03
2010-09-01,72,81.0,False,0.81,58.32000000000001
