date,kitchen_unscaled,kitchen_monthly,isPartial,scale,kitchen
2010-01-01,89,51.0,False,0.51,45.39
2010-01-02,100,51.0,,0.51,51.0
2010-01-03,87,51.0,,0.51,44.37
2010-01-04,74,51.0,,0.51,37.74
2010-01-05,69,51.0,,0.51,35.19
2010-01-06,63,51.0,,0.51,32.13
2010-01-07,51,51.0,,0.51,26.01
2010-01-08,64,51.0,,0.51,32.64
2010-01-09,85,51.0,,0.51,43.35
2010-01-10,93,51.0,,0.51,47.43
2010-01-11,70,51.0,,0.51,35.7
2010-01-12,64,51.0,,0.51,32.64
2010-01-13,62,51.0,,0.51,31.62
2010-01-14,59,51.0,,0.51,30.09
2010-01-15,61,51.0,,0.51,31.11
2010-01-16,80,51.0,,0.51,40.8
2010-01-17,91,51.0,,0.51,46.410000000000004
2010-01-18,71,51.0,,0.51,36.21
2010-01-19,74,51.0,,0.51,37.74
2010-01-20,65,51.0,,0.51,33.15
2010-01-21,66,51.0,,0.51,33.660000000000004
2010-01-22,67,51.0,,0.51,34.17
2010-01-23,69,51.0,,0.51,35.19
2010-01-24,83,51.0,,0.51,42.33
2010-01-25,73,51.0,,0.51,37.230000000000004
2010-01-26,63,51.0,,0.51,32.13
2010-01-27,59,51.0,,0.51,30.09
2010-01-28,69,51.0,,0.51,35.19
2010-01-29,56,51.0,,0.51,28.560000000000002
2010-01-30,89,51.0,,0.51,45.39
2010-01-31,93,51.0,,0.51,47.43
2010-02-01,72,49.0,False,0.49,35.28
2010-02-02,61,49.0,,0.49,29.89
2010-02-03,68,49.0,,0.49,33.32
2010-02-04,71,49.0,,0.49,34.79
2010-02-05,73,49.0,,0.49,35.769999999999996
2010-02-06,88,49.0,,0.49,43.12
2010-02-07,86,49.0,,0.49,42.14
2010-02-08,68,49.0,,0.49,33.32
2010-02-09,71,49.0,,0.49,34.79
2010-02-10,68,49.0,,0.49,33.32
2010-02-11,64,49.0,,0.49,31.36
2010-02-12,74,49.0,,0.49,36.26
2010-02-13,86,49.0,,0.49,42.14
2010-02-14,100,49.0,,0.49,49.0
2010-02-15,84,49.0,,0.49,41.16
2010-02-16,72,49.0,,0.49,35.28
2010-02-17,72,49.0,,0.49,35.28
2010-02-18,65,49.0,,0.49,31.849999999999998
2010-02-19,69,49.0,,0.49,33.81
2010-02-20,84,49.0,,0.49,41.16
2010-02-21,93,49.0,,0.49,45.57
2010-02-22,74,49.0,,0.49,36.26
2010-02-23,70,49.0,,0.49,34.3
2010-02-24,67,49.0,,0.49,32.83
2010-02-25,65,49.0,,0.49,31.849999999999998
2010-02-26,72,49.0,,0.49,35.28
2010-02-27,90,49.0,,0.49,44.1
2010-02-28,97,49.0,,0.49,47.53
2010-03-01,76,47.0,False,0.47,35.72
2010-03-02,73,47.0,,0.47,34.309999999999995
2010-03-03,67,47.0,,0.47,31.49
2010-03-04,78,47.0,,0.47,36.66
2010-03-05,75,47.0,,0.47,35.25
2010-03-06,91,47.0,,0.47,42.769999999999996
2010-03-07,93,47.0,,0.47,43.71
2010-03-08,78,47.0,,0.47,36.66
2010-03-09,71,47.0,,0.47,33.37
2010-03-10,75,47.0,,0.47,35.25
2010-03-11,74,47.0,,0.47,34.78
2010-03-12,81,47.0,,0.47,38.07
2010-03-13,88,47.0,,0.47,41.36
2010-03-14,97,47.0,,0.47,45.589999999999996
2010-03-15,79,47.0,,0.47,37.129999999999995
2010-03-16,69,47.0,,0.47,32.43
2010-03-17,72,47.0,,0.47,33.839999999999996
2010-03-18,67,47.0,,0.47,31.49
2010-03-19,71,47.0,,0.47,33.37
2010-03-20,79,47.0,,0.47,37.129999999999995
2010-03-21,92,47.0,,0.47,43.239999999999995
2010-03-22,75,47.0,,0.47,35.25
2010-03-23,79,47.0,,0.47,37.129999999999995
2010-03-24,75,47.0,,0.47,35.25
2010-03-25,76,47.0,,0.47,35.72
2010-03-26,78,47.0,,0.47,36.66
2010-03-27,96,47.0,,0.47,45.12
2010-03-28,100,47.0,,0.47,47.0
2010-03-29,74,47.0,,0.47,34.78
2010-03-30,71,47.0,,0.47,33.37
2010-03-31,73,47.0,,0.47,34.309999999999995
2010-04-01,71,46.0,False,0.46,32.660000000000004
2010-04-02,78,46.0,,0.46,35.88
2010-04-03,91,46.0,,0.46,41.86
2010-04-04,87,46.0,,0.46,40.02
2010-04-05,75,46.0,,0.46,34.5
2010-04-06,76,46.0,,0.46,34.96
2010-04-07,72,46.0,,0.46,33.120000000000005
2010-04-08,80,46.0,,0.46,36.800000000000004
2010-04-09,71,46.0,,0.46,32.660000000000004
2010-04-10,92,46.0,,0.46,42.32
2010-04-11,95,46.0,,0.46,43.7
2010-04-12,73,46.0,,0.46,33.58
2010-04-13,73,46.0,,0.46,33.58
2010-04-14,77,46.0,,0.46,35.42
2010-04-15,75,46.0,,0.46,34.5
2010-04-16,69,46.0,,0.46,31.740000000000002
2010-04-17,100,46.0,,0.46,46.0
2010-04-18,90,46.0,,0.46,41.4
2010-04-19,73,46.0,,0.46,33.58
2010-04-20,77,46.0,,0.46,35.42
2010-04-21,82,46.0,,0.46,37.72
2010-04-22,74,46.0,,0.46,34.04
2010-04-23,77,46.0,,0.46,35.42
2010-04-24,90,46.0,,0.46,41.4
2010-04-25,95,46.0,,0.46,43.7
2010-04-26,85,46.0,,0.46,39.1
2010-04-27,79,46.0,,0.46,36.34
2010-04-28,81,46.0,,0.46,37.260000000000005
2010-04-29,78,46.0,,0.46,35.88
2010-04-30,80,46.0,,0.46,36.800000000000004
2010-05-01,83,46.0,False,0.46,38.18
2010-05-02,88,46.0,,0.46,40.480000000000004
2010-05-03,81,46.0,,0.46,37.260000000000005
2010-05-04,81,46.0,,0.46,37.260000000000005
2010-05-05,80,46.0,,0.46,36.800000000000004
2010-05-06,83,46.0,,0.46,38.18
2010-05-07,78,46.0,,0.46,35.88
2010-05-08,100,46.0,,0.46,46.0
2010-05-09,95,46.0,,0.46,43.7
2010-05-10,82,46.0,,0.46,37.72
2010-05-11,70,46.0,,0.46,32.2
2010-05-12,79,46.0,,0.46,36.34
2010-05-13,75,46.0,,0.46,34.5
2010-05-14,80,46.0,,0.46,36.800000000000004
2010-05-15,96,46.0,,0.46,44.160000000000004
2010-05-16,87,46.0,,0.46,40.02
2010-05-17,79,46.0,,0.46,36.34
2010-05-18,79,46.0,,0.46,36.34
2010-05-19,77,46.0,,0.46,35.42
2010-05-20,79,46.0,,0.46,36.34
2010-05-21,81,46.0,,0.46,37.260000000000005
2010-05-22,84,46.0,,0.46,38.64
2010-05-23,92,46.0,,0.46,42.32
2010-05-24,79,46.0,,0.46,36.34
2010-05-25,74,46.0,,0.46,34.04
2010-05-26,64,46.0,,0.46,29.44
2010-05-27,77,46.0,,0.46,35.42
2010-05-28,71,46.0,,0.46,32.660000000000004
2010-05-29,80,46.0,,0.46,36.800000000000004
2010-05-30,78,46.0,,0.46,35.88
2010-05-31,89,46.0,,0.46,40.940000000000005
2010-06-01,76,45.0,False,0.45,34.2
2010-06-02,81,45.0,,0.45,36.45
2010-06-03,71,45.0,,0.45,31.95
2010-06-04,68,45.0,,0.45,30.6
2010-06-05,78,45.0,,0.45,35.1
2010-06-06,89,45.0,,0.45,40.050000000000004
2010-06-07,77,45.0,,0.45,34.65
2010-06-08,80,45.0,,0.45,36.0
2010-06-09,75,45.0,,0.45,33.75
2010-06-10,72,45.0,,0.45,32.4
2010-06-11,82,45.0,,0.45,36.9
2010-06-12,91,45.0,,0.45,40.95
2010-06-13,91,45.0,,0.45,40.95
2010-06-14,80,45.0,,0.45,36.0
2010-06-15,67,45.0,,0.45,30.150000000000002
2010-06-16,84,45.0,,0.45,37.800000000000004
2010-06-17,86,45.0,,0.45,38.7
2010-06-18,73,45.0,,0.45,32.85
2010-06-19,83,45.0,,0.45,37.35
2010-06-20,100,45.0,,0.45,45.0
2010-06-21,77,45.0,,0.45,34.65
2010-06-22,76,45.0,,0.45,34.2
2010-06-23,81,45.0,,0.45,36.45
2010-06-24,69,45.0,,0.45,31.05
2010-06-25,77,45.0,,0.45,34.65
2010-06-26,87,45.0,,0.45,39.15
2010-06-27,87,45.0,,0.45,39.15
2010-06-28,69,45.0,,0.45,31.05
2010-06-29,72,45.0,,0.45,32.4
2010-06-30,78,45.0,,0.45,35.1
2010-07-01,75,47.0,False,0.47,35.25
2010-07-02,76,47.0,,0.47,35.72
2010-07-03,81,47.0,,0.47,38.07
2010-07-04,82,47.0,,0.47,38.54
2010-07-05,81,47.0,,0.47,38.07
2010-07-06,82,47.0,,0.47,38.54
2010-07-07,78,47.0,,0.47,36.66
2010-07-08,78,47.0,,0.47,36.66
2010-07-09,75,47.0,,0.47,35.25
2010-07-10,89,47.0,,0.47,41.83
2010-07-11,91,47.0,,0.47,42.769999999999996
2010-07-12,74,47.0,,0.47,34.78
2010-07-13,83,47.0,,0.47,39.01
2010-07-14,86,47.0,,0.47,40.419999999999995
2010-07-15,76,47.0,,0.47,35.72
2010-07-16,79,47.0,,0.47,37.129999999999995
2010-07-17,91,47.0,,0.47,42.769999999999996
2010-07-18,89,47.0,,0.47,41.83
2010-07-19,75,47.0,,0.47,35.25
2010-07-20,80,47.0,,0.47,37.599999999999994
2010-07-21,87,47.0,,0.47,40.89
2010-07-22,74,47.0,,0.47,34.78
2010-07-23,80,47.0,,0.47,37.599999999999994
2010-07-24,81,47.0,,0.47,38.07
2010-07-25,90,47.0,,0.47,42.3
2010-07-26,83,47.0,,0.47,39.01
2010-07-27,78,47.0,,0.47,36.66
2010-07-28,82,47.0,,0.47,38.54
2010-07-29,77,47.0,,0.47,36.19
2010-07-30,80,47.0,,0.47,37.599999999999994
2010-07-31,100,47.0,,0.47,47.0
2010-08-01,92,46.0,False,0.46,42.32
2010-08-02,81,46.0,,0.46,37.260000000000005
2010-08-03,79,46.0,,0.46,36.34
2010-08-04,91,46.0,,0.46,41.86
2010-08-05,86,46.0,,0.46,39.56
2010-08-06,82,46.0,,0.46,37.72
2010-08-07,91,46.0,,0.46,41.86
2010-08-08,89,46.0,,0.46,40.940000000000005
2010-08-09,83,46.0,,0.46,38.18
2010-08-10,82,46.0,,0.46,37.72
2010-08-11,100,46.0,,0.46,46.0
2010-08-12,81,46.0,,0.46,37.260000000000005
2010-08-13,77,46.0,,0.46,35.42
2010-08-14,86,46.0,,0.46,39.56
2010-08-15,96,46.0,,0.46,44.160000000000004
2010-08-16,86,46.0,,0.46,39.56
2010-08-17,80,46.0,,0.46,36.800000000000004
2010-08-18,82,46.0,,0.46,37.72
2010-08-19,77,46.0,,0.46,35.42
2010-08-20,77,46.0,,0.46,35.42
2010-08-21,92,46.0,,0.46,42.32
2010-08-22,98,46.0,,0.46,45.080000000000005
2010-08-23,83,46.0,,0.46,38.18
2010-08-24,75,46.0,,0.46,34.5
2010-08-25,80,46.0,,0.46,36.800000000000004
2010-08-26,74,46.0,,0.46,34.04
2010-08-27,77,46.0,,0.46,35.42
2010-08-28,84,46.0,,0.46,38.64
2010-08-29,85,46.0,,0.46,39.1
2010-08-30,80,46.0,,0.46,36.800000000000004
2010-08-31,79,46.0,,0.46,36.34
2010-09-01,71,44.0,False,0.44,31.24
2010-09-02,72,44.0,,0.44,31.68
2010-09-03,82,44.0,,0.44,36.08
2010-09-04,90,44.0,,0.44,39.6
2010-09-05,95,44.0,,0.44,41.8
2010-09-06,100,44.0,,0.44,44.0
2010-09-07,79,44.0,,0.44,34.76
2010-09-08,74,44.0,,0.44,32.56
2010-09-09,76,44.0,,0.44,33.44
2010-09-10,81,44.0,,0.44,35.64
2010-09-11,85,44.0,,0.44,37.4
2010-09-12,95,44.0,,0.44,41.8
