date,labor_unscaled,labor_monthly,isPartial,scale,labor
2010-01-01,38,35.0,False,0.35,13.299999999999999
2010-01-02,43,35.0,,0.35,15.049999999999999
2010-01-03,72,35.0,,0.35,25.2
2010-01-04,100,35.0,,0.35,35.0
2010-01-05,91,35.0,,0.35,31.849999999999998
2010-01-06,86,35.0,,0.35,30.099999999999998
2010-01-07,80,35.0,,0.35,28.0
2010-01-08,69,35.0,,0.35,24.15
2010-01-09,41,35.0,,0.35,14.35
2010-01-10,75,35.0,,0.35,26.25
2010-01-11,98,35.0,,0.35,34.3
2010-01-12,81,35.0,,0.35,28.349999999999998
2010-01-13,74,35.0,,0.35,25.9
2010-01-14,79,35.0,,0.35,27.65
2010-01-15,79,35.0,,0.35,27.65
2010-01-16,45,35.0,,0.35,15.749999999999998
2010-01-17,74,35.0,,0.35,25.9
2010-01-18,73,35.0,,0.35,25.549999999999997
2010-01-19,91,35.0,,0.35,31.849999999999998
2010-01-20,84,35.0,,0.35,29.4
2010-01-21,80,35.0,,0.35,28.0
2010-01-22,65,35.0,,0.35,22.75
2010-01-23,44,35.0,,0.35,15.399999999999999
2010-01-24,70,35.0,,0.35,24.5
2010-01-25,86,35.0,,0.35,30.099999999999998
2010-01-26,82,35.0,,0.35,28.7
2010-01-27,77,35.0,,0.35,26.95
2010-01-28,80,35.0,,0.35,28.0
2010-01-29,71,35.0,,0.35,24.849999999999998
2010-01-30,43,35.0,,0.35,15.049999999999999
2010-01-31,76,35.0,,0.35,26.599999999999998
2010-02-01,93,34.0,False,0.34,31.62
2010-02-02,87,34.0,,0.34,29.580000000000002
2010-02-03,80,34.0,,0.34,27.200000000000003
2010-02-04,79,34.0,,0.34,26.860000000000003
2010-02-05,74,34.0,,0.34,25.16
2010-02-06,53,34.0,,0.34,18.02
2010-02-07,77,34.0,,0.34,26.180000000000003
2010-02-08,91,34.0,,0.34,30.94
2010-02-09,86,34.0,,0.34,29.240000000000002
2010-02-10,81,34.0,,0.34,27.540000000000003
2010-02-11,80,34.0,,0.34,27.200000000000003
2010-02-12,70,34.0,,0.34,23.8
2010-02-13,46,34.0,,0.34,15.64
2010-02-14,72,34.0,,0.34,24.48
2010-02-15,83,34.0,,0.34,28.220000000000002
2010-02-16,91,34.0,,0.34,30.94
2010-02-17,88,34.0,,0.34,29.92
2010-02-18,84,34.0,,0.34,28.560000000000002
2010-02-19,74,34.0,,0.34,25.16
2010-02-20,44,34.0,,0.34,14.96
2010-02-21,91,34.0,,0.34,30.94
2010-02-22,100,34.0,,0.34,34.0
2010-02-23,92,34.0,,0.34,31.28
