date,leverage_unscaled,leverage_monthly,isPartial,scale,leverage
2010-01-01,15,81.0,False,0.81,12.15
2010-01-02,37,81.0,,0.81,29.970000000000002
2010-01-03,26,81.0,,0.81,21.060000000000002
2010-01-04,16,81.0,,0.81,12.96
2010-01-05,23,81.0,,0.81,18.630000000000003
2010-01-06,20,81.0,,0.81,16.200000000000003
2010-01-07,16,81.0,,0.81,12.96
2010-01-08,18,81.0,,0.81,14.580000000000002
2010-01-09,33,81.0,,0.81,26.73
2010-01-10,28,81.0,,0.81,22.68
2010-01-11,32,81.0,,0.81,25.92
2010-01-12,26,81.0,,0.81,21.060000000000002
2010-01-13,50,81.0,,0.81,40.5
2010-01-14,100,81.0,,0.81,81.0
2010-01-15,52,81.0,,0.81,42.120000000000005
2010-01-16,52,81.0,,0.81,42.120000000000005
2010-01-17,29,81.0,,0.81,23.490000000000002
2010-01-18,40,81.0,,0.81,32.400000000000006
2010-01-19,33,81.0,,0.81,26.73
2010-01-20,39,81.0,,0.81,31.590000000000003
2010-01-21,64,81.0,,0.81,51.84
2010-01-22,41,81.0,,0.81,33.21
2010-01-23,51,81.0,,0.81,41.31
2010-01-24,38,81.0,,0.81,30.78
2010-01-25,28,81.0,,0.81,22.68
2010-01-26,21,81.0,,0.81,17.01
2010-01-27,28,81.0,,0.81,22.68
2010-01-28,73,81.0,,0.81,59.13
2010-01-29,36,81.0,,0.81,29.160000000000004
2010-01-30,50,81.0,,0.81,40.5
2010-01-31,26,81.0,,0.81,21.060000000000002
2010-02-01,52,86.0,False,0.86,44.72
2010-02-02,33,86.0,,0.86,28.38
2010-02-03,39,86.0,,0.86,33.54
2010-02-04,78,86.0,,0.86,67.08
2010-02-05,67,86.0,,0.86,57.62
2010-02-06,55,86.0,,0.86,47.3
2010-02-07,74,86.0,,0.86,63.64
2010-02-08,47,86.0,,0.86,40.42
2010-02-09,70,86.0,,0.86,60.199999999999996
2010-02-10,42,86.0,,0.86,36.12
2010-02-11,82,86.0,,0.86,70.52
2010-02-12,68,86.0,,0.86,58.48
2010-02-13,58,86.0,,0.86,49.88
2010-02-14,42,86.0,,0.86,36.12
2010-02-15,59,86.0,,0.86,50.74
2010-02-16,54,86.0,,0.86,46.44
2010-02-17,49,86.0,,0.86,42.14
2010-02-18,94,86.0,,0.86,80.84
2010-02-19,76,86.0,,0.86,65.36
2010-02-20,66,86.0,,0.86,56.76
2010-02-21,40,86.0,,0.86,34.4
2010-02-22,100,86.0,,0.86,86.0
2010-02-23,49,86.0,,0.86,42.14
2010-02-24,33,86.0,,0.86,28.38
2010-02-25,39,86.0,,0.86,33.54
2010-02-26,45,86.0,,0.86,38.7
2010-02-27,51,86.0,,0.86,43.86
2010-02-28,49,86.0,,0.86,42.14
2010-03-01,50,49.0,False,0.49,24.5
2010-03-02,86,49.0,,0.49,42.14
2010-03-03,49,49.0,,0.49,24.009999999999998
2010-03-04,79,49.0,,0.49,38.71
2010-03-05,72,49.0,,0.49,35.28
2010-03-06,100,49.0,,0.49,49.0
2010-03-07,43,49.0,,0.49,21.07
2010-03-08,57,49.0,,0.49,27.93
2010-03-09,73,49.0,,0.49,35.769999999999996
2010-03-10,33,49.0,,0.49,16.169999999999998
2010-03-11,85,49.0,,0.49,41.65
2010-03-12,65,49.0,,0.49,31.849999999999998
2010-03-13,32,49.0,,0.49,15.68
2010-03-14,83,49.0,,0.49,40.67
2010-03-15,51,49.0,,0.49,24.99
2010-03-16,73,49.0,,0.49,35.769999999999996
2010-03-17,46,49.0,,0.49,22.54
2010-03-18,41,49.0,,0.49,20.09
2010-03-19,68,49.0,,0.49,33.32
2010-03-20,34,49.0,,0.49,16.66
2010-03-21,67,49.0,,0.49,32.83
2010-03-22,67,49.0,,0.49,32.83
2010-03-23,71,49.0,,0.49,34.79
2010-03-24,23,49.0,,0.49,11.27
2010-03-25,45,49.0,,0.49,22.05
2010-03-26,42,49.0,,0.49,20.58
2010-03-27,43,49.0,,0.49,21.07
2010-03-28,33,49.0,,0.49,16.169999999999998
2010-03-29,50,49.0,,0.49,24.5
2010-03-30,50,49.0,,0.49,24.5
2010-03-31,47,49.0,,0.49,23.03
2010-04-01,99,43.0,False,0.43,42.57
2010-04-02,31,43.0,,0.43,13.33
2010-04-03,59,43.0,,0.43,25.37
2010-04-04,52,43.0,,0.43,22.36
2010-04-05,45,43.0,,0.43,19.35
2010-04-06,80,43.0,,0.43,34.4
2010-04-07,50,43.0,,0.43,21.5
2010-04-08,88,43.0,,0.43,37.839999999999996
2010-04-09,53,43.0,,0.43,22.79
2010-04-10,74,43.0,,0.43,31.82
2010-04-11,83,43.0,,0.43,35.69
2010-04-12,66,43.0,,0.43,28.38
2010-04-13,24,43.0,,0.43,10.32
2010-04-14,85,43.0,,0.43,36.55
2010-04-15,93,43.0,,0.43,39.99
2010-04-16,91,43.0,,0.43,39.13
2010-04-17,37,43.0,,0.43,15.91
2010-04-18,83,43.0,,0.43,35.69
2010-04-19,79,43.0,,0.43,33.97
2010-04-20,96,43.0,,0.43,41.28
2010-04-21,55,43.0,,0.43,23.65
2010-04-22,61,43.0,,0.43,26.23
2010-04-23,72,43.0,,0.43,30.96
2010-04-24,54,43.0,,0.43,23.22
2010-04-25,99,43.0,,0.43,42.57
2010-04-26,53,43.0,,0.43,22.79
2010-04-27,100,43.0,,0.43,43.0
2010-04-28,74,43.0,,0.43,31.82
2010-04-29,63,43.0,,0.43,27.09
2010-04-30,60,43.0,,0.43,25.8
2010-05-01,100,52.0,False,0.52,52.0
2010-05-02,49,52.0,,0.52,25.48
2010-05-03,65,52.0,,0.52,33.800000000000004
2010-05-04,46,52.0,,0.52,23.92
2010-05-05,42,52.0,,0.52,21.84
2010-05-06,62,52.0,,0.52,32.24
2010-05-07,36,52.0,,0.52,18.72
2010-05-08,66,52.0,,0.52,34.32
2010-05-09,67,52.0,,0.52,34.84
2010-05-10,66,52.0,,0.52,34.32
2010-05-11,78,52.0,,0.52,40.56
2010-05-12,51,52.0,,0.52,26.52
2010-05-13,62,52.0,,0.52,32.24
2010-05-14,56,52.0,,0.52,29.12
2010-05-15,97,52.0,,0.52,50.440000000000005
2010-05-16,30,52.0,,0.52,15.600000000000001
2010-05-17,57,52.0,,0.52,29.64
2010-05-18,37,52.0,,0.52,19.240000000000002
2010-05-19,76,52.0,,0.52,39.52
2010-05-20,63,52.0,,0.52,32.76
2010-05-21,21,52.0,,0.52,10.92
2010-05-22,22,52.0,,0.52,11.440000000000001
2010-05-23,53,52.0,,0.52,27.560000000000002
2010-05-24,53,52.0,,0.52,27.560000000000002
2010-05-25,85,52.0,,0.52,44.2
2010-05-26,30,52.0,,0.52,15.600000000000001
2010-05-27,49,52.0,,0.52,25.48
2010-05-28,32,52.0,,0.52,16.64
2010-05-29,62,52.0,,0.52,32.24
2010-05-30,90,52.0,,0.52,46.800000000000004
2010-05-31,35,52.0,,0.52,18.2
2010-06-01,18,96.0,False,0.96,17.28
2010-06-02,16,96.0,,0.96,15.36
2010-06-03,20,96.0,,0.96,19.2
2010-06-04,21,96.0,,0.96,20.16
2010-06-05,38,96.0,,0.96,36.48
2010-06-06,34,96.0,,0.96,32.64
2010-06-07,30,96.0,,0.96,28.799999999999997
2010-06-08,29,96.0,,0.96,27.84
2010-06-09,30,96.0,,0.96,28.799999999999997
2010-06-10,32,96.0,,0.96,30.72
2010-06-11,25,96.0,,0.96,24.0
2010-06-12,22,96.0,,0.96,21.119999999999997
2010-06-13,27,96.0,,0.96,25.919999999999998
2010-06-14,29,96.0,,0.96,27.84
2010-06-15,34,96.0,,0.96,32.64
2010-06-16,38,96.0,,0.96,36.48
2010-06-17,31,96.0,,0.96,29.759999999999998
2010-06-18,27,96.0,,0.96,25.919999999999998
2010-06-19,29,96.0,,0.96,27.84
2010-06-20,63,96.0,,0.96,60.48
2010-06-21,97,96.0,,0.96,93.11999999999999
2010-06-22,68,96.0,,0.96,65.28
2010-06-23,41,96.0,,0.96,39.36
2010-06-24,41,96.0,,0.96,39.36
2010-06-25,37,96.0,,0.96,35.519999999999996
2010-06-26,42,96.0,,0.96,40.32
2010-06-27,41,96.0,,0.96,39.36
2010-06-28,100,96.0,,0.96,96.0
2010-06-29,43,96.0,,0.96,41.28
2010-06-30,46,96.0,,0.96,44.16
2010-07-01,53,100.0,False,1.0,53.0
2010-07-02,27,100.0,,1.0,27.0
2010-07-03,40,100.0,,1.0,40.0
2010-07-04,52,100.0,,1.0,52.0
2010-07-05,64,100.0,,1.0,64.0
2010-07-06,39,100.0,,1.0,39.0
2010-07-07,34,100.0,,1.0,34.0
2010-07-08,39,100.0,,1.0,39.0
2010-07-09,38,100.0,,1.0,38.0
2010-07-10,44,100.0,,1.0,44.0
2010-07-11,45,100.0,,1.0,45.0
2010-07-12,65,100.0,,1.0,65.0
2010-07-13,46,100.0,,1.0,46.0
2010-07-14,27,100.0,,1.0,27.0
2010-07-15,32,100.0,,1.0,32.0
2010-07-16,37,100.0,,1.0,37.0
2010-07-17,36,100.0,,1.0,36.0
2010-07-18,48,100.0,,1.0,48.0
2010-07-19,100,100.0,,1.0,100.0
2010-07-20,42,100.0,,1.0,42.0
2010-07-21,49,100.0,,1.0,49.0
2010-07-22,29,100.0,,1.0,29.0
2010-07-23,34,100.0,,1.0,34.0
2010-07-24,32,100.0,,1.0,32.0
2010-07-25,46,100.0,,1.0,46.0
2010-07-26,73,100.0,,1.0,73.0
2010-07-27,43,100.0,,1.0,43.0
2010-07-28,33,100.0,,1.0,33.0
2010-07-29,28,100.0,,1.0,28.0
2010-07-30,24,100.0,,1.0,24.0
2010-07-31,28,100.0,,1.0,28.0
2010-08-01,52,86.0,False,0.86,44.72
2010-08-02,78,86.0,,0.86,67.08
2010-08-03,64,86.0,,0.86,55.04
2010-08-04,52,86.0,,0.86,44.72
2010-08-05,48,86.0,,0.86,41.28
2010-08-06,64,86.0,,0.86,55.04
2010-08-07,37,86.0,,0.86,31.82
2010-08-08,92,86.0,,0.86,79.12
2010-08-09,82,86.0,,0.86,70.52
2010-08-10,49,86.0,,0.86,42.14
2010-08-11,57,86.0,,0.86,49.019999999999996
