date,lifestyle_unscaled,lifestyle_monthly,isPartial,scale,lifestyle
2010-01-01,87,44.0,False,0.44,38.28
2010-01-02,96,44.0,,0.44,42.24
2010-01-03,92,44.0,,0.44,40.48
2010-01-04,70,44.0,,0.44,30.8
2010-01-05,83,44.0,,0.44,36.52
2010-01-06,85,44.0,,0.44,37.4
2010-01-07,75,44.0,,0.44,33.0
2010-01-08,78,44.0,,0.44,34.32
2010-01-09,70,44.0,,0.44,30.8
2010-01-10,74,44.0,,0.44,32.56
2010-01-11,96,44.0,,0.44,42.24
2010-01-12,99,44.0,,0.44,43.56
2010-01-13,87,44.0,,0.44,38.28
2010-01-14,75,44.0,,0.44,33.0
2010-01-15,79,44.0,,0.44,34.76
2010-01-16,60,44.0,,0.44,26.4
2010-01-17,68,44.0,,0.44,29.92
2010-01-18,79,44.0,,0.44,34.76
2010-01-19,74,44.0,,0.44,32.56
2010-01-20,100,44.0,,0.44,44.0
2010-01-21,70,44.0,,0.44,30.8
2010-01-22,56,44.0,,0.44,24.64
2010-01-23,73,44.0,,0.44,32.12
2010-01-24,57,44.0,,0.44,25.080000000000002
2010-01-25,76,44.0,,0.44,33.44
2010-01-26,71,44.0,,0.44,31.24
2010-01-27,78,44.0,,0.44,34.32
2010-01-28,91,44.0,,0.44,40.04
2010-01-29,77,44.0,,0.44,33.88
2010-01-30,84,44.0,,0.44,36.96
2010-01-31,70,44.0,,0.44,30.8
2010-02-01,86,42.0,False,0.42,36.12
2010-02-02,77,42.0,,0.42,32.339999999999996
2010-02-03,76,42.0,,0.42,31.919999999999998
2010-02-04,86,42.0,,0.42,36.12
2010-02-05,81,42.0,,0.42,34.019999999999996
2010-02-06,54,42.0,,0.42,22.68
2010-02-07,82,42.0,,0.42,34.44
2010-02-08,68,42.0,,0.42,28.56
2010-02-09,82,42.0,,0.42,34.44
2010-02-10,89,42.0,,0.42,37.379999999999995
2010-02-11,82,42.0,,0.42,34.44
2010-02-12,69,42.0,,0.42,28.98
2010-02-13,84,42.0,,0.42,35.28
2010-02-14,64,42.0,,0.42,26.88
2010-02-15,75,42.0,,0.42,31.5
2010-02-16,78,42.0,,0.42,32.76
2010-02-17,70,42.0,,0.42,29.4
2010-02-18,81,42.0,,0.42,34.019999999999996
2010-02-19,70,42.0,,0.42,29.4
2010-02-20,87,42.0,,0.42,36.54
2010-02-21,72,42.0,,0.42,30.24
2010-02-22,100,42.0,,0.42,42.0
2010-02-23,74,42.0,,0.42,31.08
2010-02-24,83,42.0,,0.42,34.86
2010-02-25,87,42.0,,0.42,36.54
2010-02-26,62,42.0,,0.42,26.04
2010-02-27,73,42.0,,0.42,30.66
2010-02-28,85,42.0,,0.42,35.699999999999996
2010-03-01,78,41.0,False,0.41,31.979999999999997
2010-03-02,82,41.0,,0.41,33.62
2010-03-03,69,41.0,,0.41,28.29
2010-03-04,100,41.0,,0.41,41.0
2010-03-05,53,41.0,,0.41,21.73
2010-03-06,59,41.0,,0.41,24.189999999999998
2010-03-07,81,41.0,,0.41,33.21
2010-03-08,78,41.0,,0.41,31.979999999999997
2010-03-09,64,41.0,,0.41,26.24
2010-03-10,81,41.0,,0.41,33.21
