date,loss_unscaled,loss_monthly,isPartial,scale,loss
2010-01-01,77,84.0,False,0.84,64.67999999999999
2010-01-02,93,84.0,,0.84,78.11999999999999
2010-01-03,90,84.0,,0.84,75.6
2010-01-04,100,84.0,,0.84,84.0
2010-01-05,92,84.0,,0.84,77.28
2010-01-06,94,84.0,,0.84,78.96
2010-01-07,74,84.0,,0.84,62.16
2010-01-08,75,84.0,,0.84,63.0
2010-01-09,71,84.0,,0.84,59.64
2010-01-10,73,84.0,,0.84,61.32
2010-01-11,95,84.0,,0.84,79.8
2010-01-12,85,84.0,,0.84,71.39999999999999
2010-01-13,86,84.0,,0.84,72.24
2010-01-14,85,84.0,,0.84,71.39999999999999
2010-01-15,72,84.0,,0.84,60.48
2010-01-16,69,84.0,,0.84,57.96
2010-01-17,75,84.0,,0.84,63.0
2010-01-18,88,84.0,,0.84,73.92
2010-01-19,79,84.0,,0.84,66.36
2010-01-20,81,84.0,,0.84,68.03999999999999
2010-01-21,79,84.0,,0.84,66.36
2010-01-22,70,84.0,,0.84,58.8
2010-01-23,74,84.0,,0.84,62.16
2010-01-24,70,84.0,,0.84,58.8
2010-01-25,84,84.0,,0.84,70.56
2010-01-26,82,84.0,,0.84,68.88
2010-01-27,82,84.0,,0.84,68.88
2010-01-28,79,84.0,,0.84,66.36
2010-01-29,68,84.0,,0.84,57.12
2010-01-30,64,84.0,,0.84,53.76
2010-01-31,70,84.0,,0.84,58.8
2010-02-01,89,79.0,False,0.79,70.31
2010-02-02,89,79.0,,0.79,70.31
2010-02-03,89,79.0,,0.79,70.31
2010-02-04,82,79.0,,0.79,64.78
2010-02-05,76,79.0,,0.79,60.040000000000006
2010-02-06,80,79.0,,0.79,63.2
2010-02-07,79,79.0,,0.79,62.410000000000004
2010-02-08,90,79.0,,0.79,71.10000000000001
2010-02-09,92,79.0,,0.79,72.68
2010-02-10,96,79.0,,0.79,75.84
2010-02-11,84,79.0,,0.79,66.36
2010-02-12,77,79.0,,0.79,60.830000000000005
2010-02-13,70,79.0,,0.79,55.300000000000004
2010-02-14,80,79.0,,0.79,63.2
2010-02-15,92,79.0,,0.79,72.68
2010-02-16,87,79.0,,0.79,68.73
2010-02-17,92,79.0,,0.79,72.68
2010-02-18,93,79.0,,0.79,73.47
2010-02-19,84,79.0,,0.79,66.36
2010-02-20,75,79.0,,0.79,59.25
2010-02-21,88,79.0,,0.79,69.52000000000001
2010-02-22,100,79.0,,0.79,79.0
2010-02-23,99,79.0,,0.79,78.21000000000001
2010-02-24,96,79.0,,0.79,75.84
2010-02-25,81,79.0,,0.79,63.99
2010-02-26,79,79.0,,0.79,62.410000000000004
2010-02-27,70,79.0,,0.79,55.300000000000004
2010-02-28,82,79.0,,0.79,64.78
2010-03-01,100,81.0,False,0.81,81.0
2010-03-02,99,81.0,,0.81,80.19000000000001
2010-03-03,88,81.0,,0.81,71.28
