date,markets_unscaled,markets_monthly,isPartial,scale,markets
2010-01-01,46,56.0,False,0.56,25.76
2010-01-02,62,56.0,,0.56,34.720000000000006
2010-01-03,52,56.0,,0.56,29.120000000000005
2010-01-04,91,56.0,,0.56,50.96000000000001
2010-01-05,100,56.0,,0.56,56.00000000000001
2010-01-06,64,56.0,,0.56,35.84
2010-01-07,84,56.0,,0.56,47.040000000000006
2010-01-08,83,56.0,,0.56,46.480000000000004
2010-01-09,61,56.0,,0.56,34.160000000000004
2010-01-10,69,56.0,,0.56,38.64
2010-01-11,90,56.0,,0.56,50.400000000000006
2010-01-12,91,56.0,,0.56,50.96000000000001
2010-01-13,85,56.0,,0.56,47.6
2010-01-14,86,56.0,,0.56,48.160000000000004
2010-01-15,80,56.0,,0.56,44.800000000000004
2010-01-16,78,56.0,,0.56,43.68000000000001
2010-01-17,63,56.0,,0.56,35.28
2010-01-18,75,56.0,,0.56,42.00000000000001
2010-01-19,71,56.0,,0.56,39.760000000000005
2010-01-20,81,56.0,,0.56,45.36000000000001
2010-01-21,86,56.0,,0.56,48.160000000000004
2010-01-22,95,56.0,,0.56,53.2
2010-01-23,66,56.0,,0.56,36.96
2010-01-24,83,56.0,,0.56,46.480000000000004
2010-01-25,95,56.0,,0.56,53.2
2010-01-26,79,56.0,,0.56,44.24
2010-01-27,77,56.0,,0.56,43.120000000000005
2010-01-28,74,56.0,,0.56,41.440000000000005
2010-01-29,74,56.0,,0.56,41.440000000000005
2010-01-30,64,56.0,,0.56,35.84
2010-01-31,77,56.0,,0.56,43.120000000000005
2010-02-01,82,60.0,False,0.6,49.199999999999996
2010-02-02,89,60.0,,0.6,53.4
2010-02-03,77,60.0,,0.6,46.199999999999996
2010-02-04,75,60.0,,0.6,45.0
2010-02-05,67,60.0,,0.6,40.199999999999996
2010-02-06,70,60.0,,0.6,42.0
2010-02-07,66,60.0,,0.6,39.6
2010-02-08,90,60.0,,0.6,54.0
2010-02-09,83,60.0,,0.6,49.8
2010-02-10,82,60.0,,0.6,49.199999999999996
2010-02-11,78,60.0,,0.6,46.8
2010-02-12,71,60.0,,0.6,42.6
2010-02-13,66,60.0,,0.6,39.6
2010-02-14,68,60.0,,0.6,40.8
2010-02-15,96,60.0,,0.6,57.599999999999994
2010-02-16,76,60.0,,0.6,45.6
2010-02-17,78,60.0,,0.6,46.8
2010-02-18,79,60.0,,0.6,47.4
2010-02-19,74,60.0,,0.6,44.4
2010-02-20,68,60.0,,0.6,40.8
2010-02-21,97,60.0,,0.6,58.199999999999996
2010-02-22,100,60.0,,0.6,60.0
2010-02-23,75,60.0,,0.6,45.0
2010-02-24,84,60.0,,0.6,50.4
2010-02-25,86,60.0,,0.6,51.6
2010-02-26,74,60.0,,0.6,44.4
2010-02-27,58,60.0,,0.6,34.8
2010-02-28,80,60.0,,0.6,48.0
2010-03-01,72,58.0,False,0.58,41.76
2010-03-02,75,58.0,,0.58,43.5
2010-03-03,77,58.0,,0.58,44.66
2010-03-04,99,58.0,,0.58,57.419999999999995
2010-03-05,78,58.0,,0.58,45.239999999999995
2010-03-06,68,58.0,,0.58,39.44
2010-03-07,92,58.0,,0.58,53.36
2010-03-08,88,58.0,,0.58,51.04
2010-03-09,85,58.0,,0.58,49.3
2010-03-10,100,58.0,,0.58,57.99999999999999
2010-03-11,68,58.0,,0.58,39.44
2010-03-12,62,58.0,,0.58,35.96
2010-03-13,73,58.0,,0.58,42.339999999999996
2010-03-14,68,58.0,,0.58,39.44
2010-03-15,58,58.0,,0.58,33.64
2010-03-16,63,58.0,,0.58,36.54
2010-03-17,65,58.0,,0.58,37.699999999999996
2010-03-18,69,58.0,,0.58,40.019999999999996
2010-03-19,83,58.0,,0.58,48.13999999999999
2010-03-20,81,58.0,,0.58,46.98
2010-03-21,56,58.0,,0.58,32.48
2010-03-22,77,58.0,,0.58,44.66
2010-03-23,75,58.0,,0.58,43.5
2010-03-24,93,58.0,,0.58,53.94
2010-03-25,79,58.0,,0.58,45.82
2010-03-26,69,58.0,,0.58,40.019999999999996
2010-03-27,65,58.0,,0.58,37.699999999999996
2010-03-28,83,58.0,,0.58,48.13999999999999
2010-03-29,67,58.0,,0.58,38.86
2010-03-30,83,58.0,,0.58,48.13999999999999
2010-03-31,73,58.0,,0.58,42.339999999999996
2010-04-01,79,60.0,False,0.6,47.4
2010-04-02,68,60.0,,0.6,40.8
