date,marriage_unscaled,marriage_monthly,isPartial,scale,marriage
2010-01-01,57,46.0,False,0.46,26.220000000000002
2010-01-02,68,46.0,,0.46,31.28
2010-01-03,87,46.0,,0.46,40.02
2010-01-04,83,46.0,,0.46,38.18
2010-01-05,91,46.0,,0.46,41.86
2010-01-06,88,46.0,,0.46,40.480000000000004
2010-01-07,89,46.0,,0.46,40.940000000000005
2010-01-08,95,46.0,,0.46,43.7
2010-01-09,70,46.0,,0.46,32.2
2010-01-10,95,46.0,,0.46,43.7
2010-01-11,100,46.0,,0.46,46.0
2010-01-12,86,46.0,,0.46,39.56
2010-01-13,85,46.0,,0.46,39.1
2010-01-14,88,46.0,,0.46,40.480000000000004
2010-01-15,84,46.0,,0.46,38.64
2010-01-16,74,46.0,,0.46,34.04
2010-01-17,76,46.0,,0.46,34.96
2010-01-18,77,46.0,,0.46,35.42
2010-01-19,92,46.0,,0.46,42.32
2010-01-20,89,46.0,,0.46,40.940000000000005
2010-01-21,92,46.0,,0.46,42.32
2010-01-22,84,46.0,,0.46,38.64
2010-01-23,72,46.0,,0.46,33.120000000000005
2010-01-24,79,46.0,,0.46,36.34
2010-01-25,92,46.0,,0.46,42.32
2010-01-26,86,46.0,,0.46,39.56
2010-01-27,85,46.0,,0.46,39.1
2010-01-28,89,46.0,,0.46,40.940000000000005
2010-01-29,74,46.0,,0.46,34.04
2010-01-30,66,46.0,,0.46,30.360000000000003
2010-01-31,84,46.0,,0.46,38.64
2010-02-01,94,45.0,False,0.45,42.300000000000004
2010-02-02,96,45.0,,0.45,43.2
2010-02-03,92,45.0,,0.45,41.4
2010-02-04,88,45.0,,0.45,39.6
2010-02-05,78,45.0,,0.45,35.1
2010-02-06,74,45.0,,0.45,33.300000000000004
2010-02-07,76,45.0,,0.45,34.2
2010-02-08,96,45.0,,0.45,43.2
2010-02-09,87,45.0,,0.45,39.15
2010-02-10,80,45.0,,0.45,36.0
2010-02-11,86,45.0,,0.45,38.7
2010-02-12,90,45.0,,0.45,40.5
2010-02-13,87,45.0,,0.45,39.15
2010-02-14,80,45.0,,0.45,36.0
2010-02-15,91,45.0,,0.45,40.95
2010-02-16,100,45.0,,0.45,45.0
2010-02-17,94,45.0,,0.45,42.300000000000004
2010-02-18,90,45.0,,0.45,40.5
2010-02-19,98,45.0,,0.45,44.1
2010-02-20,71,45.0,,0.45,31.95
2010-02-21,89,45.0,,0.45,40.050000000000004
2010-02-22,97,45.0,,0.45,43.65
2010-02-23,92,45.0,,0.45,41.4
2010-02-24,84,45.0,,0.45,37.800000000000004
2010-02-25,88,45.0,,0.45,39.6
2010-02-26,79,45.0,,0.45,35.550000000000004
2010-02-27,79,45.0,,0.45,35.550000000000004
2010-02-28,84,45.0,,0.45,37.800000000000004
2010-03-01,55,53.0,False,0.53,29.150000000000002
2010-03-02,53,53.0,,0.53,28.09
2010-03-03,43,53.0,,0.53,22.790000000000003
2010-03-04,46,53.0,,0.53,24.380000000000003
2010-03-05,53,53.0,,0.53,28.09
2010-03-06,40,53.0,,0.53,21.200000000000003
2010-03-07,45,53.0,,0.53,23.85
2010-03-08,52,53.0,,0.53,27.560000000000002
2010-03-09,48,53.0,,0.53,25.44
2010-03-10,42,53.0,,0.53,22.26
2010-03-11,42,53.0,,0.53,22.26
2010-03-12,48,53.0,,0.53,25.44
2010-03-13,34,53.0,,0.53,18.02
2010-03-14,47,53.0,,0.53,24.91
2010-03-15,49,53.0,,0.53,25.970000000000002
2010-03-16,46,53.0,,0.53,24.380000000000003
2010-03-17,42,53.0,,0.53,22.26
2010-03-18,100,53.0,,0.53,53.0
2010-03-19,54,53.0,,0.53,28.62
2010-03-20,36,53.0,,0.53,19.080000000000002
2010-03-21,37,53.0,,0.53,19.61
2010-03-22,47,53.0,,0.53,24.91
2010-03-23,34,53.0,,0.53,18.02
2010-03-24,40,53.0,,0.53,21.200000000000003
2010-03-25,39,53.0,,0.53,20.67
2010-03-26,44,53.0,,0.53,23.32
2010-03-27,38,53.0,,0.53,20.14
2010-03-28,41,53.0,,0.53,21.73
2010-03-29,46,53.0,,0.53,24.380000000000003
2010-03-30,36,53.0,,0.53,19.080000000000002
2010-03-31,39,53.0,,0.53,20.67
2010-04-01,76,50.0,False,0.5,38.0
2010-04-02,79,50.0,,0.5,39.5
2010-04-03,72,50.0,,0.5,36.0
2010-04-04,75,50.0,,0.5,37.5
2010-04-05,93,50.0,,0.5,46.5
2010-04-06,86,50.0,,0.5,43.0
2010-04-07,82,50.0,,0.5,41.0
2010-04-08,83,50.0,,0.5,41.5
2010-04-09,88,50.0,,0.5,44.0
2010-04-10,74,50.0,,0.5,37.0
2010-04-11,80,50.0,,0.5,40.0
2010-04-12,95,50.0,,0.5,47.5
2010-04-13,98,50.0,,0.5,49.0
2010-04-14,92,50.0,,0.5,46.0
2010-04-15,90,50.0,,0.5,45.0
2010-04-16,80,50.0,,0.5,40.0
2010-04-17,67,50.0,,0.5,33.5
2010-04-18,77,50.0,,0.5,38.5
2010-04-19,98,50.0,,0.5,49.0
2010-04-20,94,50.0,,0.5,47.0
2010-04-21,91,50.0,,0.5,45.5
2010-04-22,90,50.0,,0.5,45.0
2010-04-23,85,50.0,,0.5,42.5
2010-04-24,80,50.0,,0.5,40.0
2010-04-25,85,50.0,,0.5,42.5
2010-04-26,100,50.0,,0.5,50.0
2010-04-27,97,50.0,,0.5,48.5
2010-04-28,97,50.0,,0.5,48.5
2010-04-29,95,50.0,,0.5,47.5
2010-04-30,85,50.0,,0.5,42.5
2010-05-01,83,47.0,False,0.47,39.01
2010-05-02,88,47.0,,0.47,41.36
2010-05-03,100,47.0,,0.47,47.0
2010-05-04,97,47.0,,0.47,45.589999999999996
2010-05-05,81,47.0,,0.47,38.07
2010-05-06,86,47.0,,0.47,40.419999999999995
2010-05-07,79,47.0,,0.47,37.129999999999995
2010-05-08,71,47.0,,0.47,33.37
2010-05-09,74,47.0,,0.47,34.78
2010-05-10,88,47.0,,0.47,41.36
