date,metals_unscaled,metals_monthly,isPartial,scale,metals
2010-01-01,34,73.0,False,0.73,24.82
2010-01-02,39,73.0,,0.73,28.47
2010-01-03,22,73.0,,0.73,16.06
2010-01-04,90,73.0,,0.73,65.7
2010-01-05,82,73.0,,0.73,59.86
2010-01-06,77,73.0,,0.73,56.21
2010-01-07,85,73.0,,0.73,62.05
2010-01-08,61,73.0,,0.73,44.53
2010-01-09,36,73.0,,0.73,26.28
2010-01-10,61,73.0,,0.73,44.53
2010-01-11,81,73.0,,0.73,59.129999999999995
2010-01-12,85,73.0,,0.73,62.05
2010-01-13,77,73.0,,0.73,56.21
2010-01-14,100,73.0,,0.73,73.0
2010-01-15,96,73.0,,0.73,70.08
2010-01-16,39,73.0,,0.73,28.47
2010-01-17,52,73.0,,0.73,37.96
2010-01-18,70,73.0,,0.73,51.1
2010-01-19,57,73.0,,0.73,41.61
2010-01-20,71,73.0,,0.73,51.83
2010-01-21,96,73.0,,0.73,70.08
2010-01-22,55,73.0,,0.73,40.15
2010-01-23,38,73.0,,0.73,27.74
2010-01-24,39,73.0,,0.73,28.47
2010-01-25,61,73.0,,0.73,44.53
2010-01-26,65,73.0,,0.73,47.449999999999996
2010-01-27,48,73.0,,0.73,35.04
2010-01-28,95,73.0,,0.73,69.35
2010-01-29,65,73.0,,0.73,47.449999999999996
2010-01-30,34,73.0,,0.73,24.82
2010-01-31,29,73.0,,0.73,21.169999999999998
2010-02-01,80,82.0,False,0.82,65.6
2010-02-02,88,82.0,,0.82,72.16
2010-02-03,79,82.0,,0.82,64.78
2010-02-04,63,82.0,,0.82,51.66
2010-02-05,100,82.0,,0.82,82.0
2010-02-06,27,82.0,,0.82,22.139999999999997
2010-02-07,28,82.0,,0.82,22.959999999999997
2010-02-08,59,82.0,,0.82,48.379999999999995
2010-02-09,76,82.0,,0.82,62.31999999999999
2010-02-10,67,82.0,,0.82,54.94
2010-02-11,72,82.0,,0.82,59.04
2010-02-12,74,82.0,,0.82,60.68
2010-02-13,40,82.0,,0.82,32.8
2010-02-14,41,82.0,,0.82,33.62
2010-02-15,65,82.0,,0.82,53.3
2010-02-16,69,82.0,,0.82,56.58
2010-02-17,60,82.0,,0.82,49.199999999999996
2010-02-18,100,82.0,,0.82,82.0
2010-02-19,84,82.0,,0.82,68.88
2010-02-20,51,82.0,,0.82,41.82
2010-02-21,45,82.0,,0.82,36.9
2010-02-22,82,82.0,,0.82,67.24
2010-02-23,85,82.0,,0.82,69.7
2010-02-24,79,82.0,,0.82,64.78
2010-02-25,92,82.0,,0.82,75.44
2010-02-26,80,82.0,,0.82,65.6
2010-02-27,46,82.0,,0.82,37.72
2010-02-28,36,82.0,,0.82,29.52
2010-03-01,100,72.0,False,0.72,72.0
2010-03-02,100,72.0,,0.72,72.0
2010-03-03,91,72.0,,0.72,65.52
2010-03-04,79,72.0,,0.72,56.879999999999995
2010-03-05,70,72.0,,0.72,50.4
2010-03-06,35,72.0,,0.72,25.2
2010-03-07,40,72.0,,0.72,28.799999999999997
2010-03-08,79,72.0,,0.72,56.879999999999995
2010-03-09,70,72.0,,0.72,50.4
2010-03-10,84,72.0,,0.72,60.48
2010-03-11,91,72.0,,0.72,65.52
2010-03-12,59,72.0,,0.72,42.48
2010-03-13,29,72.0,,0.72,20.88
2010-03-14,42,72.0,,0.72,30.24
2010-03-15,86,72.0,,0.72,61.919999999999995
2010-03-16,65,72.0,,0.72,46.8
2010-03-17,79,72.0,,0.72,56.879999999999995
2010-03-18,79,72.0,,0.72,56.879999999999995
2010-03-19,67,72.0,,0.72,48.239999999999995
2010-03-20,41,72.0,,0.72,29.52
2010-03-21,36,72.0,,0.72,25.919999999999998
2010-03-22,76,72.0,,0.72,54.72
2010-03-23,73,72.0,,0.72,52.559999999999995
2010-03-24,88,72.0,,0.72,63.36
2010-03-25,82,72.0,,0.72,59.04
2010-03-26,73,72.0,,0.72,52.559999999999995
2010-03-27,32,72.0,,0.72,23.04
2010-03-28,22,72.0,,0.72,15.84
2010-03-29,75,72.0,,0.72,54.0
2010-03-30,86,72.0,,0.72,61.919999999999995
2010-03-31,78,72.0,,0.72,56.16
2010-04-01,65,73.0,False,0.73,47.449999999999996
2010-04-02,49,73.0,,0.73,35.769999999999996
2010-04-03,23,73.0,,0.73,16.79
2010-04-04,34,73.0,,0.73,24.82
2010-04-05,82,73.0,,0.73,59.86
2010-04-06,97,73.0,,0.73,70.81
2010-04-07,88,73.0,,0.73,64.24
2010-04-08,65,73.0,,0.73,47.449999999999996
2010-04-09,86,73.0,,0.73,62.78
2010-04-10,39,73.0,,0.73,28.47
2010-04-11,44,73.0,,0.73,32.12
2010-04-12,79,73.0,,0.73,57.67
2010-04-13,100,73.0,,0.73,73.0
2010-04-14,81,73.0,,0.73,59.129999999999995
2010-04-15,80,73.0,,0.73,58.4
2010-04-16,75,73.0,,0.73,54.75
2010-04-17,32,73.0,,0.73,23.36
2010-04-18,30,73.0,,0.73,21.9
2010-04-19,83,73.0,,0.73,60.589999999999996
2010-04-20,96,73.0,,0.73,70.08
2010-04-21,79,73.0,,0.73,57.67
2010-04-22,93,73.0,,0.73,67.89
2010-04-23,92,73.0,,0.73,67.16
2010-04-24,43,73.0,,0.73,31.39
2010-04-25,51,73.0,,0.73,37.23
2010-04-26,81,73.0,,0.73,59.129999999999995
2010-04-27,81,73.0,,0.73,59.129999999999995
2010-04-28,69,73.0,,0.73,50.37
2010-04-29,92,73.0,,0.73,67.16
2010-04-30,61,73.0,,0.73,44.53
2010-05-01,43,74.0,False,0.74,31.82
2010-05-02,32,74.0,,0.74,23.68
2010-05-03,94,74.0,,0.74,69.56
2010-05-04,89,74.0,,0.74,65.86
2010-05-05,100,74.0,,0.74,74.0
