date,money_unscaled,money_monthly,isPartial,scale,money
2010-01-01,83,58.0,False,0.58,48.13999999999999
2010-01-02,87,58.0,,0.58,50.459999999999994
2010-01-03,84,58.0,,0.58,48.72
2010-01-04,94,58.0,,0.58,54.519999999999996
2010-01-05,90,58.0,,0.58,52.199999999999996
2010-01-06,94,58.0,,0.58,54.519999999999996
2010-01-07,88,58.0,,0.58,51.04
2010-01-08,85,58.0,,0.58,49.3
2010-01-09,85,58.0,,0.58,49.3
2010-01-10,96,58.0,,0.58,55.67999999999999
2010-01-11,94,58.0,,0.58,54.519999999999996
2010-01-12,89,58.0,,0.58,51.62
2010-01-13,95,58.0,,0.58,55.099999999999994
2010-01-14,91,58.0,,0.58,52.779999999999994
2010-01-15,92,58.0,,0.58,53.36
2010-01-16,99,58.0,,0.58,57.419999999999995
2010-01-17,94,58.0,,0.58,54.519999999999996
2010-01-18,86,58.0,,0.58,49.879999999999995
2010-01-19,88,58.0,,0.58,51.04
2010-01-20,80,58.0,,0.58,46.4
2010-01-21,95,58.0,,0.58,55.099999999999994
2010-01-22,88,58.0,,0.58,51.04
2010-01-23,100,58.0,,0.58,57.99999999999999
2010-01-24,98,58.0,,0.58,56.839999999999996
2010-01-25,93,58.0,,0.58,53.94
2010-01-26,89,58.0,,0.58,51.62
2010-01-27,88,58.0,,0.58,51.04
2010-01-28,97,58.0,,0.58,56.26
2010-01-29,89,58.0,,0.58,51.62
2010-01-30,91,58.0,,0.58,52.779999999999994
2010-01-31,83,58.0,,0.58,48.13999999999999
2010-02-01,89,57.0,False,0.57,50.73
2010-02-02,94,57.0,,0.57,53.58
2010-02-03,87,57.0,,0.57,49.589999999999996
2010-02-04,92,57.0,,0.57,52.44
2010-02-05,86,57.0,,0.57,49.019999999999996
2010-02-06,86,57.0,,0.57,49.019999999999996
2010-02-07,85,57.0,,0.57,48.449999999999996
2010-02-08,87,57.0,,0.57,49.589999999999996
2010-02-09,83,57.0,,0.57,47.309999999999995
2010-02-10,83,57.0,,0.57,47.309999999999995
2010-02-11,84,57.0,,0.57,47.879999999999995
2010-02-12,76,57.0,,0.57,43.31999999999999
2010-02-13,86,57.0,,0.57,49.019999999999996
2010-02-14,80,57.0,,0.57,45.599999999999994
2010-02-15,89,57.0,,0.57,50.73
2010-02-16,84,57.0,,0.57,47.879999999999995
2010-02-17,85,57.0,,0.57,48.449999999999996
2010-02-18,87,57.0,,0.57,49.589999999999996
2010-02-19,86,57.0,,0.57,49.019999999999996
2010-02-20,88,57.0,,0.57,50.16
2010-02-21,89,57.0,,0.57,50.73
2010-02-22,90,57.0,,0.57,51.3
2010-02-23,91,57.0,,0.57,51.87
2010-02-24,89,57.0,,0.57,50.73
2010-02-25,87,57.0,,0.57,49.589999999999996
2010-02-26,79,57.0,,0.57,45.029999999999994
2010-02-27,83,57.0,,0.57,47.309999999999995
2010-02-28,100,57.0,,0.57,56.99999999999999
2010-03-01,100,57.0,False,0.57,56.99999999999999
2010-03-02,99,57.0,,0.57,56.42999999999999
2010-03-03,96,57.0,,0.57,54.72
2010-03-04,97,57.0,,0.57,55.28999999999999
2010-03-05,98,57.0,,0.57,55.85999999999999
2010-03-06,88,57.0,,0.57,50.16
2010-03-07,90,57.0,,0.57,51.3
2010-03-08,100,57.0,,0.57,56.99999999999999
2010-03-09,96,57.0,,0.57,54.72
2010-03-10,92,57.0,,0.57,52.44
2010-03-11,95,57.0,,0.57,54.15
2010-03-12,97,57.0,,0.57,55.28999999999999
2010-03-13,95,57.0,,0.57,54.15
2010-03-14,93,57.0,,0.57,53.01
2010-03-15,95,57.0,,0.57,54.15
2010-03-16,92,57.0,,0.57,52.44
2010-03-17,90,57.0,,0.57,51.3
2010-03-18,90,57.0,,0.57,51.3
2010-03-19,90,57.0,,0.57,51.3
2010-03-20,92,57.0,,0.57,52.44
2010-03-21,88,57.0,,0.57,50.16
2010-03-22,99,57.0,,0.57,56.42999999999999
2010-03-23,98,57.0,,0.57,55.85999999999999
2010-03-24,97,57.0,,0.57,55.28999999999999
2010-03-25,92,57.0,,0.57,52.44
2010-03-26,89,57.0,,0.57,50.73
2010-03-27,82,57.0,,0.57,46.739999999999995
2010-03-28,91,57.0,,0.57,51.87
2010-03-29,96,57.0,,0.57,54.72
