date,movie_unscaled,movie_monthly,isPartial,scale,movie
2010-01-01,95,75.0,False,0.75,71.25
2010-01-02,100,75.0,,0.75,75.0
2010-01-03,86,75.0,,0.75,64.5
2010-01-04,51,75.0,,0.75,38.25
2010-01-05,46,75.0,,0.75,34.5
2010-01-06,46,75.0,,0.75,34.5
2010-01-07,48,75.0,,0.75,36.0
2010-01-08,60,75.0,,0.75,45.0
2010-01-09,83,75.0,,0.75,62.25
2010-01-10,82,75.0,,0.75,61.5
2010-01-11,49,75.0,,0.75,36.75
2010-01-12,47,75.0,,0.75,35.25
2010-01-13,43,75.0,,0.75,32.25
2010-01-14,46,75.0,,0.75,34.5
2010-01-15,57,75.0,,0.75,42.75
2010-01-16,78,75.0,,0.75,58.5
2010-01-17,82,75.0,,0.75,61.5
2010-01-18,68,75.0,,0.75,51.0
2010-01-19,47,75.0,,0.75,35.25
2010-01-20,42,75.0,,0.75,31.5
2010-01-21,44,75.0,,0.75,33.0
2010-01-22,57,75.0,,0.75,42.75
2010-01-23,84,75.0,,0.75,63.0
2010-01-24,76,75.0,,0.75,57.0
2010-01-25,47,75.0,,0.75,35.25
2010-01-26,42,75.0,,0.75,31.5
2010-01-27,39,75.0,,0.75,29.25
2010-01-28,40,75.0,,0.75,30.0
2010-01-29,50,75.0,,0.75,37.5
2010-01-30,77,75.0,,0.75,57.75
2010-01-31,73,75.0,,0.75,54.75
2010-02-01,48,67.0,False,0.67,32.160000000000004
2010-02-02,47,67.0,,0.67,31.490000000000002
2010-02-03,45,67.0,,0.67,30.150000000000002
2010-02-04,45,67.0,,0.67,30.150000000000002
2010-02-05,58,67.0,,0.67,38.86
2010-02-06,87,67.0,,0.67,58.290000000000006
2010-02-07,76,67.0,,0.67,50.92
2010-02-08,49,67.0,,0.67,32.830000000000005
2010-02-09,45,67.0,,0.67,30.150000000000002
2010-02-10,48,67.0,,0.67,32.160000000000004
2010-02-11,50,67.0,,0.67,33.5
2010-02-12,64,67.0,,0.67,42.88
2010-02-13,90,67.0,,0.67,60.300000000000004
2010-02-14,100,67.0,,0.67,67.0
2010-02-15,66,67.0,,0.67,44.220000000000006
2010-02-16,48,67.0,,0.67,32.160000000000004
2010-02-17,44,67.0,,0.67,29.48
2010-02-18,46,67.0,,0.67,30.82
2010-02-19,55,67.0,,0.67,36.85
2010-02-20,85,67.0,,0.67,56.95
2010-02-21,80,67.0,,0.67,53.6
2010-02-22,49,67.0,,0.67,32.830000000000005
2010-02-23,44,67.0,,0.67,29.48
2010-02-24,43,67.0,,0.67,28.810000000000002
2010-02-25,44,67.0,,0.67,29.48
2010-02-26,57,67.0,,0.67,38.190000000000005
2010-02-27,78,67.0,,0.67,52.260000000000005
2010-02-28,75,67.0,,0.67,50.25
2010-03-01,53,65.0,False,0.65,34.45
2010-03-02,50,65.0,,0.65,32.5
2010-03-03,52,65.0,,0.65,33.800000000000004
2010-03-04,53,65.0,,0.65,34.45
2010-03-05,69,65.0,,0.65,44.85
2010-03-06,99,65.0,,0.65,64.35000000000001
2010-03-07,100,65.0,,0.65,65.0
2010-03-08,69,65.0,,0.65,44.85
2010-03-09,54,65.0,,0.65,35.1
2010-03-10,53,65.0,,0.65,34.45
2010-03-11,59,65.0,,0.65,38.35
2010-03-12,71,65.0,,0.65,46.15
2010-03-13,94,65.0,,0.65,61.1
2010-03-14,93,65.0,,0.65,60.45
2010-03-15,56,65.0,,0.65,36.4
2010-03-16,51,65.0,,0.65,33.15
2010-03-17,50,65.0,,0.65,32.5
2010-03-18,50,65.0,,0.65,32.5
2010-03-19,64,65.0,,0.65,41.6
2010-03-20,88,65.0,,0.65,57.2
2010-03-21,81,65.0,,0.65,52.65
2010-03-22,52,65.0,,0.65,33.800000000000004
2010-03-23,50,65.0,,0.65,32.5
2010-03-24,49,65.0,,0.65,31.85
2010-03-25,52,65.0,,0.65,33.800000000000004
2010-03-26,64,65.0,,0.65,41.6
2010-03-27,90,65.0,,0.65,58.5
2010-03-28,86,65.0,,0.65,55.9
2010-03-29,57,65.0,,0.65,37.050000000000004
2010-03-30,53,65.0,,0.65,34.45
2010-03-31,55,65.0,,0.65,35.75
2010-04-01,62,60.0,False,0.6,37.199999999999996
2010-04-02,85,60.0,,0.6,51.0
2010-04-03,100,60.0,,0.6,60.0
2010-04-04,97,60.0,,0.6,58.199999999999996
2010-04-05,60,60.0,,0.6,36.0
2010-04-06,54,60.0,,0.6,32.4
2010-04-07,53,60.0,,0.6,31.799999999999997
2010-04-08,53,60.0,,0.6,31.799999999999997
2010-04-09,70,60.0,,0.6,42.0
2010-04-10,90,60.0,,0.6,54.0
2010-04-11,86,60.0,,0.6,51.6
2010-04-12,53,60.0,,0.6,31.799999999999997
2010-04-13,49,60.0,,0.6,29.4
2010-04-14,50,60.0,,0.6,30.0
2010-04-15,51,60.0,,0.6,30.599999999999998
2010-04-16,64,60.0,,0.6,38.4
2010-04-17,93,60.0,,0.6,55.8
2010-04-18,91,60.0,,0.6,54.6
2010-04-19,54,60.0,,0.6,32.4
2010-04-20,52,60.0,,0.6,31.2
2010-04-21,51,60.0,,0.6,30.599999999999998
2010-04-22,55,60.0,,0.6,33.0
2010-04-23,64,60.0,,0.6,38.4
2010-04-24,91,60.0,,0.6,54.6
2010-04-25,90,60.0,,0.6,54.0
2010-04-26,55,60.0,,0.6,33.0
2010-04-27,52,60.0,,0.6,31.2
2010-04-28,53,60.0,,0.6,31.799999999999997
2010-04-29,54,60.0,,0.6,32.4
2010-04-30,65,60.0,,0.6,39.0
2010-05-01,86,64.0,False,0.64,55.04
2010-05-02,84,64.0,,0.64,53.76
2010-05-03,53,64.0,,0.64,33.92
