date,nasdaq_unscaled,nasdaq_monthly,isPartial,scale,nasdaq
2010-01-01,28,26.0,False,0.26,7.28
2010-01-02,20,26.0,,0.26,5.2
2010-01-03,23,26.0,,0.26,5.98
2010-01-04,62,26.0,,0.26,16.12
2010-01-05,58,26.0,,0.26,15.08
2010-01-06,79,26.0,,0.26,20.54
2010-01-07,52,26.0,,0.26,13.52
2010-01-08,71,26.0,,0.26,18.46
2010-01-09,29,26.0,,0.26,7.54
2010-01-10,19,26.0,,0.26,4.94
2010-01-11,78,26.0,,0.26,20.28
2010-01-12,61,26.0,,0.26,15.860000000000001
2010-01-13,74,26.0,,0.26,19.240000000000002
2010-01-14,99,26.0,,0.26,25.740000000000002
2010-01-15,57,26.0,,0.26,14.82
2010-01-16,16,26.0,,0.26,4.16
2010-01-17,29,26.0,,0.26,7.54
2010-01-18,38,26.0,,0.26,9.88
2010-01-19,51,26.0,,0.26,13.26
2010-01-20,100,26.0,,0.26,26.0
2010-01-21,75,26.0,,0.26,19.5
2010-01-22,65,26.0,,0.26,16.900000000000002
2010-01-23,37,26.0,,0.26,9.620000000000001
2010-01-24,13,26.0,,0.26,3.38
2010-01-25,55,26.0,,0.26,14.3
2010-01-26,69,26.0,,0.26,17.94
2010-01-27,80,26.0,,0.26,20.8
2010-01-28,62,26.0,,0.26,16.12
2010-01-29,82,26.0,,0.26,21.32
2010-01-30,24,26.0,,0.26,6.24
2010-01-31,24,26.0,,0.26,6.24
2010-02-01,84,24.0,False,0.24,20.16
2010-02-02,83,24.0,,0.24,19.919999999999998
2010-02-03,59,24.0,,0.24,14.16
2010-02-04,69,24.0,,0.24,16.56
2010-02-05,56,24.0,,0.24,13.44
2010-02-06,22,24.0,,0.24,5.279999999999999
2010-02-07,20,24.0,,0.24,4.8
2010-02-08,59,24.0,,0.24,14.16
2010-02-09,81,24.0,,0.24,19.439999999999998
2010-02-10,57,24.0,,0.24,13.68
2010-02-11,68,24.0,,0.24,16.32
2010-02-12,100,24.0,,0.24,24.0
2010-02-13,41,24.0,,0.24,9.84
2010-02-14,31,24.0,,0.24,7.4399999999999995
2010-02-15,47,24.0,,0.24,11.28
2010-02-16,64,24.0,,0.24,15.36
2010-02-17,76,24.0,,0.24,18.24
2010-02-18,64,24.0,,0.24,15.36
2010-02-19,65,24.0,,0.24,15.6
2010-02-20,41,24.0,,0.24,9.84
2010-02-21,17,24.0,,0.24,4.08
2010-02-22,56,24.0,,0.24,13.44
2010-02-23,57,24.0,,0.24,13.68
2010-02-24,64,24.0,,0.24,15.36
2010-02-25,39,24.0,,0.24,9.36
2010-02-26,50,24.0,,0.24,12.0
2010-02-27,17,24.0,,0.24,4.08
2010-02-28,26,24.0,,0.24,6.24
2010-03-01,76,28.0,False,0.28,21.28
2010-03-02,69,28.0,,0.28,19.32
2010-03-03,54,28.0,,0.28,15.120000000000001
2010-03-04,72,28.0,,0.28,20.160000000000004
2010-03-05,76,28.0,,0.28,21.28
2010-03-06,38,28.0,,0.28,10.64
2010-03-07,25,28.0,,0.28,7.000000000000001
2010-03-08,68,28.0,,0.28,19.040000000000003
2010-03-09,78,28.0,,0.28,21.840000000000003
