date,office_unscaled,office_monthly,isPartial,scale,office
2010-01-01,54,88.0,False,0.88,47.52
2010-01-02,64,88.0,,0.88,56.32
2010-01-03,60,88.0,,0.88,52.8
2010-01-04,100,88.0,,0.88,88.0
2010-01-05,92,88.0,,0.88,80.96
2010-01-06,92,88.0,,0.88,80.96
2010-01-07,90,88.0,,0.88,79.2
2010-01-08,88,88.0,,0.88,77.44
2010-01-09,66,88.0,,0.88,58.08
2010-01-10,62,88.0,,0.88,54.56
2010-01-11,97,88.0,,0.88,85.36
2010-01-12,92,88.0,,0.88,80.96
2010-01-13,92,88.0,,0.88,80.96
2010-01-14,86,88.0,,0.88,75.68
2010-01-15,86,88.0,,0.88,75.68
2010-01-16,66,88.0,,0.88,58.08
2010-01-17,57,88.0,,0.88,50.160000000000004
2010-01-18,82,88.0,,0.88,72.16
2010-01-19,91,88.0,,0.88,80.08
2010-01-20,89,88.0,,0.88,78.32000000000001
2010-01-21,85,88.0,,0.88,74.8
2010-01-22,93,88.0,,0.88,81.84
2010-01-23,69,88.0,,0.88,60.72
2010-01-24,63,88.0,,0.88,55.44
2010-01-25,92,88.0,,0.88,80.96
2010-01-26,89,88.0,,0.88,78.32000000000001
2010-01-27,89,88.0,,0.88,78.32000000000001
2010-01-28,88,88.0,,0.88,77.44
2010-01-29,92,88.0,,0.88,80.96
2010-01-30,66,88.0,,0.88,58.08
2010-01-31,58,88.0,,0.88,51.04
2010-02-01,100,85.0,False,0.85,85.0
2010-02-02,95,85.0,,0.85,80.75
2010-02-03,97,85.0,,0.85,82.45
2010-02-04,96,85.0,,0.85,81.6
2010-02-05,96,85.0,,0.85,81.6
2010-02-06,70,85.0,,0.85,59.5
2010-02-07,64,85.0,,0.85,54.4
2010-02-08,98,85.0,,0.85,83.3
2010-02-09,96,85.0,,0.85,81.6
2010-02-10,90,85.0,,0.85,76.5
2010-02-11,95,85.0,,0.85,80.75
2010-02-12,94,85.0,,0.85,79.89999999999999
2010-02-13,68,85.0,,0.85,57.8
2010-02-14,63,85.0,,0.85,53.55
2010-02-15,89,85.0,,0.85,75.64999999999999
2010-02-16,95,85.0,,0.85,80.75
2010-02-17,94,85.0,,0.85,79.89999999999999
2010-02-18,94,85.0,,0.85,79.89999999999999
2010-02-19,93,85.0,,0.85,79.05
2010-02-20,73,85.0,,0.85,62.05
2010-02-21,62,85.0,,0.85,52.699999999999996
2010-02-22,99,85.0,,0.85,84.14999999999999
2010-02-23,94,85.0,,0.85,79.89999999999999
2010-02-24,93,85.0,,0.85,79.05
2010-02-25,91,85.0,,0.85,77.35
2010-02-26,93,85.0,,0.85,79.05
2010-02-27,65,85.0,,0.85,55.25
2010-02-28,62,85.0,,0.85,52.699999999999996
2010-03-01,98,83.0,False,0.83,81.33999999999999
2010-03-02,92,83.0,,0.83,76.36
2010-03-03,94,83.0,,0.83,78.02
2010-03-04,91,83.0,,0.83,75.53
2010-03-05,100,83.0,,0.83,83.0
2010-03-06,71,83.0,,0.83,58.93
2010-03-07,62,83.0,,0.83,51.46
2010-03-08,92,83.0,,0.83,76.36
2010-03-09,94,83.0,,0.83,78.02
