date,oil_unscaled,oil_monthly,isPartial,scale,oil
2010-01-01,76,39.0,False,0.39,29.64
2010-01-02,84,39.0,,0.39,32.76
2010-01-03,84,39.0,,0.39,32.76
2010-01-04,100,39.0,,0.39,39.0
2010-01-05,97,39.0,,0.39,37.83
2010-01-06,92,39.0,,0.39,35.88
2010-01-07,93,39.0,,0.39,36.27
2010-01-08,87,39.0,,0.39,33.93
2010-01-09,82,39.0,,0.39,31.98
2010-01-10,76,39.0,,0.39,29.64
2010-01-11,95,39.0,,0.39,37.050000000000004
2010-01-12,87,39.0,,0.39,33.93
2010-01-13,92,39.0,,0.39,35.88
2010-01-14,84,39.0,,0.39,32.76
2010-01-15,83,39.0,,0.39,32.370000000000005
2010-01-16,90,39.0,,0.39,35.1
2010-01-17,81,39.0,,0.39,31.59
2010-01-18,96,39.0,,0.39,37.44
2010-01-19,88,39.0,,0.39,34.32
2010-01-20,94,39.0,,0.39,36.660000000000004
2010-01-21,77,39.0,,0.39,30.03
2010-01-22,83,39.0,,0.39,32.370000000000005
2010-01-23,84,39.0,,0.39,32.76
2010-01-24,93,39.0,,0.39,36.27
2010-01-25,91,39.0,,0.39,35.49
2010-01-26,85,39.0,,0.39,33.15
2010-01-27,85,39.0,,0.39,33.15
2010-01-28,90,39.0,,0.39,35.1
2010-01-29,89,39.0,,0.39,34.71
2010-01-30,75,39.0,,0.39,29.25
2010-01-31,84,39.0,,0.39,32.76
2010-02-01,95,38.0,False,0.38,36.1
2010-02-02,100,38.0,,0.38,38.0
2010-02-03,93,38.0,,0.38,35.34
2010-02-04,93,38.0,,0.38,35.34
2010-02-05,93,38.0,,0.38,35.34
2010-02-06,87,38.0,,0.38,33.06
2010-02-07,82,38.0,,0.38,31.16
2010-02-08,94,38.0,,0.38,35.72
2010-02-09,90,38.0,,0.38,34.2
2010-02-10,87,38.0,,0.38,33.06
2010-02-11,84,38.0,,0.38,31.92
2010-02-12,89,38.0,,0.38,33.82
2010-02-13,90,38.0,,0.38,34.2
2010-02-14,84,38.0,,0.38,31.92
2010-02-15,92,38.0,,0.38,34.96
2010-02-16,95,38.0,,0.38,36.1
2010-02-17,97,38.0,,0.38,36.86
2010-02-18,94,38.0,,0.38,35.72
2010-02-19,90,38.0,,0.38,34.2
2010-02-20,91,38.0,,0.38,34.58
2010-02-21,94,38.0,,0.38,35.72
2010-02-22,98,38.0,,0.38,37.24
2010-02-23,93,38.0,,0.38,35.34
2010-02-24,88,38.0,,0.38,33.44
2010-02-25,88,38.0,,0.38,33.44
2010-02-26,87,38.0,,0.38,33.06
2010-02-27,78,38.0,,0.38,29.64
2010-02-28,86,38.0,,0.38,32.68
2010-03-01,87,38.0,False,0.38,33.06
2010-03-02,84,38.0,,0.38,31.92
2010-03-03,96,38.0,,0.38,36.480000000000004
2010-03-04,91,38.0,,0.38,34.58
2010-03-05,84,38.0,,0.38,31.92
2010-03-06,96,38.0,,0.38,36.480000000000004
2010-03-07,84,38.0,,0.38,31.92
2010-03-08,88,38.0,,0.38,33.44
2010-03-09,86,38.0,,0.38,32.68
2010-03-10,81,38.0,,0.38,30.78
2010-03-11,88,38.0,,0.38,33.44
2010-03-12,84,38.0,,0.38,31.92
2010-03-13,77,38.0,,0.38,29.26
2010-03-14,84,38.0,,0.38,31.92
2010-03-15,90,38.0,,0.38,34.2
2010-03-16,90,38.0,,0.38,34.2
2010-03-17,91,38.0,,0.38,34.58
2010-03-18,79,38.0,,0.38,30.02
2010-03-19,75,38.0,,0.38,28.5
2010-03-20,82,38.0,,0.38,31.16
2010-03-21,89,38.0,,0.38,33.82
2010-03-22,90,38.0,,0.38,34.2
2010-03-23,92,38.0,,0.38,34.96
2010-03-24,87,38.0,,0.38,33.06
2010-03-25,97,38.0,,0.38,36.86
2010-03-26,92,38.0,,0.38,34.96
2010-03-27,95,38.0,,0.38,36.1
2010-03-28,76,38.0,,0.38,28.88
2010-03-29,89,38.0,,0.38,33.82
2010-03-30,82,38.0,,0.38,31.16
2010-03-31,100,38.0,,0.38,38.0
2010-04-01,40,44.0,False,0.44,17.6
2010-04-02,41,44.0,,0.44,18.04
2010-04-03,40,44.0,,0.44,17.6
2010-04-04,38,44.0,,0.44,16.72
2010-04-05,40,44.0,,0.44,17.6
2010-04-06,39,44.0,,0.44,17.16
2010-04-07,39,44.0,,0.44,17.16
2010-04-08,38,44.0,,0.44,16.72
2010-04-09,37,44.0,,0.44,16.28
2010-04-10,37,44.0,,0.44,16.28
2010-04-11,36,44.0,,0.44,15.84
2010-04-12,39,44.0,,0.44,17.16
2010-04-13,35,44.0,,0.44,15.4
2010-04-14,36,44.0,,0.44,15.84
2010-04-15,37,44.0,,0.44,16.28
2010-04-16,38,44.0,,0.44,16.72
2010-04-17,35,44.0,,0.44,15.4
2010-04-18,39,44.0,,0.44,17.16
