date,ore_unscaled,ore_monthly,isPartial,scale,ore
2010-01-01,76,63.0,False,0.63,47.88
2010-01-02,79,63.0,,0.63,49.77
2010-01-03,100,63.0,,0.63,63.0
2010-01-04,69,63.0,,0.63,43.47
2010-01-05,38,63.0,,0.63,23.94
2010-01-06,85,63.0,,0.63,53.55
2010-01-07,54,63.0,,0.63,34.02
2010-01-08,63,63.0,,0.63,39.69
2010-01-09,82,63.0,,0.63,51.660000000000004
2010-01-10,94,63.0,,0.63,59.22
2010-01-11,69,63.0,,0.63,43.47
2010-01-12,71,63.0,,0.63,44.73
2010-01-13,62,63.0,,0.63,39.06
2010-01-14,49,63.0,,0.63,30.87
2010-01-15,61,63.0,,0.63,38.43
2010-01-16,41,63.0,,0.63,25.830000000000002
2010-01-17,69,63.0,,0.63,43.47
2010-01-18,64,63.0,,0.63,40.32
2010-01-19,51,63.0,,0.63,32.13
2010-01-20,73,63.0,,0.63,45.99
2010-01-21,51,63.0,,0.63,32.13
2010-01-22,63,63.0,,0.63,39.69
2010-01-23,88,63.0,,0.63,55.44
2010-01-24,81,63.0,,0.63,51.03
2010-01-25,64,63.0,,0.63,40.32
2010-01-26,63,63.0,,0.63,39.69
2010-01-27,54,63.0,,0.63,34.02
2010-01-28,53,63.0,,0.63,33.39
2010-01-29,72,63.0,,0.63,45.36
2010-01-30,59,63.0,,0.63,37.17
2010-01-31,78,63.0,,0.63,49.14
2010-02-01,56,60.0,False,0.6,33.6
2010-02-02,31,60.0,,0.6,18.599999999999998
2010-02-03,31,60.0,,0.6,18.599999999999998
2010-02-04,55,60.0,,0.6,33.0
2010-02-05,62,60.0,,0.6,37.199999999999996
2010-02-06,72,60.0,,0.6,43.199999999999996
2010-02-07,51,60.0,,0.6,30.599999999999998
2010-02-08,49,60.0,,0.6,29.4
2010-02-09,53,60.0,,0.6,31.799999999999997
2010-02-10,50,60.0,,0.6,30.0
2010-02-11,67,60.0,,0.6,40.199999999999996
2010-02-12,76,60.0,,0.6,45.6
2010-02-13,93,60.0,,0.6,55.8
2010-02-14,61,60.0,,0.6,36.6
2010-02-15,77,60.0,,0.6,46.199999999999996
2010-02-16,63,60.0,,0.6,37.8
2010-02-17,91,60.0,,0.6,54.6
2010-02-18,36,60.0,,0.6,21.599999999999998
2010-02-19,66,60.0,,0.6,39.6
2010-02-20,51,60.0,,0.6,30.599999999999998
2010-02-21,64,60.0,,0.6,38.4
2010-02-22,43,60.0,,0.6,25.8
2010-02-23,87,60.0,,0.6,52.199999999999996
2010-02-24,39,60.0,,0.6,23.4
2010-02-25,78,60.0,,0.6,46.8
2010-02-26,67,60.0,,0.6,40.199999999999996
2010-02-27,100,60.0,,0.6,60.0
2010-02-28,88,60.0,,0.6,52.8
2010-03-01,60,62.0,False,0.62,37.2
2010-03-02,56,62.0,,0.62,34.72
2010-03-03,53,62.0,,0.62,32.86
2010-03-04,76,62.0,,0.62,47.12
2010-03-05,76,62.0,,0.62,47.12
2010-03-06,68,62.0,,0.62,42.16
2010-03-07,89,62.0,,0.62,55.18
2010-03-08,57,62.0,,0.62,35.339999999999996
2010-03-09,76,62.0,,0.62,47.12
2010-03-10,97,62.0,,0.62,60.14
2010-03-11,61,62.0,,0.62,37.82
2010-03-12,63,62.0,,0.62,39.06
2010-03-13,100,62.0,,0.62,62.0
2010-03-14,86,62.0,,0.62,53.32
2010-03-15,75,62.0,,0.62,46.5
2010-03-16,55,62.0,,0.62,34.1
2010-03-17,56,62.0,,0.62,34.72
2010-03-18,66,62.0,,0.62,40.92
2010-03-19,59,62.0,,0.62,36.58
2010-03-20,93,62.0,,0.62,57.66
2010-03-21,100,62.0,,0.62,62.0
2010-03-22,65,62.0,,0.62,40.3
2010-03-23,83,62.0,,0.62,51.46
2010-03-24,70,62.0,,0.62,43.4
2010-03-25,83,62.0,,0.62,51.46
2010-03-26,71,62.0,,0.62,44.02
2010-03-27,72,62.0,,0.62,44.64
2010-03-28,91,62.0,,0.62,56.42
2010-03-29,74,62.0,,0.62,45.88
2010-03-30,58,62.0,,0.62,35.96
2010-03-31,78,62.0,,0.62,48.36
2010-04-01,43,66.0,False,0.66,28.380000000000003
2010-04-02,61,66.0,,0.66,40.260000000000005
2010-04-03,79,66.0,,0.66,52.14
2010-04-04,84,66.0,,0.66,55.440000000000005
2010-04-05,66,66.0,,0.66,43.56
2010-04-06,58,66.0,,0.66,38.28
2010-04-07,60,66.0,,0.66,39.6
2010-04-08,39,66.0,,0.66,25.740000000000002
2010-04-09,62,66.0,,0.66,40.92
2010-04-10,74,66.0,,0.66,48.84
2010-04-11,71,66.0,,0.66,46.86
2010-04-12,55,66.0,,0.66,36.300000000000004
2010-04-13,50,66.0,,0.66,33.0
2010-04-14,50,66.0,,0.66,33.0
2010-04-15,70,66.0,,0.66,46.2
2010-04-16,65,66.0,,0.66,42.9
2010-04-17,58,66.0,,0.66,38.28
2010-04-18,42,66.0,,0.66,27.720000000000002
2010-04-19,53,66.0,,0.66,34.980000000000004
2010-04-20,64,66.0,,0.66,42.24
2010-04-21,65,66.0,,0.66,42.9
2010-04-22,57,66.0,,0.66,37.620000000000005
2010-04-23,52,66.0,,0.66,34.32
2010-04-24,78,66.0,,0.66,51.480000000000004
2010-04-25,100,66.0,,0.66,66.0
2010-04-26,59,66.0,,0.66,38.940000000000005
2010-04-27,55,66.0,,0.66,36.300000000000004
2010-04-28,78,66.0,,0.66,51.480000000000004
2010-04-29,52,66.0,,0.66,34.32
2010-04-30,42,66.0,,0.66,27.720000000000002
2010-05-01,64,64.0,False,0.64,40.96
2010-05-02,79,64.0,,0.64,50.56
2010-05-03,89,64.0,,0.64,56.96
2010-05-04,86,64.0,,0.64,55.04
2010-05-05,52,64.0,,0.64,33.28
2010-05-06,71,64.0,,0.64,45.44
2010-05-07,77,64.0,,0.64,49.28
2010-05-08,85,64.0,,0.64,54.4
2010-05-09,70,64.0,,0.64,44.800000000000004
2010-05-10,78,64.0,,0.64,49.92
2010-05-11,74,64.0,,0.64,47.36
2010-05-12,54,64.0,,0.64,34.56
2010-05-13,75,64.0,,0.64,48.0
2010-05-14,60,64.0,,0.64,38.4
2010-05-15,87,64.0,,0.64,55.68
2010-05-16,44,64.0,,0.64,28.16
2010-05-17,61,64.0,,0.64,39.04
2010-05-18,52,64.0,,0.64,33.28
2010-05-19,65,64.0,,0.64,41.6
2010-05-20,65,64.0,,0.64,41.6
2010-05-21,58,64.0,,0.64,37.12
2010-05-22,66,64.0,,0.64,42.24
2010-05-23,84,64.0,,0.64,53.76
2010-05-24,50,64.0,,0.64,32.0
2010-05-25,100,64.0,,0.64,64.0
2010-05-26,72,64.0,,0.64,46.08
2010-05-27,66,64.0,,0.64,42.24
2010-05-28,56,64.0,,0.64,35.84
2010-05-29,76,64.0,,0.64,48.64
2010-05-30,70,64.0,,0.64,44.800000000000004
2010-05-31,75,64.0,,0.64,48.0
2010-06-01,65,64.0,False,0.64,41.6
2010-06-02,59,64.0,,0.64,37.76
2010-06-03,77,64.0,,0.64,49.28
2010-06-04,98,64.0,,0.64,62.72
2010-06-05,90,64.0,,0.64,57.6
2010-06-06,90,64.0,,0.64,57.6
2010-06-07,75,64.0,,0.64,48.0
2010-06-08,61,64.0,,0.64,39.04
2010-06-09,77,64.0,,0.64,49.28
2010-06-10,76,64.0,,0.64,48.64
2010-06-11,79,64.0,,0.64,50.56
2010-06-12,66,64.0,,0.64,42.24
2010-06-13,82,64.0,,0.64,52.480000000000004
2010-06-14,75,64.0,,0.64,48.0
2010-06-15,60,64.0,,0.64,38.4
2010-06-16,91,64.0,,0.64,58.24
2010-06-17,63,64.0,,0.64,40.32
2010-06-18,76,64.0,,0.64,48.64
2010-06-19,84,64.0,,0.64,53.76
2010-06-20,96,64.0,,0.64,61.44
2010-06-21,94,64.0,,0.64,60.160000000000004
2010-06-22,57,64.0,,0.64,36.480000000000004
2010-06-23,58,64.0,,0.64,37.12
2010-06-24,74,64.0,,0.64,47.36
2010-06-25,81,64.0,,0.64,51.84
2010-06-26,100,64.0,,0.64,64.0
2010-06-27,86,64.0,,0.64,55.04
2010-06-28,89,64.0,,0.64,56.96
