date,politics_unscaled,politics_monthly,isPartial,scale,politics
2010-01-01,25,32.0,False,0.32,8.0
2010-01-02,31,32.0,,0.32,9.92
2010-01-03,33,32.0,,0.32,10.56
2010-01-04,37,32.0,,0.32,11.84
2010-01-05,40,32.0,,0.32,12.8
2010-01-06,50,32.0,,0.32,16.0
2010-01-07,34,32.0,,0.32,10.88
2010-01-08,43,32.0,,0.32,13.76
2010-01-09,65,32.0,,0.32,20.8
2010-01-10,42,32.0,,0.32,13.44
2010-01-11,39,32.0,,0.32,12.48
2010-01-12,68,32.0,,0.32,21.76
2010-01-13,63,32.0,,0.32,20.16
2010-01-14,49,32.0,,0.32,15.68
2010-01-15,73,32.0,,0.32,23.36
2010-01-16,32,32.0,,0.32,10.24
2010-01-17,42,32.0,,0.32,13.44
2010-01-18,58,32.0,,0.32,18.56
2010-01-19,82,32.0,,0.32,26.240000000000002
2010-01-20,100,32.0,,0.32,32.0
2010-01-21,87,32.0,,0.32,27.84
2010-01-22,80,32.0,,0.32,25.6
2010-01-23,36,32.0,,0.32,11.52
2010-01-24,39,32.0,,0.32,12.48
2010-01-25,58,32.0,,0.32,18.56
2010-01-26,53,32.0,,0.32,16.96
2010-01-27,82,32.0,,0.32,26.240000000000002
2010-01-28,65,32.0,,0.32,20.8
2010-01-29,60,32.0,,0.32,19.2
2010-01-30,39,32.0,,0.32,12.48
2010-01-31,43,32.0,,0.32,13.76
2010-02-01,83,31.0,False,0.31,25.73
2010-02-02,87,31.0,,0.31,26.97
2010-02-03,74,31.0,,0.31,22.94
2010-02-04,65,31.0,,0.31,20.15
2010-02-05,92,31.0,,0.31,28.52
2010-02-06,51,31.0,,0.31,15.81
2010-02-07,69,31.0,,0.31,21.39
2010-02-08,83,31.0,,0.31,25.73
2010-02-09,78,31.0,,0.31,24.18
2010-02-10,81,31.0,,0.31,25.11
2010-02-11,81,31.0,,0.31,25.11
2010-02-12,85,31.0,,0.31,26.35
2010-02-13,70,31.0,,0.31,21.7
2010-02-14,52,31.0,,0.31,16.12
2010-02-15,86,31.0,,0.31,26.66
2010-02-16,70,31.0,,0.31,21.7
2010-02-17,99,31.0,,0.31,30.69
2010-02-18,100,31.0,,0.31,31.0
2010-02-19,58,31.0,,0.31,17.98
2010-02-20,66,31.0,,0.31,20.46
2010-02-21,78,31.0,,0.31,24.18
2010-02-22,66,31.0,,0.31,20.46
2010-02-23,97,31.0,,0.31,30.07
2010-02-24,74,31.0,,0.31,22.94
2010-02-25,75,31.0,,0.31,23.25
2010-02-26,89,31.0,,0.31,27.59
2010-02-27,56,31.0,,0.31,17.36
2010-02-28,72,31.0,,0.31,22.32
2010-03-01,63,32.0,False,0.32,20.16
2010-03-02,66,32.0,,0.32,21.12
2010-03-03,66,32.0,,0.32,21.12
2010-03-04,59,32.0,,0.32,18.88
2010-03-05,68,32.0,,0.32,21.76
2010-03-06,43,32.0,,0.32,13.76
2010-03-07,46,32.0,,0.32,14.72
2010-03-08,63,32.0,,0.32,20.16
2010-03-09,74,32.0,,0.32,23.68
2010-03-10,54,32.0,,0.32,17.28
2010-03-11,52,32.0,,0.32,16.64
2010-03-12,50,32.0,,0.32,16.0
2010-03-13,44,32.0,,0.32,14.08
2010-03-14,45,32.0,,0.32,14.4
2010-03-15,60,32.0,,0.32,19.2
2010-03-16,62,32.0,,0.32,19.84
2010-03-17,72,32.0,,0.32,23.04
2010-03-18,61,32.0,,0.32,19.52
2010-03-19,66,32.0,,0.32,21.12
2010-03-20,42,32.0,,0.32,13.44
2010-03-21,68,32.0,,0.32,21.76
2010-03-22,97,32.0,,0.32,31.04
2010-03-23,100,32.0,,0.32,32.0
2010-03-24,67,32.0,,0.32,21.44
2010-03-25,66,32.0,,0.32,21.12
2010-03-26,73,32.0,,0.32,23.36
2010-03-27,38,32.0,,0.32,12.16
2010-03-28,57,32.0,,0.32,18.240000000000002
2010-03-29,56,32.0,,0.32,17.92
2010-03-30,62,32.0,,0.32,19.84
2010-03-31,58,32.0,,0.32,18.56
2010-04-01,81,30.0,False,0.3,24.3
2010-04-02,70,30.0,,0.3,21.0
2010-04-03,60,30.0,,0.3,18.0
2010-04-04,66,30.0,,0.3,19.8
2010-04-05,86,30.0,,0.3,25.8
2010-04-06,100,30.0,,0.3,30.0
2010-04-07,87,30.0,,0.3,26.099999999999998
2010-04-08,82,30.0,,0.3,24.599999999999998
2010-04-09,78,30.0,,0.3,23.4
2010-04-10,58,30.0,,0.3,17.4
2010-04-11,71,30.0,,0.3,21.3
2010-04-12,96,30.0,,0.3,28.799999999999997
2010-04-13,84,30.0,,0.3,25.2
2010-04-14,91,30.0,,0.3,27.3
2010-04-15,94,30.0,,0.3,28.2
2010-04-16,72,30.0,,0.3,21.599999999999998
2010-04-17,63,30.0,,0.3,18.9
2010-04-18,94,30.0,,0.3,28.2
2010-04-19,78,30.0,,0.3,23.4
2010-04-20,87,30.0,,0.3,26.099999999999998
2010-04-21,93,30.0,,0.3,27.9
2010-04-22,85,30.0,,0.3,25.5
2010-04-23,71,30.0,,0.3,21.3
2010-04-24,64,30.0,,0.3,19.2
2010-04-25,63,30.0,,0.3,18.9
2010-04-26,79,30.0,,0.3,23.7
2010-04-27,84,30.0,,0.3,25.2
2010-04-28,80,30.0,,0.3,24.0
2010-04-29,90,30.0,,0.3,27.0
2010-04-30,75,30.0,,0.3,22.5
2010-05-01,82,31.0,False,0.31,25.419999999999998
2010-05-02,81,31.0,,0.31,25.11
2010-05-03,90,31.0,,0.31,27.9
2010-05-04,72,31.0,,0.31,22.32
2010-05-05,84,31.0,,0.31,26.04
2010-05-06,59,31.0,,0.31,18.29
2010-05-07,85,31.0,,0.31,26.35
2010-05-08,64,31.0,,0.31,19.84
2010-05-09,95,31.0,,0.31,29.45
2010-05-10,90,31.0,,0.31,27.9
2010-05-11,73,31.0,,0.31,22.63
2010-05-12,100,31.0,,0.31,31.0
2010-05-13,83,31.0,,0.31,25.73
2010-05-14,67,31.0,,0.31,20.77
2010-05-15,46,31.0,,0.31,14.26
2010-05-16,63,31.0,,0.31,19.53
2010-05-17,78,31.0,,0.31,24.18
2010-05-18,78,31.0,,0.31,24.18
2010-05-19,90,31.0,,0.31,27.9
2010-05-20,72,31.0,,0.31,22.32
2010-05-21,63,31.0,,0.31,19.53
2010-05-22,59,31.0,,0.31,18.29
2010-05-23,51,31.0,,0.31,15.81
2010-05-24,65,31.0,,0.31,20.15
2010-05-25,44,31.0,,0.31,13.64
2010-05-26,86,31.0,,0.31,26.66
2010-05-27,57,31.0,,0.31,17.669999999999998
2010-05-28,50,31.0,,0.31,15.5
2010-05-29,26,31.0,,0.31,8.06
2010-05-30,40,31.0,,0.31,12.4
2010-05-31,39,31.0,,0.31,12.09
2010-06-01,79,25.0,False,0.25,19.75
2010-06-02,78,25.0,,0.25,19.5
2010-06-03,88,25.0,,0.25,22.0
2010-06-04,81,25.0,,0.25,20.25
2010-06-05,40,25.0,,0.25,10.0
2010-06-06,62,25.0,,0.25,15.5
2010-06-07,78,25.0,,0.25,19.5
2010-06-08,90,25.0,,0.25,22.5
2010-06-09,92,25.0,,0.25,23.0
2010-06-10,72,25.0,,0.25,18.0
2010-06-11,71,25.0,,0.25,17.75
2010-06-12,41,25.0,,0.25,10.25
2010-06-13,45,25.0,,0.25,11.25
2010-06-14,67,25.0,,0.25,16.75
2010-06-15,72,25.0,,0.25,18.0
2010-06-16,57,25.0,,0.25,14.25
2010-06-17,60,25.0,,0.25,15.0
2010-06-18,68,25.0,,0.25,17.0
2010-06-19,71,25.0,,0.25,17.75
2010-06-20,65,25.0,,0.25,16.25
2010-06-21,65,25.0,,0.25,16.25
2010-06-22,71,25.0,,0.25,17.75
2010-06-23,63,25.0,,0.25,15.75
2010-06-24,79,25.0,,0.25,19.75
2010-06-25,67,25.0,,0.25,16.75
2010-06-26,52,25.0,,0.25,13.0
2010-06-27,64,25.0,,0.25,16.0
2010-06-28,100,25.0,,0.25,25.0
2010-06-29,57,25.0,,0.25,14.25
2010-06-30,45,25.0,,0.25,11.25
2010-07-01,93,21.0,False,0.21,19.529999999999998
2010-07-02,83,21.0,,0.21,17.43
2010-07-03,68,21.0,,0.21,14.28
2010-07-04,83,21.0,,0.21,17.43
2010-07-05,58,21.0,,0.21,12.18
2010-07-06,99,21.0,,0.21,20.79
2010-07-07,91,21.0,,0.21,19.11
2010-07-08,87,21.0,,0.21,18.27
2010-07-09,90,21.0,,0.21,18.9
2010-07-10,74,21.0,,0.21,15.54
2010-07-11,62,21.0,,0.21,13.02
2010-07-12,100,21.0,,0.21,21.0
2010-07-13,85,21.0,,0.21,17.849999999999998
2010-07-14,73,21.0,,0.21,15.33
2010-07-15,81,21.0,,0.21,17.009999999999998
2010-07-16,93,21.0,,0.21,19.529999999999998
2010-07-17,86,21.0,,0.21,18.06
2010-07-18,79,21.0,,0.21,16.59
2010-07-19,98,21.0,,0.21,20.58
2010-07-20,90,21.0,,0.21,18.9
2010-07-21,83,21.0,,0.21,17.43
2010-07-22,90,21.0,,0.21,18.9
2010-07-23,93,21.0,,0.21,19.529999999999998
2010-07-24,79,21.0,,0.21,16.59
2010-07-25,81,21.0,,0.21,17.009999999999998
2010-07-26,93,21.0,,0.21,19.529999999999998
2010-07-27,81,21.0,,0.21,17.009999999999998
2010-07-28,79,21.0,,0.21,16.59
2010-07-29,98,21.0,,0.21,20.58
2010-07-30,96,21.0,,0.21,20.16
2010-07-31,84,21.0,,0.21,17.64
2010-08-01,65,23.0,False,0.23,14.950000000000001
2010-08-02,53,23.0,,0.23,12.190000000000001
2010-08-03,76,23.0,,0.23,17.48
2010-08-04,65,23.0,,0.23,14.950000000000001
2010-08-05,53,23.0,,0.23,12.190000000000001
2010-08-06,62,23.0,,0.23,14.26
2010-08-07,55,23.0,,0.23,12.65
2010-08-08,62,23.0,,0.23,14.26
2010-08-09,63,23.0,,0.23,14.49
2010-08-10,62,23.0,,0.23,14.26
2010-08-11,87,23.0,,0.23,20.01
2010-08-12,64,23.0,,0.23,14.72
2010-08-13,72,23.0,,0.23,16.560000000000002
2010-08-14,53,23.0,,0.23,12.190000000000001
2010-08-15,60,23.0,,0.23,13.8
2010-08-16,61,23.0,,0.23,14.030000000000001
2010-08-17,73,23.0,,0.23,16.79
2010-08-18,84,23.0,,0.23,19.32
