date,portfolio_unscaled,portfolio_monthly,isPartial,scale,portfolio
2010-01-01,41,86.0,False,0.86,35.26
2010-01-02,53,86.0,,0.86,45.58
2010-01-03,61,86.0,,0.86,52.46
2010-01-04,65,86.0,,0.86,55.9
2010-01-05,84,86.0,,0.86,72.24
2010-01-06,75,86.0,,0.86,64.5
2010-01-07,64,86.0,,0.86,55.04
2010-01-08,65,86.0,,0.86,55.9
2010-01-09,60,86.0,,0.86,51.6
2010-01-10,56,86.0,,0.86,48.16
2010-01-11,65,86.0,,0.86,55.9
2010-01-12,70,86.0,,0.86,60.199999999999996
2010-01-13,57,86.0,,0.86,49.019999999999996
2010-01-14,88,86.0,,0.86,75.67999999999999
2010-01-15,71,86.0,,0.86,61.06
2010-01-16,51,86.0,,0.86,43.86
2010-01-17,51,86.0,,0.86,43.86
2010-01-18,71,86.0,,0.86,61.06
2010-01-19,73,86.0,,0.86,62.78
2010-01-20,77,86.0,,0.86,66.22
2010-01-21,68,86.0,,0.86,58.48
2010-01-22,74,86.0,,0.86,63.64
2010-01-23,71,86.0,,0.86,61.06
2010-01-24,42,86.0,,0.86,36.12
2010-01-25,73,86.0,,0.86,62.78
2010-01-26,73,86.0,,0.86,62.78
2010-01-27,98,86.0,,0.86,84.28
2010-01-28,75,86.0,,0.86,64.5
2010-01-29,100,86.0,,0.86,86.0
2010-01-30,54,86.0,,0.86,46.44
2010-01-31,53,86.0,,0.86,45.58
2010-02-01,57,89.0,False,0.89,50.730000000000004
2010-02-02,76,89.0,,0.89,67.64
2010-02-03,67,89.0,,0.89,59.63
2010-02-04,68,89.0,,0.89,60.52
2010-02-05,66,89.0,,0.89,58.74
2010-02-06,60,89.0,,0.89,53.4
2010-02-07,57,89.0,,0.89,50.730000000000004
2010-02-08,81,89.0,,0.89,72.09
2010-02-09,53,89.0,,0.89,47.17
2010-02-10,77,89.0,,0.89,68.53
2010-02-11,62,89.0,,0.89,55.18
2010-02-12,68,89.0,,0.89,60.52
2010-02-13,35,89.0,,0.89,31.150000000000002
2010-02-14,37,89.0,,0.89,32.93
2010-02-15,88,89.0,,0.89,78.32000000000001
2010-02-16,76,89.0,,0.89,67.64
2010-02-17,100,89.0,,0.89,89.0
2010-02-18,89,89.0,,0.89,79.21000000000001
2010-02-19,69,89.0,,0.89,61.410000000000004
2010-02-20,30,89.0,,0.89,26.7
2010-02-21,63,89.0,,0.89,56.07
2010-02-22,72,89.0,,0.89,64.08
2010-02-23,76,89.0,,0.89,67.64
2010-02-24,66,89.0,,0.89,58.74
2010-02-25,62,89.0,,0.89,55.18
2010-02-26,78,89.0,,0.89,69.42
2010-02-27,63,89.0,,0.89,56.07
2010-02-28,59,89.0,,0.89,52.51
2010-03-01,80,93.0,False,0.93,74.4
2010-03-02,79,93.0,,0.93,73.47
2010-03-03,57,93.0,,0.93,53.010000000000005
2010-03-04,76,93.0,,0.93,70.68
2010-03-05,71,93.0,,0.93,66.03
2010-03-06,68,93.0,,0.93,63.24
2010-03-07,46,93.0,,0.93,42.78
2010-03-08,60,93.0,,0.93,55.800000000000004
2010-03-09,67,93.0,,0.93,62.31
2010-03-10,86,93.0,,0.93,79.98
2010-03-11,74,93.0,,0.93,68.82000000000001
2010-03-12,79,93.0,,0.93,73.47
2010-03-13,64,93.0,,0.93,59.52
2010-03-14,57,93.0,,0.93,53.010000000000005
2010-03-15,98,93.0,,0.93,91.14
2010-03-16,81,93.0,,0.93,75.33
2010-03-17,85,93.0,,0.93,79.05
2010-03-18,68,93.0,,0.93,63.24
2010-03-19,78,93.0,,0.93,72.54
2010-03-20,35,93.0,,0.93,32.550000000000004
2010-03-21,49,93.0,,0.93,45.57
2010-03-22,71,93.0,,0.93,66.03
2010-03-23,95,93.0,,0.93,88.35000000000001
2010-03-24,63,93.0,,0.93,58.59
2010-03-25,61,93.0,,0.93,56.730000000000004
2010-03-26,45,93.0,,0.93,41.85
2010-03-27,29,93.0,,0.93,26.970000000000002
2010-03-28,66,93.0,,0.93,61.38
2010-03-29,100,93.0,,0.93,93.0
2010-03-30,94,93.0,,0.93,87.42
2010-03-31,58,93.0,,0.93,53.940000000000005
2010-04-01,86,100.0,False,1.0,86.0
2010-04-02,69,100.0,,1.0,69.0
2010-04-03,45,100.0,,1.0,45.0
2010-04-04,52,100.0,,1.0,52.0
2010-04-05,93,100.0,,1.0,93.0
2010-04-06,78,100.0,,1.0,78.0
2010-04-07,75,100.0,,1.0,75.0
2010-04-08,96,100.0,,1.0,96.0
2010-04-09,84,100.0,,1.0,84.0
2010-04-10,57,100.0,,1.0,57.0
2010-04-11,73,100.0,,1.0,73.0
2010-04-12,98,100.0,,1.0,98.0
2010-04-13,100,100.0,,1.0,100.0
2010-04-14,85,100.0,,1.0,85.0
2010-04-15,84,100.0,,1.0,84.0
2010-04-16,74,100.0,,1.0,74.0
2010-04-17,58,100.0,,1.0,58.0
2010-04-18,58,100.0,,1.0,58.0
2010-04-19,75,100.0,,1.0,75.0
2010-04-20,79,100.0,,1.0,79.0
2010-04-21,97,100.0,,1.0,97.0
2010-04-22,83,100.0,,1.0,83.0
2010-04-23,72,100.0,,1.0,72.0
2010-04-24,63,100.0,,1.0,63.0
2010-04-25,62,100.0,,1.0,62.0
2010-04-26,87,100.0,,1.0,87.0
2010-04-27,89,100.0,,1.0,89.0
2010-04-28,92,100.0,,1.0,92.0
2010-04-29,70,100.0,,1.0,70.0
2010-04-30,78,100.0,,1.0,78.0
2010-05-01,64,92.0,False,0.92,58.88
2010-05-02,60,92.0,,0.92,55.2
2010-05-03,93,92.0,,0.92,85.56
2010-05-04,74,92.0,,0.92,68.08
2010-05-05,86,92.0,,0.92,79.12
2010-05-06,86,92.0,,0.92,79.12
2010-05-07,69,92.0,,0.92,63.480000000000004
2010-05-08,52,92.0,,0.92,47.84
2010-05-09,48,92.0,,0.92,44.160000000000004
2010-05-10,85,92.0,,0.92,78.2
2010-05-11,86,92.0,,0.92,79.12
2010-05-12,83,92.0,,0.92,76.36
2010-05-13,74,92.0,,0.92,68.08
2010-05-14,87,92.0,,0.92,80.04
2010-05-15,57,92.0,,0.92,52.440000000000005
2010-05-16,50,92.0,,0.92,46.0
2010-05-17,62,92.0,,0.92,57.04
2010-05-18,88,92.0,,0.92,80.96000000000001
2010-05-19,100,92.0,,0.92,92.0
2010-05-20,91,92.0,,0.92,83.72
2010-05-21,76,92.0,,0.92,69.92
2010-05-22,57,92.0,,0.92,52.440000000000005
2010-05-23,59,92.0,,0.92,54.28
2010-05-24,74,92.0,,0.92,68.08
2010-05-25,83,92.0,,0.92,76.36
2010-05-26,80,92.0,,0.92,73.60000000000001
2010-05-27,92,92.0,,0.92,84.64
2010-05-28,80,92.0,,0.92,73.60000000000001
2010-05-29,55,92.0,,0.92,50.6
2010-05-30,60,92.0,,0.92,55.2
2010-05-31,51,92.0,,0.92,46.92
2010-06-01,47,79.0,False,0.79,37.13
2010-06-02,71,79.0,,0.79,56.09
