date,present_unscaled,present_monthly,isPartial,scale,present
2010-01-01,39,48.0,False,0.48,18.72
2010-01-02,52,48.0,,0.48,24.96
2010-01-03,37,48.0,,0.48,17.759999999999998
2010-01-04,50,48.0,,0.48,24.0
2010-01-05,63,48.0,,0.48,30.24
2010-01-06,71,48.0,,0.48,34.08
2010-01-07,64,48.0,,0.48,30.72
2010-01-08,60,48.0,,0.48,28.799999999999997
2010-01-09,49,48.0,,0.48,23.52
2010-01-10,70,48.0,,0.48,33.6
2010-01-11,75,48.0,,0.48,36.0
2010-01-12,68,48.0,,0.48,32.64
2010-01-13,66,48.0,,0.48,31.68
2010-01-14,76,48.0,,0.48,36.48
2010-01-15,56,48.0,,0.48,26.88
2010-01-16,57,48.0,,0.48,27.36
2010-01-17,59,48.0,,0.48,28.32
2010-01-18,68,48.0,,0.48,32.64
2010-01-19,66,48.0,,0.48,31.68
2010-01-20,85,48.0,,0.48,40.8
2010-01-21,100,48.0,,0.48,48.0
2010-01-22,80,48.0,,0.48,38.4
2010-01-23,49,48.0,,0.48,23.52
2010-01-24,83,48.0,,0.48,39.839999999999996
2010-01-25,82,48.0,,0.48,39.36
2010-01-26,82,48.0,,0.48,39.36
2010-01-27,90,48.0,,0.48,43.199999999999996
2010-01-28,80,48.0,,0.48,38.4
2010-01-29,58,48.0,,0.48,27.84
2010-01-30,54,48.0,,0.48,25.919999999999998
2010-01-31,74,48.0,,0.48,35.519999999999996
2010-02-01,88,55.0,False,0.55,48.400000000000006
2010-02-02,94,55.0,,0.55,51.7
2010-02-03,88,55.0,,0.55,48.400000000000006
2010-02-04,96,55.0,,0.55,52.800000000000004
2010-02-05,82,55.0,,0.55,45.1
2010-02-06,43,55.0,,0.55,23.650000000000002
2010-02-07,73,55.0,,0.55,40.150000000000006
2010-02-08,86,55.0,,0.55,47.300000000000004
2010-02-09,98,55.0,,0.55,53.900000000000006
2010-02-10,81,55.0,,0.55,44.550000000000004
2010-02-11,87,55.0,,0.55,47.85
2010-02-12,71,55.0,,0.55,39.050000000000004
2010-02-13,44,55.0,,0.55,24.200000000000003
2010-02-14,76,55.0,,0.55,41.800000000000004
2010-02-15,66,55.0,,0.55,36.300000000000004
2010-02-16,76,55.0,,0.55,41.800000000000004
2010-02-17,88,55.0,,0.55,48.400000000000006
2010-02-18,89,55.0,,0.55,48.95
2010-02-19,83,55.0,,0.55,45.650000000000006
2010-02-20,61,55.0,,0.55,33.550000000000004
2010-02-21,74,55.0,,0.55,40.7
2010-02-22,100,55.0,,0.55,55.00000000000001
2010-02-23,95,55.0,,0.55,52.25000000000001
2010-02-24,98,55.0,,0.55,53.900000000000006
2010-02-25,82,55.0,,0.55,45.1
2010-02-26,75,55.0,,0.55,41.25
2010-02-27,58,55.0,,0.55,31.900000000000002
2010-02-28,70,55.0,,0.55,38.5
2010-03-01,89,54.0,False,0.54,48.06
2010-03-02,90,54.0,,0.54,48.6
2010-03-03,82,54.0,,0.54,44.28
2010-03-04,84,54.0,,0.54,45.36
2010-03-05,86,54.0,,0.54,46.440000000000005
2010-03-06,72,54.0,,0.54,38.88
2010-03-07,68,54.0,,0.54,36.72
2010-03-08,100,54.0,,0.54,54.0
2010-03-09,90,54.0,,0.54,48.6
2010-03-10,86,54.0,,0.54,46.440000000000005
2010-03-11,92,54.0,,0.54,49.68000000000001
2010-03-12,70,54.0,,0.54,37.800000000000004
2010-03-13,65,54.0,,0.54,35.1
2010-03-14,72,54.0,,0.54,38.88
2010-03-15,98,54.0,,0.54,52.92
2010-03-16,86,54.0,,0.54,46.440000000000005
2010-03-17,95,54.0,,0.54,51.300000000000004
2010-03-18,72,54.0,,0.54,38.88
2010-03-19,68,54.0,,0.54,36.72
2010-03-20,52,54.0,,0.54,28.080000000000002
2010-03-21,62,54.0,,0.54,33.480000000000004
2010-03-22,77,54.0,,0.54,41.580000000000005
2010-03-23,78,54.0,,0.54,42.120000000000005
2010-03-24,94,54.0,,0.54,50.760000000000005
2010-03-25,99,54.0,,0.54,53.46
2010-03-26,82,54.0,,0.54,44.28
2010-03-27,55,54.0,,0.54,29.700000000000003
2010-03-28,63,54.0,,0.54,34.02
2010-03-29,95,54.0,,0.54,51.300000000000004
2010-03-30,88,54.0,,0.54,47.52
2010-03-31,82,54.0,,0.54,44.28
2010-04-01,61,57.0,False,0.57,34.769999999999996
2010-04-02,57,57.0,,0.57,32.489999999999995
2010-04-03,64,57.0,,0.57,36.48
2010-04-04,55,57.0,,0.57,31.349999999999998
2010-04-05,73,57.0,,0.57,41.61
2010-04-06,75,57.0,,0.57,42.74999999999999
2010-04-07,83,57.0,,0.57,47.309999999999995
2010-04-08,75,57.0,,0.57,42.74999999999999
2010-04-09,68,57.0,,0.57,38.76
2010-04-10,58,57.0,,0.57,33.059999999999995
2010-04-11,74,57.0,,0.57,42.18
2010-04-12,76,57.0,,0.57,43.31999999999999
2010-04-13,90,57.0,,0.57,51.3
2010-04-14,100,57.0,,0.57,56.99999999999999
2010-04-15,97,57.0,,0.57,55.28999999999999
2010-04-16,76,57.0,,0.57,43.31999999999999
2010-04-17,55,57.0,,0.57,31.349999999999998
2010-04-18,93,57.0,,0.57,53.01
2010-04-19,95,57.0,,0.57,54.15
2010-04-20,84,57.0,,0.57,47.879999999999995
2010-04-21,93,57.0,,0.57,53.01
2010-04-22,86,57.0,,0.57,49.019999999999996
2010-04-23,66,57.0,,0.57,37.62
2010-04-24,54,57.0,,0.57,30.779999999999998
2010-04-25,81,57.0,,0.57,46.169999999999995
2010-04-26,94,57.0,,0.57,53.58
2010-04-27,86,57.0,,0.57,49.019999999999996
2010-04-28,97,57.0,,0.57,55.28999999999999
2010-04-29,97,57.0,,0.57,55.28999999999999
2010-04-30,81,57.0,,0.57,46.169999999999995
2010-05-01,71,55.0,False,0.55,39.050000000000004
2010-05-02,76,55.0,,0.55,41.800000000000004
2010-05-03,100,55.0,,0.55,55.00000000000001
2010-05-04,96,55.0,,0.55,52.800000000000004
2010-05-05,91,55.0,,0.55,50.050000000000004
2010-05-06,93,55.0,,0.55,51.150000000000006
2010-05-07,84,55.0,,0.55,46.2
