date,profit_unscaled,profit_monthly,isPartial,scale,profit
2010-01-01,59,91.0,False,0.91,53.690000000000005
2010-01-02,43,91.0,,0.91,39.13
2010-01-03,37,91.0,,0.91,33.67
2010-01-04,67,91.0,,0.91,60.97
2010-01-05,85,91.0,,0.91,77.35000000000001
2010-01-06,81,91.0,,0.91,73.71000000000001
2010-01-07,79,91.0,,0.91,71.89
2010-01-08,58,91.0,,0.91,52.78
2010-01-09,58,91.0,,0.91,52.78
2010-01-10,56,91.0,,0.91,50.96
2010-01-11,87,91.0,,0.91,79.17
2010-01-12,81,91.0,,0.91,73.71000000000001
2010-01-13,89,91.0,,0.91,80.99000000000001
2010-01-14,78,91.0,,0.91,70.98
2010-01-15,88,91.0,,0.91,80.08
2010-01-16,65,91.0,,0.91,59.15
2010-01-17,62,91.0,,0.91,56.42
2010-01-18,69,91.0,,0.91,62.79
2010-01-19,70,91.0,,0.91,63.7
2010-01-20,95,91.0,,0.91,86.45
2010-01-21,93,91.0,,0.91,84.63000000000001
2010-01-22,78,91.0,,0.91,70.98
2010-01-23,66,91.0,,0.91,60.06
2010-01-24,72,91.0,,0.91,65.52
2010-01-25,95,91.0,,0.91,86.45
2010-01-26,92,91.0,,0.91,83.72
2010-01-27,83,91.0,,0.91,75.53
2010-01-28,100,91.0,,0.91,91.0
2010-01-29,70,91.0,,0.91,63.7
2010-01-30,64,91.0,,0.91,58.24
2010-01-31,51,91.0,,0.91,46.410000000000004
2010-02-01,85,95.0,False,0.95,80.75
2010-02-02,96,95.0,,0.95,91.19999999999999
2010-02-03,84,95.0,,0.95,79.8
2010-02-04,75,95.0,,0.95,71.25
2010-02-05,69,95.0,,0.95,65.55
2010-02-06,57,95.0,,0.95,54.15
2010-02-07,67,95.0,,0.95,63.65
2010-02-08,86,95.0,,0.95,81.7
2010-02-09,95,95.0,,0.95,90.25
2010-02-10,87,95.0,,0.95,82.64999999999999
2010-02-11,94,95.0,,0.95,89.3
2010-02-12,85,95.0,,0.95,80.75
2010-02-13,50,95.0,,0.95,47.5
2010-02-14,49,95.0,,0.95,46.55
2010-02-15,72,95.0,,0.95,68.39999999999999
2010-02-16,78,95.0,,0.95,74.1
2010-02-17,85,95.0,,0.95,80.75
2010-02-18,83,95.0,,0.95,78.85
2010-02-19,66,95.0,,0.95,62.699999999999996
2010-02-20,58,95.0,,0.95,55.099999999999994
2010-02-21,57,95.0,,0.95,54.15
2010-02-22,100,95.0,,0.95,95.0
2010-02-23,80,95.0,,0.95,76.0
2010-02-24,92,95.0,,0.95,87.39999999999999
2010-02-25,82,95.0,,0.95,77.89999999999999
2010-02-26,78,95.0,,0.95,74.1
2010-02-27,67,95.0,,0.95,63.65
2010-02-28,60,95.0,,0.95,57.0
2010-03-01,99,98.0,False,0.98,97.02
2010-03-02,79,98.0,,0.98,77.42
2010-03-03,85,98.0,,0.98,83.3
2010-03-04,81,98.0,,0.98,79.38
2010-03-05,65,98.0,,0.98,63.699999999999996
2010-03-06,65,98.0,,0.98,63.699999999999996
2010-03-07,66,98.0,,0.98,64.67999999999999
2010-03-08,78,98.0,,0.98,76.44
2010-03-09,85,98.0,,0.98,83.3
2010-03-10,79,98.0,,0.98,77.42
2010-03-11,78,98.0,,0.98,76.44
2010-03-12,71,98.0,,0.98,69.58
2010-03-13,41,98.0,,0.98,40.18
2010-03-14,55,98.0,,0.98,53.9
2010-03-15,76,98.0,,0.98,74.48
2010-03-16,75,98.0,,0.98,73.5
2010-03-17,83,98.0,,0.98,81.34
2010-03-18,74,98.0,,0.98,72.52
2010-03-19,72,98.0,,0.98,70.56
2010-03-20,45,98.0,,0.98,44.1
2010-03-21,52,98.0,,0.98,50.96
2010-03-22,93,98.0,,0.98,91.14
2010-03-23,100,98.0,,0.98,98.0
2010-03-24,75,98.0,,0.98,73.5
2010-03-25,82,98.0,,0.98,80.36
2010-03-26,66,98.0,,0.98,64.67999999999999
2010-03-27,47,98.0,,0.98,46.06
2010-03-28,65,98.0,,0.98,63.699999999999996
2010-03-29,79,98.0,,0.98,77.42
2010-03-30,83,98.0,,0.98,81.34
2010-03-31,78,98.0,,0.98,76.44
2010-04-01,65,96.0,False,0.96,62.4
2010-04-02,59,96.0,,0.96,56.64
2010-04-03,51,96.0,,0.96,48.96
2010-04-04,37,96.0,,0.96,35.519999999999996
2010-04-05,100,96.0,,0.96,96.0
2010-04-06,79,96.0,,0.96,75.84
2010-04-07,91,96.0,,0.96,87.36
2010-04-08,72,96.0,,0.96,69.12
2010-04-09,65,96.0,,0.96,62.4
2010-04-10,63,96.0,,0.96,60.48
2010-04-11,53,96.0,,0.96,50.879999999999995
2010-04-12,86,96.0,,0.96,82.56
2010-04-13,91,96.0,,0.96,87.36
2010-04-14,69,96.0,,0.96,66.24
2010-04-15,86,96.0,,0.96,82.56
2010-04-16,83,96.0,,0.96,79.67999999999999
2010-04-17,65,96.0,,0.96,62.4
2010-04-18,51,96.0,,0.96,48.96
2010-04-19,66,96.0,,0.96,63.36
2010-04-20,68,96.0,,0.96,65.28
2010-04-21,65,96.0,,0.96,62.4
2010-04-22,84,96.0,,0.96,80.64
2010-04-23,70,96.0,,0.96,67.2
2010-04-24,58,96.0,,0.96,55.68
2010-04-25,54,96.0,,0.96,51.839999999999996
2010-04-26,71,96.0,,0.96,68.16
2010-04-27,84,96.0,,0.96,80.64
2010-04-28,96,96.0,,0.96,92.16
2010-04-29,76,96.0,,0.96,72.96
