date,quarantine_unscaled,quarantine_monthly,isPartial,scale,quarantine
2010-01-01,21,1.0,False,0.01,0.21
2010-01-02,54,1.0,,0.01,0.54
2010-01-03,35,1.0,,0.01,0.35000000000000003
2010-01-04,36,1.0,,0.01,0.36
2010-01-05,24,1.0,,0.01,0.24
2010-01-06,36,1.0,,0.01,0.36
2010-01-07,24,1.0,,0.01,0.24
2010-01-08,48,1.0,,0.01,0.48
2010-01-09,50,1.0,,0.01,0.5
2010-01-10,70,1.0,,0.01,0.7000000000000001
2010-01-11,59,1.0,,0.01,0.59
2010-01-12,23,1.0,,0.01,0.23
2010-01-13,23,1.0,,0.01,0.23
2010-01-14,59,1.0,,0.01,0.59
2010-01-15,37,1.0,,0.01,0.37
2010-01-16,34,1.0,,0.01,0.34
2010-01-17,51,1.0,,0.01,0.51
2010-01-18,77,1.0,,0.01,0.77
2010-01-19,69,1.0,,0.01,0.6900000000000001
2010-01-20,23,1.0,,0.01,0.23
2010-01-21,90,1.0,,0.01,0.9
2010-01-22,47,1.0,,0.01,0.47000000000000003
2010-01-23,16,1.0,,0.01,0.16
2010-01-24,100,1.0,,0.01,1.0
2010-01-25,23,1.0,,0.01,0.23
2010-01-26,90,1.0,,0.01,0.9
2010-01-27,22,1.0,,0.01,0.22
2010-01-28,68,1.0,,0.01,0.68
2010-01-29,24,1.0,,0.01,0.24
2010-01-30,16,1.0,,0.01,0.16
2010-01-31,16,1.0,,0.01,0.16
2010-02-01,51,1.0,False,0.01,0.51
2010-02-02,50,1.0,,0.01,0.5
2010-02-03,38,1.0,,0.01,0.38
2010-02-04,0,1.0,,0.01,0.0
2010-02-05,40,1.0,,0.01,0.4
2010-02-06,37,1.0,,0.01,0.37
2010-02-07,93,1.0,,0.01,0.93
2010-02-08,53,1.0,,0.01,0.53
2010-02-09,100,1.0,,0.01,1.0
2010-02-10,51,1.0,,0.01,0.51
2010-02-11,39,1.0,,0.01,0.39
2010-02-12,70,1.0,,0.01,0.7000000000000001
2010-02-13,38,1.0,,0.01,0.38
2010-02-14,59,1.0,,0.01,0.59
2010-02-15,73,1.0,,0.01,0.73
2010-02-16,65,1.0,,0.01,0.65
2010-02-17,13,1.0,,0.01,0.13
2010-02-18,91,1.0,,0.01,0.91
2010-02-19,82,1.0,,0.01,0.8200000000000001
2010-02-20,56,1.0,,0.01,0.56
2010-02-21,19,1.0,,0.01,0.19
2010-02-22,13,1.0,,0.01,0.13
2010-02-23,62,1.0,,0.01,0.62
2010-02-24,38,1.0,,0.01,0.38
2010-02-25,38,1.0,,0.01,0.38
2010-02-26,80,1.0,,0.01,0.8
2010-02-27,54,1.0,,0.01,0.54
2010-02-28,75,1.0,,0.01,0.75
2010-03-01,61,1.0,False,0.01,0.61
2010-03-02,60,1.0,,0.01,0.6
2010-03-03,48,1.0,,0.01,0.48
2010-03-04,100,1.0,,0.01,1.0
2010-03-05,0,1.0,,0.01,0.0
2010-03-06,55,1.0,,0.01,0.55
2010-03-07,93,1.0,,0.01,0.93
2010-03-08,88,1.0,,0.01,0.88
