date,rare earths_unscaled,rare earths_monthly,isPartial,scale,rare earths
2010-01-01,0,7.0,False,0.07,0.0
2010-01-02,0,7.0,,0.07,0.0
2010-01-03,0,7.0,,0.07,0.0
2010-01-04,0,7.0,,0.07,0.0
2010-01-05,0,7.0,,0.07,0.0
2010-01-06,93,7.0,,0.07,6.510000000000001
2010-01-07,0,7.0,,0.07,0.0
2010-01-08,0,7.0,,0.07,0.0
2010-01-09,0,7.0,,0.07,0.0
2010-01-10,0,7.0,,0.07,0.0
2010-01-11,0,7.0,,0.07,0.0
2010-01-12,0,7.0,,0.07,0.0
2010-01-13,0,7.0,,0.07,0.0
2010-01-14,0,7.0,,0.07,0.0
2010-01-15,0,7.0,,0.07,0.0
2010-01-16,0,7.0,,0.07,0.0
2010-01-17,0,7.0,,0.07,0.0
2010-01-18,100,7.0,,0.07,7.000000000000001
2010-01-19,0,7.0,,0.07,0.0
2010-01-20,0,7.0,,0.07,0.0
2010-01-21,0,7.0,,0.07,0.0
2010-01-22,92,7.0,,0.07,6.44
2010-01-23,0,7.0,,0.07,0.0
2010-01-24,0,7.0,,0.07,0.0
2010-01-25,88,7.0,,0.07,6.16
2010-01-26,0,7.0,,0.07,0.0
2010-01-27,0,7.0,,0.07,0.0
2010-01-28,0,7.0,,0.07,0.0
2010-01-29,0,7.0,,0.07,0.0
2010-01-30,0,7.0,,0.07,0.0
2010-01-31,0,7.0,,0.07,0.0
2010-02-01,0,13.0,False,0.13,0.0
2010-02-02,0,13.0,,0.13,0.0
2010-02-03,0,13.0,,0.13,0.0
2010-02-04,0,13.0,,0.13,0.0
2010-02-05,0,13.0,,0.13,0.0
2010-02-06,0,13.0,,0.13,0.0
2010-02-07,0,13.0,,0.13,0.0
2010-02-08,100,13.0,,0.13,13.0
2010-02-09,0,13.0,,0.13,0.0
2010-02-10,0,13.0,,0.13,0.0
2010-02-11,0,13.0,,0.13,0.0
2010-02-12,0,13.0,,0.13,0.0
2010-02-13,0,13.0,,0.13,0.0
2010-02-14,0,13.0,,0.13,0.0
2010-02-15,0,13.0,,0.13,0.0
2010-02-16,0,13.0,,0.13,0.0
2010-02-17,0,13.0,,0.13,0.0
2010-02-18,97,13.0,,0.13,12.610000000000001
2010-02-19,0,13.0,,0.13,0.0
2010-02-20,0,13.0,,0.13,0.0
2010-02-21,0,13.0,,0.13,0.0
2010-02-22,0,13.0,,0.13,0.0
2010-02-23,0,13.0,,0.13,0.0
2010-02-24,0,13.0,,0.13,0.0
2010-02-25,0,13.0,,0.13,0.0
2010-02-26,0,13.0,,0.13,0.0
2010-02-27,0,13.0,,0.13,0.0
2010-02-28,0,13.0,,0.13,0.0
2010-03-01,0,100.0,False,1.0,0.0
2010-03-02,0,100.0,,1.0,0.0
2010-03-03,0,100.0,,1.0,0.0
2010-03-04,0,100.0,,1.0,0.0
2010-03-05,0,100.0,,1.0,0.0
2010-03-06,0,100.0,,1.0,0.0
2010-03-07,0,100.0,,1.0,0.0
2010-03-08,0,100.0,,1.0,0.0
2010-03-09,93,100.0,,1.0,93.0
2010-03-10,100,100.0,,1.0,100.0
2010-03-11,0,100.0,,1.0,0.0
2010-03-12,0,100.0,,1.0,0.0
2010-03-13,0,100.0,,1.0,0.0
2010-03-14,11,100.0,,1.0,11.0
2010-03-15,7,100.0,,1.0,7.0
2010-03-16,0,100.0,,1.0,0.0
2010-03-17,0,100.0,,1.0,0.0
2010-03-18,0,100.0,,1.0,0.0
2010-03-19,0,100.0,,1.0,0.0
2010-03-20,0,100.0,,1.0,0.0
2010-03-21,0,100.0,,1.0,0.0
2010-03-22,0,100.0,,1.0,0.0
2010-03-23,0,100.0,,1.0,0.0
2010-03-24,7,100.0,,1.0,7.0
2010-03-25,0,100.0,,1.0,0.0
2010-03-26,0,100.0,,1.0,0.0
2010-03-27,0,100.0,,1.0,0.0
2010-03-28,0,100.0,,1.0,0.0
2010-03-29,0,100.0,,1.0,0.0
2010-03-30,0,100.0,,1.0,0.0
2010-03-31,0,100.0,,1.0,0.0
2010-04-01,0,14.0,False,0.14,0.0
2010-04-02,0,14.0,,0.14,0.0
2010-04-03,0,14.0,,0.14,0.0
2010-04-04,0,14.0,,0.14,0.0
2010-04-05,0,14.0,,0.14,0.0
2010-04-06,51,14.0,,0.14,7.140000000000001
2010-04-07,0,14.0,,0.14,0.0
2010-04-08,0,14.0,,0.14,0.0
2010-04-09,0,14.0,,0.14,0.0
2010-04-10,0,14.0,,0.14,0.0
2010-04-11,76,14.0,,0.14,10.64
2010-04-12,100,14.0,,0.14,14.000000000000002
2010-04-13,0,14.0,,0.14,0.0
2010-04-14,50,14.0,,0.14,7.000000000000001
2010-04-15,0,14.0,,0.14,0.0
2010-04-16,53,14.0,,0.14,7.420000000000001
2010-04-17,0,14.0,,0.14,0.0
2010-04-18,0,14.0,,0.14,0.0
2010-04-19,0,14.0,,0.14,0.0
2010-04-20,0,14.0,,0.14,0.0
2010-04-21,0,14.0,,0.14,0.0
2010-04-22,0,14.0,,0.14,0.0
2010-04-23,0,14.0,,0.14,0.0
2010-04-24,0,14.0,,0.14,0.0
2010-04-25,0,14.0,,0.14,0.0
2010-04-26,0,14.0,,0.14,0.0
2010-04-27,48,14.0,,0.14,6.720000000000001
2010-04-28,50,14.0,,0.14,7.000000000000001
2010-04-29,0,14.0,,0.14,0.0
2010-04-30,0,14.0,,0.14,0.0
2010-05-01,0,7.0,False,0.07,0.0
2010-05-02,0,7.0,,0.07,0.0
2010-05-03,0,7.0,,0.07,0.0
2010-05-04,0,7.0,,0.07,0.0
2010-05-05,0,7.0,,0.07,0.0
2010-05-06,0,7.0,,0.07,0.0
2010-05-07,0,7.0,,0.07,0.0
2010-05-08,0,7.0,,0.07,0.0
2010-05-09,0,7.0,,0.07,0.0
2010-05-10,0,7.0,,0.07,0.0
2010-05-11,0,7.0,,0.07,0.0
2010-05-12,0,7.0,,0.07,0.0
2010-05-13,0,7.0,,0.07,0.0
2010-05-14,0,7.0,,0.07,0.0
2010-05-15,0,7.0,,0.07,0.0
2010-05-16,0,7.0,,0.07,0.0
2010-05-17,0,7.0,,0.07,0.0
2010-05-18,0,7.0,,0.07,0.0
2010-05-19,0,7.0,,0.07,0.0
2010-05-20,0,7.0,,0.07,0.0
2010-05-21,0,7.0,,0.07,0.0
2010-05-22,0,7.0,,0.07,0.0
2010-05-23,0,7.0,,0.07,0.0
2010-05-24,0,7.0,,0.07,0.0
